,country,iso_code,date,total_vaccinations,people_vaccinated,people_fully_vaccinated,daily_vaccinations_raw,daily_vaccinations,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,daily_vaccinations_per_million,vaccines,source_name,source_website
0,Afghanistan,AFG,2021-02-22,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,,
1,Afghanistan,AFG,2021-02-23,1366.0,1366.0,0.0,,1367.0,0.003480467595470806,0.003480467595470806,0.0,35.0,,,
2,Afghanistan,AFG,2021-02-24,2733.0,2733.0,0.0,,1367.0,0.006963483117439028,0.006963483117439028,0.0,35.0,,,
3,Afghanistan,AFG,2021-02-25,4100.0,4100.0,0.0,,1367.0,0.010446498639407251,0.010446498639407251,0.0,35.0,,,
4,Afghanistan,AFG,2021-02-26,5466.0,5466.0,0.0,,1367.0,0.013926966234878055,0.013926966234878055,0.0,35.0,,,
5,Afghanistan,AFG,2021-02-27,6833.0,6833.0,0.0,,1367.0,0.017409981756846278,0.017409981756846278,0.0,35.0,,,
6,Afghanistan,AFG,2021-02-28,8200.0,8200.0,0.0,,1367.0,0.02,0.02,0.0,35.0,,,
7,Afghanistan,AFG,2021-03-01,11062.0,11062.0,0.0,,1580.0,0.028185162914420244,0.028185162914420244,0.0,41.0,,,
8,Afghanistan,AFG,2021-03-02,13925.0,13925.0,0.0,,1794.0,0.035479876476523405,0.035479876476523405,0.0,46.0,,,
9,Afghanistan,AFG,2021-03-03,16787.0,16787.0,0.0,,2008.0,0.04277204211212915,0.04277204211212915,0.0,52.0,,,
10,Afghanistan,AFG,2021-03-04,19650.0,19650.0,0.0,,2221.0,0.05006675567423231,0.05006675567423231,0.0,57.0,,,
11,Afghanistan,AFG,2021-03-05,22512.0,22512.0,0.0,,2435.0,0.05735892130983805,0.05735892130983805,0.0,63.0,,,
12,Afghanistan,AFG,2021-03-06,25375.0,25375.0,0.0,,2649.0,0.06465363487194122,0.06465363487194122,0.0,68.0,,,
13,Afghanistan,AFG,2021-03-07,28237.0,28237.0,0.0,,2862.0,0.07194580050754697,0.07194580050754697,0.0,74.0,,,
14,Afghanistan,AFG,2021-03-08,31100.0,31100.0,0.0,,2862.0,0.07924051406965012,0.07924051406965012,0.0,74.0,,,
15,Afghanistan,AFG,2021-03-09,33962.0,33962.0,0.0,,2862.0,0.08653267970525587,0.08653267970525587,0.0,74.0,,,
16,Afghanistan,AFG,2021-03-10,36825.0,36825.0,0.0,,2862.0,0.09382739326735903,0.09382739326735903,0.0,74.0,,,
