,country,iso_code,date,total_vaccinations,people_vaccinated,people_fully_vaccinated,daily_vaccinations_raw,daily_vaccinations,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,daily_vaccinations_per_million,vaccines,source_name,source_website
0,Afghanistan,AFG,2021-02-22,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,Oxford/AstraZeneca,Government of Afghanistan,https://reliefweb.int/report/afghanistan/afghanistan-strategic-situation-report-covid-19-no-95-22-april-2021
1,Afghanistan,AFG,2021-02-23,1366.0,1366.0,0.0,,1367.0,0.003480467595470806,0.003480467595470806,0.0,35.0,Oxford/AstraZeneca,Government of Afghanistan,https://reliefweb.int/report/afghanistan/afghanistan-strategic-situation-report-covid-19-no-95-22-april-2021
2,Afghanistan,AFG,2021-02-24,2733.0,2733.0,0.0,,1367.0,0.006963483117439028,0.006963483117439028,0.0,35.0,Oxford/AstraZeneca,Government of Afghanistan,https://reliefweb.int/report/afghanistan/afghanistan-strategic-situation-report-covid-19-no-95-22-april-2021
3,Afghanistan,AFG,2021-02-25,4100.0,4100.0,0.0,,1367.0,0.010446498639407251,0.010446498639407251,0.0,35.0,Oxford/AstraZeneca,Government of Afghanistan,https://reliefweb.int/report/afghanistan/afghanistan-strategic-situation-report-covid-19-no-95-22-april-2021
4,Afghanistan,AFG,2021-02-26,5466.0,5466.0,0.0,,1367.0,0.013926966234878055,0.013926966234878055,0.0,35.0,Oxford/AstraZeneca,Government of Afghanistan,https://reliefweb.int/report/afghanistan/afghanistan-strategic-situation-report-covid-19-no-95-22-april-2021
5,Afghanistan,AFG,2021-02-27,6833.0,6833.0,0.0,,1367.0,0.017409981756846278,0.017409981756846278,0.0,35.0,Oxford/AstraZeneca,Government of Afghanistan,https://reliefweb.int/report/afghanistan/afghanistan-strategic-situation-report-covid-19-no-95-22-april-2021
6,Afghanistan,AFG,2021-02-28,8200.0,8200.0,0.0,,1367.0,0.02,0.02,0.0,35.0,Oxford/AstraZeneca,Government of Afghanistan,https://reliefweb.int/report/afghanistan/afghanistan-strategic-situation-report-covid-19-no-95-22-april-2021
7,Afghanistan,AFG,2021-03-01,11062.0,11062.0,0.0,,1580.0,0.028185162914420244,0.028185162914420244,0.0,41.0,Oxford/AstraZeneca,Government of Afghanistan,https://reliefweb.int/report/afghanistan/afghanistan-strategic-situation-report-covid-19-no-95-22-april-2021
8,Afghanistan,AFG,2021-03-02,13925.0,13925.0,0.0,,1794.0,0.035479876476523405,0.035479876476523405,0.0,46.0,Oxford/AstraZeneca,Government of Afghanistan,https://reliefweb.int/report/afghanistan/afghanistan-strategic-situation-report-covid-19-no-95-22-april-2021
9,Afghanistan,AFG,2021-03-03,16787.0,16787.0,0.0,,2008.0,0.04277204211212915,0.04277204211212915,0.0,52.0,Oxford/AstraZeneca,Government of Afghanistan,https://reliefweb.int/report/afghanistan/afghanistan-strategic-situation-report-covid-19-no-95-22-april-2021
