,country,iso_code,date,total_vaccinations,people_vaccinated,people_fully_vaccinated,daily_vaccinations_raw,daily_vaccinations,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,daily_vaccinations_per_million,vaccines,source_name,source_website
0,Afghanistan,AFG,2021-02-22,0,0,0,,0,0.0,0.0,0.0,0.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing",World Health Organization,https://covid19.who.int/
1,Afghanistan,AFG,2021-02-23,1366,1366,0,,1367,0.0034930165240649918,0.0034930165240649918,0.0,35.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing",World Health Organization,https://covid19.who.int/
2,Afghanistan,AFG,2021-02-24,2733,2733,0,,1367,0.006988590161251553,0.006988590161251553,0.0,35.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing",World Health Organization,https://covid19.who.int/
3,Afghanistan,AFG,2021-02-25,4100,4100,0,,1367,0.010484163798438115,0.010484163798438115,0.0,35.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing",World Health Organization,https://covid19.who.int/
4,Afghanistan,AFG,2021-02-26,5466,5466,0,,1367,0.013977180322503106,0.013977180322503106,0.0,35.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing",World Health Organization,https://covid19.who.int/
5,Afghanistan,AFG,2021-02-27,6833,6833,0,,1367,0.01747275395968967,0.01747275395968967,0.0,35.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing",World Health Organization,https://covid19.who.int/
6,Afghanistan,AFG,2021-02-28,8200,8200,0,,1367,0.02,0.02,0.0,35.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing",World Health Organization,https://covid19.who.int/
7,Afghanistan,AFG,2021-03-01,11062,11062,0,,1580,0.02828678535081035,0.02828678535081035,0.0,41.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing",World Health Organization,https://covid19.who.int/
8,Afghanistan,AFG,2021-03-02,13925,13925,0,,1794,0.03560780021786604,0.03560780021786604,0.0,46.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing",World Health Organization,https://covid19.who.int/
9,Afghanistan,AFG,2021-03-03,16787,16787,0,,2008,0.04292625797180016,0.04292625797180016,0.0,52.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing",World Health Organization,https://covid19.who.int/
10,Afghanistan,AFG,2021-03-04,19650,19650,0,,2221,0.05024727283885585,0.05024727283885585,0.0,57.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing",World Health Organization,https://covid19.who.int/
11,Afghanistan,AFG,2021-03-05,22512,22512,0,,2435,0.05756573059278996,0.05756573059278996,0.0,63.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing",World Health Organization,https://covid19.who.int/
12,Afghanistan,AFG,2021-03-06,25375,25375,0,,2649,0.06488674545984566,0.06488674545984566,0.0,68.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing",World Health Organization,https://covid19.who.int/
13,Afghanistan,AFG,2021-03-07,28237,28237,0,,2862,0.07220520321377977,0.07220520321377977,0.0,74.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing",World Health Organization,https://covid19.who.int/
14,Afghanistan,AFG,2021-03-08,31100,31100,0,,2862,0.07952621808083546,0.07952621808083546,0.0,74.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing",World Health Organization,https://covid19.who.int/
15,Afghanistan,AFG,2021-03-09,33962,33962,0,,2862,0.08684467583476958,0.08684467583476958,0.0,74.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing",World Health Organization,https://covid19.who.int/
16,Afghanistan,AFG,2021-03-10,36825,36825,0,,2862,0.09416569070182526,0.09416569070182526,0.0,74.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing",World Health Organization,https://covid19.who.int/
17,Afghanistan,AFG,2021-03-11,39687,39687,0,,2862,0.10148414845575937,0.10148414845575937,0.0,74.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing",World Health Organization,https://covid19.who.int/
18,Afghanistan,AFG,2021-03-12,42550,42550,0,,2862,0.10880516332281508,0.10880516332281508,0.0,74.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing",World Health Organization,https://covid19.who.int/
19,Afghanistan,AFG,2021-03-13,45412,45412,0,,2862,0.1161236210767492,0.1161236210767492,0.0,74.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing",World Health Organization,https://covid19.who.int/
20,Afghanistan,AFG,2021-03-14,48275,48275,0,,2862,0.12344463594380489,0.12344463594380489,0.0,74.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing",World Health Organization,https://covid19.who.int/
21,Afghanistan,AFG,2021-03-15,51137,51137,0,,2862,0.130763093697739,0.130763093697739,0.0,74.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing",World Health Organization,https://covid19.who.int/
22,Afghanistan,AFG,2021-03-16,54000,54000,0,,2862,0.14,0.14,0.0,74.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing",World Health Organization,https://covid19.who.int/
