,country,iso_code,date,total_vaccinations,people_vaccinated,people_fully_vaccinated,daily_vaccinations_raw,daily_vaccinations,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,daily_vaccinations_per_million,vaccines,source_name,source_website
92,Albania,ALB,2021-01-10,0,0,0,,0,0.0,0.0,0.0,0.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V",Ministry of Health,https://shendetesia.gov.al/vaksinimi-anticovid-kryhen-725135-vaksinime/
93,Albania,ALB,2021-01-11,64,64,0,,64,0.0022268878615822178,0.0022268878615822178,0.0,22.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V",Ministry of Health,https://shendetesia.gov.al/vaksinimi-anticovid-kryhen-725135-vaksinime/
94,Albania,ALB,2021-01-12,128,128,0,,64,0.0,0.0,0.0,22.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V",Ministry of Health,https://shendetesia.gov.al/vaksinimi-anticovid-kryhen-725135-vaksinime/
95,Albania,ALB,2021-01-13,188,188,0,60.0,63,0.01,0.01,0.0,22.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V",Ministry of Health,https://shendetesia.gov.al/vaksinimi-anticovid-kryhen-725135-vaksinime/
96,Albania,ALB,2021-01-14,266,266,0,78.0,66,0.01,0.01,0.0,23.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V",Ministry of Health,https://shendetesia.gov.al/vaksinimi-anticovid-kryhen-725135-vaksinime/
97,Albania,ALB,2021-01-15,308,308,0,42.0,62,0.01,0.01,0.0,22.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V",Ministry of Health,https://shendetesia.gov.al/vaksinimi-anticovid-kryhen-725135-vaksinime/
98,Albania,ALB,2021-01-16,369,369,0,61.0,62,0.01,0.01,0.0,22.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V",Ministry of Health,https://shendetesia.gov.al/vaksinimi-anticovid-kryhen-725135-vaksinime/
99,Albania,ALB,2021-01-17,405,405,0,36.0,58,0.01,0.01,0.0,20.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V",Ministry of Health,https://shendetesia.gov.al/vaksinimi-anticovid-kryhen-725135-vaksinime/
100,Albania,ALB,2021-01-18,447,447,0,42.0,55,0.02,0.02,0.0,19.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V",Ministry of Health,https://shendetesia.gov.al/vaksinimi-anticovid-kryhen-725135-vaksinime/
101,Albania,ALB,2021-01-19,483,483,0,36.0,51,0.02,0.02,0.0,18.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V",Ministry of Health,https://shendetesia.gov.al/vaksinimi-anticovid-kryhen-725135-vaksinime/
102,Albania,ALB,2021-01-20,519,519,0,36.0,47,0.02,0.02,0.0,16.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V",Ministry of Health,https://shendetesia.gov.al/vaksinimi-anticovid-kryhen-725135-vaksinime/
103,Albania,ALB,2021-01-21,549,549,0,30.0,40,0.02,0.02,0.0,14.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V",Ministry of Health,https://shendetesia.gov.al/vaksinimi-anticovid-kryhen-725135-vaksinime/
104,Albania,ALB,2021-01-22,549,549,0,,34,0.01910252243763496,0.01910252243763496,0.0,12.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V",Ministry of Health,https://shendetesia.gov.al/vaksinimi-anticovid-kryhen-725135-vaksinime/
105,Albania,ALB,2021-01-23,549,549,0,,26,0.01910252243763496,0.01910252243763496,0.0,9.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V",Ministry of Health,https://shendetesia.gov.al/vaksinimi-anticovid-kryhen-725135-vaksinime/
106,Albania,ALB,2021-01-24,549,549,0,,21,0.01910252243763496,0.01910252243763496,0.0,7.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V",Ministry of Health,https://shendetesia.gov.al/vaksinimi-anticovid-kryhen-725135-vaksinime/
107,Albania,ALB,2021-01-25,549,549,0,,15,0.01910252243763496,0.01910252243763496,0.0,5.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V",Ministry of Health,https://shendetesia.gov.al/vaksinimi-anticovid-kryhen-725135-vaksinime/
108,Albania,ALB,2021-01-26,549,549,0,,9,0.01910252243763496,0.01910252243763496,0.0,3.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V",Ministry of Health,https://shendetesia.gov.al/vaksinimi-anticovid-kryhen-725135-vaksinime/
109,Albania,ALB,2021-01-27,549,549,0,,4,0.01910252243763496,0.01910252243763496,0.0,1.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V",Ministry of Health,https://shendetesia.gov.al/vaksinimi-anticovid-kryhen-725135-vaksinime/
110,Albania,ALB,2021-01-28,549,549,0,,0,0.01910252243763496,0.01910252243763496,0.0,0.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V",Ministry of Health,https://shendetesia.gov.al/vaksinimi-anticovid-kryhen-725135-vaksinime/
111,Albania,ALB,2021-01-29,549,549,0,,0,0.01910252243763496,0.01910252243763496,0.0,0.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V",Ministry of Health,https://shendetesia.gov.al/vaksinimi-anticovid-kryhen-725135-vaksinime/
112,Albania,ALB,2021-01-30,549,549,0,,0,0.01910252243763496,0.01910252243763496,0.0,0.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V",Ministry of Health,https://shendetesia.gov.al/vaksinimi-anticovid-kryhen-725135-vaksinime/
113,Albania,ALB,2021-01-31,549,549,0,,0,0.01910252243763496,0.01910252243763496,0.0,0.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V",Ministry of Health,https://shendetesia.gov.al/vaksinimi-anticovid-kryhen-725135-vaksinime/
114,Albania,ALB,2021-02-01,549,549,0,,0,0.01910252243763496,0.01910252243763496,0.0,0.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V",Ministry of Health,https://shendetesia.gov.al/vaksinimi-anticovid-kryhen-725135-vaksinime/
115,Albania,ALB,2021-02-02,550,549,1,,0,0.02,0.02,0.0,0.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V",Ministry of Health,https://shendetesia.gov.al/vaksinimi-anticovid-kryhen-725135-vaksinime/
116,Albania,ALB,2021-02-03,632,569,63,,12,0.0219905176331244,0.019798424894379406,0.0021920927387449954,4.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V",Ministry of Health,https://shendetesia.gov.al/vaksinimi-anticovid-kryhen-725135-vaksinime/
117,Albania,ALB,2021-02-04,714,589,125,,24,0.02484371770577662,0.02049432735112385,0.004349390354652769,8.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V",Ministry of Health,https://shendetesia.gov.al/vaksinimi-anticovid-kryhen-725135-vaksinime/
118,Albania,ALB,2021-02-05,797,609,188,,35,0.027731712901266053,0.02119022980786829,0.006541483093397765,12.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V",Ministry of Health,https://shendetesia.gov.al/vaksinimi-anticovid-kryhen-725135-vaksinime/
119,Albania,ALB,2021-02-06,879,629,250,,47,0.030584912973918275,0.021886132264612734,0.008698780709305538,16.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V",Ministry of Health,https://shendetesia.gov.al/vaksinimi-anticovid-kryhen-725135-vaksinime/
120,Albania,ALB,2021-02-07,962,649,313,,59,0.03347290816940771,0.02258203472135718,0.010890873448050535,21.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V",Ministry of Health,https://shendetesia.gov.al/vaksinimi-anticovid-kryhen-725135-vaksinime/
121,Albania,ALB,2021-02-08,1044,669,375,,71,0.03632610824205993,0.02327793717810162,0.013048171063958306,25.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V",Ministry of Health,https://shendetesia.gov.al/vaksinimi-anticovid-kryhen-725135-vaksinime/
122,Albania,ALB,2021-02-09,1127,689,438,,82,0.04,0.02,0.02,28.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V",Ministry of Health,https://shendetesia.gov.al/vaksinimi-anticovid-kryhen-725135-vaksinime/
123,Albania,ALB,2021-02-10,1198,739,458,,81,0.041684557158992136,0.025713595776707173,0.015936166259447746,28.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V",Ministry of Health,https://shendetesia.gov.al/vaksinimi-anticovid-kryhen-725135-vaksinime/
124,Albania,ALB,2021-02-11,1270,789,480,,79,0.04418980600327213,0.027453351918568278,0.016701658961866633,27.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V",Ministry of Health,https://shendetesia.gov.al/vaksinimi-anticovid-kryhen-725135-vaksinime/
