,country,iso_code,date,total_vaccinations,people_vaccinated,people_fully_vaccinated,daily_vaccinations_raw,daily_vaccinations,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,daily_vaccinations_per_million,vaccines,source_name,source_website
249,Andorra,AND,2021-01-25,576,0,0,,0,0.75,0.75,0.0,0.0,"Oxford/AstraZeneca, Pfizer/BioNTech",Government of Andorra,https://www.govern.ad/covid19_newsletter/
250,Andorra,AND,2021-01-26,641,641,0,,66,0.8303108808290155,0.8303108808290155,0.0,854.0,"Oxford/AstraZeneca, Pfizer/BioNTech",Government of Andorra,https://www.govern.ad/covid19_newsletter/
251,Andorra,AND,2021-01-27,707,707,0,,66,0.9158031088082901,0.9158031088082901,0.0,854.0,"Oxford/AstraZeneca, Pfizer/BioNTech",Government of Andorra,https://www.govern.ad/covid19_newsletter/
252,Andorra,AND,2021-01-28,773,773,0,,66,1.0012953367875648,1.0012953367875648,0.0,854.0,"Oxford/AstraZeneca, Pfizer/BioNTech",Government of Andorra,https://www.govern.ad/covid19_newsletter/
253,Andorra,AND,2021-01-29,838,838,0,,66,1.0854922279792745,1.0854922279792745,0.0,854.0,"Oxford/AstraZeneca, Pfizer/BioNTech",Government of Andorra,https://www.govern.ad/covid19_newsletter/
254,Andorra,AND,2021-01-30,904,904,0,,66,1.1709844559585494,1.1709844559585494,0.0,854.0,"Oxford/AstraZeneca, Pfizer/BioNTech",Government of Andorra,https://www.govern.ad/covid19_newsletter/
255,Andorra,AND,2021-01-31,970,970,0,,66,1.2564766839378239,1.2564766839378239,0.0,854.0,"Oxford/AstraZeneca, Pfizer/BioNTech",Government of Andorra,https://www.govern.ad/covid19_newsletter/
256,Andorra,AND,2021-02-01,1036,1036,0,,66,1.34,1.34,0.0,854.0,"Oxford/AstraZeneca, Pfizer/BioNTech",Government of Andorra,https://www.govern.ad/covid19_newsletter/
257,Andorra,AND,2021-02-02,1064,1064,0,,60,1.378238341968912,1.378238341968912,0.0,777.0,"Oxford/AstraZeneca, Pfizer/BioNTech",Government of Andorra,https://www.govern.ad/covid19_newsletter/
258,Andorra,AND,2021-02-03,1092,1092,0,,55,1.4145077720207253,1.4145077720207253,0.0,712.0,"Oxford/AstraZeneca, Pfizer/BioNTech",Government of Andorra,https://www.govern.ad/covid19_newsletter/
259,Andorra,AND,2021-02-04,1121,1121,0,,50,1.4520725388601037,1.4520725388601037,0.0,647.0,"Oxford/AstraZeneca, Pfizer/BioNTech",Government of Andorra,https://www.govern.ad/covid19_newsletter/
260,Andorra,AND,2021-02-05,1149,1149,0,,44,1.488341968911917,1.488341968911917,0.0,569.0,"Oxford/AstraZeneca, Pfizer/BioNTech",Government of Andorra,https://www.govern.ad/covid19_newsletter/
261,Andorra,AND,2021-02-06,1177,1177,0,,39,1.5246113989637307,1.5246113989637307,0.0,505.0,"Oxford/AstraZeneca, Pfizer/BioNTech",Government of Andorra,https://www.govern.ad/covid19_newsletter/
262,Andorra,AND,2021-02-07,1206,1206,0,,34,1.5621761658031088,1.5621761658031088,0.0,440.0,"Oxford/AstraZeneca, Pfizer/BioNTech",Government of Andorra,https://www.govern.ad/covid19_newsletter/
263,Andorra,AND,2021-02-08,1234,1234,0,,28,1.5984455958549224,1.5984455958549224,0.0,362.0,"Oxford/AstraZeneca, Pfizer/BioNTech",Government of Andorra,https://www.govern.ad/covid19_newsletter/
264,Andorra,AND,2021-02-09,1262,1262,0,,28,1.634715025906736,1.634715025906736,0.0,362.0,"Oxford/AstraZeneca, Pfizer/BioNTech",Government of Andorra,https://www.govern.ad/covid19_newsletter/
265,Andorra,AND,2021-02-10,1291,1291,0,,28,1.67,1.67,0.0,362.0,"Oxford/AstraZeneca, Pfizer/BioNTech",Government of Andorra,https://www.govern.ad/covid19_newsletter/
266,Andorra,AND,2021-02-11,1456,1456,0,,48,1.8860103626943003,1.8860103626943003,0.0,621.0,"Oxford/AstraZeneca, Pfizer/BioNTech",Government of Andorra,https://www.govern.ad/covid19_newsletter/
267,Andorra,AND,2021-02-12,1622,1622,0,,68,2.1,2.1,0.0,880.0,"Oxford/AstraZeneca, Pfizer/BioNTech",Government of Andorra,https://www.govern.ad/covid19_newsletter/
268,Andorra,AND,2021-02-13,1696,1696,0,,74,2.196891191709845,2.196891191709845,0.0,958.0,"Oxford/AstraZeneca, Pfizer/BioNTech",Government of Andorra,https://www.govern.ad/covid19_newsletter/
269,Andorra,AND,2021-02-14,1770,1770,0,,81,2.292746113989637,2.292746113989637,0.0,1048.0,"Oxford/AstraZeneca, Pfizer/BioNTech",Government of Andorra,https://www.govern.ad/covid19_newsletter/
270,Andorra,AND,2021-02-15,1844,1844,0,,87,2.38860103626943,2.38860103626943,0.0,1126.0,"Oxford/AstraZeneca, Pfizer/BioNTech",Government of Andorra,https://www.govern.ad/covid19_newsletter/
271,Andorra,AND,2021-02-16,1918,1918,0,,94,2.4844559585492227,2.4844559585492227,0.0,1217.0,"Oxford/AstraZeneca, Pfizer/BioNTech",Government of Andorra,https://www.govern.ad/covid19_newsletter/
272,Andorra,AND,2021-02-17,1992,1992,0,,100,2.5803108808290154,2.5803108808290154,0.0,1294.0,"Oxford/AstraZeneca, Pfizer/BioNTech",Government of Andorra,https://www.govern.ad/covid19_newsletter/
273,Andorra,AND,2021-02-18,2066,2066,0,,87,2.6761658031088085,2.6761658031088085,0.0,1126.0,"Oxford/AstraZeneca, Pfizer/BioNTech",Government of Andorra,https://www.govern.ad/covid19_newsletter/
274,Andorra,AND,2021-02-19,2141,2141,0,,74,2.77,2.77,0.0,958.0,"Oxford/AstraZeneca, Pfizer/BioNTech",Government of Andorra,https://www.govern.ad/covid19_newsletter/
275,Andorra,AND,2021-02-20,2190,2190,0,,71,2.8367875647668397,2.8367875647668397,0.0,919.0,"Oxford/AstraZeneca, Pfizer/BioNTech",Government of Andorra,https://www.govern.ad/covid19_newsletter/
276,Andorra,AND,2021-02-21,2240,2240,0,,67,2.901554404145078,2.901554404145078,0.0,867.0,"Oxford/AstraZeneca, Pfizer/BioNTech",Government of Andorra,https://www.govern.ad/covid19_newsletter/
277,Andorra,AND,2021-02-22,2290,2290,0,,64,2.966321243523316,2.966321243523316,0.0,828.0,"Oxford/AstraZeneca, Pfizer/BioNTech",Government of Andorra,https://www.govern.ad/covid19_newsletter/
278,Andorra,AND,2021-02-23,2340,2340,0,,60,3.0310880829015545,3.0310880829015545,0.0,777.0,"Oxford/AstraZeneca, Pfizer/BioNTech",Government of Andorra,https://www.govern.ad/covid19_newsletter/
279,Andorra,AND,2021-02-24,2390,2390,0,,57,3.09,3.09,0.0,738.0,"Oxford/AstraZeneca, Pfizer/BioNTech",Government of Andorra,https://www.govern.ad/covid19_newsletter/
280,Andorra,AND,2021-02-25,2458,2394,63,,56,3.1839378238341967,3.101036269430052,0.08160621761658031,725.0,"Oxford/AstraZeneca, Pfizer/BioNTech",Government of Andorra,https://www.govern.ad/covid19_newsletter/
281,Andorra,AND,2021-02-26,2526,2398,127,,55,3.27,3.106217616580311,0.1645077720207254,712.0,"Oxford/AstraZeneca, Pfizer/BioNTech",Government of Andorra,https://www.govern.ad/covid19_newsletter/
282,Andorra,AND,2021-02-27,2634,2402,231,,63,3.411917098445596,3.11139896373057,0.29922279792746115,815.0,"Oxford/AstraZeneca, Pfizer/BioNTech",Government of Andorra,https://www.govern.ad/covid19_newsletter/
283,Andorra,AND,2021-02-28,2743,2406,336,,72,3.5531088082901556,3.116580310880829,0.4352331606217617,932.0,"Oxford/AstraZeneca, Pfizer/BioNTech",Government of Andorra,https://www.govern.ad/covid19_newsletter/
284,Andorra,AND,2021-03-01,2851,2410,440,,80,3.6930051813471505,3.121761658031088,0.5699481865284974,1035.0,"Oxford/AstraZeneca, Pfizer/BioNTech",Government of Andorra,https://www.govern.ad/covid19_newsletter/
285,Andorra,AND,2021-03-02,2960,2414,545,,89,3.83419689119171,3.126943005181347,0.7059585492227979,1152.0,"Oxford/AstraZeneca, Pfizer/BioNTech",Government of Andorra,https://www.govern.ad/covid19_newsletter/
286,Andorra,AND,2021-03-03,3068,2418,649,,97,3.974093264248705,3.1321243523316062,0.8406735751295337,1255.0,"Oxford/AstraZeneca, Pfizer/BioNTech",Government of Andorra,https://www.govern.ad/covid19_newsletter/
287,Andorra,AND,2021-03-04,3177,2422,754,,103,4.115284974093264,3.1373056994818653,0.9766839378238343,1333.0,"Oxford/AstraZeneca, Pfizer/BioNTech",Government of Andorra,https://www.govern.ad/covid19_newsletter/
