,country,iso_code,date,total_vaccinations,people_vaccinated,people_fully_vaccinated,daily_vaccinations_raw,daily_vaccinations,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,daily_vaccinations_per_million,vaccines,source_name,source_website
362,Angola,AGO,2021-03-01,0,0,0,,0,0.0,0.0,0.0,0.0,Oxford/AstraZeneca,World Health Organization,https://covid19.who.int/
363,Angola,AGO,2021-03-02,881,881,0,,881,0.002688180245384172,0.002688180245384172,0.0,27.0,Oxford/AstraZeneca,World Health Organization,https://covid19.who.int/
364,Angola,AGO,2021-03-03,1762,1762,0,,881,0.005376360490768344,0.005376360490768344,0.0,27.0,Oxford/AstraZeneca,World Health Organization,https://covid19.who.int/
365,Angola,AGO,2021-03-04,2643,2643,0,,881,0.008064540736152516,0.008064540736152516,0.0,27.0,Oxford/AstraZeneca,World Health Organization,https://covid19.who.int/
366,Angola,AGO,2021-03-05,3525,3525,0,,881,0.010755772264448588,0.010755772264448588,0.0,27.0,Oxford/AstraZeneca,World Health Organization,https://covid19.who.int/
367,Angola,AGO,2021-03-06,4406,4406,0,,881,0.01344395250983276,0.01344395250983276,0.0,27.0,Oxford/AstraZeneca,World Health Organization,https://covid19.who.int/
368,Angola,AGO,2021-03-07,5287,5287,0,,881,0.01613213275521693,0.01613213275521693,0.0,27.0,Oxford/AstraZeneca,World Health Organization,https://covid19.who.int/
369,Angola,AGO,2021-03-08,6169,6169,0,,881,0.02,0.02,0.0,27.0,Oxford/AstraZeneca,World Health Organization,https://covid19.who.int/
370,Angola,AGO,2021-03-09,10452,10452,0,,1367,0.03189200899518203,0.03189200899518203,0.0,42.0,Oxford/AstraZeneca,World Health Organization,https://covid19.who.int/
371,Angola,AGO,2021-03-10,14735,14735,0,,1853,0.044960653706851046,0.044960653706851046,0.0,56.0,Oxford/AstraZeneca,World Health Organization,https://covid19.who.int/
372,Angola,AGO,2021-03-11,19018,19018,0,,2339,0.05802929841852006,0.05802929841852006,0.0,71.0,Oxford/AstraZeneca,World Health Organization,https://covid19.who.int/
373,Angola,AGO,2021-03-12,23301,23301,0,,2825,0.07109794313018908,0.07109794313018908,0.0,86.0,Oxford/AstraZeneca,World Health Organization,https://covid19.who.int/
374,Angola,AGO,2021-03-13,27584,27584,0,,3311,0.0841665878418581,0.0841665878418581,0.0,101.0,Oxford/AstraZeneca,World Health Organization,https://covid19.who.int/
375,Angola,AGO,2021-03-14,31867,31867,0,,3797,0.09723523255352713,0.09723523255352713,0.0,116.0,Oxford/AstraZeneca,World Health Organization,https://covid19.who.int/
376,Angola,AGO,2021-03-15,36150,36150,0,,4283,0.11030387726519615,0.11030387726519615,0.0,130.0,Oxford/AstraZeneca,World Health Organization,https://covid19.who.int/
377,Angola,AGO,2021-03-16,40433,40433,0,,4283,0.12337252197686518,0.12337252197686518,0.0,130.0,Oxford/AstraZeneca,World Health Organization,https://covid19.who.int/
378,Angola,AGO,2021-03-17,44716,44716,0,,4283,0.1364411666885342,0.1364411666885342,0.0,130.0,Oxford/AstraZeneca,World Health Organization,https://covid19.who.int/
379,Angola,AGO,2021-03-18,49000,49000,0,,4283,0.15,0.15,0.0,130.0,Oxford/AstraZeneca,World Health Organization,https://covid19.who.int/
380,Angola,AGO,2021-03-19,55337,55337,0,,4577,0.16884884249582738,0.16884884249582738,0.0,139.0,Oxford/AstraZeneca,World Health Organization,https://covid19.who.int/
381,Angola,AGO,2021-03-20,61674,61674,0,,4870,0.18818482230853964,0.18818482230853964,0.0,148.0,Oxford/AstraZeneca,World Health Organization,https://covid19.who.int/
382,Angola,AGO,2021-03-21,68011,68011,0,,5163,0.2075208021212519,0.2075208021212519,0.0,157.0,Oxford/AstraZeneca,World Health Organization,https://covid19.who.int/
383,Angola,AGO,2021-03-22,74348,74348,0,,5457,0.22685678193396414,0.22685678193396414,0.0,166.0,Oxford/AstraZeneca,World Health Organization,https://covid19.who.int/
384,Angola,AGO,2021-03-23,80685,80685,0,,5750,0.2461927617466764,0.2461927617466764,0.0,175.0,Oxford/AstraZeneca,World Health Organization,https://covid19.who.int/
385,Angola,AGO,2021-03-24,87022,87022,0,,6044,0.26,0.26,0.0,184.0,Oxford/AstraZeneca,World Health Organization,https://covid19.who.int/
386,Angola,AGO,2021-03-25,95767,95767,0,,6681,0.29221221062395686,0.29221221062395686,0.0,203.0,Oxford/AstraZeneca,World Health Organization,https://covid19.who.int/
387,Angola,AGO,2021-03-26,104513,104513,0,,7025,0.31889873097143695,0.31889873097143695,0.0,214.0,Oxford/AstraZeneca,World Health Organization,https://covid19.who.int/
388,Angola,AGO,2021-03-27,113258,113258,0,,7369,0.34558220003600515,0.34558220003600515,0.0,224.0,Oxford/AstraZeneca,World Health Organization,https://covid19.who.int/
389,Angola,AGO,2021-03-28,122004,122004,0,,7713,0.37226872038348524,0.37226872038348524,0.0,235.0,Oxford/AstraZeneca,World Health Organization,https://covid19.who.int/
390,Angola,AGO,2021-03-29,130750,130750,0,,8057,0.4,0.4,0.0,245.0,Oxford/AstraZeneca,World Health Organization,https://covid19.who.int/
391,Angola,AGO,2021-03-30,137103,137103,0,,8060,0.41834004107026795,0.41834004107026795,0.0,245.0,Oxford/AstraZeneca,World Health Organization,https://covid19.who.int/
392,Angola,AGO,2021-03-31,143457,143457,0,,8062,0.4377278926924825,0.4377278926924825,0.0,245.0,Oxford/AstraZeneca,World Health Organization,https://covid19.who.int/
393,Angola,AGO,2021-04-01,149810,149810,0,,7720,0.45711269303178526,0.45711269303178526,0.0,235.0,Oxford/AstraZeneca,World Health Organization,https://covid19.who.int/
394,Angola,AGO,2021-04-02,156164,156164,0,,7379,0.47650054465399977,0.47650054465399977,0.0,225.0,Oxford/AstraZeneca,World Health Organization,https://covid19.who.int/
395,Angola,AGO,2021-04-03,162517,162517,0,,7037,0.4958853449933024,0.4958853449933024,0.0,214.0,Oxford/AstraZeneca,World Health Organization,https://covid19.who.int/
396,Angola,AGO,2021-04-04,168871,168871,0,,6695,0.515273196615517,0.515273196615517,0.0,204.0,Oxford/AstraZeneca,World Health Organization,https://covid19.who.int/
397,Angola,AGO,2021-04-05,175224,175224,0,,6354,0.5346579969548196,0.5346579969548196,0.0,193.0,Oxford/AstraZeneca,World Health Organization,https://covid19.who.int/
398,Angola,AGO,2021-04-06,181578,181578,0,,6354,0.55,0.55,0.0,193.0,Oxford/AstraZeneca,World Health Organization,https://covid19.who.int/
399,Angola,AGO,2021-04-07,194350,194350,0,,7271,0.5930168339278249,0.5930168339278249,0.0,221.0,Oxford/AstraZeneca,World Health Organization,https://covid19.who.int/
400,Angola,AGO,2021-04-08,207123,207123,0,,8188,0.6319908705615276,0.6319908705615276,0.0,249.0,Oxford/AstraZeneca,World Health Organization,https://covid19.who.int/
401,Angola,AGO,2021-04-09,219896,219896,0,,9105,0.6709649071952303,0.6709649071952303,0.0,277.0,Oxford/AstraZeneca,World Health Organization,https://covid19.who.int/
402,Angola,AGO,2021-04-10,232669,232669,0,,10022,0.7099389438289329,0.7099389438289329,0.0,305.0,Oxford/AstraZeneca,World Health Organization,https://covid19.who.int/
403,Angola,AGO,2021-04-11,245442,245442,0,,10939,0.75,0.75,0.0,333.0,Oxford/AstraZeneca,World Health Organization,https://covid19.who.int/
404,Angola,AGO,2021-04-12,264192,264192,0,,12710,0.8061245350607662,0.8061245350607662,0.0,387.0,Oxford/AstraZeneca,World Health Organization,https://covid19.who.int/
405,Angola,AGO,2021-04-13,282943,282943,0,,14481,0.8633391409418091,0.8633391409418091,0.0,441.0,Oxford/AstraZeneca,World Health Organization,https://covid19.who.int/
