,country,iso_code,date,total_vaccinations,people_vaccinated,people_fully_vaccinated,daily_vaccinations_raw,daily_vaccinations,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,daily_vaccinations_per_million,vaccines,source_name,source_website
444,Anguilla,AIA,2021-02-04,0,0,0,,0,0.0,0.0,0.0,0.0,Oxford/AstraZeneca,Ministry of Health,https://www.facebook.com/MinistryofHealthAnguilla/photos/1458056911215547
445,Anguilla,AIA,2021-02-05,149,149,0,,149,0.9933333333333334,0.9933333333333334,0.0,9932.0,Oxford/AstraZeneca,Ministry of Health,https://www.facebook.com/MinistryofHealthAnguilla/photos/1458056911215547
446,Anguilla,AIA,2021-02-06,298,298,0,,149,1.9866666666666668,1.9866666666666668,0.0,9932.0,Oxford/AstraZeneca,Ministry of Health,https://www.facebook.com/MinistryofHealthAnguilla/photos/1458056911215547
447,Anguilla,AIA,2021-02-07,447,447,0,,149,2.98,2.98,0.0,9932.0,Oxford/AstraZeneca,Ministry of Health,https://www.facebook.com/MinistryofHealthAnguilla/photos/1458056911215547
448,Anguilla,AIA,2021-02-08,596,596,0,,149,3.9733333333333336,3.9733333333333336,0.0,9932.0,Oxford/AstraZeneca,Ministry of Health,https://www.facebook.com/MinistryofHealthAnguilla/photos/1458056911215547
449,Anguilla,AIA,2021-02-09,745,745,0,,149,4.966666666666667,4.966666666666667,0.0,9932.0,Oxford/AstraZeneca,Ministry of Health,https://www.facebook.com/MinistryofHealthAnguilla/photos/1458056911215547
450,Anguilla,AIA,2021-02-10,894,894,0,,149,5.96,5.96,0.0,9932.0,Oxford/AstraZeneca,Ministry of Health,https://www.facebook.com/MinistryofHealthAnguilla/photos/1458056911215547
451,Anguilla,AIA,2021-02-11,1043,1043,0,,149,6.953333333333333,6.953333333333333,0.0,9932.0,Oxford/AstraZeneca,Ministry of Health,https://www.facebook.com/MinistryofHealthAnguilla/photos/1458056911215547
452,Anguilla,AIA,2021-02-12,1192,1192,0,,149,7.946666666666667,7.946666666666667,0.0,9932.0,Oxford/AstraZeneca,Ministry of Health,https://www.facebook.com/MinistryofHealthAnguilla/photos/1458056911215547
453,Anguilla,AIA,2021-02-13,1341,1341,0,,149,8.94,8.94,0.0,9932.0,Oxford/AstraZeneca,Ministry of Health,https://www.facebook.com/MinistryofHealthAnguilla/photos/1458056911215547
454,Anguilla,AIA,2021-02-14,2762,2762,0,1421.0,331,18.41,18.41,0.0,22064.0,Oxford/AstraZeneca,Ministry of Health,https://www.facebook.com/MinistryofHealthAnguilla/photos/1458056911215547
455,Anguilla,AIA,2021-02-15,2859,2859,0,,323,19.06,19.06,0.0,21530.0,Oxford/AstraZeneca,Ministry of Health,https://www.facebook.com/MinistryofHealthAnguilla/photos/1458056911215547
456,Anguilla,AIA,2021-02-16,2956,2956,0,,316,19.706666666666667,19.706666666666667,0.0,21064.0,Oxford/AstraZeneca,Ministry of Health,https://www.facebook.com/MinistryofHealthAnguilla/photos/1458056911215547
457,Anguilla,AIA,2021-02-17,3053,3053,0,,309,20.353333333333335,20.353333333333335,0.0,20597.0,Oxford/AstraZeneca,Ministry of Health,https://www.facebook.com/MinistryofHealthAnguilla/photos/1458056911215547
458,Anguilla,AIA,2021-02-18,3151,3151,0,,301,21.006666666666668,21.006666666666668,0.0,20064.0,Oxford/AstraZeneca,Ministry of Health,https://www.facebook.com/MinistryofHealthAnguilla/photos/1458056911215547
459,Anguilla,AIA,2021-02-19,3248,3248,0,,294,21.653333333333332,21.653333333333332,0.0,19597.0,Oxford/AstraZeneca,Ministry of Health,https://www.facebook.com/MinistryofHealthAnguilla/photos/1458056911215547
460,Anguilla,AIA,2021-02-20,3345,3345,0,,286,22.3,22.3,0.0,19064.0,Oxford/AstraZeneca,Ministry of Health,https://www.facebook.com/MinistryofHealthAnguilla/photos/1458056911215547
461,Anguilla,AIA,2021-02-21,3442,3442,0,,97,22.94666666666667,22.94666666666667,0.0,6466.0,Oxford/AstraZeneca,Ministry of Health,https://www.facebook.com/MinistryofHealthAnguilla/photos/1458056911215547
462,Anguilla,AIA,2021-02-22,3540,3540,0,,97,23.599999999999998,23.599999999999998,0.0,6466.0,Oxford/AstraZeneca,Ministry of Health,https://www.facebook.com/MinistryofHealthAnguilla/photos/1458056911215547
463,Anguilla,AIA,2021-02-23,3637,3637,0,,97,24.246666666666666,24.246666666666666,0.0,6466.0,Oxford/AstraZeneca,Ministry of Health,https://www.facebook.com/MinistryofHealthAnguilla/photos/1458056911215547
464,Anguilla,AIA,2021-02-24,3734,3734,0,,97,24.893333333333334,24.893333333333334,0.0,6466.0,Oxford/AstraZeneca,Ministry of Health,https://www.facebook.com/MinistryofHealthAnguilla/photos/1458056911215547
465,Anguilla,AIA,2021-02-25,3831,3831,0,,97,25.540000000000003,25.540000000000003,0.0,6466.0,Oxford/AstraZeneca,Ministry of Health,https://www.facebook.com/MinistryofHealthAnguilla/photos/1458056911215547
466,Anguilla,AIA,2021-02-26,3929,3929,0,,97,26.19,26.19,0.0,6466.0,Oxford/AstraZeneca,Ministry of Health,https://www.facebook.com/MinistryofHealthAnguilla/photos/1458056911215547
467,Anguilla,AIA,2021-02-27,3999,3999,0,,93,26.66,26.66,0.0,6199.0,Oxford/AstraZeneca,Ministry of Health,https://www.facebook.com/MinistryofHealthAnguilla/photos/1458056911215547
468,Anguilla,AIA,2021-02-28,4069,4069,0,,89,27.126666666666665,27.126666666666665,0.0,5933.0,Oxford/AstraZeneca,Ministry of Health,https://www.facebook.com/MinistryofHealthAnguilla/photos/1458056911215547
469,Anguilla,AIA,2021-03-01,4139,4139,0,,86,27.59333333333333,27.59333333333333,0.0,5733.0,Oxford/AstraZeneca,Ministry of Health,https://www.facebook.com/MinistryofHealthAnguilla/photos/1458056911215547
470,Anguilla,AIA,2021-03-02,4209,4209,0,,82,28.060000000000002,28.060000000000002,0.0,5466.0,Oxford/AstraZeneca,Ministry of Health,https://www.facebook.com/MinistryofHealthAnguilla/photos/1458056911215547
471,Anguilla,AIA,2021-03-03,4279,4279,0,,78,28.526666666666667,28.526666666666667,0.0,5199.0,Oxford/AstraZeneca,Ministry of Health,https://www.facebook.com/MinistryofHealthAnguilla/photos/1458056911215547
472,Anguilla,AIA,2021-03-04,4349,4349,0,,74,28.993333333333332,28.993333333333332,0.0,4933.0,Oxford/AstraZeneca,Ministry of Health,https://www.facebook.com/MinistryofHealthAnguilla/photos/1458056911215547
473,Anguilla,AIA,2021-03-05,4419,4419,0,,70,29.459999999999997,29.459999999999997,0.0,4666.0,Oxford/AstraZeneca,Ministry of Health,https://www.facebook.com/MinistryofHealthAnguilla/photos/1458056911215547
474,Anguilla,AIA,2021-03-06,4489,4489,0,,70,29.92666666666667,29.92666666666667,0.0,4666.0,Oxford/AstraZeneca,Ministry of Health,https://www.facebook.com/MinistryofHealthAnguilla/photos/1458056911215547
475,Anguilla,AIA,2021-03-07,4559,4559,0,,70,30.393333333333334,30.393333333333334,0.0,4666.0,Oxford/AstraZeneca,Ministry of Health,https://www.facebook.com/MinistryofHealthAnguilla/photos/1458056911215547
476,Anguilla,AIA,2021-03-08,4629,4629,0,,70,30.86,30.86,0.0,4666.0,Oxford/AstraZeneca,Ministry of Health,https://www.facebook.com/MinistryofHealthAnguilla/photos/1458056911215547
