,country,iso_code,date,total_vaccinations,people_vaccinated,people_fully_vaccinated,daily_vaccinations_raw,daily_vaccinations,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,daily_vaccinations_per_million,vaccines,source_name,source_website
547,Antigua and Barbuda,ATG,2021-02-16,0,0,0,,0,0.0,0.0,0.0,0.0,Oxford/AstraZeneca,Ministry of Health,https://www.facebook.com/investingforwellness/photos/a.274442642995717/1170044350102204/
548,Antigua and Barbuda,ATG,2021-02-17,894,894,0,,895,0.9134939611305255,0.9134939611305255,0.0,9139.0,Oxford/AstraZeneca,Ministry of Health,https://www.facebook.com/investingforwellness/photos/a.274442642995717/1170044350102204/
549,Antigua and Barbuda,ATG,2021-02-18,1789,1789,0,,895,1.8280097275867002,1.8280097275867002,0.0,9139.0,Oxford/AstraZeneca,Ministry of Health,https://www.facebook.com/investingforwellness/photos/a.274442642995717/1170044350102204/
550,Antigua and Barbuda,ATG,2021-02-19,2684,2684,0,,895,2.7425254940428747,2.7425254940428747,0.0,9139.0,Oxford/AstraZeneca,Ministry of Health,https://www.facebook.com/investingforwellness/photos/a.274442642995717/1170044350102204/
551,Antigua and Barbuda,ATG,2021-02-20,3579,3579,0,,895,3.65704126049905,3.65704126049905,0.0,9139.0,Oxford/AstraZeneca,Ministry of Health,https://www.facebook.com/investingforwellness/photos/a.274442642995717/1170044350102204/
552,Antigua and Barbuda,ATG,2021-02-21,4474,4474,0,,895,4.571557026955224,4.571557026955224,0.0,9139.0,Oxford/AstraZeneca,Ministry of Health,https://www.facebook.com/investingforwellness/photos/a.274442642995717/1170044350102204/
553,Antigua and Barbuda,ATG,2021-02-22,5369,5369,0,,895,5.486072793411399,5.486072793411399,0.0,9139.0,Oxford/AstraZeneca,Ministry of Health,https://www.facebook.com/investingforwellness/photos/a.274442642995717/1170044350102204/
554,Antigua and Barbuda,ATG,2021-02-23,6264,6264,0,,895,6.4005885598675745,6.4005885598675745,0.0,9139.0,Oxford/AstraZeneca,Ministry of Health,https://www.facebook.com/investingforwellness/photos/a.274442642995717/1170044350102204/
555,Antigua and Barbuda,ATG,2021-02-24,7159,7159,0,,895,7.315104326323748,7.315104326323748,0.0,9139.0,Oxford/AstraZeneca,Ministry of Health,https://www.facebook.com/investingforwellness/photos/a.274442642995717/1170044350102204/
556,Antigua and Barbuda,ATG,2021-02-25,8054,8054,0,,895,8.229620092779925,8.229620092779925,0.0,9139.0,Oxford/AstraZeneca,Ministry of Health,https://www.facebook.com/investingforwellness/photos/a.274442642995717/1170044350102204/
557,Antigua and Barbuda,ATG,2021-02-26,8949,8949,0,,895,9.144135859236098,9.144135859236098,0.0,9139.0,Oxford/AstraZeneca,Ministry of Health,https://www.facebook.com/investingforwellness/photos/a.274442642995717/1170044350102204/
558,Antigua and Barbuda,ATG,2021-02-27,9844,9844,0,,895,10.058651625692274,10.058651625692274,0.0,9139.0,Oxford/AstraZeneca,Ministry of Health,https://www.facebook.com/investingforwellness/photos/a.274442642995717/1170044350102204/
559,Antigua and Barbuda,ATG,2021-02-28,10739,10739,0,,895,10.973167392148447,10.973167392148447,0.0,9139.0,Oxford/AstraZeneca,Ministry of Health,https://www.facebook.com/investingforwellness/photos/a.274442642995717/1170044350102204/
560,Antigua and Barbuda,ATG,2021-03-01,11634,11634,0,,895,11.887683158604624,11.887683158604624,0.0,9139.0,Oxford/AstraZeneca,Ministry of Health,https://www.facebook.com/investingforwellness/photos/a.274442642995717/1170044350102204/
561,Antigua and Barbuda,ATG,2021-03-02,12529,12529,0,,895,12.802198925060798,12.802198925060798,0.0,9139.0,Oxford/AstraZeneca,Ministry of Health,https://www.facebook.com/investingforwellness/photos/a.274442642995717/1170044350102204/
562,Antigua and Barbuda,ATG,2021-03-03,13424,13424,0,,895,13.716714691516973,13.716714691516973,0.0,9139.0,Oxford/AstraZeneca,Ministry of Health,https://www.facebook.com/investingforwellness/photos/a.274442642995717/1170044350102204/
563,Antigua and Barbuda,ATG,2021-03-04,14319,14319,0,,895,14.631230457973146,14.631230457973146,0.0,9139.0,Oxford/AstraZeneca,Ministry of Health,https://www.facebook.com/investingforwellness/photos/a.274442642995717/1170044350102204/
564,Antigua and Barbuda,ATG,2021-03-05,15214,15214,0,,895,15.54574622442932,15.54574622442932,0.0,9139.0,Oxford/AstraZeneca,Ministry of Health,https://www.facebook.com/investingforwellness/photos/a.274442642995717/1170044350102204/
565,Antigua and Barbuda,ATG,2021-03-06,16109,16109,0,,895,16.460261990885495,16.460261990885495,0.0,9139.0,Oxford/AstraZeneca,Ministry of Health,https://www.facebook.com/investingforwellness/photos/a.274442642995717/1170044350102204/
566,Antigua and Barbuda,ATG,2021-03-07,17004,17004,0,,895,17.374777757341672,17.374777757341672,0.0,9139.0,Oxford/AstraZeneca,Ministry of Health,https://www.facebook.com/investingforwellness/photos/a.274442642995717/1170044350102204/
567,Antigua and Barbuda,ATG,2021-03-08,17899,17899,0,,895,18.289293523797845,18.289293523797845,0.0,9139.0,Oxford/AstraZeneca,Ministry of Health,https://www.facebook.com/investingforwellness/photos/a.274442642995717/1170044350102204/
568,Antigua and Barbuda,ATG,2021-03-09,18794,18794,0,,895,19.20380929025402,19.20380929025402,0.0,9139.0,Oxford/AstraZeneca,Ministry of Health,https://www.facebook.com/investingforwellness/photos/a.274442642995717/1170044350102204/
569,Antigua and Barbuda,ATG,2021-03-10,19689,19689,0,,895,20.118325056710194,20.118325056710194,0.0,9139.0,Oxford/AstraZeneca,Ministry of Health,https://www.facebook.com/investingforwellness/photos/a.274442642995717/1170044350102204/
570,Antigua and Barbuda,ATG,2021-03-11,20584,20584,0,,895,21.03284082316637,21.03284082316637,0.0,9139.0,Oxford/AstraZeneca,Ministry of Health,https://www.facebook.com/investingforwellness/photos/a.274442642995717/1170044350102204/
571,Antigua and Barbuda,ATG,2021-03-12,21479,21479,0,,895,21.947356589622547,21.947356589622547,0.0,9139.0,Oxford/AstraZeneca,Ministry of Health,https://www.facebook.com/investingforwellness/photos/a.274442642995717/1170044350102204/
