,country,iso_code,date,total_vaccinations,people_vaccinated,people_fully_vaccinated,daily_vaccinations_raw,daily_vaccinations,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,daily_vaccinations_per_million,vaccines,source_name,source_website
642,Argentina,ARG,2020-12-29,0,0,0,,0,0.0,0.0,0.0,0.0,"Oxford/AstraZeneca, Sinopharm/Beijing, Sputnik V",Ministry of Health,http://datos.salud.gob.ar/dataset/vacunas-contra-covid-19-dosis-aplicadas-en-la-republica-argentina
643,Argentina,ARG,2020-12-30,16356,11069,5286,,15656,0.036207576468581824,0.024503647831421633,0.011701714918863019,346.0,"Oxford/AstraZeneca, Sinopharm/Beijing, Sputnik V",Ministry of Health,http://datos.salud.gob.ar/dataset/vacunas-contra-covid-19-dosis-aplicadas-en-la-republica-argentina
644,Argentina,ARG,2020-12-31,32013,22139,9873,,15656,0.07,0.04900950938114044,0.021856040748001244,346.0,"Oxford/AstraZeneca, Sinopharm/Beijing, Sputnik V",Ministry of Health,http://datos.salud.gob.ar/dataset/vacunas-contra-covid-19-dosis-aplicadas-en-la-republica-argentina
645,Argentina,ARG,2021-01-01,33909,33209,699,,11070,0.07506497373888121,0.07351537093085925,0.001547389089724792,245.0,"Oxford/AstraZeneca, Sinopharm/Beijing, Sputnik V",Ministry of Health,http://datos.salud.gob.ar/dataset/vacunas-contra-covid-19-dosis-aplicadas-en-la-republica-argentina
646,Argentina,ARG,2021-01-02,44279,44279,0,,8776,0.07926439734862074,0.09802123248057806,0.0,194.0,"Oxford/AstraZeneca, Sinopharm/Beijing, Sputnik V",Ministry of Health,http://datos.salud.gob.ar/dataset/vacunas-contra-covid-19-dosis-aplicadas-en-la-republica-argentina
647,Argentina,ARG,2021-01-03,55349,55349,0,,7400,0.08346160724006309,0.12252709403029687,0.0,164.0,"Oxford/AstraZeneca, Sinopharm/Beijing, Sputnik V",Ministry of Health,http://datos.salud.gob.ar/dataset/vacunas-contra-covid-19-dosis-aplicadas-en-la-republica-argentina
648,Argentina,ARG,2021-01-04,66419,66419,0,,6483,0.09,0.14703295558001567,0.0,143.0,"Oxford/AstraZeneca, Sinopharm/Beijing, Sputnik V",Ministry of Health,http://datos.salud.gob.ar/dataset/vacunas-contra-covid-19-dosis-aplicadas-en-la-republica-argentina
649,Argentina,ARG,2021-01-05,77489,77489,0,,7984,0.12526103612730705,0.17153881712973448,0.0,177.0,"Oxford/AstraZeneca, Sinopharm/Beijing, Sputnik V",Ministry of Health,http://datos.salud.gob.ar/dataset/vacunas-contra-covid-19-dosis-aplicadas-en-la-republica-argentina
650,Argentina,ARG,2021-01-06,88559,88559,0,,8173,0.16286325512310865,0.1960446786794533,0.0,181.0,"Oxford/AstraZeneca, Sinopharm/Beijing, Sputnik V",Ministry of Health,http://datos.salud.gob.ar/dataset/vacunas-contra-covid-19-dosis-aplicadas-en-la-republica-argentina
651,Argentina,ARG,2021-01-07,99629,99629,0,,8363,0.20046547411891025,0.2205505402291721,0.0,185.0,"Oxford/AstraZeneca, Sinopharm/Beijing, Sputnik V",Ministry of Health,http://datos.salud.gob.ar/dataset/vacunas-contra-covid-19-dosis-aplicadas-en-la-republica-argentina
652,Argentina,ARG,2021-01-08,110699,110699,0,,10519,0.24,0.2450564017788909,0.0,233.0,"Oxford/AstraZeneca, Sinopharm/Beijing, Sputnik V",Ministry of Health,http://datos.salud.gob.ar/dataset/vacunas-contra-covid-19-dosis-aplicadas-en-la-republica-argentina
653,Argentina,ARG,2021-01-09,121769,121769,0,,11942,0.26431796468260393,0.2695622633286097,0.0,264.0,"Oxford/AstraZeneca, Sinopharm/Beijing, Sputnik V",Ministry of Health,http://datos.salud.gob.ar/dataset/vacunas-contra-covid-19-dosis-aplicadas-en-la-republica-argentina
654,Argentina,ARG,2021-01-10,132839,132839,0,,13365,0.29056823625049605,0.2940681248783285,0.0,296.0,"Oxford/AstraZeneca, Sinopharm/Beijing, Sputnik V",Ministry of Health,http://datos.salud.gob.ar/dataset/vacunas-contra-covid-19-dosis-aplicadas-en-la-republica-argentina
655,Argentina,ARG,2021-01-11,143909,143909,0,,14788,0.3168185078183881,0.3185739864280473,0.0,327.0,"Oxford/AstraZeneca, Sinopharm/Beijing, Sputnik V",Ministry of Health,http://datos.salud.gob.ar/dataset/vacunas-contra-covid-19-dosis-aplicadas-en-la-republica-argentina
656,Argentina,ARG,2021-01-12,154979,154979,0,,14056,0.3430687793862802,0.34307984797776614,0.0,311.0,"Oxford/AstraZeneca, Sinopharm/Beijing, Sputnik V",Ministry of Health,http://datos.salud.gob.ar/dataset/vacunas-contra-covid-19-dosis-aplicadas-en-la-republica-argentina
657,Argentina,ARG,2021-01-13,166833,166049,783,,13323,0.37,0.3675857095274849,0.0017333414266874278,295.0,"Oxford/AstraZeneca, Sinopharm/Beijing, Sputnik V",Ministry of Health,http://datos.salud.gob.ar/dataset/vacunas-contra-covid-19-dosis-aplicadas-en-la-republica-argentina
658,Argentina,ARG,2021-01-14,183796,177119,6676,,13320,0.4068725681474361,0.3920915710772037,0.014778783351935209,295.0,"Oxford/AstraZeneca, Sinopharm/Beijing, Sputnik V",Ministry of Health,http://datos.salud.gob.ar/dataset/vacunas-contra-covid-19-dosis-aplicadas-en-la-republica-argentina
659,Argentina,ARG,2021-01-15,200759,188189,12569,,13317,0.44,0.41659743262692256,0.02782422527718299,295.0,"Oxford/AstraZeneca, Sinopharm/Beijing, Sputnik V",Ministry of Health,http://datos.salud.gob.ar/dataset/vacunas-contra-covid-19-dosis-aplicadas-en-la-republica-argentina
660,Argentina,ARG,2021-01-16,210193,199259,10933,,12971,0.4653080900379445,0.44110329417664135,0.024202582143005937,287.0,"Oxford/AstraZeneca, Sinopharm/Beijing, Sputnik V",Ministry of Health,http://datos.salud.gob.ar/dataset/vacunas-contra-covid-19-dosis-aplicadas-en-la-republica-argentina
661,Argentina,ARG,2021-01-17,219628,210329,9298,,12624,0.4861945221717834,0.4656091557263602,0.020583152727126058,279.0,"Oxford/AstraZeneca, Sinopharm/Beijing, Sputnik V",Ministry of Health,http://datos.salud.gob.ar/dataset/vacunas-contra-covid-19-dosis-aplicadas-en-la-republica-argentina
662,Argentina,ARG,2021-01-18,229063,221399,7663,,12278,0.5070809543056223,0.490115017276079,0.01696372331124618,272.0,"Oxford/AstraZeneca, Sinopharm/Beijing, Sputnik V",Ministry of Health,http://datos.salud.gob.ar/dataset/vacunas-contra-covid-19-dosis-aplicadas-en-la-republica-argentina
663,Argentina,ARG,2021-01-19,238498,232469,6028,,11932,0.5279673864394613,0.5146208788257978,0.013344293895366304,264.0,"Oxford/AstraZeneca, Sinopharm/Beijing, Sputnik V",Ministry of Health,http://datos.salud.gob.ar/dataset/vacunas-contra-covid-19-dosis-aplicadas-en-la-republica-argentina
664,Argentina,ARG,2021-01-20,247933,243539,4394,,11586,0.55,0.54,0.01,256.0,"Oxford/AstraZeneca, Sinopharm/Beijing, Sputnik V",Ministry of Health,http://datos.salud.gob.ar/dataset/vacunas-contra-covid-19-dosis-aplicadas-en-la-republica-argentina
665,Argentina,ARG,2021-01-21,265724,249372,16352,17791.0,11704,0.59,0.55,0.04,259.0,"Oxford/AstraZeneca, Sinopharm/Beijing, Sputnik V",Ministry of Health,http://datos.salud.gob.ar/dataset/vacunas-contra-covid-19-dosis-aplicadas-en-la-republica-argentina
666,Argentina,ARG,2021-01-22,279602,254456,25146,13878.0,11263,0.62,0.56,0.06,249.0,"Oxford/AstraZeneca, Sinopharm/Beijing, Sputnik V",Ministry of Health,http://datos.salud.gob.ar/dataset/vacunas-contra-covid-19-dosis-aplicadas-en-la-republica-argentina
667,Argentina,ARG,2021-01-23,288064,258876,29188,8462.0,11124,0.64,0.57,0.06,246.0,"Oxford/AstraZeneca, Sinopharm/Beijing, Sputnik V",Ministry of Health,http://datos.salud.gob.ar/dataset/vacunas-contra-covid-19-dosis-aplicadas-en-la-republica-argentina
668,Argentina,ARG,2021-01-24,292023,260036,31987,3959.0,10342,0.65,0.58,0.07,229.0,"Oxford/AstraZeneca, Sinopharm/Beijing, Sputnik V",Ministry of Health,http://datos.salud.gob.ar/dataset/vacunas-contra-covid-19-dosis-aplicadas-en-la-republica-argentina
669,Argentina,ARG,2021-01-25,292386,260122,32264,363.0,9046,0.65,0.58,0.07,200.0,"Oxford/AstraZeneca, Sinopharm/Beijing, Sputnik V",Ministry of Health,http://datos.salud.gob.ar/dataset/vacunas-contra-covid-19-dosis-aplicadas-en-la-republica-argentina
670,Argentina,ARG,2021-01-26,305880,266969,38911,13494.0,9626,0.68,0.59,0.09,213.0,"Oxford/AstraZeneca, Sinopharm/Beijing, Sputnik V",Ministry of Health,http://datos.salud.gob.ar/dataset/vacunas-contra-covid-19-dosis-aplicadas-en-la-republica-argentina
671,Argentina,ARG,2021-01-27,318033,272323,45710,12153.0,10014,0.7,0.6,0.1,222.0,"Oxford/AstraZeneca, Sinopharm/Beijing, Sputnik V",Ministry of Health,http://datos.salud.gob.ar/dataset/vacunas-contra-covid-19-dosis-aplicadas-en-la-republica-argentina
672,Argentina,ARG,2021-01-28,327999,276548,51451,9966.0,8896,0.73,0.61,0.11,197.0,"Oxford/AstraZeneca, Sinopharm/Beijing, Sputnik V",Ministry of Health,http://datos.salud.gob.ar/dataset/vacunas-contra-covid-19-dosis-aplicadas-en-la-republica-argentina
