,country,iso_code,date,total_vaccinations,people_vaccinated,people_fully_vaccinated,daily_vaccinations_raw,daily_vaccinations,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,daily_vaccinations_per_million,vaccines,source_name,source_website
790,Armenia,ARM,2021-03-31,565,0,0,,0,0.02,0.02,0.0,0.0,"Oxford/AstraZeneca, Sinovac, Sputnik V",Ministry of Health,https://www.moh.am/#1/3906
791,Armenia,ARM,2021-04-01,825,825,0,,261,0.028234086242299793,0.028234086242299793,0.0,88.0,"Oxford/AstraZeneca, Sinovac, Sputnik V",Ministry of Health,https://www.moh.am/#1/3906
792,Armenia,ARM,2021-04-02,1086,1086,0,,261,0.037166324435318275,0.037166324435318275,0.0,88.0,"Oxford/AstraZeneca, Sinovac, Sputnik V",Ministry of Health,https://www.moh.am/#1/3906
793,Armenia,ARM,2021-04-03,1346,1346,0,,261,0.04606433949349761,0.04606433949349761,0.0,88.0,"Oxford/AstraZeneca, Sinovac, Sputnik V",Ministry of Health,https://www.moh.am/#1/3906
794,Armenia,ARM,2021-04-04,1607,1607,0,,261,0.054996577686516085,0.054996577686516085,0.0,88.0,"Oxford/AstraZeneca, Sinovac, Sputnik V",Ministry of Health,https://www.moh.am/#1/3906
795,Armenia,ARM,2021-04-05,1867,1867,0,,261,0.06389459274469542,0.06389459274469542,0.0,88.0,"Oxford/AstraZeneca, Sinovac, Sputnik V",Ministry of Health,https://www.moh.am/#1/3906
796,Armenia,ARM,2021-04-06,2128,2128,0,,261,0.07282683093771389,0.07282683093771389,0.0,88.0,"Oxford/AstraZeneca, Sinovac, Sputnik V",Ministry of Health,https://www.moh.am/#1/3906
797,Armenia,ARM,2021-04-07,2388,2388,0,,261,0.08172484599589323,0.08172484599589323,0.0,88.0,"Oxford/AstraZeneca, Sinovac, Sputnik V",Ministry of Health,https://www.moh.am/#1/3906
798,Armenia,ARM,2021-04-08,2649,2649,0,,261,0.0906570841889117,0.0906570841889117,0.0,88.0,"Oxford/AstraZeneca, Sinovac, Sputnik V",Ministry of Health,https://www.moh.am/#1/3906
799,Armenia,ARM,2021-04-09,2910,2910,0,,261,0.09958932238193019,0.09958932238193019,0.0,88.0,"Oxford/AstraZeneca, Sinovac, Sputnik V",Ministry of Health,https://www.moh.am/#1/3906
800,Armenia,ARM,2021-04-10,3170,3170,0,,261,0.10848733744010951,0.10848733744010951,0.0,88.0,"Oxford/AstraZeneca, Sinovac, Sputnik V",Ministry of Health,https://www.moh.am/#1/3906
801,Armenia,ARM,2021-04-11,3431,3431,0,,261,0.11741957563312799,0.11741957563312799,0.0,88.0,"Oxford/AstraZeneca, Sinovac, Sputnik V",Ministry of Health,https://www.moh.am/#1/3906
802,Armenia,ARM,2021-04-12,3691,3691,0,,261,0.12631759069130732,0.12631759069130732,0.0,88.0,"Oxford/AstraZeneca, Sinovac, Sputnik V",Ministry of Health,https://www.moh.am/#1/3906
803,Armenia,ARM,2021-04-13,3952,3952,0,,261,0.1352498288843258,0.1352498288843258,0.0,88.0,"Oxford/AstraZeneca, Sinovac, Sputnik V",Ministry of Health,https://www.moh.am/#1/3906
804,Armenia,ARM,2021-04-14,4212,4212,0,,261,0.14414784394250513,0.14414784394250513,0.0,88.0,"Oxford/AstraZeneca, Sinovac, Sputnik V",Ministry of Health,https://www.moh.am/#1/3906
805,Armenia,ARM,2021-04-15,4473,4473,0,,261,0.1530800821355236,0.1530800821355236,0.0,88.0,"Oxford/AstraZeneca, Sinovac, Sputnik V",Ministry of Health,https://www.moh.am/#1/3906
806,Armenia,ARM,2021-04-16,4734,4734,0,,261,0.16201232032854207,0.16201232032854207,0.0,88.0,"Oxford/AstraZeneca, Sinovac, Sputnik V",Ministry of Health,https://www.moh.am/#1/3906
807,Armenia,ARM,2021-04-17,4994,4994,0,,261,0.17091033538672143,0.17091033538672143,0.0,88.0,"Oxford/AstraZeneca, Sinovac, Sputnik V",Ministry of Health,https://www.moh.am/#1/3906
808,Armenia,ARM,2021-04-18,5255,5255,0,,261,0.1798425735797399,0.1798425735797399,0.0,88.0,"Oxford/AstraZeneca, Sinovac, Sputnik V",Ministry of Health,https://www.moh.am/#1/3906
809,Armenia,ARM,2021-04-19,5515,5515,0,,261,0.18874058863791923,0.18874058863791923,0.0,88.0,"Oxford/AstraZeneca, Sinovac, Sputnik V",Ministry of Health,https://www.moh.am/#1/3906
810,Armenia,ARM,2021-04-20,5776,5776,0,,261,0.1976728268309377,0.1976728268309377,0.0,88.0,"Oxford/AstraZeneca, Sinovac, Sputnik V",Ministry of Health,https://www.moh.am/#1/3906
811,Armenia,ARM,2021-04-21,6036,6036,0,,261,0.20657084188911704,0.20657084188911704,0.0,88.0,"Oxford/AstraZeneca, Sinovac, Sputnik V",Ministry of Health,https://www.moh.am/#1/3906
812,Armenia,ARM,2021-04-22,6297,6297,0,,261,0.2155030800821355,0.2155030800821355,0.0,88.0,"Oxford/AstraZeneca, Sinovac, Sputnik V",Ministry of Health,https://www.moh.am/#1/3906
813,Armenia,ARM,2021-04-23,6557,6557,0,,261,0.22440109514031484,0.22440109514031484,0.0,88.0,"Oxford/AstraZeneca, Sinovac, Sputnik V",Ministry of Health,https://www.moh.am/#1/3906
