,country,iso_code,date,total_vaccinations,people_vaccinated,people_fully_vaccinated,daily_vaccinations_raw,daily_vaccinations,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,daily_vaccinations_per_million,vaccines,source_name,source_website
837,Aruba,ABW,2021-03-29,15600,0,10166,,0,24.13,14.61,9.52,0.0,Pfizer/BioNTech,Government of Aruba,https://www.government.aw
838,Aruba,ABW,2021-03-30,27043,16733,10309,,1278,25.34489222118088,15.682286785379567,9.661668228678538,11970.0,Pfizer/BioNTech,Government of Aruba,https://www.government.aw
839,Aruba,ABW,2021-03-31,28321,17866,10454,,1278,26.542642924086223,16.74414245548266,9.797563261480787,11970.0,Pfizer/BioNTech,Government of Aruba,https://www.government.aw
840,Aruba,ABW,2021-04-01,29598,18999,10598,,1278,27.73945641986879,17.805998125585752,9.932521087160262,11970.0,Pfizer/BioNTech,Government of Aruba,https://www.government.aw
841,Aruba,ABW,2021-04-02,30876,20132,10743,,1278,28.937207122774133,18.867853795688845,10.068416119962512,11970.0,Pfizer/BioNTech,Government of Aruba,https://www.government.aw
842,Aruba,ABW,2021-04-03,32153,21265,10887,,1278,30.1340206185567,19.92970946579194,10.203373945641987,11970.0,Pfizer/BioNTech,Government of Aruba,https://www.government.aw
843,Aruba,ABW,2021-04-04,33431,22398,11032,,1278,31.331771321462043,20.991565135895033,10.339268978444236,11970.0,Pfizer/BioNTech,Government of Aruba,https://www.government.aw
844,Aruba,ABW,2021-04-05,34708,23531,11176,,1278,32.52858481724461,22.053420805998126,10.474226804123711,11970.0,Pfizer/BioNTech,Government of Aruba,https://www.government.aw
845,Aruba,ABW,2021-04-06,35986,24664,11321,,1278,33.72633552014995,23.11527647610122,10.610121836925961,11970.0,Pfizer/BioNTech,Government of Aruba,https://www.government.aw
846,Aruba,ABW,2021-04-07,37263,25797,11465,,1278,34.92314901593252,24.17713214620431,10.745079662605436,11970.0,Pfizer/BioNTech,Government of Aruba,https://www.government.aw
847,Aruba,ABW,2021-04-08,38541,26930,11610,,1278,36.12089971883786,25.238987816307407,10.880974695407684,11970.0,Pfizer/BioNTech,Government of Aruba,https://www.government.aw
848,Aruba,ABW,2021-04-09,39818,28063,11754,,1278,37.317713214620426,26.300843486410496,11.01593252108716,11970.0,Pfizer/BioNTech,Government of Aruba,https://www.government.aw
849,Aruba,ABW,2021-04-10,41096,29197,11899,,1278,38.49,27.35,11.14,11970.0,Pfizer/BioNTech,Government of Aruba,https://www.government.aw
850,Aruba,ABW,2021-04-11,42084,30168,11916,,1236,39.44142455482662,28.273664479850048,11.16776007497657,11577.0,Pfizer/BioNTech,Government of Aruba,https://www.government.aw
851,Aruba,ABW,2021-04-12,43073,31139,11934,,1195,40.34,29.17,11.18,11193.0,Pfizer/BioNTech,Government of Aruba,https://www.government.aw
852,Aruba,ABW,2021-04-13,45588,33563,12025,2515.0,1372,42.7,31.44,11.26,12851.0,Pfizer/BioNTech,Government of Aruba,https://www.government.aw
853,Aruba,ABW,2021-04-14,48200,36058,12142,2612.0,1562,45.15,33.77,11.37,14630.0,Pfizer/BioNTech,Government of Aruba,https://www.government.aw
854,Aruba,ABW,2021-04-15,50546,37981,12565,2346.0,1715,47.34,35.57,11.77,16063.0,Pfizer/BioNTech,Government of Aruba,https://www.government.aw
855,Aruba,ABW,2021-04-16,52955,39961,12994,2409.0,1877,49.6,37.43,12.17,17581.0,Pfizer/BioNTech,Government of Aruba,https://www.government.aw
856,Aruba,ABW,2021-04-17,55582,41770,13812,2627.0,2069,52.06,39.12,12.94,19379.0,Pfizer/BioNTech,Government of Aruba,https://www.government.aw
857,Aruba,ABW,2021-04-18,55651,41837,13814,69.0,1938,52.12,39.19,12.94,18152.0,Pfizer/BioNTech,Government of Aruba,https://www.government.aw
858,Aruba,ABW,2021-04-19,58178,43266,14912,2527.0,2158,54.49,40.52,13.97,20212.0,Pfizer/BioNTech,Government of Aruba,https://www.government.aw
859,Aruba,ABW,2021-04-20,60379,43945,16434,2201.0,2113,56.55,41.16,15.39,19791.0,Pfizer/BioNTech,Government of Aruba,https://www.government.aw
860,Aruba,ABW,2021-04-21,62342,44421,17921,1963.0,2020,58.39,41.61,16.79,18920.0,Pfizer/BioNTech,Government of Aruba,https://www.government.aw
861,Aruba,ABW,2021-04-22,64288,45097,19191,1946.0,1963,60.21,42.24,17.97,18386.0,Pfizer/BioNTech,Government of Aruba,https://www.government.aw
