,country,iso_code,date,total_vaccinations,people_vaccinated,people_fully_vaccinated,daily_vaccinations_raw,daily_vaccinations,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,daily_vaccinations_per_million,vaccines,source_name,source_website
895,Australia,AUS,2021-02-15,0,0,0,,0,0.0,0.0,0.0,0.0,"Oxford/AstraZeneca, Pfizer/BioNTech",Government of Australia via covidlive.com.au,https://covidlive.com.au/vaccinations
896,Australia,AUS,2021-02-16,0,0,0,0.0,0,0.0,0.0,0.0,0.0,"Oxford/AstraZeneca, Pfizer/BioNTech",Government of Australia via covidlive.com.au,https://covidlive.com.au/vaccinations
897,Australia,AUS,2021-02-17,0,0,0,0.0,0,0.0,0.0,0.0,0.0,"Oxford/AstraZeneca, Pfizer/BioNTech",Government of Australia via covidlive.com.au,https://covidlive.com.au/vaccinations
898,Australia,AUS,2021-02-18,0,0,0,0.0,0,0.0,0.0,0.0,0.0,"Oxford/AstraZeneca, Pfizer/BioNTech",Government of Australia via covidlive.com.au,https://covidlive.com.au/vaccinations
899,Australia,AUS,2021-02-19,0,0,0,0.0,0,0.0,0.0,0.0,0.0,"Oxford/AstraZeneca, Pfizer/BioNTech",Government of Australia via covidlive.com.au,https://covidlive.com.au/vaccinations
900,Australia,AUS,2021-02-20,0,0,0,0.0,0,0.0,0.0,0.0,0.0,"Oxford/AstraZeneca, Pfizer/BioNTech",Government of Australia via covidlive.com.au,https://covidlive.com.au/vaccinations
901,Australia,AUS,2021-02-21,0,0,0,0.0,0,0.0,0.0,0.0,0.0,"Oxford/AstraZeneca, Pfizer/BioNTech",Government of Australia via covidlive.com.au,https://covidlive.com.au/vaccinations
902,Australia,AUS,2021-02-22,20,20,0,20.0,3,0.0,0.0,0.0,0.0,"Oxford/AstraZeneca, Pfizer/BioNTech",Government of Australia via covidlive.com.au,https://covidlive.com.au/vaccinations
903,Australia,AUS,2021-02-23,2879,2879,0,2859.0,411,0.01,0.01,0.0,16.0,"Oxford/AstraZeneca, Pfizer/BioNTech",Government of Australia via covidlive.com.au,https://covidlive.com.au/vaccinations
904,Australia,AUS,2021-02-24,6908,6908,0,4029.0,987,0.03,0.03,0.0,39.0,"Oxford/AstraZeneca, Pfizer/BioNTech",Government of Australia via covidlive.com.au,https://covidlive.com.au/vaccinations
905,Australia,AUS,2021-02-25,17500,17500,0,10592.0,2500,0.07,0.07,0.0,98.0,"Oxford/AstraZeneca, Pfizer/BioNTech",Government of Australia via covidlive.com.au,https://covidlive.com.au/vaccinations
906,Australia,AUS,2021-02-26,25000,25000,0,7500.0,3571,0.1,0.1,0.0,140.0,"Oxford/AstraZeneca, Pfizer/BioNTech",Government of Australia via covidlive.com.au,https://covidlive.com.au/vaccinations
907,Australia,AUS,2021-02-27,30000,30000,0,5000.0,4286,0.12,0.12,0.0,168.0,"Oxford/AstraZeneca, Pfizer/BioNTech",Government of Australia via covidlive.com.au,https://covidlive.com.au/vaccinations
908,Australia,AUS,2021-02-28,31894,31894,0,1894.0,4556,0.13,0.13,0.0,179.0,"Oxford/AstraZeneca, Pfizer/BioNTech",Government of Australia via covidlive.com.au,https://covidlive.com.au/vaccinations
909,Australia,AUS,2021-03-01,33702,33702,0,1808.0,4812,0.13,0.13,0.0,189.0,"Oxford/AstraZeneca, Pfizer/BioNTech",Government of Australia via covidlive.com.au,https://covidlive.com.au/vaccinations
910,Australia,AUS,2021-03-02,41907,41907,0,8205.0,5575,0.16,0.16,0.0,219.0,"Oxford/AstraZeneca, Pfizer/BioNTech",Government of Australia via covidlive.com.au,https://covidlive.com.au/vaccinations
911,Australia,AUS,2021-03-03,50840,50840,0,8933.0,6276,0.2,0.2,0.0,246.0,"Oxford/AstraZeneca, Pfizer/BioNTech",Government of Australia via covidlive.com.au,https://covidlive.com.au/vaccinations
912,Australia,AUS,2021-03-04,61008,61008,0,10168.0,6215,0.24,0.24,0.0,244.0,"Oxford/AstraZeneca, Pfizer/BioNTech",Government of Australia via covidlive.com.au,https://covidlive.com.au/vaccinations
