,country,iso_code,date,total_vaccinations,people_vaccinated,people_fully_vaccinated,daily_vaccinations_raw,daily_vaccinations,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,daily_vaccinations_per_million,vaccines,source_name,source_website
995,Austria,AUT,2020-12-27,732,0,0,,0,0.01,0.01,0.0,0.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://info.gesundheitsministerium.gv.at/opendata/
996,Austria,AUT,2020-12-28,2036,2036,0,1304.0,1304,0.02,0.02,0.0,145.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://info.gesundheitsministerium.gv.at/opendata/
997,Austria,AUT,2020-12-29,3657,3657,0,1621.0,1462,0.04,0.04,0.0,162.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://info.gesundheitsministerium.gv.at/opendata/
998,Austria,AUT,2020-12-30,5014,5014,0,1357.0,1427,0.06,0.06,0.0,158.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://info.gesundheitsministerium.gv.at/opendata/
999,Austria,AUT,2020-12-31,5023,5023,0,9.0,1073,0.06,0.06,0.0,119.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://info.gesundheitsministerium.gv.at/opendata/
1000,Austria,AUT,2021-01-01,5027,5027,0,4.0,859,0.06,0.06,0.0,95.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://info.gesundheitsministerium.gv.at/opendata/
1001,Austria,AUT,2021-01-02,5035,5035,0,8.0,717,0.06,0.06,0.0,80.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://info.gesundheitsministerium.gv.at/opendata/
1002,Austria,AUT,2021-01-03,5037,5037,0,2.0,615,0.06,0.06,0.0,68.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://info.gesundheitsministerium.gv.at/opendata/
1003,Austria,AUT,2021-01-04,5158,5158,0,121.0,446,0.06,0.06,0.0,50.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://info.gesundheitsministerium.gv.at/opendata/
1004,Austria,AUT,2021-01-05,6960,6960,0,1802.0,472,0.08,0.08,0.0,52.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://info.gesundheitsministerium.gv.at/opendata/
