,country,iso_code,date,total_vaccinations,people_vaccinated,people_fully_vaccinated,daily_vaccinations_raw,daily_vaccinations,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,daily_vaccinations_per_million,vaccines,source_name,source_website
1145,Azerbaijan,AZE,2021-01-17,0,0,0,,0,0.0,0.0,0.0,0.0,"Oxford/AstraZeneca, Sinovac, Sputnik V",Government of Azerbaijan,https://koronavirusinfo.az
1146,Azerbaijan,AZE,2021-01-18,3250,3250,0,,3250,0.03205634025092717,0.03205634025092717,0.0,321.0,"Oxford/AstraZeneca, Sinovac, Sputnik V",Government of Azerbaijan,https://koronavirusinfo.az
1147,Azerbaijan,AZE,2021-01-19,6500,6500,0,,3250,0.06411268050185434,0.06411268050185434,0.0,321.0,"Oxford/AstraZeneca, Sinovac, Sputnik V",Government of Azerbaijan,https://koronavirusinfo.az
1148,Azerbaijan,AZE,2021-01-20,9750,9750,0,,3250,0.0961690207527815,0.0961690207527815,0.0,321.0,"Oxford/AstraZeneca, Sinovac, Sputnik V",Government of Azerbaijan,https://koronavirusinfo.az
1149,Azerbaijan,AZE,2021-01-21,13000,13000,0,,3250,0.12822536100370868,0.12822536100370868,0.0,321.0,"Oxford/AstraZeneca, Sinovac, Sputnik V",Government of Azerbaijan,https://koronavirusinfo.az
1150,Azerbaijan,AZE,2021-01-22,16250,16250,0,,3250,0.16028170125463584,0.16028170125463584,0.0,321.0,"Oxford/AstraZeneca, Sinovac, Sputnik V",Government of Azerbaijan,https://koronavirusinfo.az
1151,Azerbaijan,AZE,2021-01-23,19500,19500,0,,3250,0.192338041505563,0.192338041505563,0.0,321.0,"Oxford/AstraZeneca, Sinovac, Sputnik V",Government of Azerbaijan,https://koronavirusinfo.az
1152,Azerbaijan,AZE,2021-01-24,22750,22750,0,,3250,0.22439438175649015,0.22439438175649015,0.0,321.0,"Oxford/AstraZeneca, Sinovac, Sputnik V",Government of Azerbaijan,https://koronavirusinfo.az
1153,Azerbaijan,AZE,2021-01-25,26000,26000,0,,3250,0.25645072200741736,0.25645072200741736,0.0,321.0,"Oxford/AstraZeneca, Sinovac, Sputnik V",Government of Azerbaijan,https://koronavirusinfo.az
1154,Azerbaijan,AZE,2021-01-26,29250,29250,0,,3250,0.28850706225834455,0.28850706225834455,0.0,321.0,"Oxford/AstraZeneca, Sinovac, Sputnik V",Government of Azerbaijan,https://koronavirusinfo.az
1155,Azerbaijan,AZE,2021-01-27,32500,32500,0,,3250,0.3205634025092717,0.3205634025092717,0.0,321.0,"Oxford/AstraZeneca, Sinovac, Sputnik V",Government of Azerbaijan,https://koronavirusinfo.az
1156,Azerbaijan,AZE,2021-01-28,35750,35750,0,,3250,0.35261974276019886,0.35261974276019886,0.0,321.0,"Oxford/AstraZeneca, Sinovac, Sputnik V",Government of Azerbaijan,https://koronavirusinfo.az
1157,Azerbaijan,AZE,2021-01-29,39000,39000,0,,3250,0.384676083011126,0.384676083011126,0.0,321.0,"Oxford/AstraZeneca, Sinovac, Sputnik V",Government of Azerbaijan,https://koronavirusinfo.az
1158,Azerbaijan,AZE,2021-01-30,42250,42250,0,,3250,0.41673242326205323,0.41673242326205323,0.0,321.0,"Oxford/AstraZeneca, Sinovac, Sputnik V",Government of Azerbaijan,https://koronavirusinfo.az
1159,Azerbaijan,AZE,2021-01-31,45500,45500,0,,3250,0.4487887635129803,0.4487887635129803,0.0,321.0,"Oxford/AstraZeneca, Sinovac, Sputnik V",Government of Azerbaijan,https://koronavirusinfo.az
1160,Azerbaijan,AZE,2021-02-01,48750,48750,0,,3250,0.4808451037639075,0.4808451037639075,0.0,321.0,"Oxford/AstraZeneca, Sinovac, Sputnik V",Government of Azerbaijan,https://koronavirusinfo.az
1161,Azerbaijan,AZE,2021-02-02,52000,52000,0,,3250,0.5129014440148347,0.5129014440148347,0.0,321.0,"Oxford/AstraZeneca, Sinovac, Sputnik V",Government of Azerbaijan,https://koronavirusinfo.az
1162,Azerbaijan,AZE,2021-02-03,55250,55250,0,,3250,0.5449577842657619,0.5449577842657619,0.0,321.0,"Oxford/AstraZeneca, Sinovac, Sputnik V",Government of Azerbaijan,https://koronavirusinfo.az
1163,Azerbaijan,AZE,2021-02-04,58500,58500,0,,3250,0.5770141245166891,0.5770141245166891,0.0,321.0,"Oxford/AstraZeneca, Sinovac, Sputnik V",Government of Azerbaijan,https://koronavirusinfo.az
1164,Azerbaijan,AZE,2021-02-05,61750,61750,0,,3250,0.6090704647676162,0.6090704647676162,0.0,321.0,"Oxford/AstraZeneca, Sinovac, Sputnik V",Government of Azerbaijan,https://koronavirusinfo.az
1165,Azerbaijan,AZE,2021-02-06,65000,65000,0,,3250,0.64,0.64,0.0,321.0,"Oxford/AstraZeneca, Sinovac, Sputnik V",Government of Azerbaijan,https://koronavirusinfo.az
1166,Azerbaijan,AZE,2021-02-07,74928,74928,0,,4204,0.7390515268681449,0.7390515268681449,0.0,415.0,"Oxford/AstraZeneca, Sinovac, Sputnik V",Government of Azerbaijan,https://koronavirusinfo.az
1167,Azerbaijan,AZE,2021-02-08,84857,84857,0,,5158,0.8369861122070544,0.8369861122070544,0.0,509.0,"Oxford/AstraZeneca, Sinovac, Sputnik V",Government of Azerbaijan,https://koronavirusinfo.az
