,country,iso_code,date,total_vaccinations,people_vaccinated,people_fully_vaccinated,daily_vaccinations_raw,daily_vaccinations,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,daily_vaccinations_per_million,vaccines,source_name,source_website
1274,Bahamas,BHS,2021-03-13,0,0,0,,0,0.0,0.0,0.0,0.0,Oxford/AstraZeneca,Government of the Bahamas,https://www.facebook.com/opmbs/posts/817591312296181
1275,Bahamas,BHS,2021-03-14,110,100,10,110.0,110,0.03,0.03,0.0025630116411988744,280.0,Oxford/AstraZeneca,Government of the Bahamas,https://www.facebook.com/opmbs/posts/817591312296181
1276,Bahamas,BHS,2021-03-15,308,300,8,,154,0.07894075854892534,0.07689034923596623,0.0020504093129590996,392.0,Oxford/AstraZeneca,Government of the Bahamas,https://www.facebook.com/opmbs/posts/817591312296181
1277,Bahamas,BHS,2021-03-16,507,500,7,,169,0.12994469020878294,0.12815058205994373,0.0017941081488392122,430.0,Oxford/AstraZeneca,Government of the Bahamas,https://www.facebook.com/opmbs/posts/817591312296181
1278,Bahamas,BHS,2021-03-17,705,700,5,,176,0.18069232070452065,0.1794108148839212,0.0012815058205994372,448.0,Oxford/AstraZeneca,Government of the Bahamas,https://www.facebook.com/opmbs/posts/817591312296181
1279,Bahamas,BHS,2021-03-18,904,900,4,,181,0.23169625236437824,0.2306710477078987,0.0010252046564795498,460.0,Oxford/AstraZeneca,Government of the Bahamas,https://www.facebook.com/opmbs/posts/817591312296181
1280,Bahamas,BHS,2021-03-19,1102,1100,2,,184,0.28244388286011596,0.28193128053187616,0.0005126023282397749,468.0,Oxford/AstraZeneca,Government of the Bahamas,https://www.facebook.com/opmbs/posts/817591312296181
1281,Bahamas,BHS,2021-03-20,1301,1300,1,,186,0.3334478145199736,0.3331915133558537,0.00025630116411988745,473.0,Oxford/AstraZeneca,Government of the Bahamas,https://www.facebook.com/opmbs/posts/817591312296181
1282,Bahamas,BHS,2021-03-21,1500,1500,0,,199,0.38,0.38,0.0,506.0,Oxford/AstraZeneca,Government of the Bahamas,https://www.facebook.com/opmbs/posts/817591312296181
1283,Bahamas,BHS,2021-03-22,2285,2285,0,,282,0.5856481600139428,0.5856481600139428,0.0,717.0,Oxford/AstraZeneca,Government of the Bahamas,https://www.facebook.com/opmbs/posts/817591312296181
1284,Bahamas,BHS,2021-03-23,3071,3071,0,,366,0.7871008750121743,0.7871008750121743,0.0,931.0,Oxford/AstraZeneca,Government of the Bahamas,https://www.facebook.com/opmbs/posts/817591312296181
1285,Bahamas,BHS,2021-03-24,3857,3857,0,,450,0.9885535900104058,0.9885535900104058,0.0,1144.0,Oxford/AstraZeneca,Government of the Bahamas,https://www.facebook.com/opmbs/posts/817591312296181
1286,Bahamas,BHS,2021-03-25,4642,4642,0,,534,1.1897500038445175,1.1897500038445175,0.0,1358.0,Oxford/AstraZeneca,Government of the Bahamas,https://www.facebook.com/opmbs/posts/817591312296181
1287,Bahamas,BHS,2021-03-26,5428,5428,0,,618,1.391202718842749,1.391202718842749,0.0,1572.0,Oxford/AstraZeneca,Government of the Bahamas,https://www.facebook.com/opmbs/posts/817591312296181
1288,Bahamas,BHS,2021-03-27,6214,6214,0,,702,1.5926554338409806,1.5926554338409806,0.0,1785.0,Oxford/AstraZeneca,Government of the Bahamas,https://www.facebook.com/opmbs/posts/817591312296181
1289,Bahamas,BHS,2021-03-28,7000,7000,0,,786,1.78,1.78,0.0,1999.0,Oxford/AstraZeneca,Government of the Bahamas,https://www.facebook.com/opmbs/posts/817591312296181
1290,Bahamas,BHS,2021-03-29,7300,7300,0,,716,1.8709984980751784,1.8709984980751784,0.0,1821.0,Oxford/AstraZeneca,Government of the Bahamas,https://www.facebook.com/opmbs/posts/817591312296181
1291,Bahamas,BHS,2021-03-30,7600,7600,0,,647,1.9478888473111446,1.9478888473111446,0.0,1645.0,Oxford/AstraZeneca,Government of the Bahamas,https://www.facebook.com/opmbs/posts/817591312296181
1292,Bahamas,BHS,2021-03-31,7900,7900,0,,578,2.0247791965471107,2.0247791965471107,0.0,1470.0,Oxford/AstraZeneca,Government of the Bahamas,https://www.facebook.com/opmbs/posts/817591312296181
1293,Bahamas,BHS,2021-04-01,8200,8200,0,,508,2.1016695457830767,2.1016695457830767,0.0,1292.0,Oxford/AstraZeneca,Government of the Bahamas,https://www.facebook.com/opmbs/posts/817591312296181
1294,Bahamas,BHS,2021-04-02,8500,8500,0,,439,2.1785598950190432,2.1785598950190432,0.0,1116.0,Oxford/AstraZeneca,Government of the Bahamas,https://www.facebook.com/opmbs/posts/817591312296181
1295,Bahamas,BHS,2021-04-03,8800,8800,0,,369,2.2554502442550093,2.2554502442550093,0.0,938.0,Oxford/AstraZeneca,Government of the Bahamas,https://www.facebook.com/opmbs/posts/817591312296181
1296,Bahamas,BHS,2021-04-04,9100,9100,0,,300,2.3323405934909758,2.3323405934909758,0.0,763.0,Oxford/AstraZeneca,Government of the Bahamas,https://www.facebook.com/opmbs/posts/817591312296181
1297,Bahamas,BHS,2021-04-05,9400,9400,0,,300,2.409230942726942,2.409230942726942,0.0,763.0,Oxford/AstraZeneca,Government of the Bahamas,https://www.facebook.com/opmbs/posts/817591312296181
1298,Bahamas,BHS,2021-04-06,9700,9700,0,,300,2.4861212919629083,2.4861212919629083,0.0,763.0,Oxford/AstraZeneca,Government of the Bahamas,https://www.facebook.com/opmbs/posts/817591312296181
1299,Bahamas,BHS,2021-04-07,10000,10000,0,,300,2.54,2.54,0.0,763.0,Oxford/AstraZeneca,Government of the Bahamas,https://www.facebook.com/opmbs/posts/817591312296181
1300,Bahamas,BHS,2021-04-08,11250,11250,0,,436,2.883388096348734,2.883388096348734,0.0,1109.0,Oxford/AstraZeneca,Government of the Bahamas,https://www.facebook.com/opmbs/posts/817591312296181
1301,Bahamas,BHS,2021-04-09,12500,12500,0,,571,3.203764551498593,3.203764551498593,0.0,1452.0,Oxford/AstraZeneca,Government of the Bahamas,https://www.facebook.com/opmbs/posts/817591312296181
1302,Bahamas,BHS,2021-04-10,13750,13750,0,,707,3.524141006648452,3.524141006648452,0.0,1798.0,Oxford/AstraZeneca,Government of the Bahamas,https://www.facebook.com/opmbs/posts/817591312296181
1303,Bahamas,BHS,2021-04-11,15000,15000,0,,843,3.81,3.81,0.0,2144.0,Oxford/AstraZeneca,Government of the Bahamas,https://www.facebook.com/opmbs/posts/817591312296181
1304,Bahamas,BHS,2021-04-12,15767,15767,0,,910,4.041100454678266,4.041100454678266,0.0,2314.0,Oxford/AstraZeneca,Government of the Bahamas,https://www.facebook.com/opmbs/posts/817591312296181
1305,Bahamas,BHS,2021-04-13,16534,16534,0,,976,4.237683447558219,4.237683447558219,0.0,2482.0,Oxford/AstraZeneca,Government of the Bahamas,https://www.facebook.com/opmbs/posts/817591312296181
1306,Bahamas,BHS,2021-04-14,17302,17302,0,,1043,4.434522741602293,4.434522741602293,0.0,2652.0,Oxford/AstraZeneca,Government of the Bahamas,https://www.facebook.com/opmbs/posts/817591312296181
1307,Bahamas,BHS,2021-04-15,18069,18069,0,,974,4.6311057344822455,4.6311057344822455,0.0,2477.0,Oxford/AstraZeneca,Government of the Bahamas,https://www.facebook.com/opmbs/posts/817591312296181
1308,Bahamas,BHS,2021-04-16,18837,18837,0,,905,4.82794502852632,4.82794502852632,0.0,2301.0,Oxford/AstraZeneca,Government of the Bahamas,https://www.facebook.com/opmbs/posts/817591312296181
1309,Bahamas,BHS,2021-04-17,19604,19604,0,,836,5.024528021406273,5.024528021406273,0.0,2126.0,Oxford/AstraZeneca,Government of the Bahamas,https://www.facebook.com/opmbs/posts/817591312296181
1310,Bahamas,BHS,2021-04-18,20372,20372,0,,767,5.221367315450347,5.221367315450347,0.0,1950.0,Oxford/AstraZeneca,Government of the Bahamas,https://www.facebook.com/opmbs/posts/817591312296181
1311,Bahamas,BHS,2021-04-19,21139,21139,0,,767,5.417950308330301,5.417950308330301,0.0,1950.0,Oxford/AstraZeneca,Government of the Bahamas,https://www.facebook.com/opmbs/posts/817591312296181
1312,Bahamas,BHS,2021-04-20,21907,21907,0,,767,5.57,5.57,0.0,1950.0,Oxford/AstraZeneca,Government of the Bahamas,https://www.facebook.com/opmbs/posts/817591312296181
1313,Bahamas,BHS,2021-04-21,22447,22447,0,,735,5.753192230999113,5.753192230999113,0.0,1869.0,Oxford/AstraZeneca,Government of the Bahamas,https://www.facebook.com/opmbs/posts/817591312296181
1314,Bahamas,BHS,2021-04-22,22988,22988,0,,703,5.891851160787972,5.891851160787972,0.0,1788.0,Oxford/AstraZeneca,Government of the Bahamas,https://www.facebook.com/opmbs/posts/817591312296181
1315,Bahamas,BHS,2021-04-23,23529,23529,0,,670,6.030510090576832,6.030510090576832,0.0,1704.0,Oxford/AstraZeneca,Government of the Bahamas,https://www.facebook.com/opmbs/posts/817591312296181
1316,Bahamas,BHS,2021-04-24,24069,24069,0,,638,6.168912719201571,6.168912719201571,0.0,1622.0,Oxford/AstraZeneca,Government of the Bahamas,https://www.facebook.com/opmbs/posts/817591312296181
