,country,iso_code,date,total_vaccinations,people_vaccinated,people_fully_vaccinated,daily_vaccinations_raw,daily_vaccinations,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,daily_vaccinations_per_million,vaccines,source_name,source_website
1498,Bangladesh,BGD,2021-01-26,0,0,0,,0,0.0,0.0,0.0,0.0,Oxford/AstraZeneca,Directorate General of Health Services,http://103.247.238.92/webportal/pages/covid19-vaccination-update.php
1499,Bangladesh,BGD,2021-01-27,26,26,0,26.0,26,0.0,0.0,0.0,0.0,Oxford/AstraZeneca,Directorate General of Health Services,http://103.247.238.92/webportal/pages/covid19-vaccination-update.php
1500,Bangladesh,BGD,2021-01-28,567,567,0,541.0,284,0.0,0.0,0.0,2.0,Oxford/AstraZeneca,Directorate General of Health Services,http://103.247.238.92/webportal/pages/covid19-vaccination-update.php
1501,Bangladesh,BGD,2021-01-29,3626,3626,0,,1209,0.0022031200627644965,0.0022031200627644965,0.0,7.0,Oxford/AstraZeneca,Directorate General of Health Services,http://103.247.238.92/webportal/pages/covid19-vaccination-update.php
1502,Bangladesh,BGD,2021-01-30,6685,6685,0,,1671,0.004061736795251147,0.004061736795251147,0.0,10.0,Oxford/AstraZeneca,Directorate General of Health Services,http://103.247.238.92/webportal/pages/covid19-vaccination-update.php
1503,Bangladesh,BGD,2021-01-31,9744,9744,0,,1949,0.005920353527737798,0.005920353527737798,0.0,12.0,Oxford/AstraZeneca,Directorate General of Health Services,http://103.247.238.92/webportal/pages/covid19-vaccination-update.php
1504,Bangladesh,BGD,2021-02-01,12804,12804,0,,2134,0.007779577849872205,0.007779577849872205,0.0,13.0,Oxford/AstraZeneca,Directorate General of Health Services,http://103.247.238.92/webportal/pages/covid19-vaccination-update.php
1505,Bangladesh,BGD,2021-02-02,15863,15863,0,,2266,0.009638194582358855,0.009638194582358855,0.0,14.0,Oxford/AstraZeneca,Directorate General of Health Services,http://103.247.238.92/webportal/pages/covid19-vaccination-update.php
1506,Bangladesh,BGD,2021-02-03,18922,18922,0,,2700,0.011496811314845506,0.011496811314845506,0.0,16.0,Oxford/AstraZeneca,Directorate General of Health Services,http://103.247.238.92/webportal/pages/covid19-vaccination-update.php
1507,Bangladesh,BGD,2021-02-04,21982,21982,0,,3059,0.013356035636979914,0.013356035636979914,0.0,19.0,Oxford/AstraZeneca,Directorate General of Health Services,http://103.247.238.92/webportal/pages/covid19-vaccination-update.php
1508,Bangladesh,BGD,2021-02-05,25041,25041,0,,3059,0.015214652369466565,0.015214652369466565,0.0,19.0,Oxford/AstraZeneca,Directorate General of Health Services,http://103.247.238.92/webportal/pages/covid19-vaccination-update.php
1509,Bangladesh,BGD,2021-02-06,28100,28100,0,,3059,0.017073269101953215,0.017073269101953215,0.0,19.0,Oxford/AstraZeneca,Directorate General of Health Services,http://103.247.238.92/webportal/pages/covid19-vaccination-update.php
1510,Bangladesh,BGD,2021-02-07,31160,31160,0,,3059,0.02,0.02,0.0,19.0,Oxford/AstraZeneca,Directorate General of Health Services,http://103.247.238.92/webportal/pages/covid19-vaccination-update.php
1511,Bangladesh,BGD,2021-02-08,105239,105239,0,,13205,0.0639421269402297,0.0639421269402297,0.0,80.0,Oxford/AstraZeneca,Directorate General of Health Services,http://103.247.238.92/webportal/pages/covid19-vaccination-update.php
1512,Bangladesh,BGD,2021-02-09,179318,179318,0,,23351,0.11,0.11,0.0,142.0,Oxford/AstraZeneca,Directorate General of Health Services,http://103.247.238.92/webportal/pages/covid19-vaccination-update.php
1513,Bangladesh,BGD,2021-02-10,337769,337769,0,158451.0,45549,0.21,0.21,0.0,277.0,Oxford/AstraZeneca,Directorate General of Health Services,http://103.247.238.92/webportal/pages/covid19-vaccination-update.php
1514,Bangladesh,BGD,2021-02-11,470739,470739,0,,64108,0.2860161431951727,0.2860161431951727,0.0,389.0,Oxford/AstraZeneca,Directorate General of Health Services,http://103.247.238.92/webportal/pages/covid19-vaccination-update.php
1515,Bangladesh,BGD,2021-02-12,603709,603709,0,,82667,0.36680733865733356,0.36680733865733356,0.0,502.0,Oxford/AstraZeneca,Directorate General of Health Services,http://103.247.238.92/webportal/pages/covid19-vaccination-update.php
