,country,iso_code,date,total_vaccinations,people_vaccinated,people_fully_vaccinated,daily_vaccinations_raw,daily_vaccinations,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,daily_vaccinations_per_million,vaccines,source_name,source_website
1617,Barbados,BRB,2021-02-15,4490,0,0,,0,1.56,1.56,0.0,0.0,Oxford/AstraZeneca,Ministry of Health,https://www.facebook.com/moh.barbados/photos/a.768944336470972/4235191099846261
1618,Barbados,BRB,2021-02-16,6683,6683,0,2193.0,2193,2.33,2.33,0.0,7631.0,Oxford/AstraZeneca,Ministry of Health,https://www.facebook.com/moh.barbados/photos/a.768944336470972/4235191099846261
1619,Barbados,BRB,2021-02-17,9115,9115,0,2432.0,2312,3.17,3.17,0.0,8045.0,Oxford/AstraZeneca,Ministry of Health,https://www.facebook.com/moh.barbados/photos/a.768944336470972/4235191099846261
1620,Barbados,BRB,2021-02-18,11494,11494,0,2379.0,2335,4.0,4.0,0.0,8125.0,Oxford/AstraZeneca,Ministry of Health,https://www.facebook.com/moh.barbados/photos/a.768944336470972/4235191099846261
1621,Barbados,BRB,2021-02-19,14411,14411,0,2917.0,2480,5.01,5.01,0.0,8630.0,Oxford/AstraZeneca,Ministry of Health,https://www.facebook.com/moh.barbados/photos/a.768944336470972/4235191099846261
1622,Barbados,BRB,2021-02-20,15837,15837,0,1426.0,2269,5.51,5.51,0.0,7896.0,Oxford/AstraZeneca,Ministry of Health,https://www.facebook.com/moh.barbados/photos/a.768944336470972/4235191099846261
1623,Barbados,BRB,2021-02-21,16544,16544,0,707.0,2009,5.76,5.76,0.0,6991.0,Oxford/AstraZeneca,Ministry of Health,https://www.facebook.com/moh.barbados/photos/a.768944336470972/4235191099846261
1624,Barbados,BRB,2021-02-22,19089,19089,0,2545.0,2086,6.64,6.64,0.0,7259.0,Oxford/AstraZeneca,Ministry of Health,https://www.facebook.com/moh.barbados/photos/a.768944336470972/4235191099846261
1625,Barbados,BRB,2021-02-23,22037,22037,0,2948.0,2193,7.67,7.67,0.0,7631.0,Oxford/AstraZeneca,Ministry of Health,https://www.facebook.com/moh.barbados/photos/a.768944336470972/4235191099846261
1626,Barbados,BRB,2021-02-24,25578,25578,0,3541.0,2352,8.9,8.9,0.0,8185.0,Oxford/AstraZeneca,Ministry of Health,https://www.facebook.com/moh.barbados/photos/a.768944336470972/4235191099846261
1627,Barbados,BRB,2021-02-25,29283,29283,0,3705.0,2541,10.19,10.19,0.0,8842.0,Oxford/AstraZeneca,Ministry of Health,https://www.facebook.com/moh.barbados/photos/a.768944336470972/4235191099846261
1628,Barbados,BRB,2021-02-26,33633,33633,0,4350.0,2746,11.7,11.7,0.0,9556.0,Oxford/AstraZeneca,Ministry of Health,https://www.facebook.com/moh.barbados/photos/a.768944336470972/4235191099846261
