,country,iso_code,date,total_vaccinations,people_vaccinated,people_fully_vaccinated,daily_vaccinations_raw,daily_vaccinations,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,daily_vaccinations_per_million,vaccines,source_name,source_website
1861,Belgium,BEL,2020-12-28,298,0,0,,0,0.0,0.0,0.0,0.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Sciensano,https://epistat.wiv-isp.be/covid/
1862,Belgium,BEL,2020-12-29,309,309,10,11.0,11,0.0,0.0,0.0,1.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Sciensano,https://epistat.wiv-isp.be/covid/
1863,Belgium,BEL,2020-12-30,793,793,17,484.0,248,0.01,0.01,0.0,21.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Sciensano,https://epistat.wiv-isp.be/covid/
1864,Belgium,BEL,2020-12-31,803,803,17,10.0,168,0.01,0.01,0.0,14.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Sciensano,https://epistat.wiv-isp.be/covid/
1865,Belgium,BEL,2021-01-01,811,811,17,8.0,128,0.01,0.01,0.0,11.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Sciensano,https://epistat.wiv-isp.be/covid/
1866,Belgium,BEL,2021-01-02,824,824,30,13.0,105,0.01,0.01,0.0,9.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Sciensano,https://epistat.wiv-isp.be/covid/
1867,Belgium,BEL,2021-01-03,826,826,0,,88,0.007197420988045572,0.007197420988045572,0.0,8.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Sciensano,https://epistat.wiv-isp.be/covid/
1868,Belgium,BEL,2021-01-04,828,828,30,,76,0.01,0.01,0.0,7.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Sciensano,https://epistat.wiv-isp.be/covid/
1869,Belgium,BEL,2021-01-05,2543,2543,41,1715.0,319,0.02,0.02,0.0,28.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Sciensano,https://epistat.wiv-isp.be/covid/
1870,Belgium,BEL,2021-01-06,6437,6437,53,3894.0,806,0.06,0.06,0.0,70.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Sciensano,https://epistat.wiv-isp.be/covid/
1871,Belgium,BEL,2021-01-07,14625,14625,55,8188.0,1975,0.13,0.13,0.0,170.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Sciensano,https://epistat.wiv-isp.be/covid/
1872,Belgium,BEL,2021-01-08,23883,23883,68,9258.0,3296,0.21,0.21,0.0,284.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Sciensano,https://epistat.wiv-isp.be/covid/
1873,Belgium,BEL,2021-01-09,27099,27099,77,3216.0,3754,0.23,0.23,0.0,324.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Sciensano,https://epistat.wiv-isp.be/covid/
1874,Belgium,BEL,2021-01-10,27501,27501,77,402.0,3811,0.24,0.24,0.0,329.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Sciensano,https://epistat.wiv-isp.be/covid/
1875,Belgium,BEL,2021-01-11,33082,33082,77,5581.0,4608,0.29,0.29,0.0,398.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Sciensano,https://epistat.wiv-isp.be/covid/
1876,Belgium,BEL,2021-01-12,48806,48806,89,15724.0,6609,0.42,0.42,0.0,570.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Sciensano,https://epistat.wiv-isp.be/covid/
1877,Belgium,BEL,2021-01-13,70240,70240,97,21434.0,9115,0.61,0.61,0.0,786.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Sciensano,https://epistat.wiv-isp.be/covid/
1878,Belgium,BEL,2021-01-14,93524,93524,97,23284.0,11271,0.81,0.81,0.0,973.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Sciensano,https://epistat.wiv-isp.be/covid/
1879,Belgium,BEL,2021-01-15,116874,116874,109,23350.0,13284,1.01,1.01,0.0,1146.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Sciensano,https://epistat.wiv-isp.be/covid/
1880,Belgium,BEL,2021-01-16,122044,122044,119,5170.0,13564,1.05,1.05,0.0,1170.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Sciensano,https://epistat.wiv-isp.be/covid/
1881,Belgium,BEL,2021-01-17,125345,125345,119,3301.0,13978,1.08,1.08,0.0,1206.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Sciensano,https://epistat.wiv-isp.be/covid/
1882,Belgium,BEL,2021-01-18,136381,136271,229,11036.0,14757,1.18,1.18,0.0,1273.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Sciensano,https://epistat.wiv-isp.be/covid/
1883,Belgium,BEL,2021-01-19,155644,155353,423,19263.0,15263,1.34,1.34,0.0,1317.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Sciensano,https://epistat.wiv-isp.be/covid/
1884,Belgium,BEL,2021-01-20,177004,176290,855,21360.0,15252,1.53,1.52,0.01,1316.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Sciensano,https://epistat.wiv-isp.be/covid/
1885,Belgium,BEL,2021-01-21,207144,206429,869,30140.0,16231,1.79,1.78,0.01,1400.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Sciensano,https://epistat.wiv-isp.be/covid/
1886,Belgium,BEL,2021-01-22,236902,236155,930,29758.0,17147,2.04,2.04,0.01,1480.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Sciensano,https://epistat.wiv-isp.be/covid/
1887,Belgium,BEL,2021-01-23,245234,244480,948,8332.0,17599,2.12,2.11,0.01,1519.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Sciensano,https://epistat.wiv-isp.be/covid/
1888,Belgium,BEL,2021-01-24,247109,246355,948,1875.0,17395,2.13,2.13,0.01,1501.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Sciensano,https://epistat.wiv-isp.be/covid/
1889,Belgium,BEL,2021-01-25,258376,257622,954,11267.0,17428,2.23,2.22,0.01,1504.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Sciensano,https://epistat.wiv-isp.be/covid/
1890,Belgium,BEL,2021-01-26,271071,268603,2676,12695.0,16490,2.34,2.32,0.02,1423.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Sciensano,https://epistat.wiv-isp.be/covid/
1891,Belgium,BEL,2021-01-27,287573,281691,6116,16502.0,15796,2.48,2.43,0.05,1363.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Sciensano,https://epistat.wiv-isp.be/covid/
