,country,iso_code,date,total_vaccinations,people_vaccinated,people_fully_vaccinated,daily_vaccinations_raw,daily_vaccinations,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,daily_vaccinations_per_million,vaccines,source_name,source_website
2010,Belize,BLZ,2021-02-28,0,0,0,,0,0.0,0.0,0.0,0.0,"Oxford/AstraZeneca, Sinopharm/Beijing",Ministry of Health,https://www.facebook.com/Belizehealth/photos/a.1410495949248816/2692566664375065
2011,Belize,BLZ,2021-03-01,208,208,0,,208,0.0522832444769539,0.0522832444769539,0.0,523.0,"Oxford/AstraZeneca, Sinopharm/Beijing",Ministry of Health,https://www.facebook.com/Belizehealth/photos/a.1410495949248816/2692566664375065
2012,Belize,BLZ,2021-03-02,417,417,0,,208,0.1,0.1,0.0,523.0,"Oxford/AstraZeneca, Sinopharm/Beijing",Ministry of Health,https://www.facebook.com/Belizehealth/photos/a.1410495949248816/2692566664375065
2013,Belize,BLZ,2021-03-03,673,673,0,256.0,224,0.17,0.17,0.0,563.0,"Oxford/AstraZeneca, Sinopharm/Beijing",Ministry of Health,https://www.facebook.com/Belizehealth/photos/a.1410495949248816/2692566664375065
2014,Belize,BLZ,2021-03-04,817,817,0,144.0,204,0.21,0.21,0.0,513.0,"Oxford/AstraZeneca, Sinopharm/Beijing",Ministry of Health,https://www.facebook.com/Belizehealth/photos/a.1410495949248816/2692566664375065
2015,Belize,BLZ,2021-03-05,996,996,0,179.0,199,0.25,0.25,0.0,500.0,"Oxford/AstraZeneca, Sinopharm/Beijing",Ministry of Health,https://www.facebook.com/Belizehealth/photos/a.1410495949248816/2692566664375065
2016,Belize,BLZ,2021-03-06,1113,1113,0,,186,0.27976563030216195,0.27976563030216195,0.0,468.0,"Oxford/AstraZeneca, Sinopharm/Beijing",Ministry of Health,https://www.facebook.com/Belizehealth/photos/a.1410495949248816/2692566664375065
2017,Belize,BLZ,2021-03-07,1231,1231,0,,176,0.30942631707274154,0.30942631707274154,0.0,443.0,"Oxford/AstraZeneca, Sinopharm/Beijing",Ministry of Health,https://www.facebook.com/Belizehealth/photos/a.1410495949248816/2692566664375065
2018,Belize,BLZ,2021-03-08,1348,1348,0,,163,0.3388356420910281,0.3388356420910281,0.0,410.0,"Oxford/AstraZeneca, Sinopharm/Beijing",Ministry of Health,https://www.facebook.com/Belizehealth/photos/a.1410495949248816/2692566664375065
2019,Belize,BLZ,2021-03-09,1466,1466,0,,150,0.37,0.37,0.0,377.0,"Oxford/AstraZeneca, Sinopharm/Beijing",Ministry of Health,https://www.facebook.com/Belizehealth/photos/a.1410495949248816/2692566664375065
2020,Belize,BLZ,2021-03-10,2489,2489,0,1023.0,259,0.63,0.63,0.0,651.0,"Oxford/AstraZeneca, Sinopharm/Beijing",Ministry of Health,https://www.facebook.com/Belizehealth/photos/a.1410495949248816/2692566664375065
2021,Belize,BLZ,2021-03-11,4933,4933,0,2444.0,588,1.24,1.24,0.0,1479.0,"Oxford/AstraZeneca, Sinopharm/Beijing",Ministry of Health,https://www.facebook.com/Belizehealth/photos/a.1410495949248816/2692566664375065
2022,Belize,BLZ,2021-03-12,7444,7444,0,2511.0,921,1.87,1.87,0.0,2316.0,"Oxford/AstraZeneca, Sinopharm/Beijing",Ministry of Health,https://www.facebook.com/Belizehealth/photos/a.1410495949248816/2692566664375065
2023,Belize,BLZ,2021-03-13,8157,8157,0,,1006,2.050357813454389,2.050357813454389,0.0,2530.0,"Oxford/AstraZeneca, Sinopharm/Beijing",Ministry of Health,https://www.facebook.com/Belizehealth/photos/a.1410495949248816/2692566664375065
2024,Belize,BLZ,2021-03-14,8871,8871,0,,1091,2.2298301045916253,2.2298301045916253,0.0,2744.0,"Oxford/AstraZeneca, Sinopharm/Beijing",Ministry of Health,https://www.facebook.com/Belizehealth/photos/a.1410495949248816/2692566664375065
2025,Belize,BLZ,2021-03-15,9585,9585,0,,1177,2.41,2.41,0.0,2960.0,"Oxford/AstraZeneca, Sinopharm/Beijing",Ministry of Health,https://www.facebook.com/Belizehealth/photos/a.1410495949248816/2692566664375065
2026,Belize,BLZ,2021-03-16,10972,10972,0,1387.0,1358,2.76,2.76,0.0,3415.0,"Oxford/AstraZeneca, Sinopharm/Beijing",Ministry of Health,https://www.facebook.com/Belizehealth/photos/a.1410495949248816/2692566664375065
2027,Belize,BLZ,2021-03-17,11943,11943,0,971.0,1351,3.0,3.0,0.0,3398.0,"Oxford/AstraZeneca, Sinopharm/Beijing",Ministry of Health,https://www.facebook.com/Belizehealth/photos/a.1410495949248816/2692566664375065
2028,Belize,BLZ,2021-03-18,13150,13150,0,1207.0,1174,3.31,3.31,0.0,2953.0,"Oxford/AstraZeneca, Sinopharm/Beijing",Ministry of Health,https://www.facebook.com/Belizehealth/photos/a.1410495949248816/2692566664375065
2029,Belize,BLZ,2021-03-19,15006,15006,0,1856.0,1080,3.77,3.77,0.0,2716.0,"Oxford/AstraZeneca, Sinopharm/Beijing",Ministry of Health,https://www.facebook.com/Belizehealth/photos/a.1410495949248816/2692566664375065
2030,Belize,BLZ,2021-03-20,15404,15404,0,,1035,3.8719764323221053,3.8719764323221053,0.0,2603.0,"Oxford/AstraZeneca, Sinopharm/Beijing",Ministry of Health,https://www.facebook.com/Belizehealth/photos/a.1410495949248816/2692566664375065
2031,Belize,BLZ,2021-03-21,15803,15803,0,,990,3.972269771487031,3.972269771487031,0.0,2490.0,"Oxford/AstraZeneca, Sinopharm/Beijing",Ministry of Health,https://www.facebook.com/Belizehealth/photos/a.1410495949248816/2692566664375065
2032,Belize,BLZ,2021-03-22,16202,16202,0,,945,4.07,4.07,0.0,2377.0,"Oxford/AstraZeneca, Sinopharm/Beijing",Ministry of Health,https://www.facebook.com/Belizehealth/photos/a.1410495949248816/2692566664375065
2033,Belize,BLZ,2021-03-23,17282,17282,0,1080.0,901,4.35,4.35,0.0,2266.0,"Oxford/AstraZeneca, Sinopharm/Beijing",Ministry of Health,https://www.facebook.com/Belizehealth/photos/a.1410495949248816/2692566664375065
2034,Belize,BLZ,2021-03-24,18182,18182,0,900.0,891,4.57,4.57,0.0,2241.0,"Oxford/AstraZeneca, Sinopharm/Beijing",Ministry of Health,https://www.facebook.com/Belizehealth/photos/a.1410495949248816/2692566664375065
2035,Belize,BLZ,2021-03-25,19296,19296,0,,878,4.850276372246646,4.850276372246646,0.0,2208.0,"Oxford/AstraZeneca, Sinopharm/Beijing",Ministry of Health,https://www.facebook.com/Belizehealth/photos/a.1410495949248816/2692566664375065
2036,Belize,BLZ,2021-03-26,20411,20411,0,,772,5.13,5.13,0.0,1942.0,"Oxford/AstraZeneca, Sinopharm/Beijing",Ministry of Health,https://www.facebook.com/Belizehealth/photos/a.1410495949248816/2692566664375065
2037,Belize,BLZ,2021-03-27,20742,20742,0,,763,5.213745466062393,5.213745466062393,0.0,1919.0,"Oxford/AstraZeneca, Sinopharm/Beijing",Ministry of Health,https://www.facebook.com/Belizehealth/photos/a.1410495949248816/2692566664375065
