,country,iso_code,date,total_vaccinations,people_vaccinated,people_fully_vaccinated,daily_vaccinations_raw,daily_vaccinations,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,daily_vaccinations_per_million,vaccines,source_name,source_website
2107,Bermuda,BMU,2021-01-10,0,0,0,,0,0.0,0.0,0.0,0.0,Pfizer/BioNTech,Government of Bermuda,https://bernews.com/2021/05/68103-total-covid-19-vaccinations-administered/
2108,Bermuda,BMU,2021-01-11,277,277,0,,278,0.4453376205787781,0.4453376205787781,0.0,4464.0,Pfizer/BioNTech,Government of Bermuda,https://bernews.com/2021/05/68103-total-covid-19-vaccinations-administered/
2109,Bermuda,BMU,2021-01-12,555,555,0,,278,0.892282958199357,0.892282958199357,0.0,4464.0,Pfizer/BioNTech,Government of Bermuda,https://bernews.com/2021/05/68103-total-covid-19-vaccinations-administered/
2110,Bermuda,BMU,2021-01-13,832,832,0,,278,1.337620578778135,1.337620578778135,0.0,4464.0,Pfizer/BioNTech,Government of Bermuda,https://bernews.com/2021/05/68103-total-covid-19-vaccinations-administered/
2111,Bermuda,BMU,2021-01-14,1110,1110,0,,278,1.784565916398714,1.784565916398714,0.0,4464.0,Pfizer/BioNTech,Government of Bermuda,https://bernews.com/2021/05/68103-total-covid-19-vaccinations-administered/
2112,Bermuda,BMU,2021-01-15,1387,1387,0,,278,2.229903536977492,2.229903536977492,0.0,4464.0,Pfizer/BioNTech,Government of Bermuda,https://bernews.com/2021/05/68103-total-covid-19-vaccinations-administered/
2113,Bermuda,BMU,2021-01-16,1665,1665,0,,278,2.67,2.67,0.0,4464.0,Pfizer/BioNTech,Government of Bermuda,https://bernews.com/2021/05/68103-total-covid-19-vaccinations-administered/
2114,Bermuda,BMU,2021-01-17,1846,1846,0,,264,2.967845659163987,2.967845659163987,0.0,4239.0,Pfizer/BioNTech,Government of Bermuda,https://bernews.com/2021/05/68103-total-covid-19-vaccinations-administered/
2115,Bermuda,BMU,2021-01-18,2027,2027,0,,250,3.2588424437299035,3.2588424437299035,0.0,4015.0,Pfizer/BioNTech,Government of Bermuda,https://bernews.com/2021/05/68103-total-covid-19-vaccinations-administered/
2116,Bermuda,BMU,2021-01-19,2208,2208,0,,236,3.54983922829582,3.54983922829582,0.0,3790.0,Pfizer/BioNTech,Government of Bermuda,https://bernews.com/2021/05/68103-total-covid-19-vaccinations-administered/
2117,Bermuda,BMU,2021-01-20,2389,2389,0,,222,3.840836012861736,3.840836012861736,0.0,3565.0,Pfizer/BioNTech,Government of Bermuda,https://bernews.com/2021/05/68103-total-covid-19-vaccinations-administered/
2118,Bermuda,BMU,2021-01-21,2570,2570,0,,209,4.131832797427653,4.131832797427653,0.0,3356.0,Pfizer/BioNTech,Government of Bermuda,https://bernews.com/2021/05/68103-total-covid-19-vaccinations-administered/
2119,Bermuda,BMU,2021-01-22,2751,2751,0,,195,4.422829581993569,4.422829581993569,0.0,3131.0,Pfizer/BioNTech,Government of Bermuda,https://bernews.com/2021/05/68103-total-covid-19-vaccinations-administered/
2120,Bermuda,BMU,2021-01-23,2932,2932,0,,181,4.71,4.71,0.0,2907.0,Pfizer/BioNTech,Government of Bermuda,https://bernews.com/2021/05/68103-total-covid-19-vaccinations-administered/
2121,Bermuda,BMU,2021-01-24,3212,3212,0,,195,5.163987138263666,5.163987138263666,0.0,3131.0,Pfizer/BioNTech,Government of Bermuda,https://bernews.com/2021/05/68103-total-covid-19-vaccinations-administered/
2122,Bermuda,BMU,2021-01-25,3493,3493,0,,209,5.615755627009646,5.615755627009646,0.0,3356.0,Pfizer/BioNTech,Government of Bermuda,https://bernews.com/2021/05/68103-total-covid-19-vaccinations-administered/
2123,Bermuda,BMU,2021-01-26,3774,3774,0,,224,6.067524115755627,6.067524115755627,0.0,3597.0,Pfizer/BioNTech,Government of Bermuda,https://bernews.com/2021/05/68103-total-covid-19-vaccinations-administered/
2124,Bermuda,BMU,2021-01-27,4054,4054,0,,238,6.517684887459807,6.517684887459807,0.0,3822.0,Pfizer/BioNTech,Government of Bermuda,https://bernews.com/2021/05/68103-total-covid-19-vaccinations-administered/
2125,Bermuda,BMU,2021-01-28,4335,4335,0,,252,6.969453376205788,6.969453376205788,0.0,4047.0,Pfizer/BioNTech,Government of Bermuda,https://bernews.com/2021/05/68103-total-covid-19-vaccinations-administered/
2126,Bermuda,BMU,2021-01-29,4616,4616,0,,266,7.421221864951769,7.421221864951769,0.0,4272.0,Pfizer/BioNTech,Government of Bermuda,https://bernews.com/2021/05/68103-total-covid-19-vaccinations-administered/
2127,Bermuda,BMU,2021-01-30,4897,4897,0,,281,7.86,7.86,0.0,4512.0,Pfizer/BioNTech,Government of Bermuda,https://bernews.com/2021/05/68103-total-covid-19-vaccinations-administered/
2128,Bermuda,BMU,2021-01-31,5496,5269,226,,326,8.836012861736334,8.471061093247588,0.36334405144694537,5235.0,Pfizer/BioNTech,Government of Bermuda,https://bernews.com/2021/05/68103-total-covid-19-vaccinations-administered/
2129,Bermuda,BMU,2021-02-01,6096,5641,454,,372,9.80064308681672,9.069131832797428,0.729903536977492,5974.0,Pfizer/BioNTech,Government of Bermuda,https://bernews.com/2021/05/68103-total-covid-19-vaccinations-administered/
2130,Bermuda,BMU,2021-02-02,6696,6014,681,,417,10.765273311897106,9.668810289389068,1.094855305466238,6696.0,Pfizer/BioNTech,Government of Bermuda,https://bernews.com/2021/05/68103-total-covid-19-vaccinations-administered/
2131,Bermuda,BMU,2021-02-03,7295,6386,908,,463,11.728295819935692,10.266881028938906,1.459807073954984,7435.0,Pfizer/BioNTech,Government of Bermuda,https://bernews.com/2021/05/68103-total-covid-19-vaccinations-administered/
2132,Bermuda,BMU,2021-02-04,7895,6759,1135,,509,12.692926045016076,10.866559485530548,1.82475884244373,8174.0,Pfizer/BioNTech,Government of Bermuda,https://bernews.com/2021/05/68103-total-covid-19-vaccinations-administered/
2133,Bermuda,BMU,2021-02-05,8495,7131,1363,,554,13.657556270096464,11.464630225080386,2.1913183279742765,8896.0,Pfizer/BioNTech,Government of Bermuda,https://bernews.com/2021/05/68103-total-covid-19-vaccinations-administered/
2134,Bermuda,BMU,2021-02-06,9095,7504,1591,,600,14.61,12.05,2.55,9635.0,Pfizer/BioNTech,Government of Bermuda,https://bernews.com/2021/05/68103-total-covid-19-vaccinations-administered/
2135,Bermuda,BMU,2021-02-07,9396,7802,1593,,557,15.106109324758844,12.543408360128616,2.5610932475884245,8944.0,Pfizer/BioNTech,Government of Bermuda,https://bernews.com/2021/05/68103-total-covid-19-vaccinations-administered/
2136,Bermuda,BMU,2021-02-08,9698,8101,1596,,515,15.591639871382638,13.024115755627012,2.565916398713826,8270.0,Pfizer/BioNTech,Government of Bermuda,https://bernews.com/2021/05/68103-total-covid-19-vaccinations-administered/
2137,Bermuda,BMU,2021-02-09,10000,8400,1600,,472,16.06,13.49,2.57,7580.0,Pfizer/BioNTech,Government of Bermuda,https://bernews.com/2021/05/68103-total-covid-19-vaccinations-administered/
2138,Bermuda,BMU,2021-02-10,10525,8700,1824,,461,16.921221864951768,13.987138263665594,2.932475884244373,7403.0,Pfizer/BioNTech,Government of Bermuda,https://bernews.com/2021/05/68103-total-covid-19-vaccinations-administered/
2139,Bermuda,BMU,2021-02-11,11051,9000,2050,,451,17.766881028938908,14.469453376205788,3.295819935691318,7242.0,Pfizer/BioNTech,Government of Bermuda,https://bernews.com/2021/05/68103-total-covid-19-vaccinations-administered/
2140,Bermuda,BMU,2021-02-12,11577,9300,2276,,440,18.612540192926044,14.951768488745982,3.6591639871382635,7066.0,Pfizer/BioNTech,Government of Bermuda,https://bernews.com/2021/05/68103-total-covid-19-vaccinations-administered/
2141,Bermuda,BMU,2021-02-13,12103,9601,2501,,430,19.458199356913184,15.435691318327974,4.020900321543408,6905.0,Pfizer/BioNTech,Government of Bermuda,https://bernews.com/2021/05/68103-total-covid-19-vaccinations-administered/
2142,Bermuda,BMU,2021-02-14,12629,9901,2727,,462,20.303858520900324,15.918006430868168,4.384244372990354,7419.0,Pfizer/BioNTech,Government of Bermuda,https://bernews.com/2021/05/68103-total-covid-19-vaccinations-administered/
2143,Bermuda,BMU,2021-02-15,13155,10201,2953,,494,21.12,16.40032154340836,4.747588424437299,7933.0,Pfizer/BioNTech,Government of Bermuda,https://bernews.com/2021/05/68103-total-covid-19-vaccinations-administered/
2144,Bermuda,BMU,2021-02-16,13714,10502,3211,,531,22.04823151125402,16.884244372990352,5.162379421221865,8527.0,Pfizer/BioNTech,Government of Bermuda,https://bernews.com/2021/05/68103-total-covid-19-vaccinations-administered/
2145,Bermuda,BMU,2021-02-17,14274,10802,3471,,536,22.94855305466238,17.366559485530548,5.580385852090032,8607.0,Pfizer/BioNTech,Government of Bermuda,https://bernews.com/2021/05/68103-total-covid-19-vaccinations-administered/
2146,Bermuda,BMU,2021-02-18,14834,11102,3731,,540,23.84887459807074,17.84887459807074,5.9983922829582,8671.0,Pfizer/BioNTech,Government of Bermuda,https://bernews.com/2021/05/68103-total-covid-19-vaccinations-administered/
2147,Bermuda,BMU,2021-02-19,15393,11403,3989,,545,24.7475884244373,18.332797427652732,6.413183279742765,8752.0,Pfizer/BioNTech,Government of Bermuda,https://bernews.com/2021/05/68103-total-covid-19-vaccinations-administered/
2148,Bermuda,BMU,2021-02-20,15953,11703,4249,,550,25.64790996784566,18.815112540192928,6.831189710610933,8832.0,Pfizer/BioNTech,Government of Bermuda,https://bernews.com/2021/05/68103-total-covid-19-vaccinations-administered/
2149,Bermuda,BMU,2021-02-21,16513,12003,4509,,555,26.548231511254016,19.297427652733116,7.2491961414791,8912.0,Pfizer/BioNTech,Government of Bermuda,https://bernews.com/2021/05/68103-total-covid-19-vaccinations-administered/
2150,Bermuda,BMU,2021-02-22,17073,12304,4769,,560,27.42,19.76,7.66,8993.0,Pfizer/BioNTech,Government of Bermuda,https://bernews.com/2021/05/68103-total-covid-19-vaccinations-administered/
2151,Bermuda,BMU,2021-02-23,17799,12575,5224,,584,28.615755627009648,20.217041800643088,8.39871382636656,9378.0,Pfizer/BioNTech,Government of Bermuda,https://bernews.com/2021/05/68103-total-covid-19-vaccinations-administered/
2152,Bermuda,BMU,2021-02-24,18525,12846,5679,,607,29.782958199356912,20.65273311897106,9.130225080385852,9747.0,Pfizer/BioNTech,Government of Bermuda,https://bernews.com/2021/05/68103-total-covid-19-vaccinations-administered/
2153,Bermuda,BMU,2021-02-25,19252,13117,6135,,631,30.95176848874598,21.088424437299036,9.863344051446946,10133.0,Pfizer/BioNTech,Government of Bermuda,https://bernews.com/2021/05/68103-total-covid-19-vaccinations-administered/
2154,Bermuda,BMU,2021-02-26,19978,13388,6590,,655,32.11897106109325,21.52411575562701,10.594855305466238,10518.0,Pfizer/BioNTech,Government of Bermuda,https://bernews.com/2021/05/68103-total-covid-19-vaccinations-administered/
2155,Bermuda,BMU,2021-02-27,20705,13659,7046,,679,33.25,21.93,11.31,10904.0,Pfizer/BioNTech,Government of Bermuda,https://bernews.com/2021/05/68103-total-covid-19-vaccinations-administered/
2156,Bermuda,BMU,2021-02-28,21046,14067,6978,,648,33.836012861736336,22.615755627009644,11.218649517684888,10406.0,Pfizer/BioNTech,Government of Bermuda,https://bernews.com/2021/05/68103-total-covid-19-vaccinations-administered/
2157,Bermuda,BMU,2021-03-01,21387,14476,6910,,616,34.34,23.273311897106108,11.109324758842444,9892.0,Pfizer/BioNTech,Government of Bermuda,https://bernews.com/2021/05/68103-total-covid-19-vaccinations-administered/
2158,Bermuda,BMU,2021-03-02,22663,14885,7777,,695,36.435691318327976,23.930868167202572,12.5032154340836,11161.0,Pfizer/BioNTech,Government of Bermuda,https://bernews.com/2021/05/68103-total-covid-19-vaccinations-administered/
2159,Bermuda,BMU,2021-03-03,23939,15294,8645,,773,38.44,24.56,13.88,12413.0,Pfizer/BioNTech,Government of Bermuda,https://bernews.com/2021/05/68103-total-covid-19-vaccinations-administered/
2160,Bermuda,BMU,2021-03-04,24480,15594,8885,,747,39.356913183279744,25.070739549839228,14.284565916398714,11996.0,Pfizer/BioNTech,Government of Bermuda,https://bernews.com/2021/05/68103-total-covid-19-vaccinations-administered/
2161,Bermuda,BMU,2021-03-05,25021,15894,9126,,720,40.226688102893895,25.55305466237942,14.672025723472668,11562.0,Pfizer/BioNTech,Government of Bermuda,https://bernews.com/2021/05/68103-total-covid-19-vaccinations-administered/
2162,Bermuda,BMU,2021-03-06,25562,16194,9367,,694,41.09646302250804,26.035369774919616,15.059485530546624,11144.0,Pfizer/BioNTech,Government of Bermuda,https://bernews.com/2021/05/68103-total-covid-19-vaccinations-administered/
2163,Bermuda,BMU,2021-03-07,26103,16494,9608,,723,41.966237942122184,26.517684887459808,15.44694533762058,11610.0,Pfizer/BioNTech,Government of Bermuda,https://bernews.com/2021/05/68103-total-covid-19-vaccinations-administered/
2164,Bermuda,BMU,2021-03-08,26644,16794,9849,,751,42.836012861736336,27.0,15.834405144694532,12060.0,Pfizer/BioNTech,Government of Bermuda,https://bernews.com/2021/05/68103-total-covid-19-vaccinations-administered/
