,country,iso_code,date,total_vaccinations,people_vaccinated,people_fully_vaccinated,daily_vaccinations_raw,daily_vaccinations,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,daily_vaccinations_per_million,vaccines,source_name,source_website
2242,Bhutan,BTN,2021-03-26,0,0,0,,0,0.0,0.0,0.0,0.0,Oxford/AstraZeneca,Ministry of Health,https://www.facebook.com/MoHBhutan/photos/a.999012646827018/4197567006971550/
2243,Bhutan,BTN,2021-03-27,85949,85949,0,85949.0,85949,11.14,11.14,0.0,111389.0,Oxford/AstraZeneca,Ministry of Health,https://www.facebook.com/MoHBhutan/photos/a.999012646827018/4197567006971550/
2244,Bhutan,BTN,2021-03-28,183271,183271,0,97322.0,91636,23.75,23.75,0.0,118759.0,Oxford/AstraZeneca,Ministry of Health,https://www.facebook.com/MoHBhutan/photos/a.999012646827018/4197567006971550/
2245,Bhutan,BTN,2021-03-29,274703,274703,0,91432.0,91568,35.6,35.6,0.0,118671.0,Oxford/AstraZeneca,Ministry of Health,https://www.facebook.com/MoHBhutan/photos/a.999012646827018/4197567006971550/
2246,Bhutan,BTN,2021-03-30,340917,340917,0,66214.0,85229,44.18,44.18,0.0,110456.0,Oxford/AstraZeneca,Ministry of Health,https://www.facebook.com/MoHBhutan/photos/a.999012646827018/4197567006971550/
2247,Bhutan,BTN,2021-03-31,394765,394765,0,53848.0,78953,51.16,51.16,0.0,102322.0,Oxford/AstraZeneca,Ministry of Health,https://www.facebook.com/MoHBhutan/photos/a.999012646827018/4197567006971550/
2248,Bhutan,BTN,2021-04-01,434837,434837,0,40072.0,72473,56.35,56.35,0.0,93924.0,Oxford/AstraZeneca,Ministry of Health,https://www.facebook.com/MoHBhutan/photos/a.999012646827018/4197567006971550/
2249,Bhutan,BTN,2021-04-02,453595,453595,0,18758.0,64799,58.79,58.79,0.0,83979.0,Oxford/AstraZeneca,Ministry of Health,https://www.facebook.com/MoHBhutan/photos/a.999012646827018/4197567006971550/
2250,Bhutan,BTN,2021-04-03,459752,459752,0,6157.0,53400,59.58,59.58,0.0,69206.0,Oxford/AstraZeneca,Ministry of Health,https://www.facebook.com/MoHBhutan/photos/a.999012646827018/4197567006971550/
2251,Bhutan,BTN,2021-04-04,466811,466811,0,7059.0,40506,60.5,60.5,0.0,52495.0,Oxford/AstraZeneca,Ministry of Health,https://www.facebook.com/MoHBhutan/photos/a.999012646827018/4197567006971550/
