,country,iso_code,date,total_vaccinations,people_vaccinated,people_fully_vaccinated,daily_vaccinations_raw,daily_vaccinations,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,daily_vaccinations_per_million,vaccines,source_name,source_website
2303,Bolivia,BOL,2021-01-28,0,0,0,,0,0.0,0.0,0.0,0.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",Ministry of Health,https://www.boliviasegura.gob.bo/index.php/category/estadistica/
2304,Bolivia,BOL,2021-01-29,312,312,0,12.0,12,0.0,0.002671141399267148,0.0,1.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",Ministry of Health,https://www.boliviasegura.gob.bo/index.php/category/estadistica/
2305,Bolivia,BOL,2021-01-30,625,625,0,27.0,20,0.0,0.005350844149172973,0.0,2.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",Ministry of Health,https://www.boliviasegura.gob.bo/index.php/category/estadistica/
2306,Bolivia,BOL,2021-01-31,938,938,0,28.0,22,0.0,0.008030546899078799,0.0,2.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",Ministry of Health,https://www.boliviasegura.gob.bo/index.php/category/estadistica/
2307,Bolivia,BOL,2021-02-01,1251,1251,0,503.0,142,0.0,0.010710249648984625,0.0,12.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",Ministry of Health,https://www.boliviasegura.gob.bo/index.php/category/estadistica/
2308,Bolivia,BOL,2021-02-02,1593,1564,28,1023.0,319,0.01,0.01338995239889045,0.00023971781788294921,27.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",Ministry of Health,https://www.boliviasegura.gob.bo/index.php/category/estadistica/
2309,Bolivia,BOL,2021-02-03,3560,1877,1682,1967.0,593,0.03,0.016069655148796273,0.014400191774254306,51.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",Ministry of Health,https://www.boliviasegura.gob.bo/index.php/category/estadistica/
2310,Bolivia,BOL,2021-02-04,4385,2190,2194,,627,0.03754152255059758,0.018749357898702097,0.018783603301256807,54.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",Ministry of Health,https://www.boliviasegura.gob.bo/index.php/category/estadistica/
2311,Bolivia,BOL,2021-02-05,5211,2503,2707,,743,0.04461319817814459,0.021429060648607924,0.023175576178897983,64.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",Ministry of Health,https://www.boliviasegura.gob.bo/index.php/category/estadistica/
2312,Bolivia,BOL,2021-02-06,6037,2815,3221,,857,0.05168487380569159,0.024100202047875073,0.027576110407177834,73.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",Ministry of Health,https://www.boliviasegura.gob.bo/index.php/category/estadistica/
