,country,iso_code,date,total_vaccinations,people_vaccinated,people_fully_vaccinated,daily_vaccinations_raw,daily_vaccinations,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,daily_vaccinations_per_million,vaccines,source_name,source_website
2422,Bosnia and Herzegovina,BIH,2021-02-11,0,0,0,,0,0.0,0.0,0.0,0.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V",Public Health Institute,https://www.klix.ba/vijesti/bih/u-fbih-do-sada-vakcinisano-vise-od-112-700-stanovnika/210525116
2423,Bosnia and Herzegovina,BIH,2021-02-12,263,263,0,,263,0.008027921293404955,0.008027921293404955,0.0,80.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V",Public Health Institute,https://www.klix.ba/vijesti/bih/u-fbih-do-sada-vakcinisano-vise-od-112-700-stanovnika/210525116
2424,Bosnia and Herzegovina,BIH,2021-02-13,526,526,0,,263,0.01605584258680991,0.01605584258680991,0.0,80.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V",Public Health Institute,https://www.klix.ba/vijesti/bih/u-fbih-do-sada-vakcinisano-vise-od-112-700-stanovnika/210525116
2425,Bosnia and Herzegovina,BIH,2021-02-14,789,789,0,,263,0.024083763880214867,0.024083763880214867,0.0,80.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V",Public Health Institute,https://www.klix.ba/vijesti/bih/u-fbih-do-sada-vakcinisano-vise-od-112-700-stanovnika/210525116
2426,Bosnia and Herzegovina,BIH,2021-02-15,1052,1052,0,,263,0.03211168517361982,0.03211168517361982,0.0,80.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V",Public Health Institute,https://www.klix.ba/vijesti/bih/u-fbih-do-sada-vakcinisano-vise-od-112-700-stanovnika/210525116
2427,Bosnia and Herzegovina,BIH,2021-02-16,1315,1315,0,,263,0.040139606467024774,0.040139606467024774,0.0,80.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V",Public Health Institute,https://www.klix.ba/vijesti/bih/u-fbih-do-sada-vakcinisano-vise-od-112-700-stanovnika/210525116
2428,Bosnia and Herzegovina,BIH,2021-02-17,1578,1578,0,,263,0.048167527760429735,0.048167527760429735,0.0,80.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V",Public Health Institute,https://www.klix.ba/vijesti/bih/u-fbih-do-sada-vakcinisano-vise-od-112-700-stanovnika/210525116
2429,Bosnia and Herzegovina,BIH,2021-02-18,1842,1842,0,,263,0.05622597346939896,0.05622597346939896,0.0,80.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V",Public Health Institute,https://www.klix.ba/vijesti/bih/u-fbih-do-sada-vakcinisano-vise-od-112-700-stanovnika/210525116
2430,Bosnia and Herzegovina,BIH,2021-02-19,2105,2105,0,,263,0.06425389476280392,0.06425389476280392,0.0,80.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V",Public Health Institute,https://www.klix.ba/vijesti/bih/u-fbih-do-sada-vakcinisano-vise-od-112-700-stanovnika/210525116
2431,Bosnia and Herzegovina,BIH,2021-02-20,2368,2368,0,,263,0.07228181605620887,0.07228181605620887,0.0,80.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V",Public Health Institute,https://www.klix.ba/vijesti/bih/u-fbih-do-sada-vakcinisano-vise-od-112-700-stanovnika/210525116
2432,Bosnia and Herzegovina,BIH,2021-02-21,2631,2631,0,,263,0.08030973734961383,0.08030973734961383,0.0,80.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V",Public Health Institute,https://www.klix.ba/vijesti/bih/u-fbih-do-sada-vakcinisano-vise-od-112-700-stanovnika/210525116
2433,Bosnia and Herzegovina,BIH,2021-02-22,2894,2894,0,,263,0.08833765864301879,0.08833765864301879,0.0,80.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V",Public Health Institute,https://www.klix.ba/vijesti/bih/u-fbih-do-sada-vakcinisano-vise-od-112-700-stanovnika/210525116
2434,Bosnia and Herzegovina,BIH,2021-02-23,3157,3157,0,,263,0.09636557993642375,0.09636557993642375,0.0,80.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V",Public Health Institute,https://www.klix.ba/vijesti/bih/u-fbih-do-sada-vakcinisano-vise-od-112-700-stanovnika/210525116
2435,Bosnia and Herzegovina,BIH,2021-02-24,3421,3421,0,,263,0.10442402564539298,0.10442402564539298,0.0,80.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V",Public Health Institute,https://www.klix.ba/vijesti/bih/u-fbih-do-sada-vakcinisano-vise-od-112-700-stanovnika/210525116
2436,Bosnia and Herzegovina,BIH,2021-02-25,3684,3684,0,,263,0.11245194693879793,0.11245194693879793,0.0,80.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V",Public Health Institute,https://www.klix.ba/vijesti/bih/u-fbih-do-sada-vakcinisano-vise-od-112-700-stanovnika/210525116
2437,Bosnia and Herzegovina,BIH,2021-02-26,3947,3947,0,,263,0.1204798682322029,0.1204798682322029,0.0,80.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V",Public Health Institute,https://www.klix.ba/vijesti/bih/u-fbih-do-sada-vakcinisano-vise-od-112-700-stanovnika/210525116
2438,Bosnia and Herzegovina,BIH,2021-02-27,4210,4210,0,,263,0.12850778952560785,0.12850778952560785,0.0,80.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V",Public Health Institute,https://www.klix.ba/vijesti/bih/u-fbih-do-sada-vakcinisano-vise-od-112-700-stanovnika/210525116
2439,Bosnia and Herzegovina,BIH,2021-02-28,4473,4473,0,,263,0.1365357108190128,0.1365357108190128,0.0,80.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V",Public Health Institute,https://www.klix.ba/vijesti/bih/u-fbih-do-sada-vakcinisano-vise-od-112-700-stanovnika/210525116
2440,Bosnia and Herzegovina,BIH,2021-03-01,4736,4736,0,,263,0.14456363211241774,0.14456363211241774,0.0,80.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V",Public Health Institute,https://www.klix.ba/vijesti/bih/u-fbih-do-sada-vakcinisano-vise-od-112-700-stanovnika/210525116
