,country,iso_code,date,total_vaccinations,people_vaccinated,people_fully_vaccinated,daily_vaccinations_raw,daily_vaccinations,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,daily_vaccinations_per_million,vaccines,source_name,source_website
2577,Brazil,BRA,2021-01-16,0,0,0,,0,0.0,0.0,0.0,0.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac",Ministry of Health,https://qsprod.saude.gov.br/extensions/DEMAS_C19Vacina/DEMAS_C19Vacina.html
2578,Brazil,BRA,2021-01-17,112,112,0,112.0,112,0.0,0.0,0.0,1.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac",Ministry of Health,https://qsprod.saude.gov.br/extensions/DEMAS_C19Vacina/DEMAS_C19Vacina.html
2579,Brazil,BRA,2021-01-18,1109,1109,0,997.0,554,0.0,0.0,0.0,3.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac",Ministry of Health,https://qsprod.saude.gov.br/extensions/DEMAS_C19Vacina/DEMAS_C19Vacina.html
2580,Brazil,BRA,2021-01-19,11470,11470,0,10361.0,3823,0.01,0.01,0.0,18.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac",Ministry of Health,https://qsprod.saude.gov.br/extensions/DEMAS_C19Vacina/DEMAS_C19Vacina.html
2581,Brazil,BRA,2021-01-20,28543,28543,0,17073.0,7136,0.01,0.01,0.0,34.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac",Ministry of Health,https://qsprod.saude.gov.br/extensions/DEMAS_C19Vacina/DEMAS_C19Vacina.html
2582,Brazil,BRA,2021-01-21,136519,136519,0,107976.0,27304,0.06,0.06,0.0,128.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac",Ministry of Health,https://qsprod.saude.gov.br/extensions/DEMAS_C19Vacina/DEMAS_C19Vacina.html
2583,Brazil,BRA,2021-01-22,245877,245877,0,109358.0,40980,0.12,0.12,0.0,193.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac",Ministry of Health,https://qsprod.saude.gov.br/extensions/DEMAS_C19Vacina/DEMAS_C19Vacina.html
2584,Brazil,BRA,2021-01-23,537774,537774,0,291897.0,76825,0.25,0.25,0.0,361.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac",Ministry of Health,https://qsprod.saude.gov.br/extensions/DEMAS_C19Vacina/DEMAS_C19Vacina.html
2585,Brazil,BRA,2021-01-24,604722,604722,0,66948.0,86373,0.28,0.28,0.0,406.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac",Ministry of Health,https://qsprod.saude.gov.br/extensions/DEMAS_C19Vacina/DEMAS_C19Vacina.html
2586,Brazil,BRA,2021-01-25,700608,700608,0,95886.0,99928,0.33,0.33,0.0,470.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac",Ministry of Health,https://qsprod.saude.gov.br/extensions/DEMAS_C19Vacina/DEMAS_C19Vacina.html
2587,Brazil,BRA,2021-01-26,848883,848883,0,148275.0,119630,0.4,0.4,0.0,563.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac",Ministry of Health,https://qsprod.saude.gov.br/extensions/DEMAS_C19Vacina/DEMAS_C19Vacina.html
2588,Brazil,BRA,2021-01-27,1129885,1129885,0,281002.0,157335,0.53,0.53,0.0,740.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac",Ministry of Health,https://qsprod.saude.gov.br/extensions/DEMAS_C19Vacina/DEMAS_C19Vacina.html
2589,Brazil,BRA,2021-01-28,1450900,1450900,0,321015.0,187769,0.68,0.68,0.0,883.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac",Ministry of Health,https://qsprod.saude.gov.br/extensions/DEMAS_C19Vacina/DEMAS_C19Vacina.html
2590,Brazil,BRA,2021-01-29,1668032,1656851,11181,217132.0,203165,0.78,0.78,0.005257654556775488,956.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac",Ministry of Health,https://qsprod.saude.gov.br/extensions/DEMAS_C19Vacina/DEMAS_C19Vacina.html
