,country,iso_code,date,total_vaccinations,people_vaccinated,people_fully_vaccinated,daily_vaccinations_raw,daily_vaccinations,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,daily_vaccinations_per_million,vaccines,source_name,source_website
2707,Brunei,BRN,2021-04-02,0,0,0,,0,0.0,0.0,0.0,0.0,Oxford/AstraZeneca,Ministry of Health,https://www.thestar.com.my/aseanplus/aseanplus-news/2021/05/22/country039s-vaccination-drive-on-track-says-brunei-minister
2708,Brunei,BRN,2021-04-03,340,340,0,340.0,340,0.08,0.08,0.0,777.0,Oxford/AstraZeneca,Ministry of Health,https://www.thestar.com.my/aseanplus/aseanplus-news/2021/05/22/country039s-vaccination-drive-on-track-says-brunei-minister
2709,Brunei,BRN,2021-04-04,1001,1001,0,,500,0.23032673722963645,0.23032673722963645,0.0,1143.0,Oxford/AstraZeneca,Ministry of Health,https://www.thestar.com.my/aseanplus/aseanplus-news/2021/05/22/country039s-vaccination-drive-on-track-says-brunei-minister
2710,Brunei,BRN,2021-04-05,1662,1662,0,,554,0.38242061665899674,0.38242061665899674,0.0,1266.0,Oxford/AstraZeneca,Ministry of Health,https://www.thestar.com.my/aseanplus/aseanplus-news/2021/05/22/country039s-vaccination-drive-on-track-says-brunei-minister
2711,Brunei,BRN,2021-04-06,2323,2323,0,,581,0.53,0.53,0.0,1328.0,Oxford/AstraZeneca,Ministry of Health,https://www.thestar.com.my/aseanplus/aseanplus-news/2021/05/22/country039s-vaccination-drive-on-track-says-brunei-minister
2712,Brunei,BRN,2021-04-07,2816,2816,0,,563,0.6479521398987576,0.6479521398987576,0.0,1287.0,Oxford/AstraZeneca,Ministry of Health,https://www.thestar.com.my/aseanplus/aseanplus-news/2021/05/22/country039s-vaccination-drive-on-track-says-brunei-minister
2713,Brunei,BRN,2021-04-08,3310,3310,0,,552,0.7616198803497469,0.7616198803497469,0.0,1262.0,Oxford/AstraZeneca,Ministry of Health,https://www.thestar.com.my/aseanplus/aseanplus-news/2021/05/22/country039s-vaccination-drive-on-track-says-brunei-minister
2714,Brunei,BRN,2021-04-09,3803,3803,0,,543,0.8750575241601474,0.8750575241601474,0.0,1241.0,Oxford/AstraZeneca,Ministry of Health,https://www.thestar.com.my/aseanplus/aseanplus-news/2021/05/22/country039s-vaccination-drive-on-track-says-brunei-minister
2715,Brunei,BRN,2021-04-10,4297,4297,0,,565,0.9887252646111366,0.9887252646111366,0.0,1291.0,Oxford/AstraZeneca,Ministry of Health,https://www.thestar.com.my/aseanplus/aseanplus-news/2021/05/22/country039s-vaccination-drive-on-track-says-brunei-minister
2716,Brunei,BRN,2021-04-11,4791,4791,0,,541,1.102393005062126,1.102393005062126,0.0,1237.0,Oxford/AstraZeneca,Ministry of Health,https://www.thestar.com.my/aseanplus/aseanplus-news/2021/05/22/country039s-vaccination-drive-on-track-says-brunei-minister
2717,Brunei,BRN,2021-04-12,5284,5284,0,,518,1.2158306488725263,1.2158306488725263,0.0,1184.0,Oxford/AstraZeneca,Ministry of Health,https://www.thestar.com.my/aseanplus/aseanplus-news/2021/05/22/country039s-vaccination-drive-on-track-says-brunei-minister
2718,Brunei,BRN,2021-04-13,5778,5778,0,,494,1.329498389323516,1.329498389323516,0.0,1129.0,Oxford/AstraZeneca,Ministry of Health,https://www.thestar.com.my/aseanplus/aseanplus-news/2021/05/22/country039s-vaccination-drive-on-track-says-brunei-minister
2719,Brunei,BRN,2021-04-14,6272,6272,0,,494,1.4431661297745053,1.4431661297745053,0.0,1129.0,Oxford/AstraZeneca,Ministry of Health,https://www.thestar.com.my/aseanplus/aseanplus-news/2021/05/22/country039s-vaccination-drive-on-track-says-brunei-minister
2720,Brunei,BRN,2021-04-15,6765,6765,0,,494,1.5566037735849056,1.5566037735849056,0.0,1129.0,Oxford/AstraZeneca,Ministry of Health,https://www.thestar.com.my/aseanplus/aseanplus-news/2021/05/22/country039s-vaccination-drive-on-track-says-brunei-minister
2721,Brunei,BRN,2021-04-16,7259,7259,0,,494,1.670271514035895,1.670271514035895,0.0,1129.0,Oxford/AstraZeneca,Ministry of Health,https://www.thestar.com.my/aseanplus/aseanplus-news/2021/05/22/country039s-vaccination-drive-on-track-says-brunei-minister
2722,Brunei,BRN,2021-04-17,7753,7753,0,,494,1.7839392544868844,1.7839392544868844,0.0,1129.0,Oxford/AstraZeneca,Ministry of Health,https://www.thestar.com.my/aseanplus/aseanplus-news/2021/05/22/country039s-vaccination-drive-on-track-says-brunei-minister
2723,Brunei,BRN,2021-04-18,8246,8246,0,,494,1.8973768982972847,1.8973768982972847,0.0,1129.0,Oxford/AstraZeneca,Ministry of Health,https://www.thestar.com.my/aseanplus/aseanplus-news/2021/05/22/country039s-vaccination-drive-on-track-says-brunei-minister
2724,Brunei,BRN,2021-04-19,8740,8740,0,,494,2.0110446387482743,2.0110446387482743,0.0,1129.0,Oxford/AstraZeneca,Ministry of Health,https://www.thestar.com.my/aseanplus/aseanplus-news/2021/05/22/country039s-vaccination-drive-on-track-says-brunei-minister
2725,Brunei,BRN,2021-04-20,9234,9234,0,,494,2.1247123791992637,2.1247123791992637,0.0,1129.0,Oxford/AstraZeneca,Ministry of Health,https://www.thestar.com.my/aseanplus/aseanplus-news/2021/05/22/country039s-vaccination-drive-on-track-says-brunei-minister
2726,Brunei,BRN,2021-04-21,9727,9727,0,,494,2.238150023009664,2.238150023009664,0.0,1129.0,Oxford/AstraZeneca,Ministry of Health,https://www.thestar.com.my/aseanplus/aseanplus-news/2021/05/22/country039s-vaccination-drive-on-track-says-brunei-minister
2727,Brunei,BRN,2021-04-22,10221,10221,0,,494,2.3518177634606534,2.3518177634606534,0.0,1129.0,Oxford/AstraZeneca,Ministry of Health,https://www.thestar.com.my/aseanplus/aseanplus-news/2021/05/22/country039s-vaccination-drive-on-track-says-brunei-minister
2728,Brunei,BRN,2021-04-23,10715,10715,0,,494,2.45,2.45,0.0,1129.0,Oxford/AstraZeneca,Ministry of Health,https://www.thestar.com.my/aseanplus/aseanplus-news/2021/05/22/country039s-vaccination-drive-on-track-says-brunei-minister
2729,Brunei,BRN,2021-04-24,11147,11075,71,,485,2.5648872526461113,2.5483202945237,0.016336861481822364,1109.0,Oxford/AstraZeneca,Ministry of Health,https://www.thestar.com.my/aseanplus/aseanplus-news/2021/05/22/country039s-vaccination-drive-on-track-says-brunei-minister
2730,Brunei,BRN,2021-04-25,11580,11436,143,,476,2.664519098021169,2.631385181776346,0.032903819604233775,1088.0,Oxford/AstraZeneca,Ministry of Health,https://www.thestar.com.my/aseanplus/aseanplus-news/2021/05/22/country039s-vaccination-drive-on-track-says-brunei-minister
2731,Brunei,BRN,2021-04-26,12012,11797,215,,467,2.7639208467556373,2.714450069028992,0.04947077772664519,1067.0,Oxford/AstraZeneca,Ministry of Health,https://www.thestar.com.my/aseanplus/aseanplus-news/2021/05/22/country039s-vaccination-drive-on-track-says-brunei-minister
2732,Brunei,BRN,2021-04-27,12445,12157,287,,459,2.863552692130695,2.7972848596410493,0.0660377358490566,1049.0,Oxford/AstraZeneca,Ministry of Health,https://www.thestar.com.my/aseanplus/aseanplus-news/2021/05/22/country039s-vaccination-drive-on-track-says-brunei-minister
2733,Brunei,BRN,2021-04-28,12877,12518,358,,450,2.9629544408651634,2.880349746893695,0.08237459733087897,1029.0,Oxford/AstraZeneca,Ministry of Health,https://www.thestar.com.my/aseanplus/aseanplus-news/2021/05/22/country039s-vaccination-drive-on-track-says-brunei-minister
2734,Brunei,BRN,2021-04-29,13310,12879,431,,441,3.062586286240221,2.9634146341463414,0.09917165209387944,1008.0,Oxford/AstraZeneca,Ministry of Health,https://www.thestar.com.my/aseanplus/aseanplus-news/2021/05/22/country039s-vaccination-drive-on-track-says-brunei-minister
2735,Brunei,BRN,2021-04-30,13742,13239,502,,432,3.1619880349746894,3.046249424758398,0.1155085135757018,987.0,Oxford/AstraZeneca,Ministry of Health,https://www.thestar.com.my/aseanplus/aseanplus-news/2021/05/22/country039s-vaccination-drive-on-track-says-brunei-minister
2736,Brunei,BRN,2021-05-01,14175,13600,574,,432,3.261619880349747,3.1293143120110445,0.1320754716981132,987.0,Oxford/AstraZeneca,Ministry of Health,https://www.thestar.com.my/aseanplus/aseanplus-news/2021/05/22/country039s-vaccination-drive-on-track-says-brunei-minister
2737,Brunei,BRN,2021-05-02,14607,13961,646,,432,3.3610216290842154,3.2123791992636908,0.1486424298205246,987.0,Oxford/AstraZeneca,Ministry of Health,https://www.thestar.com.my/aseanplus/aseanplus-news/2021/05/22/country039s-vaccination-drive-on-track-says-brunei-minister
2738,Brunei,BRN,2021-05-03,15040,14321,718,,432,3.460653474459273,3.2952139898757475,0.16520938794293605,987.0,Oxford/AstraZeneca,Ministry of Health,https://www.thestar.com.my/aseanplus/aseanplus-news/2021/05/22/country039s-vaccination-drive-on-track-says-brunei-minister
2739,Brunei,BRN,2021-05-04,15472,14682,789,,432,3.5600552231937415,3.3782788771283943,0.1815462494247584,987.0,Oxford/AstraZeneca,Ministry of Health,https://www.thestar.com.my/aseanplus/aseanplus-news/2021/05/22/country039s-vaccination-drive-on-track-says-brunei-minister
2740,Brunei,BRN,2021-05-05,15905,15043,862,,432,3.64,3.44,0.2,987.0,Oxford/AstraZeneca,Ministry of Health,https://www.thestar.com.my/aseanplus/aseanplus-news/2021/05/22/country039s-vaccination-drive-on-track-says-brunei-minister
2741,Brunei,BRN,2021-05-06,17285,16043,1241,,568,3.9772204325816842,3.6914404049700873,0.28554993097100784,1298.0,Oxford/AstraZeneca,Ministry of Health,https://www.thestar.com.my/aseanplus/aseanplus-news/2021/05/22/country039s-vaccination-drive-on-track-says-brunei-minister
2742,Brunei,BRN,2021-05-07,18665,17044,1620,,703,4.29475379659457,3.921767142199724,0.3727565577542568,1607.0,Oxford/AstraZeneca,Ministry of Health,https://www.thestar.com.my/aseanplus/aseanplus-news/2021/05/22/country039s-vaccination-drive-on-track-says-brunei-minister
2743,Brunei,BRN,2021-05-08,20046,18044,2001,,839,4.612517257248045,4.151863782788771,0.46042337781868387,1918.0,Oxford/AstraZeneca,Ministry of Health,https://www.thestar.com.my/aseanplus/aseanplus-news/2021/05/22/country039s-vaccination-drive-on-track-says-brunei-minister
2744,Brunei,BRN,2021-05-09,21426,19045,2380,,974,4.93005062126093,4.3821905200184075,0.5476300046019328,2226.0,Oxford/AstraZeneca,Ministry of Health,https://www.thestar.com.my/aseanplus/aseanplus-news/2021/05/22/country039s-vaccination-drive-on-track-says-brunei-minister
2745,Brunei,BRN,2021-05-10,22806,20046,2759,,1110,5.247583985273815,4.612517257248045,0.6348366313851818,2537.0,Oxford/AstraZeneca,Ministry of Health,https://www.thestar.com.my/aseanplus/aseanplus-news/2021/05/22/country039s-vaccination-drive-on-track-says-brunei-minister
2746,Brunei,BRN,2021-05-11,24187,21046,3140,,1245,5.565347445927289,4.842613897837091,0.7225034514496088,2846.0,Oxford/AstraZeneca,Ministry of Health,https://www.thestar.com.my/aseanplus/aseanplus-news/2021/05/22/country039s-vaccination-drive-on-track-says-brunei-minister
2747,Brunei,BRN,2021-05-12,25567,22047,3519,,1380,5.882880809940175,5.072940635066728,0.8097100782328578,3154.0,Oxford/AstraZeneca,Ministry of Health,https://www.thestar.com.my/aseanplus/aseanplus-news/2021/05/22/country039s-vaccination-drive-on-track-says-brunei-minister
2748,Brunei,BRN,2021-05-13,26948,23047,3900,,1380,6.200644270593649,5.303037275655775,0.897376898297285,3154.0,Oxford/AstraZeneca,Ministry of Health,https://www.thestar.com.my/aseanplus/aseanplus-news/2021/05/22/country039s-vaccination-drive-on-track-says-brunei-minister
2749,Brunei,BRN,2021-05-14,28328,24048,4279,,1380,6.518177634606535,5.533364012885412,0.9845835250805339,3154.0,Oxford/AstraZeneca,Ministry of Health,https://www.thestar.com.my/aseanplus/aseanplus-news/2021/05/22/country039s-vaccination-drive-on-track-says-brunei-minister
2750,Brunei,BRN,2021-05-15,29708,25049,4658,,1380,6.83571099861942,5.763690750115049,1.0717901518637827,3154.0,Oxford/AstraZeneca,Ministry of Health,https://www.thestar.com.my/aseanplus/aseanplus-news/2021/05/22/country039s-vaccination-drive-on-track-says-brunei-minister
2751,Brunei,BRN,2021-05-16,31089,26049,5039,,1380,7.1534744592728945,5.993787390704096,1.1594569719282097,3154.0,Oxford/AstraZeneca,Ministry of Health,https://www.thestar.com.my/aseanplus/aseanplus-news/2021/05/22/country039s-vaccination-drive-on-track-says-brunei-minister
2752,Brunei,BRN,2021-05-17,32469,27050,5418,,1380,7.47100782328578,6.224114127933732,1.246663598711459,3154.0,Oxford/AstraZeneca,Ministry of Health,https://www.thestar.com.my/aseanplus/aseanplus-news/2021/05/22/country039s-vaccination-drive-on-track-says-brunei-minister
2753,Brunei,BRN,2021-05-18,33850,28051,5799,,1380,7.74,6.41,1.33,3154.0,Oxford/AstraZeneca,Ministry of Health,https://www.thestar.com.my/aseanplus/aseanplus-news/2021/05/22/country039s-vaccination-drive-on-track-says-brunei-minister
2754,Brunei,BRN,2021-05-19,33850,30000,3850,,0,7.788771283939254,6.86,0.8858720662678324,0.0,Oxford/AstraZeneca,Ministry of Health,https://www.thestar.com.my/aseanplus/aseanplus-news/2021/05/22/country039s-vaccination-drive-on-track-says-brunei-minister
