,country,iso_code,date,total_vaccinations,people_vaccinated,people_fully_vaccinated,daily_vaccinations_raw,daily_vaccinations,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,daily_vaccinations_per_million,vaccines,source_name,source_website
2755,Bulgaria,BGR,2020-12-29,1719,0,0,,0,0.02,0.02,0.0,0.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://coronavirus.bg/bg/statistika
2756,Bulgaria,BGR,2020-12-30,4608,4608,0,2889.0,2889,0.07,0.07,0.0,416.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://coronavirus.bg/bg/statistika
2757,Bulgaria,BGR,2020-12-31,4673,4673,0,,1477,0.06732007331016243,0.06732007331016243,0.0,213.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://coronavirus.bg/bg/statistika
2758,Bulgaria,BGR,2021-01-01,4739,4739,0,,1007,0.07,0.07,0.0,145.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://coronavirus.bg/bg/statistika
2759,Bulgaria,BGR,2021-01-02,4916,4916,0,,799,0.07082077474700589,0.07082077474700589,0.0,115.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://coronavirus.bg/bg/statistika
2760,Bulgaria,BGR,2021-01-03,5093,5093,0,,675,0.07337066838618816,0.07337066838618816,0.0,97.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://coronavirus.bg/bg/statistika
2761,Bulgaria,BGR,2021-01-04,5270,5270,0,,592,0.07592056202537042,0.07592056202537042,0.0,85.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://coronavirus.bg/bg/statistika
2762,Bulgaria,BGR,2021-01-05,5448,5448,0,,533,0.08,0.08,0.0,77.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://coronavirus.bg/bg/statistika
2763,Bulgaria,BGR,2021-01-06,7913,7913,0,2465.0,472,0.11,0.11,0.0,68.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://coronavirus.bg/bg/statistika
2764,Bulgaria,BGR,2021-01-07,11117,11117,0,3204.0,920,0.16,0.16,0.0,132.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://coronavirus.bg/bg/statistika
2765,Bulgaria,BGR,2021-01-08,13355,13355,0,2238.0,1231,0.19,0.19,0.0,177.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://coronavirus.bg/bg/statistika
2766,Bulgaria,BGR,2021-01-09,13473,13473,0,118.0,1222,0.19,0.19,0.0,176.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://coronavirus.bg/bg/statistika
2767,Bulgaria,BGR,2021-01-10,13817,13817,0,,1246,0.19905017182249402,0.19905017182249402,0.0,179.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://coronavirus.bg/bg/statistika
