,country,iso_code,date,total_vaccinations,people_vaccinated,people_fully_vaccinated,daily_vaccinations_raw,daily_vaccinations,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,daily_vaccinations_per_million,vaccines,source_name,source_website
2903,Cambodia,KHM,2021-02-09,0,0,0,,0,0.0,0.0,0.0,0.0,"Oxford/AstraZeneca, Sinopharm/Beijing, Sinovac",Ministry of Health,http://www.freshnewsasia.com/index.php/en/localnews/199140-2021-05-25-15-24-06.html
2904,Cambodia,KHM,2021-02-10,339,339,0,339.0,339,0.0,0.0,0.0,20.0,"Oxford/AstraZeneca, Sinopharm/Beijing, Sinovac",Ministry of Health,http://www.freshnewsasia.com/index.php/en/localnews/199140-2021-05-25-15-24-06.html
2905,Cambodia,KHM,2021-02-11,915,915,0,,458,0.005474419801245654,0.005474419801245654,0.0,27.0,"Oxford/AstraZeneca, Sinopharm/Beijing, Sinovac",Ministry of Health,http://www.freshnewsasia.com/index.php/en/localnews/199140-2021-05-25-15-24-06.html
2906,Cambodia,KHM,2021-02-12,1492,1492,0,,497,0.01,0.01,0.0,30.0,"Oxford/AstraZeneca, Sinopharm/Beijing, Sinovac",Ministry of Health,http://www.freshnewsasia.com/index.php/en/localnews/199140-2021-05-25-15-24-06.html
2907,Cambodia,KHM,2021-02-13,3358,3358,0,,840,0.020090821521948535,0.020090821521948535,0.0,50.0,"Oxford/AstraZeneca, Sinopharm/Beijing, Sinovac",Ministry of Health,http://www.freshnewsasia.com/index.php/en/localnews/199140-2021-05-25-15-24-06.html
2908,Cambodia,KHM,2021-02-14,5224,5224,0,,1045,0.03125504813301344,0.03125504813301344,0.0,63.0,"Oxford/AstraZeneca, Sinopharm/Beijing, Sinovac",Ministry of Health,http://www.freshnewsasia.com/index.php/en/localnews/199140-2021-05-25-15-24-06.html
2909,Cambodia,KHM,2021-02-15,7091,7091,0,,1182,0.04,0.04,0.0,71.0,"Oxford/AstraZeneca, Sinopharm/Beijing, Sinovac",Ministry of Health,http://www.freshnewsasia.com/index.php/en/localnews/199140-2021-05-25-15-24-06.html
2910,Cambodia,KHM,2021-02-16,11016,11016,0,3925.0,1574,0.07,0.07,0.0,94.0,"Oxford/AstraZeneca, Sinopharm/Beijing, Sinovac",Ministry of Health,http://www.freshnewsasia.com/index.php/en/localnews/199140-2021-05-25-15-24-06.html
2911,Cambodia,KHM,2021-02-17,12167,12167,0,1151.0,1690,0.07,0.07,0.0,101.0,"Oxford/AstraZeneca, Sinopharm/Beijing, Sinovac",Ministry of Health,http://www.freshnewsasia.com/index.php/en/localnews/199140-2021-05-25-15-24-06.html
2912,Cambodia,KHM,2021-02-18,16612,16612,0,4445.0,2242,0.1,0.1,0.0,134.0,"Oxford/AstraZeneca, Sinopharm/Beijing, Sinovac",Ministry of Health,http://www.freshnewsasia.com/index.php/en/localnews/199140-2021-05-25-15-24-06.html
