,country,iso_code,date,total_vaccinations,people_vaccinated,people_fully_vaccinated,daily_vaccinations_raw,daily_vaccinations,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,daily_vaccinations_per_million,vaccines,source_name,source_website
3009,Cameroon,CMR,2021-04-11,0,0,0,,0,0.0,0.0,0.0,0.0,"Oxford/AstraZeneca, Sinopharm/Beijing",World Health Organization,https://covid19.who.int/
3010,Cameroon,CMR,2021-04-12,400,400,0,400.0,400,0.0,0.0,0.0,15.0,"Oxford/AstraZeneca, Sinopharm/Beijing",World Health Organization,https://covid19.who.int/
3011,Cameroon,CMR,2021-04-13,1023,1023,0,,512,0.003870245315669579,0.003870245315669579,0.0,19.0,"Oxford/AstraZeneca, Sinopharm/Beijing",World Health Organization,https://covid19.who.int/
3012,Cameroon,CMR,2021-04-14,1647,1647,0,,549,0.0062309814612979434,0.0062309814612979434,0.0,21.0,"Oxford/AstraZeneca, Sinopharm/Beijing",World Health Organization,https://covid19.who.int/
3013,Cameroon,CMR,2021-04-15,2270,2270,0,,568,0.0085879343759237,0.0085879343759237,0.0,21.0,"Oxford/AstraZeneca, Sinopharm/Beijing",World Health Organization,https://covid19.who.int/
3014,Cameroon,CMR,2021-04-16,2894,2894,0,,579,0.010948670521552064,0.010948670521552064,0.0,22.0,"Oxford/AstraZeneca, Sinopharm/Beijing",World Health Organization,https://covid19.who.int/
3015,Cameroon,CMR,2021-04-17,3517,3517,0,,586,0.013305623436177819,0.013305623436177819,0.0,22.0,"Oxford/AstraZeneca, Sinopharm/Beijing",World Health Organization,https://covid19.who.int/
3016,Cameroon,CMR,2021-04-18,4141,4141,0,,592,0.015666359581806184,0.015666359581806184,0.0,22.0,"Oxford/AstraZeneca, Sinopharm/Beijing",World Health Organization,https://covid19.who.int/
3017,Cameroon,CMR,2021-04-19,4764,4764,0,,624,0.01802331249643194,0.01802331249643194,0.0,24.0,"Oxford/AstraZeneca, Sinopharm/Beijing",World Health Organization,https://covid19.who.int/
3018,Cameroon,CMR,2021-04-20,5388,5388,0,,624,0.020384048642060303,0.020384048642060303,0.0,24.0,"Oxford/AstraZeneca, Sinopharm/Beijing",World Health Organization,https://covid19.who.int/
3019,Cameroon,CMR,2021-04-21,6011,6011,0,,624,0.022741001556686062,0.022741001556686062,0.0,24.0,"Oxford/AstraZeneca, Sinopharm/Beijing",World Health Organization,https://covid19.who.int/
3020,Cameroon,CMR,2021-04-22,6635,6635,0,,624,0.025101737702314424,0.025101737702314424,0.0,24.0,"Oxford/AstraZeneca, Sinopharm/Beijing",World Health Organization,https://covid19.who.int/
3021,Cameroon,CMR,2021-04-23,7258,7258,0,,624,0.027458690616940184,0.027458690616940184,0.0,24.0,"Oxford/AstraZeneca, Sinopharm/Beijing",World Health Organization,https://covid19.who.int/
3022,Cameroon,CMR,2021-04-24,7882,7882,0,,624,0.029819426762568546,0.029819426762568546,0.0,24.0,"Oxford/AstraZeneca, Sinopharm/Beijing",World Health Organization,https://covid19.who.int/
3023,Cameroon,CMR,2021-04-25,8505,8505,0,,624,0.0321763796771943,0.0321763796771943,0.0,24.0,"Oxford/AstraZeneca, Sinopharm/Beijing",World Health Organization,https://covid19.who.int/
3024,Cameroon,CMR,2021-04-26,9129,9129,0,,624,0.034537115822822664,0.034537115822822664,0.0,24.0,"Oxford/AstraZeneca, Sinopharm/Beijing",World Health Organization,https://covid19.who.int/
3025,Cameroon,CMR,2021-04-27,9752,9752,0,,624,0.036894068737448424,0.036894068737448424,0.0,24.0,"Oxford/AstraZeneca, Sinopharm/Beijing",World Health Organization,https://covid19.who.int/
3026,Cameroon,CMR,2021-04-28,10376,10376,0,,624,0.03925480488307679,0.03925480488307679,0.0,24.0,"Oxford/AstraZeneca, Sinopharm/Beijing",World Health Organization,https://covid19.who.int/
3027,Cameroon,CMR,2021-04-29,11000,11000,0,,624,0.04,0.04,0.0,24.0,"Oxford/AstraZeneca, Sinopharm/Beijing",World Health Organization,https://covid19.who.int/
