,country,iso_code,date,total_vaccinations,people_vaccinated,people_fully_vaccinated,daily_vaccinations_raw,daily_vaccinations,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,daily_vaccinations_per_million,vaccines,source_name,source_website
3053,Canada,CAN,2020-12-14,0,0,0,,0,0.0,0.0,0.0,0.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Official data from provinces via covid19tracker.ca,https://covid19tracker.ca/vaccinationtracker.html
3054,Canada,CAN,2020-12-15,7953,7953,0,718.0,718,0.0,0.021140519461877685,0.0,19.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Official data from provinces via covid19tracker.ca,https://covid19tracker.ca/vaccinationtracker.html
3055,Canada,CAN,2020-12-16,15906,15906,0,2300.0,1509,0.01,0.04228103892375537,0.0,40.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Official data from provinces via covid19tracker.ca,https://covid19tracker.ca/vaccinationtracker.html
3056,Canada,CAN,2020-12-17,23860,23860,0,4179.0,2399,0.02,0.06342421656738358,0.0,64.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Official data from provinces via covid19tracker.ca,https://covid19tracker.ca/vaccinationtracker.html
3057,Canada,CAN,2020-12-18,31813,31813,0,3972.0,2792,0.03,0.08456473602926126,0.0,74.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Official data from provinces via covid19tracker.ca,https://covid19tracker.ca/vaccinationtracker.html
3058,Canada,CAN,2020-12-19,39767,39767,0,720.0,2378,0.03,0.10570791367288948,0.0,63.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Official data from provinces via covid19tracker.ca,https://covid19tracker.ca/vaccinationtracker.html
3059,Canada,CAN,2020-12-20,47720,47720,0,844.0,2122,0.03,0.12684843313476715,0.0,56.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Official data from provinces via covid19tracker.ca,https://covid19tracker.ca/vaccinationtracker.html
3060,Canada,CAN,2020-12-21,55674,55674,0,8128.0,2980,0.06,0.14799161077839537,0.0,79.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Official data from provinces via covid19tracker.ca,https://covid19tracker.ca/vaccinationtracker.html
3061,Canada,CAN,2020-12-22,63627,63627,0,5737.0,3697,0.07,0.16913213024027304,0.0,98.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Official data from provinces via covid19tracker.ca,https://covid19tracker.ca/vaccinationtracker.html
3062,Canada,CAN,2020-12-23,71581,71581,0,8486.0,4581,0.09,0.19027530788390123,0.0,121.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Official data from provinces via covid19tracker.ca,https://covid19tracker.ca/vaccinationtracker.html
3063,Canada,CAN,2020-12-24,79534,79534,0,10309.0,5457,0.12,0.21141582734577896,0.0,145.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Official data from provinces via covid19tracker.ca,https://covid19tracker.ca/vaccinationtracker.html
3064,Canada,CAN,2020-12-25,87488,87488,0,0.0,4889,0.12,0.23255900498940713,0.0,130.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Official data from provinces via covid19tracker.ca,https://covid19tracker.ca/vaccinationtracker.html
3065,Canada,CAN,2020-12-26,95441,95441,0,3019.0,5218,0.13,0.2536995244512848,0.0,138.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Official data from provinces via covid19tracker.ca,https://covid19tracker.ca/vaccinationtracker.html
3066,Canada,CAN,2020-12-27,103395,103395,0,3863.0,5649,0.14,0.274842702094913,0.0,150.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Official data from provinces via covid19tracker.ca,https://covid19tracker.ca/vaccinationtracker.html
3067,Canada,CAN,2020-12-28,111348,111348,0,7169.0,5512,0.16,0.29598322155679074,0.0,146.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Official data from provinces via covid19tracker.ca,https://covid19tracker.ca/vaccinationtracker.html
