,country,iso_code,date,total_vaccinations,people_vaccinated,people_fully_vaccinated,daily_vaccinations_raw,daily_vaccinations,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,daily_vaccinations_per_million,vaccines,source_name,source_website
3216,Cape Verde,CPV,2021-03-18,0,0,0,,0,0.0,0.0,0.0,0.0,"Oxford/AstraZeneca, Pfizer/BioNTech",World Health Organization,https://covid19.who.int/
3217,Cape Verde,CPV,2021-03-19,364,364,0,,364,0.06536968893725767,0.06536968893725767,0.0,655.0,"Oxford/AstraZeneca, Pfizer/BioNTech",World Health Organization,https://covid19.who.int/
3218,Cape Verde,CPV,2021-03-20,728,728,0,,364,0.13073937787451534,0.13073937787451534,0.0,655.0,"Oxford/AstraZeneca, Pfizer/BioNTech",World Health Organization,https://covid19.who.int/
3219,Cape Verde,CPV,2021-03-21,1092,1092,0,,364,0.19610906681177298,0.19610906681177298,0.0,655.0,"Oxford/AstraZeneca, Pfizer/BioNTech",World Health Organization,https://covid19.who.int/
3220,Cape Verde,CPV,2021-03-22,1456,1456,0,,364,0.2614787557490307,0.2614787557490307,0.0,655.0,"Oxford/AstraZeneca, Pfizer/BioNTech",World Health Organization,https://covid19.who.int/
3221,Cape Verde,CPV,2021-03-23,1820,1820,0,,364,0.3268484446862883,0.3268484446862883,0.0,655.0,"Oxford/AstraZeneca, Pfizer/BioNTech",World Health Organization,https://covid19.who.int/
3222,Cape Verde,CPV,2021-03-24,2184,2184,0,,364,0.39,0.39,0.0,655.0,"Oxford/AstraZeneca, Pfizer/BioNTech",World Health Organization,https://covid19.who.int/
3223,Cape Verde,CPV,2021-03-25,2574,2520,53,,368,0.4622570860563221,0.4525593849502454,0.009518114048556748,662.0,"Oxford/AstraZeneca, Pfizer/BioNTech",World Health Organization,https://covid19.who.int/
3224,Cape Verde,CPV,2021-03-26,2964,2856,107,,372,0.5322960384890982,0.5129006362769448,0.019215815154633435,669.0,"Oxford/AstraZeneca, Pfizer/BioNTech",World Health Organization,https://covid19.who.int/
3225,Cape Verde,CPV,2021-03-27,3355,3192,162,,375,0.6025145779793942,0.5732418876036441,0.029093103318230062,674.0,"Oxford/AstraZeneca, Pfizer/BioNTech",World Health Organization,https://covid19.who.int/
3226,Cape Verde,CPV,2021-03-28,3745,3528,216,,379,0.6725535304121703,0.6335831389303436,0.03879080442430675,682.0,"Oxford/AstraZeneca, Pfizer/BioNTech",World Health Organization,https://covid19.who.int/
3227,Cape Verde,CPV,2021-03-29,4136,3864,271,,383,0.7427720699024662,0.6939243902570429,0.048668092587903375,689.0,"Oxford/AstraZeneca, Pfizer/BioNTech",World Health Organization,https://covid19.who.int/
3228,Cape Verde,CPV,2021-03-30,4526,4200,325,,387,0.8128110223352424,0.7542656415837423,0.05836579369398006,696.0,"Oxford/AstraZeneca, Pfizer/BioNTech",World Health Organization,https://covid19.who.int/
3229,Cape Verde,CPV,2021-03-31,4917,4536,380,,390,0.8830295618255383,0.8146068929104417,0.06824308185757669,701.0,"Oxford/AstraZeneca, Pfizer/BioNTech",World Health Organization,https://covid19.who.int/
