,country,iso_code,date,total_vaccinations,people_vaccinated,people_fully_vaccinated,daily_vaccinations_raw,daily_vaccinations,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,daily_vaccinations_per_million,vaccines,source_name,source_website
3845,Comoros,COM,2021-04-21,13440,0,0,,0,1.55,1.55,0.0,0.0,"Covaxin, Oxford/AstraZeneca, Sinopharm/Beijing",World Health Organization,https://covid19.who.int/
3846,Comoros,COM,2021-04-22,14882,14854,27,,1442,1.7178152050077742,1.7145831914517857,0.0031165845004172757,1658.0,"Covaxin, Oxford/AstraZeneca, Sinopharm/Beijing",World Health Organization,https://covid19.who.int/
3847,Comoros,COM,2021-04-23,16324,16268,55,,1442,1.8842639031411708,1.8777998760291945,0.006348598056405562,1658.0,"Covaxin, Oxford/AstraZeneca, Sinopharm/Beijing",World Health Organization,https://covid19.who.int/
3848,Comoros,COM,2021-04-24,17766,17682,83,,1442,2.050712601274568,2.041016560606603,0.009580611612393848,1658.0,"Covaxin, Oxford/AstraZeneca, Sinopharm/Beijing",World Health Organization,https://covid19.who.int/
3849,Comoros,COM,2021-04-25,19209,19097,111,,1442,2.2172767284635353,2.2043486742395824,0.012812625168382136,1658.0,"Covaxin, Oxford/AstraZeneca, Sinopharm/Beijing",World Health Organization,https://covid19.who.int/
3850,Comoros,COM,2021-04-26,20651,20511,139,,1442,2.383725426596932,2.3675653588169907,0.01604463872437042,1658.0,"Covaxin, Oxford/AstraZeneca, Sinopharm/Beijing",World Health Organization,https://covid19.who.int/
3851,Comoros,COM,2021-04-27,22093,21925,167,,1442,2.550174124730329,2.530782043394399,0.019276652280358707,1658.0,"Covaxin, Oxford/AstraZeneca, Sinopharm/Beijing",World Health Organization,https://covid19.who.int/
3852,Comoros,COM,2021-04-28,23536,23340,196,,1442,2.716738251919297,2.6941141570273786,0.022624094891918006,1658.0,"Covaxin, Oxford/AstraZeneca, Sinopharm/Beijing",World Health Organization,https://covid19.who.int/
3853,Comoros,COM,2021-04-29,24978,24754,223,,1442,2.883186950052693,2.8573308416047873,0.025740679392335278,1658.0,"Covaxin, Oxford/AstraZeneca, Sinopharm/Beijing",World Health Organization,https://covid19.who.int/
3854,Comoros,COM,2021-04-30,26420,26168,251,,1442,3.04963564818609,3.0205475261821957,0.028972692948323567,1658.0,"Covaxin, Oxford/AstraZeneca, Sinopharm/Beijing",World Health Organization,https://covid19.who.int/
3855,Comoros,COM,2021-05-01,27862,27582,279,,1442,3.2160843463194864,3.1837642107596045,0.03220470650431185,1658.0,"Covaxin, Oxford/AstraZeneca, Sinopharm/Beijing",World Health Organization,https://covid19.who.int/
3856,Comoros,COM,2021-05-02,29305,28997,307,,1442,3.3826484735084548,3.3470963243925835,0.03543672006030014,1658.0,"Covaxin, Oxford/AstraZeneca, Sinopharm/Beijing",World Health Organization,https://covid19.who.int/
3857,Comoros,COM,2021-05-03,30747,30411,335,,1442,3.549097171641851,3.510313008969992,0.03866873361628843,1658.0,"Covaxin, Oxford/AstraZeneca, Sinopharm/Beijing",World Health Organization,https://covid19.who.int/
3858,Comoros,COM,2021-05-04,32189,31825,363,,1442,3.7155458697752484,3.6735296935474,0.041900747172276716,1658.0,"Covaxin, Oxford/AstraZeneca, Sinopharm/Beijing",World Health Organization,https://covid19.who.int/
3859,Comoros,COM,2021-05-05,33632,33240,392,,1442,3.8821099969642154,3.8368618071803797,0.04524818978383601,1658.0,"Covaxin, Oxford/AstraZeneca, Sinopharm/Beijing",World Health Organization,https://covid19.who.int/
3860,Comoros,COM,2021-05-06,35074,34654,419,,1442,4.048558695097613,4.0000784917577885,0.04836477428425329,1658.0,"Covaxin, Oxford/AstraZeneca, Sinopharm/Beijing",World Health Organization,https://covid19.who.int/
3861,Comoros,COM,2021-05-07,36516,36068,447,,1442,4.2150073932310095,4.163295176335197,0.05159678784024157,1658.0,"Covaxin, Oxford/AstraZeneca, Sinopharm/Beijing",World Health Organization,https://covid19.who.int/
3862,Comoros,COM,2021-05-08,37958,37482,475,,1442,4.381456091364406,4.326511860912605,0.05482880139622985,1658.0,"Covaxin, Oxford/AstraZeneca, Sinopharm/Beijing",World Health Organization,https://covid19.who.int/
3863,Comoros,COM,2021-05-09,39401,38897,503,,1442,4.548020218553374,4.489843974545585,0.05806081495221815,1658.0,"Covaxin, Oxford/AstraZeneca, Sinopharm/Beijing",World Health Organization,https://covid19.who.int/
3864,Comoros,COM,2021-05-10,40843,40311,531,,1442,4.71446891668677,4.653060659122993,0.06129282850820643,1658.0,"Covaxin, Oxford/AstraZeneca, Sinopharm/Beijing",World Health Organization,https://covid19.who.int/
3865,Comoros,COM,2021-05-11,42285,41725,559,,1442,4.880917614820167,4.816277343700402,0.06452484206419472,1658.0,"Covaxin, Oxford/AstraZeneca, Sinopharm/Beijing",World Health Organization,https://covid19.who.int/
3866,Comoros,COM,2021-05-12,43728,43140,588,,1442,5.03,4.96,0.07,1658.0,"Covaxin, Oxford/AstraZeneca, Sinopharm/Beijing",World Health Organization,https://covid19.who.int/
3867,Comoros,COM,2021-05-13,43935,43140,795,,1266,5.071375556512335,4.979609457333381,0.09176609917895313,1456.0,"Covaxin, Oxford/AstraZeneca, Sinopharm/Beijing",World Health Organization,https://covid19.who.int/
3868,Comoros,COM,2021-05-14,44143,43140,1003,,1090,5.095384800071105,4.979609457333381,0.11577534273772326,1253.0,"Covaxin, Oxford/AstraZeneca, Sinopharm/Beijing",World Health Organization,https://covid19.who.int/
3869,Comoros,COM,2021-05-15,44351,43140,1211,,913,5.119394043629875,4.979609457333381,0.13978458629649337,1050.0,"Covaxin, Oxford/AstraZeneca, Sinopharm/Beijing",World Health Organization,https://covid19.who.int/
3870,Comoros,COM,2021-05-16,44559,43140,1419,,737,5.143403287188645,4.979609457333381,0.1637938298552635,848.0,"Covaxin, Oxford/AstraZeneca, Sinopharm/Beijing",World Health Organization,https://covid19.who.int/
3871,Comoros,COM,2021-05-17,44767,43140,1627,,561,5.167412530747415,4.979609457333381,0.18780307341403363,645.0,"Covaxin, Oxford/AstraZeneca, Sinopharm/Beijing",World Health Organization,https://covid19.who.int/
3872,Comoros,COM,2021-05-18,44975,43140,1835,,384,5.17,4.96,0.21,442.0,"Covaxin, Oxford/AstraZeneca, Sinopharm/Beijing",World Health Organization,https://covid19.who.int/
3873,Comoros,COM,2021-05-19,49463,43140,6323,,819,5.709467375708878,4.979609457333381,0.7298579183754977,942.0,"Covaxin, Oxford/AstraZeneca, Sinopharm/Beijing",World Health Organization,https://covid19.who.int/
3874,Comoros,COM,2021-05-20,53951,43140,10811,,1431,6.227512977111573,4.979609457333381,1.2479035197781916,1646.0,"Covaxin, Oxford/AstraZeneca, Sinopharm/Beijing",World Health Organization,https://covid19.who.int/
