,country,iso_code,date,total_vaccinations,people_vaccinated,people_fully_vaccinated,daily_vaccinations_raw,daily_vaccinations,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,daily_vaccinations_per_million,vaccines,source_name,source_website
3876,Congo,COG,2021-04-14,14297,0,0,,0,0.26,0.26,0.0,0.0,"Moderna, Oxford/AstraZeneca, Sinopharm/Beijing, Sputnik V",World Health Organization,https://covid19.who.int/
3877,Congo,COG,2021-04-15,15148,14591,556,,852,0.2735678682366539,0.2635086325218522,0.010041176045654843,154.0,"Moderna, Oxford/AstraZeneca, Sinopharm/Beijing, Sputnik V",World Health Organization,https://covid19.who.int/
3878,Congo,COG,2021-04-16,16000,14885,1114,,852,0.28895470634977966,0.2688181752510294,0.02011847142960341,154.0,"Moderna, Oxford/AstraZeneca, Sinopharm/Beijing, Sputnik V",World Health Organization,https://covid19.who.int/
3879,Congo,COG,2021-04-17,16852,15179,1672,,852,0.30434154446290546,0.2741277179802066,0.030195766813551978,154.0,"Moderna, Oxford/AstraZeneca, Sinopharm/Beijing, Sputnik V",World Health Organization,https://covid19.who.int/
3880,Congo,COG,2021-04-18,17704,15473,2230,,852,0.3197283825760312,0.2794372607093838,0.04027306219750054,154.0,"Moderna, Oxford/AstraZeneca, Sinopharm/Beijing, Sputnik V",World Health Organization,https://covid19.who.int/
3881,Congo,COG,2021-04-19,18556,15767,2788,,852,0.335115220689157,0.284746803438561,0.05035035758144911,154.0,"Moderna, Oxford/AstraZeneca, Sinopharm/Beijing, Sputnik V",World Health Organization,https://covid19.who.int/
3882,Congo,COG,2021-04-20,19408,16061,3346,,852,0.35050205880228275,0.29005634616773823,0.06042765296539768,154.0,"Moderna, Oxford/AstraZeneca, Sinopharm/Beijing, Sputnik V",World Health Organization,https://covid19.who.int/
3883,Congo,COG,2021-04-21,20260,16355,3904,,852,0.3658888969154085,0.2953658888969154,0.07050494834934624,154.0,"Moderna, Oxford/AstraZeneca, Sinopharm/Beijing, Sputnik V",World Health Organization,https://covid19.who.int/
3884,Congo,COG,2021-04-22,21112,16649,4462,,852,0.3812757350285343,0.3006754316260926,0.08058224373329481,154.0,"Moderna, Oxford/AstraZeneca, Sinopharm/Beijing, Sputnik V",World Health Organization,https://covid19.who.int/
3885,Congo,COG,2021-04-23,21964,16943,5020,,852,0.39666257314166004,0.3059849743552698,0.09065953911724337,154.0,"Moderna, Oxford/AstraZeneca, Sinopharm/Beijing, Sputnik V",World Health Organization,https://covid19.who.int/
3886,Congo,COG,2021-04-24,22816,17237,5578,,852,0.4120494112547858,0.31129451708444705,0.10073683450119195,154.0,"Moderna, Oxford/AstraZeneca, Sinopharm/Beijing, Sputnik V",World Health Organization,https://covid19.who.int/
3887,Congo,COG,2021-04-25,23668,17531,6136,,852,0.42743624936791164,0.3166040598136242,0.1108141298851405,154.0,"Moderna, Oxford/AstraZeneca, Sinopharm/Beijing, Sputnik V",World Health Organization,https://covid19.who.int/
3888,Congo,COG,2021-04-26,24520,17825,6694,,852,0.4428230874810373,0.32191360254280144,0.12089142526908907,154.0,"Moderna, Oxford/AstraZeneca, Sinopharm/Beijing, Sputnik V",World Health Organization,https://covid19.who.int/
3889,Congo,COG,2021-04-27,25372,18119,7252,,852,0.45820992559416307,0.3272231452719786,0.13096872065303763,154.0,"Moderna, Oxford/AstraZeneca, Sinopharm/Beijing, Sputnik V",World Health Organization,https://covid19.who.int/
3890,Congo,COG,2021-04-28,26224,18414,7810,,852,0.4735967637072889,0.3325507476703027,0.1410460160369862,154.0,"Moderna, Oxford/AstraZeneca, Sinopharm/Beijing, Sputnik V",World Health Organization,https://covid19.who.int/
3891,Congo,COG,2021-04-29,27075,18708,8366,,852,0.48896554215126775,0.3378602903994799,0.15108719208264107,154.0,"Moderna, Oxford/AstraZeneca, Sinopharm/Beijing, Sputnik V",World Health Organization,https://covid19.who.int/
3892,Congo,COG,2021-04-30,27927,19002,8924,,852,0.5043523802643936,0.3431698331286571,0.16116448746658962,154.0,"Moderna, Oxford/AstraZeneca, Sinopharm/Beijing, Sputnik V",World Health Organization,https://covid19.who.int/
3893,Congo,COG,2021-05-01,28779,19296,9482,,852,0.5197392183775194,0.3484793758578343,0.17124178285053818,154.0,"Moderna, Oxford/AstraZeneca, Sinopharm/Beijing, Sputnik V",World Health Organization,https://covid19.who.int/
3894,Congo,COG,2021-05-02,29631,19590,10040,,852,0.535126056490645,0.35378891858701145,0.18131907823448673,154.0,"Moderna, Oxford/AstraZeneca, Sinopharm/Beijing, Sputnik V",World Health Organization,https://covid19.who.int/
3895,Congo,COG,2021-05-03,30483,19884,10598,,852,0.5505128946037708,0.35909846131618867,0.1913963736184353,154.0,"Moderna, Oxford/AstraZeneca, Sinopharm/Beijing, Sputnik V",World Health Organization,https://covid19.who.int/
3896,Congo,COG,2021-05-04,31335,20178,11156,,852,0.5658997327168966,0.3644080040453659,0.2014736690023839,154.0,"Moderna, Oxford/AstraZeneca, Sinopharm/Beijing, Sputnik V",World Health Organization,https://covid19.who.int/
3897,Congo,COG,2021-05-05,32187,20472,11714,,852,0.5812865708300223,0.3697175467745431,0.21155096438633245,154.0,"Moderna, Oxford/AstraZeneca, Sinopharm/Beijing, Sputnik V",World Health Organization,https://covid19.who.int/
3898,Congo,COG,2021-05-06,33039,20766,12272,,852,0.5966734089431481,0.37502708950372027,0.221628259770281,154.0,"Moderna, Oxford/AstraZeneca, Sinopharm/Beijing, Sputnik V",World Health Organization,https://covid19.who.int/
3899,Congo,COG,2021-05-07,33891,21060,12830,,852,0.6120602470562739,0.3803366322328975,0.23170555515422958,154.0,"Moderna, Oxford/AstraZeneca, Sinopharm/Beijing, Sputnik V",World Health Organization,https://covid19.who.int/
3900,Congo,COG,2021-05-08,34743,21354,13388,,852,0.6274470851693997,0.3856461749620747,0.24178285053817813,154.0,"Moderna, Oxford/AstraZeneca, Sinopharm/Beijing, Sputnik V",World Health Organization,https://covid19.who.int/
3901,Congo,COG,2021-05-09,35595,21648,13946,,852,0.6428339232825254,0.39095571769125187,0.2518601459221267,154.0,"Moderna, Oxford/AstraZeneca, Sinopharm/Beijing, Sputnik V",World Health Organization,https://covid19.who.int/
3902,Congo,COG,2021-05-10,36447,21942,14504,,852,0.6582207613956512,0.39626526042042914,0.26193744130607527,154.0,"Moderna, Oxford/AstraZeneca, Sinopharm/Beijing, Sputnik V",World Health Organization,https://covid19.who.int/
3903,Congo,COG,2021-05-11,37299,22236,15062,,852,0.673607599508777,0.4015748031496063,0.27201473669002385,154.0,"Moderna, Oxford/AstraZeneca, Sinopharm/Beijing, Sputnik V",World Health Organization,https://covid19.who.int/
3904,Congo,COG,2021-05-12,38151,22531,15620,,852,0.69,0.41,0.28,154.0,"Moderna, Oxford/AstraZeneca, Sinopharm/Beijing, Sputnik V",World Health Organization,https://covid19.who.int/
3905,Congo,COG,2021-05-13,38170,22546,15623,,733,0.6893375713356931,0.40717330058513324,0.28214621108141297,133.0,"Moderna, Oxford/AstraZeneca, Sinopharm/Beijing, Sputnik V",World Health Organization,https://covid19.who.int/
3906,Congo,COG,2021-05-14,38190,22561,15628,,614,0.6896987647186303,0.40744419562233614,0.2822365094271473,111.0,"Moderna, Oxford/AstraZeneca, Sinopharm/Beijing, Sputnik V",World Health Organization,https://covid19.who.int/
3907,Congo,COG,2021-05-15,38209,22577,15632,,495,0.6900418984324207,0.407733150328686,0.28230874810373474,90.0,"Moderna, Oxford/AstraZeneca, Sinopharm/Beijing, Sputnik V",World Health Organization,https://covid19.who.int/
3908,Congo,COG,2021-05-16,38229,22592,15636,,376,0.690403091815358,0.4080040453658889,0.2823809867803222,68.0,"Moderna, Oxford/AstraZeneca, Sinopharm/Beijing, Sputnik V",World Health Organization,https://covid19.who.int/
3909,Congo,COG,2021-05-17,38248,22607,15640,,257,0.6907462255291483,0.4082749404030918,0.2824532254569096,47.0,"Moderna, Oxford/AstraZeneca, Sinopharm/Beijing, Sputnik V",World Health Organization,https://covid19.who.int/
3910,Congo,COG,2021-05-18,38268,22623,15645,,138,0.69,0.41,0.28,25.0,"Moderna, Oxford/AstraZeneca, Sinopharm/Beijing, Sputnik V",World Health Organization,https://covid19.who.int/
