,country,iso_code,date,total_vaccinations,people_vaccinated,people_fully_vaccinated,daily_vaccinations_raw,daily_vaccinations,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,daily_vaccinations_per_million,vaccines,source_name,source_website
3911,Costa Rica,CRI,2020-12-24,55,0,0,,0,0.0,0.0,0.0,0.0,"Oxford/AstraZeneca, Pfizer/BioNTech",Costa Rican Social Security Fund,https://www.ccss.sa.cr/web/coronavirus/vacunacion
3912,Costa Rica,CRI,2020-12-25,295,295,0,,240,0.005801832985878929,0.005801832985878929,0.0,47.0,"Oxford/AstraZeneca, Pfizer/BioNTech",Costa Rican Social Security Fund,https://www.ccss.sa.cr/web/coronavirus/vacunacion
3913,Costa Rica,CRI,2020-12-26,535,535,0,,240,0.010521968296424497,0.010521968296424497,0.0,47.0,"Oxford/AstraZeneca, Pfizer/BioNTech",Costa Rican Social Security Fund,https://www.ccss.sa.cr/web/coronavirus/vacunacion
3914,Costa Rica,CRI,2020-12-27,775,775,0,,240,0.015242103606970066,0.015242103606970066,0.0,47.0,"Oxford/AstraZeneca, Pfizer/BioNTech",Costa Rican Social Security Fund,https://www.ccss.sa.cr/web/coronavirus/vacunacion
3915,Costa Rica,CRI,2020-12-28,1015,1015,0,,240,0.019962238917515633,0.019962238917515633,0.0,47.0,"Oxford/AstraZeneca, Pfizer/BioNTech",Costa Rican Social Security Fund,https://www.ccss.sa.cr/web/coronavirus/vacunacion
3916,Costa Rica,CRI,2020-12-29,1255,1255,0,,240,0.024682374228061205,0.024682374228061205,0.0,47.0,"Oxford/AstraZeneca, Pfizer/BioNTech",Costa Rican Social Security Fund,https://www.ccss.sa.cr/web/coronavirus/vacunacion
3917,Costa Rica,CRI,2020-12-30,1495,1495,0,,240,0.029402509538606774,0.029402509538606774,0.0,47.0,"Oxford/AstraZeneca, Pfizer/BioNTech",Costa Rican Social Security Fund,https://www.ccss.sa.cr/web/coronavirus/vacunacion
3918,Costa Rica,CRI,2020-12-31,1735,1735,0,,240,0.03412264484915234,0.03412264484915234,0.0,47.0,"Oxford/AstraZeneca, Pfizer/BioNTech",Costa Rican Social Security Fund,https://www.ccss.sa.cr/web/coronavirus/vacunacion
3919,Costa Rica,CRI,2021-01-01,1975,1975,0,,240,0.038842780159697915,0.038842780159697915,0.0,47.0,"Oxford/AstraZeneca, Pfizer/BioNTech",Costa Rican Social Security Fund,https://www.ccss.sa.cr/web/coronavirus/vacunacion
3920,Costa Rica,CRI,2021-01-02,2215,2215,0,,240,0.043562915470243484,0.043562915470243484,0.0,47.0,"Oxford/AstraZeneca, Pfizer/BioNTech",Costa Rican Social Security Fund,https://www.ccss.sa.cr/web/coronavirus/vacunacion
3921,Costa Rica,CRI,2021-01-03,2455,2455,0,,240,0.05,0.05,0.0,47.0,"Oxford/AstraZeneca, Pfizer/BioNTech",Costa Rican Social Security Fund,https://www.ccss.sa.cr/web/coronavirus/vacunacion
3922,Costa Rica,CRI,2021-01-04,3914,3914,0,,414,0.07697754002281398,0.07697754002281398,0.0,81.0,"Oxford/AstraZeneca, Pfizer/BioNTech",Costa Rican Social Security Fund,https://www.ccss.sa.cr/web/coronavirus/vacunacion
3923,Costa Rica,CRI,2021-01-05,5373,5373,0,,588,0.10567202926483892,0.10567202926483892,0.0,115.0,"Oxford/AstraZeneca, Pfizer/BioNTech",Costa Rican Social Security Fund,https://www.ccss.sa.cr/web/coronavirus/vacunacion
3924,Costa Rica,CRI,2021-01-06,6832,6832,0,,763,0.13436651850686385,0.13436651850686385,0.0,150.0,"Oxford/AstraZeneca, Pfizer/BioNTech",Costa Rican Social Security Fund,https://www.ccss.sa.cr/web/coronavirus/vacunacion
3925,Costa Rica,CRI,2021-01-07,8291,8291,0,,937,0.1630610077488888,0.1630610077488888,0.0,184.0,"Oxford/AstraZeneca, Pfizer/BioNTech",Costa Rican Social Security Fund,https://www.ccss.sa.cr/web/coronavirus/vacunacion
3926,Costa Rica,CRI,2021-01-08,9751,9751,0,,1111,0.19,0.19,0.0,218.0,"Oxford/AstraZeneca, Pfizer/BioNTech",Costa Rican Social Security Fund,https://www.ccss.sa.cr/web/coronavirus/vacunacion
3927,Costa Rica,CRI,2021-01-09,11909,11901,7,,1385,0.23421704755536327,0.23405970971167842,0.00013767061322424574,272.0,"Oxford/AstraZeneca, Pfizer/BioNTech",Costa Rican Social Security Fund,https://www.ccss.sa.cr/web/coronavirus/vacunacion
3928,Costa Rica,CRI,2021-01-10,14067,14051,15,,1659,0.2766589308893522,0.27634425520198247,0.00029500845690909805,326.0,"Oxford/AstraZeneca, Pfizer/BioNTech",Costa Rican Social Security Fund,https://www.ccss.sa.cr/web/coronavirus/vacunacion
3929,Costa Rica,CRI,2021-01-11,16225,16202,22,,1759,0.3191008142233411,0.3186484679227471,0.00043267907013334384,345.0,"Oxford/AstraZeneca, Pfizer/BioNTech",Costa Rican Social Security Fund,https://www.ccss.sa.cr/web/coronavirus/vacunacion
3930,Costa Rica,CRI,2021-01-12,18384,18352,31,,1859,0.3615623647877906,0.3609330134130512,0.0006096841442788026,365.0,"Oxford/AstraZeneca, Pfizer/BioNTech",Costa Rican Social Security Fund,https://www.ccss.sa.cr/web/coronavirus/vacunacion
3931,Costa Rica,CRI,2021-01-13,20542,20503,38,,1959,0.40400424812177943,0.40323722613381585,0.0007473547575030483,385.0,"Oxford/AstraZeneca, Pfizer/BioNTech",Costa Rican Social Security Fund,https://www.ccss.sa.cr/web/coronavirus/vacunacion
3932,Costa Rica,CRI,2021-01-14,22700,22653,46,,2058,0.4464461314557684,0.44552177162411993,0.0009046926011879008,404.0,"Oxford/AstraZeneca, Pfizer/BioNTech",Costa Rican Social Security Fund,https://www.ccss.sa.cr/web/coronavirus/vacunacion
3933,Costa Rica,CRI,2021-01-15,24859,24804,55,,2158,0.49,0.49,0.0,424.0,"Oxford/AstraZeneca, Pfizer/BioNTech",Costa Rican Social Security Fund,https://www.ccss.sa.cr/web/coronavirus/vacunacion
3934,Costa Rica,CRI,2021-01-16,26369,26288,80,,2066,0.5186052000157337,0.5170121543484247,0.001573378436848523,406.0,"Oxford/AstraZeneca, Pfizer/BioNTech",Costa Rican Social Security Fund,https://www.ccss.sa.cr/web/coronavirus/vacunacion
3935,Costa Rica,CRI,2021-01-17,27879,27772,106,,1973,0.5483027180112496,0.5461983243519647,0.002084726428824293,387.0,"Oxford/AstraZeneca, Pfizer/BioNTech",Costa Rican Social Security Fund,https://www.ccss.sa.cr/web/coronavirus/vacunacion
3936,Costa Rica,CRI,2021-01-18,29389,29257,132,,1880,0.58,0.57,0.0,369.0,"Oxford/AstraZeneca, Pfizer/BioNTech",Costa Rican Social Security Fund,https://www.ccss.sa.cr/web/coronavirus/vacunacion
3937,Costa Rica,CRI,2021-01-19,32066,31607,459,,1955,0.6306494119498092,0.6216221531683908,0.009027258781418402,384.0,"Oxford/AstraZeneca, Pfizer/BioNTech",Costa Rican Social Security Fund,https://www.ccss.sa.cr/web/coronavirus/vacunacion
3938,Costa Rica,CRI,2021-01-20,34743,33957,786,,2029,0.6832985878928529,0.6678401447508162,0.015458443142036737,398.0,"Oxford/AstraZeneca, Pfizer/BioNTech",Costa Rican Social Security Fund,https://www.ccss.sa.cr/web/coronavirus/vacunacion
3939,Costa Rica,CRI,2021-01-21,37420,36307,1113,,2103,0.7359477638358967,0.7140581363332416,0.021889627502655076,413.0,"Oxford/AstraZeneca, Pfizer/BioNTech",Costa Rican Social Security Fund,https://www.ccss.sa.cr/web/coronavirus/vacunacion
3940,Costa Rica,CRI,2021-01-22,40097,38657,1440,,2177,0.7885969397789403,0.7602761279156669,0.028320811863273412,427.0,"Oxford/AstraZeneca, Pfizer/BioNTech",Costa Rican Social Security Fund,https://www.ccss.sa.cr/web/coronavirus/vacunacion
3941,Costa Rica,CRI,2021-01-23,42774,41007,1767,,2344,0.841246115721984,0.8064941194980922,0.03475199622389175,460.0,"Oxford/AstraZeneca, Pfizer/BioNTech",Costa Rican Social Security Fund,https://www.ccss.sa.cr/web/coronavirus/vacunacion
3942,Costa Rica,CRI,2021-01-24,45451,43357,2094,,2510,0.8938952916650277,0.8527121110805176,0.04118318058451009,493.0,"Oxford/AstraZeneca, Pfizer/BioNTech",Costa Rican Social Security Fund,https://www.ccss.sa.cr/web/coronavirus/vacunacion
3943,Costa Rica,CRI,2021-01-25,48128,45707,2421,,2677,0.94,0.9,0.05,526.0,"Oxford/AstraZeneca, Pfizer/BioNTech",Costa Rican Social Security Fund,https://www.ccss.sa.cr/web/coronavirus/vacunacion
3944,Costa Rica,CRI,2021-01-26,49495,45729,3765,,2490,0.9734295716477206,0.8993627817330763,0.07404712268418362,489.0,"Oxford/AstraZeneca, Pfizer/BioNTech",Costa Rican Social Security Fund,https://www.ccss.sa.cr/web/coronavirus/vacunacion
3945,Costa Rica,CRI,2021-01-27,50863,45751,5111,,2303,1.0003343429178304,0.8997954608032097,0.10051921488416,452.0,"Oxford/AstraZeneca, Pfizer/BioNTech",Costa Rican Social Security Fund,https://www.ccss.sa.cr/web/coronavirus/vacunacion
3946,Costa Rica,CRI,2021-01-28,52230,45773,6456,,2116,1.0272194469574794,0.900228139873343,0.1269716398536758,415.0,"Oxford/AstraZeneca, Pfizer/BioNTech",Costa Rican Social Security Fund,https://www.ccss.sa.cr/web/coronavirus/vacunacion
3947,Costa Rica,CRI,2021-01-29,53598,45796,7801,,1929,1.0541242182275892,0.9006804861739369,0.1534240648231916,379.0,"Oxford/AstraZeneca, Pfizer/BioNTech",Costa Rican Social Security Fund,https://www.ccss.sa.cr/web/coronavirus/vacunacion
3948,Costa Rica,CRI,2021-01-30,54965,45818,9146,,1742,1.0810093222672383,0.9011131652440703,0.17987648979270737,342.0,"Oxford/AstraZeneca, Pfizer/BioNTech",Costa Rican Social Security Fund,https://www.ccss.sa.cr/web/coronavirus/vacunacion
3949,Costa Rica,CRI,2021-01-31,56333,45840,10492,,1555,1.1079140935373482,0.9015458443142037,0.2063485819926838,305.0,"Oxford/AstraZeneca, Pfizer/BioNTech",Costa Rican Social Security Fund,https://www.ccss.sa.cr/web/coronavirus/vacunacion
