,country,iso_code,date,total_vaccinations,people_vaccinated,people_fully_vaccinated,daily_vaccinations_raw,daily_vaccinations,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,daily_vaccinations_per_million,vaccines,source_name,source_website
4063,Cote d'Ivoire,CIV,2021-03-01,0,0,0,,0,0.0,0.0,0.0,0.0,Oxford/AstraZeneca,Ministry of Health and Public Hygiene,https://www.facebook.com/mshpcmu/posts/1911359415696410
4064,Cote d'Ivoire,CIV,2021-03-02,411,411,0,,412,0.0015634450568888585,0.0015634450568888585,0.0,16.0,Oxford/AstraZeneca,Ministry of Health and Public Hygiene,https://www.facebook.com/mshpcmu/posts/1911359415696410
4065,Cote d'Ivoire,CIV,2021-03-03,823,823,0,,412,0.0031306941163492226,0.0031306941163492226,0.0,16.0,Oxford/AstraZeneca,Ministry of Health and Public Hygiene,https://www.facebook.com/mshpcmu/posts/1911359415696410
4066,Cote d'Ivoire,CIV,2021-03-04,1234,1234,0,,412,0.004694139173238081,0.004694139173238081,0.0,16.0,Oxford/AstraZeneca,Ministry of Health and Public Hygiene,https://www.facebook.com/mshpcmu/posts/1911359415696410
4067,Cote d'Ivoire,CIV,2021-03-05,1646,1646,0,,412,0.006261388232698445,0.006261388232698445,0.0,16.0,Oxford/AstraZeneca,Ministry of Health and Public Hygiene,https://www.facebook.com/mshpcmu/posts/1911359415696410
4068,Cote d'Ivoire,CIV,2021-03-06,2058,2058,0,,412,0.01,0.01,0.0,16.0,Oxford/AstraZeneca,Ministry of Health and Public Hygiene,https://www.facebook.com/mshpcmu/posts/1911359415696410
4069,Cote d'Ivoire,CIV,2021-03-07,2491,2491,0,,415,0.009475770405620795,0.009475770405620795,0.0,16.0,Oxford/AstraZeneca,Ministry of Health and Public Hygiene,https://www.facebook.com/mshpcmu/posts/1911359415696410
4070,Cote d'Ivoire,CIV,2021-03-08,2924,2924,0,,418,0.01,0.01,0.0,16.0,Oxford/AstraZeneca,Ministry of Health and Public Hygiene,https://www.facebook.com/mshpcmu/posts/1911359415696410
4071,Cote d'Ivoire,CIV,2021-03-09,4363,4363,0,1439.0,564,0.02,0.02,0.0,21.0,Oxford/AstraZeneca,Ministry of Health and Public Hygiene,https://www.facebook.com/mshpcmu/posts/1911359415696410
4072,Cote d'Ivoire,CIV,2021-03-10,8802,8802,0,4439.0,1140,0.03,0.03,0.0,43.0,Oxford/AstraZeneca,Ministry of Health and Public Hygiene,https://www.facebook.com/mshpcmu/posts/1911359415696410
4073,Cote d'Ivoire,CIV,2021-03-11,10335,10335,0,,1300,0.03931436657651181,0.03931436657651181,0.0,49.0,Oxford/AstraZeneca,Ministry of Health and Public Hygiene,https://www.facebook.com/mshpcmu/posts/1911359415696410
4074,Cote d'Ivoire,CIV,2021-03-12,11869,11869,0,,1460,0.04514970652120161,0.04514970652120161,0.0,55.0,Oxford/AstraZeneca,Ministry of Health and Public Hygiene,https://www.facebook.com/mshpcmu/posts/1911359415696410
4075,Cote d'Ivoire,CIV,2021-03-13,13403,13403,0,,1621,0.050985046465891415,0.050985046465891415,0.0,61.0,Oxford/AstraZeneca,Ministry of Health and Public Hygiene,https://www.facebook.com/mshpcmu/posts/1911359415696410
4076,Cote d'Ivoire,CIV,2021-03-14,14937,14937,0,,1778,0.06,0.06,0.0,67.0,Oxford/AstraZeneca,Ministry of Health and Public Hygiene,https://www.facebook.com/mshpcmu/posts/1911359415696410
4077,Cote d'Ivoire,CIV,2021-03-15,15181,15181,0,244.0,1751,0.06,0.06,0.0,66.0,Oxford/AstraZeneca,Ministry of Health and Public Hygiene,https://www.facebook.com/mshpcmu/posts/1911359415696410
