,country,iso_code,date,total_vaccinations,people_vaccinated,people_fully_vaccinated,daily_vaccinations_raw,daily_vaccinations,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,daily_vaccinations_per_million,vaccines,source_name,source_website
4149,Croatia,HRV,2020-12-30,7864,0,0,,0,0.19,0.19,0.0,0.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://www.koronavirus.hr
4150,Croatia,HRV,2020-12-31,8969,8969,0,,1105,0.21846835874701612,0.21846835874701612,0.0,269.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://www.koronavirus.hr
4151,Croatia,HRV,2021-01-01,10074,10074,0,,1105,0.245384128221367,0.245384128221367,0.0,269.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://www.koronavirus.hr
4152,Croatia,HRV,2021-01-02,11179,11179,0,,1105,0.27229989769571783,0.27229989769571783,0.0,269.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://www.koronavirus.hr
4153,Croatia,HRV,2021-01-03,12285,12285,0,,1105,0.3,0.3,0.0,269.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://www.koronavirus.hr
4154,Croatia,HRV,2021-01-04,13041,13041,0,,1036,0.3176547961221805,0.3176547961221805,0.0,252.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://www.koronavirus.hr
4155,Croatia,HRV,2021-01-05,13798,13798,0,,989,0.34,0.34,0.0,241.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://www.koronavirus.hr
4156,Croatia,HRV,2021-01-06,17200,17200,0,,1334,0.4189603936279047,0.4189603936279047,0.0,325.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://www.koronavirus.hr
4157,Croatia,HRV,2021-01-07,20603,20603,0,,1662,0.5,0.5,0.0,405.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://www.koronavirus.hr
4158,Croatia,HRV,2021-01-08,24985,24985,0,4382.0,2130,0.61,0.61,0.0,519.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://www.koronavirus.hr
4159,Croatia,HRV,2021-01-09,30000,30000,0,5015.0,2689,0.73,0.73,0.0,655.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://www.koronavirus.hr
4160,Croatia,HRV,2021-01-10,31138,31138,0,,2693,0.7584644614410289,0.7584644614410289,0.0,656.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://www.koronavirus.hr
4161,Croatia,HRV,2021-01-11,32276,32276,0,,2748,0.7861840502752472,0.7861840502752472,0.0,669.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://www.koronavirus.hr
4162,Croatia,HRV,2021-01-12,33414,33414,0,,2802,0.8139036391094655,0.8139036391094655,0.0,683.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://www.koronavirus.hr
4163,Croatia,HRV,2021-01-13,34553,34553,0,,2479,0.84,0.84,0.0,604.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://www.koronavirus.hr
4164,Croatia,HRV,2021-01-14,38000,38000,0,3447.0,2485,0.93,0.93,0.0,605.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://www.koronavirus.hr
4165,Croatia,HRV,2021-01-15,41532,41532,0,3532.0,2364,1.01,1.01,0.0,576.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://www.koronavirus.hr
4166,Croatia,HRV,2021-01-16,45906,45906,0,4374.0,2272,1.12,1.12,0.0,553.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://www.koronavirus.hr
4167,Croatia,HRV,2021-01-17,48705,48705,0,,2510,1.186364300677157,1.186364300677157,0.0,611.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://www.koronavirus.hr
4168,Croatia,HRV,2021-01-18,51504,51504,0,,2747,1.2545427972913723,1.2545427972913723,0.0,669.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://www.koronavirus.hr
4169,Croatia,HRV,2021-01-19,54304,54304,0,,2984,1.32,1.32,0.0,727.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://www.koronavirus.hr
4170,Croatia,HRV,2021-01-20,57853,54932,2920,,3329,1.4091927704973937,1.3380425780679106,0.0711258342670629,811.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://www.koronavirus.hr
4171,Croatia,HRV,2021-01-21,61402,55561,5840,,3343,1.4956398889267795,1.3533638622302333,0.1422516685341258,814.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://www.koronavirus.hr
4172,Croatia,HRV,2021-01-22,64951,56190,8760,,3346,1.58,1.368685146392556,0.21337750280118867,815.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://www.koronavirus.hr
4173,Croatia,HRV,2021-01-23,66628,56819,9808,,2960,1.6229356457348858,1.384006430554879,0.23890485701758662,721.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://www.koronavirus.hr
4174,Croatia,HRV,2021-01-24,68306,57448,10857,,2800,1.6638086422760268,1.3993277147172019,0.2644565693964047,682.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://www.koronavirus.hr
4175,Croatia,HRV,2021-01-25,69984,58077,11907,,2640,1.7,1.41,0.29,643.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://www.koronavirus.hr
4176,Croatia,HRV,2021-01-26,72488,58184,14303,,2598,1.765674477517416,1.417255322258489,0.34839479709650706,633.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://www.koronavirus.hr
4177,Croatia,HRV,2021-01-27,74992,58291,16700,,2448,1.8266673162176645,1.419861645637453,0.4067813124177912,596.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://www.koronavirus.hr
4178,Croatia,HRV,2021-01-28,77496,58399,19096,,2299,1.8876601549179128,1.4224923271788377,0.46514346957665514,560.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://www.koronavirus.hr
4179,Croatia,HRV,2021-01-29,80000,58506,21493,,2150,1.95,1.4250986505578018,0.5235299848979393,524.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://www.koronavirus.hr
4180,Croatia,HRV,2021-01-30,81309,58614,22694,,2097,1.9805378282262385,1.4277293320991864,0.5527841379646319,511.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://www.koronavirus.hr
4181,Croatia,HRV,2021-01-31,82618,58721,23896,,2045,2.012422662834316,1.4303356554781508,0.5820626491937448,498.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://www.koronavirus.hr
4182,Croatia,HRV,2021-02-01,83928,58829,25099,,1992,2.04,1.43,0.61,485.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://www.koronavirus.hr
4183,Croatia,HRV,2021-02-02,85928,58946,26981,,1920,2.093048180445267,1.4358162420227019,0.6572075802601451,468.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://www.koronavirus.hr
4184,Croatia,HRV,2021-02-03,87929,59064,28865,,1848,2.14,1.44,0.7,450.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://www.koronavirus.hr
4185,Croatia,HRV,2021-02-04,95505,59593,35912,7576.0,2573,2.33,1.45,0.87,627.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://www.koronavirus.hr
4186,Croatia,HRV,2021-02-05,96845,59922,36922,,2406,2.3589662395868856,1.4595898085448433,0.8993520728796219,586.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://www.koronavirus.hr
4187,Croatia,HRV,2021-02-06,98185,60252,37932,,2411,2.3916061772299897,1.4676280021435184,0.9239538169240512,587.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://www.koronavirus.hr
4188,Croatia,HRV,2021-02-07,99526,60581,38944,,2415,2.4242704730355142,1.475641837579773,0.9486042772933211,588.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://www.koronavirus.hr
4189,Croatia,HRV,2021-02-08,100866,60911,39954,,2420,2.4569104106786184,1.483680031178448,0.9732060213377502,589.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://www.koronavirus.hr
4190,Croatia,HRV,2021-02-09,102207,61241,41966,,2326,2.49,1.49,1.02,567.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://www.koronavirus.hr
4191,Croatia,HRV,2021-02-10,107490,63008,44482,,2794,2.618258878550202,1.534759097773664,1.083499780776538,681.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://www.koronavirus.hr
4192,Croatia,HRV,2021-02-11,112774,64775,47969,,2467,2.75,1.58,1.17,601.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://www.koronavirus.hr
4193,Croatia,HRV,2021-02-12,114731,65537,49193,,2555,2.794636332635066,1.5963608905344182,1.1982510839382277,622.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://www.koronavirus.hr
4194,Croatia,HRV,2021-02-13,116688,66300,50388,,2643,2.84230525649145,1.6149461684610515,1.227359088030399,644.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://www.koronavirus.hr
4195,Croatia,HRV,2021-02-14,118645,67062,51582,,2731,2.8899741803478345,1.6335070882252642,1.25644273396015,665.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://www.koronavirus.hr
4196,Croatia,HRV,2021-02-15,120603,67825,52778,,2819,2.94,1.65,1.29,687.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://www.koronavirus.hr
4197,Croatia,HRV,2021-02-16,127809,74273,53536,,3657,3.1131923807667947,1.8091537974375214,1.3040385833292736,891.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://www.koronavirus.hr
4198,Croatia,HRV,2021-02-17,135015,80721,54294,,3932,3.288717299166951,1.9662152287231454,1.3225020704438057,958.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://www.koronavirus.hr
4199,Croatia,HRV,2021-02-18,142222,87169,55053,,4207,3.46,2.12,1.34,1025.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://www.koronavirus.hr
4200,Croatia,HRV,2021-02-19,148203,92454,55748,,4782,3.609952745164905,2.2520095483996685,1.3579188386028158,1165.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://www.koronavirus.hr
4201,Croatia,HRV,2021-02-20,154184,97740,56444,,5356,3.7556389146002824,2.3807667949529887,1.374872119647294,1305.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://www.koronavirus.hr
4202,Croatia,HRV,2021-02-21,160165,103025,57139,,5931,3.90132508403566,2.5094996833438885,1.3918010425293514,1445.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://www.koronavirus.hr
4203,Croatia,HRV,2021-02-22,166146,108311,57835,,6506,4.05,2.64,1.41,1585.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://www.koronavirus.hr
4204,Croatia,HRV,2021-02-23,175111,117041,58070,,6757,4.265382179568373,2.8509036878257907,1.4144784917425828,1646.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://www.koronavirus.hr
4205,Croatia,HRV,2021-02-24,184076,125771,58305,,7009,4.48,3.06,1.42,1707.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://www.koronavirus.hr
4206,Croatia,HRV,2021-02-25,194267,135756,58511,10191.0,7435,4.73,3.31,1.43,1811.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://www.koronavirus.hr
4207,Croatia,HRV,2021-02-26,198967,140088,58878,,7252,4.846470502265309,3.4122862571247623,1.4341598869781262,1767.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://www.koronavirus.hr
4208,Croatia,HRV,2021-02-27,203667,144420,59246,,7069,4.960953865640376,3.5178058167291857,1.44312369074877,1722.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://www.koronavirus.hr
4209,Croatia,HRV,2021-02-28,208367,148752,59614,,6886,5.075437229015443,3.6233253763336095,1.4520874945194135,1677.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://www.koronavirus.hr
4210,Croatia,HRV,2021-03-01,213068,153085,59983,,6703,5.19,3.73,1.46,1633.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://www.koronavirus.hr
4211,Croatia,HRV,2021-03-02,222712,162723,59988,,6800,5.4248550689336,3.963633263506601,1.4611974472645783,1656.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://www.koronavirus.hr
4212,Croatia,HRV,2021-03-03,232356,172361,59994,,6897,5.659765187314269,4.1983972329127495,1.4613435962390997,1680.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://www.koronavirus.hr
4213,Croatia,HRV,2021-03-04,242000,182000,60000,,6819,5.89,4.43,1.46,1661.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://www.koronavirus.hr
4214,Croatia,HRV,2021-03-05,247805,187041,60763,,6977,6.036074438544356,4.555975057241682,1.4800750231402542,1700.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://www.koronavirus.hr
4215,Croatia,HRV,2021-03-06,253611,192083,61527,,7135,6.1774979295561945,4.678788912164467,1.4986846592293077,1738.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://www.koronavirus.hr
4216,Croatia,HRV,2021-03-07,259417,197125,62291,,7293,6.318921420568032,4.8016027670872505,1.5172942953183612,1776.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://www.koronavirus.hr
4217,Croatia,HRV,2021-03-08,265223,202167,63056,,7451,6.46,4.92,1.54,1815.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://www.koronavirus.hr
4218,Croatia,HRV,2021-03-09,274156,209981,64175,,7349,6.677936376479758,5.11475130316169,1.563185073318069,1790.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://www.koronavirus.hr
4219,Croatia,HRV,2021-03-10,283089,217795,65294,,7248,6.895527841379646,5.305085984313344,1.590441857066303,1766.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://www.koronavirus.hr
4220,Croatia,HRV,2021-03-11,292022,225609,66413,,7146,7.113119306279534,5.495420665464997,1.6176986408145368,1741.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://www.koronavirus.hr
4221,Croatia,HRV,2021-03-12,300956,233423,67533,,7593,7.33,5.69,1.65,1850.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://www.koronavirus.hr
4222,Croatia,HRV,2021-03-13,310116,241308,68807,,8072,7.553855897111123,5.877819457300141,1.6760120816485604,1966.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://www.koronavirus.hr
4223,Croatia,HRV,2021-03-14,319277,249194,70082,,8551,7.777001023042822,6.069907926146052,1.70706873873435,2083.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://www.koronavirus.hr
4224,Croatia,HRV,2021-03-15,328438,257079,71358,,9031,8.00014614897452,6.261972036829541,1.7381497539825597,2200.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://www.koronavirus.hr
4225,Croatia,HRV,2021-03-16,337599,264965,72633,,9063,8.22329127490622,6.454060505675452,1.769206411068349,2208.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://www.koronavirus.hr
4226,Croatia,HRV,2021-03-17,346760,272850,73909,,9096,8.446436400837921,6.646124616358942,1.8002874263165585,2216.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://www.koronavirus.hr
4227,Croatia,HRV,2021-03-18,355921,280736,75184,,9128,8.66958152676962,6.838213085204853,1.8313440834023482,2223.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://www.koronavirus.hr
4228,Croatia,HRV,2021-03-19,365082,288622,76460,,9161,8.89,7.03,1.86,2232.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://www.koronavirus.hr
4229,Croatia,HRV,2021-03-20,373607,296230,77376,,9070,9.100379987333755,7.21561845374385,1.8847371754274855,2209.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://www.koronavirus.hr
4230,Croatia,HRV,2021-03-21,382132,303839,78292,,8979,9.308033321966192,7.4009597115993575,1.9070492522044138,2187.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://www.koronavirus.hr
4231,Croatia,HRV,2021-03-22,390657,311448,79209,,8888,9.52,7.59,1.93,2165.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://www.koronavirus.hr
4232,Croatia,HRV,2021-03-23,397179,317565,79614,,8511,9.674550591903348,7.735299848979393,1.939250742923954,2073.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://www.koronavirus.hr
4233,Croatia,HRV,2021-03-24,403701,323682,80019,,8134,9.833414527208067,7.884298728503921,1.9491157987041459,1981.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://www.koronavirus.hr
4234,Croatia,HRV,2021-03-25,410223,329799,80424,,7757,9.992278462512788,8.03329760802845,1.9589808544843375,1890.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://www.koronavirus.hr
4235,Croatia,HRV,2021-03-26,416745,335916,80829,,7380,10.15,8.18,1.97,1798.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://www.koronavirus.hr
4236,Croatia,HRV,2021-03-27,423570,342282,81288,,7138,10.317386856335558,8.337360549520143,1.9800263068154138,1739.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://www.koronavirus.hr
4237,Croatia,HRV,2021-03-28,430396,348648,81748,,6895,10.48,8.49,1.99,1680.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://www.koronavirus.hr
4238,Croatia,HRV,2021-03-29,445763,361006,84756,,7872,10.857967554927656,8.793442782676475,2.0645004140887613,1918.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://www.koronavirus.hr
4239,Croatia,HRV,2021-03-30,461131,373365,87765,,9136,11.232303795001705,9.09448531202806,2.1377941248112244,2225.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://www.koronavirus.hr
4240,Croatia,HRV,2021-03-31,476499,385724,89313,,10400,11.61,9.4,2.18,2533.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://www.koronavirus.hr
4241,Croatia,HRV,2021-04-01,498417,404518,92380,21918.0,12599,12.14,9.85,2.25,3069.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://www.koronavirus.hr
4242,Croatia,HRV,2021-04-02,517112,419431,96047,18695.0,14338,12.6,10.22,2.34,3493.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://www.koronavirus.hr
4243,Croatia,HRV,2021-04-03,520741,422734,98007,,13882,12.684293856871436,10.297023432552248,2.3872704243191896,3382.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://www.koronavirus.hr
4244,Croatia,HRV,2021-04-04,524371,426037,98334,,13425,12.77,10.38,2.4,3270.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://www.koronavirus.hr
4245,Croatia,HRV,2021-04-05,525392,426712,98680,,11376,12.797583670287912,10.393920202659912,2.4036634676280024,2771.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://www.koronavirus.hr
4246,Croatia,HRV,2021-04-06,526414,427387,99027,,9326,12.82,10.41,2.41,2272.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://www.koronavirus.hr
4247,Croatia,HRV,2021-04-07,533409,432601,100808,6995.0,8130,12.99,10.54,2.46,1980.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://www.koronavirus.hr
4248,Croatia,HRV,2021-04-08,543436,440890,102546,10027.0,6431,13.24,10.74,2.5,1567.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://www.koronavirus.hr
4249,Croatia,HRV,2021-04-09,565785,458762,107023,22349.0,6953,13.78,11.17,2.61,1694.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://www.koronavirus.hr
4250,Croatia,HRV,2021-04-10,583931,473522,110409,18146.0,9027,14.22,11.53,2.69,2199.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://www.koronavirus.hr
4251,Croatia,HRV,2021-04-11,588183,477617,110566,4252.0,9116,14.33,11.63,2.69,2221.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://www.koronavirus.hr
4252,Croatia,HRV,2021-04-12,595369,483825,111544,7186.0,9997,14.5,11.79,2.72,2435.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://www.koronavirus.hr
4253,Croatia,HRV,2021-04-13,605423,491601,113822,10054.0,11287,14.75,11.97,2.77,2749.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://www.koronavirus.hr
4254,Croatia,HRV,2021-04-14,617516,500233,117283,12093.0,12015,15.04,12.19,2.86,2927.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://www.koronavirus.hr
