,country,iso_code,date,total_vaccinations,people_vaccinated,people_fully_vaccinated,daily_vaccinations_raw,daily_vaccinations,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,daily_vaccinations_per_million,vaccines,source_name,source_website
4296,Cuba,CUB,2021-05-12,70000,0,0,,0,0.62,0.62,0.0,0.0,"Abdala, Soberana02",Ministry of Health,https://twitter.com/MINSAPCuba/status/1397554389116727296
4297,Cuba,CUB,2021-05-13,165714,165714,0,,95714,1.463904593639576,1.463904593639576,0.0,8450.0,"Abdala, Soberana02",Ministry of Health,https://twitter.com/MINSAPCuba/status/1397554389116727296
4298,Cuba,CUB,2021-05-14,261428,261428,0,,95714,2.309434628975265,2.309434628975265,0.0,8450.0,"Abdala, Soberana02",Ministry of Health,https://twitter.com/MINSAPCuba/status/1397554389116727296
4299,Cuba,CUB,2021-05-15,357142,357142,0,,95714,3.154964664310954,3.154964664310954,0.0,8450.0,"Abdala, Soberana02",Ministry of Health,https://twitter.com/MINSAPCuba/status/1397554389116727296
4300,Cuba,CUB,2021-05-16,452857,452857,0,,95714,4.000503533568905,4.000503533568905,0.0,8450.0,"Abdala, Soberana02",Ministry of Health,https://twitter.com/MINSAPCuba/status/1397554389116727296
4301,Cuba,CUB,2021-05-17,548571,548571,0,,95714,4.846033568904594,4.846033568904594,0.0,8450.0,"Abdala, Soberana02",Ministry of Health,https://twitter.com/MINSAPCuba/status/1397554389116727296
4302,Cuba,CUB,2021-05-18,644285,644285,0,,95714,5.691563604240283,5.691563604240283,0.0,8450.0,"Abdala, Soberana02",Ministry of Health,https://twitter.com/MINSAPCuba/status/1397554389116727296
4303,Cuba,CUB,2021-05-19,740000,740000,0,,95714,6.53,6.53,0.0,8450.0,"Abdala, Soberana02",Ministry of Health,https://twitter.com/MINSAPCuba/status/1397554389116727296
4304,Cuba,CUB,2021-05-20,745882,745882,0,,82881,6.589063604240283,6.589063604240283,0.0,7317.0,"Abdala, Soberana02",Ministry of Health,https://twitter.com/MINSAPCuba/status/1397554389116727296
4305,Cuba,CUB,2021-05-21,751764,751764,0,,70048,6.64,6.64,0.0,6184.0,"Abdala, Soberana02",Ministry of Health,https://twitter.com/MINSAPCuba/status/1397554389116727296
4306,Cuba,CUB,2021-05-22,774212,774212,0,22448.0,59581,6.84,6.84,0.0,5260.0,"Abdala, Soberana02",Ministry of Health,https://twitter.com/MINSAPCuba/status/1397554389116727296
4307,Cuba,CUB,2021-05-23,782791,782791,0,8579.0,47133,6.91,6.91,0.0,4161.0,"Abdala, Soberana02",Ministry of Health,https://twitter.com/MINSAPCuba/status/1397554389116727296
4308,Cuba,CUB,2021-05-24,793009,793009,0,10218.0,34920,7.0,7.0,0.0,3083.0,"Abdala, Soberana02",Ministry of Health,https://twitter.com/MINSAPCuba/status/1397554389116727296
