,country,iso_code,date,total_vaccinations,people_vaccinated,people_fully_vaccinated,daily_vaccinations_raw,daily_vaccinations,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,daily_vaccinations_per_million,vaccines,source_name,source_website
4367,Cyprus,CYP,2021-01-06,3901,0,0,,0,0.45,0.45,0.0,0.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://www.moh.gov.cy/moh/moh.nsf/All/0EFA027144C9E54AC22586BE0032B2F5
4368,Cyprus,CYP,2021-01-07,4434,4434,0,,534,0.5061840299737661,0.5061840299737661,0.0,610.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://www.moh.gov.cy/moh/moh.nsf/All/0EFA027144C9E54AC22586BE0032B2F5
4369,Cyprus,CYP,2021-01-08,4968,4968,0,,534,0.5671453001600519,0.5671453001600519,0.0,610.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://www.moh.gov.cy/moh/moh.nsf/All/0EFA027144C9E54AC22586BE0032B2F5
4370,Cyprus,CYP,2021-01-09,5501,5501,0,,534,0.6279924106643409,0.6279924106643409,0.0,610.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://www.moh.gov.cy/moh/moh.nsf/All/0EFA027144C9E54AC22586BE0032B2F5
4371,Cyprus,CYP,2021-01-10,6035,6035,0,,534,0.69,0.69,0.0,610.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://www.moh.gov.cy/moh/moh.nsf/All/0EFA027144C9E54AC22586BE0032B2F5
4372,Cyprus,CYP,2021-01-11,6733,6733,0,,566,0.7686371388843859,0.7686371388843859,0.0,646.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://www.moh.gov.cy/moh/moh.nsf/All/0EFA027144C9E54AC22586BE0032B2F5
4373,Cyprus,CYP,2021-01-12,7432,7432,0,,588,0.8484347566001421,0.8484347566001421,0.0,671.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://www.moh.gov.cy/moh/moh.nsf/All/0EFA027144C9E54AC22586BE0032B2F5
4374,Cyprus,CYP,2021-01-13,8130,8130,0,,604,0.9281182146339013,0.9281182146339013,0.0,690.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://www.moh.gov.cy/moh/moh.nsf/All/0EFA027144C9E54AC22586BE0032B2F5
4375,Cyprus,CYP,2021-01-14,8829,8829,0,,628,1.0079158323496575,1.0079158323496575,0.0,717.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://www.moh.gov.cy/moh/moh.nsf/All/0EFA027144C9E54AC22586BE0032B2F5
4376,Cyprus,CYP,2021-01-15,9527,9527,0,,651,1.0875992903834166,1.0875992903834166,0.0,743.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://www.moh.gov.cy/moh/moh.nsf/All/0EFA027144C9E54AC22586BE0032B2F5
4377,Cyprus,CYP,2021-01-16,10226,10226,0,,675,1.17,1.17,0.0,771.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://www.moh.gov.cy/moh/moh.nsf/All/0EFA027144C9E54AC22586BE0032B2F5
4378,Cyprus,CYP,2021-01-17,11299,10954,345,,752,1.2898902468817282,1.2505051565928358,0.03938509028889249,859.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://www.moh.gov.cy/moh/moh.nsf/All/0EFA027144C9E54AC22586BE0032B2F5
4379,Cyprus,CYP,2021-01-18,12372,11682,690,,806,1.4123835856642837,1.3336134050864987,0.07877018057778498,920.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://www.moh.gov.cy/moh/moh.nsf/All/0EFA027144C9E54AC22586BE0032B2F5
4380,Cyprus,CYP,2021-01-19,13445,12410,1035,,859,1.5348769244468394,1.4167216535801619,0.11815527086667747,981.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://www.moh.gov.cy/moh/moh.nsf/All/0EFA027144C9E54AC22586BE0032B2F5
4381,Cyprus,CYP,2021-01-20,14519,13138,1381,,913,1.6574844229113916,1.4998299020738248,0.15765452083756676,1042.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://www.moh.gov.cy/moh/moh.nsf/All/0EFA027144C9E54AC22586BE0032B2F5
4382,Cyprus,CYP,2021-01-21,15592,13866,1726,,966,1.7799777616939472,1.5829381505674878,0.19703961112645924,1103.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://www.moh.gov.cy/moh/moh.nsf/All/0EFA027144C9E54AC22586BE0032B2F5
4383,Cyprus,CYP,2021-01-22,16665,14594,2071,,1020,1.9024711004765025,1.6660463990611507,0.2364247014153517,1165.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://www.moh.gov.cy/moh/moh.nsf/All/0EFA027144C9E54AC22586BE0032B2F5
4384,Cyprus,CYP,2021-01-23,17739,15322,2057,,1073,2.03,1.75,0.23,1225.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://www.moh.gov.cy/moh/moh.nsf/All/0EFA027144C9E54AC22586BE0032B2F5
4385,Cyprus,CYP,2021-01-24,18850,15935,2914,,1079,2.1519100056394884,1.819134532618846,0.33266131333864557,1232.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://www.moh.gov.cy/moh/moh.nsf/All/0EFA027144C9E54AC22586BE0032B2F5
4386,Cyprus,CYP,2021-01-25,19961,16549,3411,,1084,2.2787414123379217,1.8892285773648747,0.3893986752910501,1238.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://www.moh.gov.cy/moh/moh.nsf/All/0EFA027144C9E54AC22586BE0032B2F5
4387,Cyprus,CYP,2021-01-26,21073,17163,3909,,1090,2.405686978718352,1.959322622110904,0.4462501969254514,1244.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://www.moh.gov.cy/moh/moh.nsf/All/0EFA027144C9E54AC22586BE0032B2F5
4388,Cyprus,CYP,2021-01-27,22184,17776,4407,,1095,2.5325183854167856,2.0293025071749358,0.5031017185598528,1250.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://www.moh.gov.cy/moh/moh.nsf/All/0EFA027144C9E54AC22586BE0032B2F5
4389,Cyprus,CYP,2021-01-28,23296,18390,4905,,1101,2.659463951797216,2.099396551920965,0.5599532401942541,1257.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://www.moh.gov.cy/moh/moh.nsf/All/0EFA027144C9E54AC22586BE0032B2F5
4390,Cyprus,CYP,2021-01-29,24407,19004,5402,,1106,2.786295358495649,2.1694905966669937,0.6166906021466587,1263.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://www.moh.gov.cy/moh/moh.nsf/All/0EFA027144C9E54AC22586BE0032B2F5
4391,Cyprus,CYP,2021-01-30,25519,19618,5551,,1111,2.91,2.24,0.63,1268.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://www.moh.gov.cy/moh/moh.nsf/All/0EFA027144C9E54AC22586BE0032B2F5
4392,Cyprus,CYP,2021-01-31,26564,20074,6489,,1102,3.032537792562725,2.291641456403559,0.7407821764771693,1258.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://www.moh.gov.cy/moh/moh.nsf/All/0EFA027144C9E54AC22586BE0032B2F5
4393,Cyprus,CYP,2021-02-01,27609,20530,7078,,1093,3.1518346602493703,2.3436982713940955,0.8080222291732784,1248.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://www.moh.gov.cy/moh/moh.nsf/All/0EFA027144C9E54AC22586BE0032B2F5
4394,Cyprus,CYP,2021-02-02,28655,20987,7667,,1083,3.2712456876180123,2.395869246066628,0.8752622818693876,1236.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://www.moh.gov.cy/moh/moh.nsf/All/0EFA027144C9E54AC22586BE0032B2F5
4395,Cyprus,CYP,2021-02-03,29700,21443,8256,,1074,3.3905425553046578,2.4479260610571645,0.9425023345654968,1226.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://www.moh.gov.cy/moh/moh.nsf/All/0EFA027144C9E54AC22586BE0032B2F5
4396,Cyprus,CYP,2021-02-04,30746,21900,8845,,1064,3.5099535826733,2.500097035729697,1.009742387261606,1215.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://www.moh.gov.cy/moh/moh.nsf/All/0EFA027144C9E54AC22586BE0032B2F5
4397,Cyprus,CYP,2021-02-05,31791,22356,9434,,1055,3.6292504503599456,2.5521538507202335,1.0769824399577153,1204.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://www.moh.gov.cy/moh/moh.nsf/All/0EFA027144C9E54AC22586BE0032B2F5
4398,Cyprus,CYP,2021-02-06,32837,22813,10024,,1045,3.75,2.6,1.14,1193.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://www.moh.gov.cy/moh/moh.nsf/All/0EFA027144C9E54AC22586BE0032B2F5
4399,Cyprus,CYP,2021-02-07,34493,23781,10711,,1133,3.9377099111152716,2.714831397565659,1.2227643538676158,1294.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://www.moh.gov.cy/moh/moh.nsf/All/0EFA027144C9E54AC22586BE0032B2F5
4400,Cyprus,CYP,2021-02-08,36149,24749,11399,,1220,4.1267583445019556,2.8253379697385514,1.3013062150814072,1393.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://www.moh.gov.cy/moh/moh.nsf/All/0EFA027144C9E54AC22586BE0032B2F5
4401,Cyprus,CYP,2021-02-09,37805,25718,12086,,1307,4.315806777888639,2.935958701593441,1.3797339166132019,1492.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://www.moh.gov.cy/moh/moh.nsf/All/0EFA027144C9E54AC22586BE0032B2F5
