,country,iso_code,date,total_vaccinations,people_vaccinated,people_fully_vaccinated,daily_vaccinations_raw,daily_vaccinations,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,daily_vaccinations_per_million,vaccines,source_name,source_website
4506,Czechia,CZE,2020-12-27,1252,0,0,,0,0.01,0.01,0.0,0.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://onemocneni-aktualne.mzcr.cz/covid-19
4507,Czechia,CZE,2020-12-28,3548,3548,0,2296.0,2296,0.03,0.03,0.0,214.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://onemocneni-aktualne.mzcr.cz/covid-19
4508,Czechia,CZE,2020-12-29,6994,6994,0,3446.0,2871,0.07,0.07,0.0,268.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://onemocneni-aktualne.mzcr.cz/covid-19
4509,Czechia,CZE,2020-12-30,10468,10468,0,3474.0,3072,0.1,0.1,0.0,287.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://onemocneni-aktualne.mzcr.cz/covid-19
4510,Czechia,CZE,2020-12-31,11772,11772,0,1304.0,2630,0.11,0.11,0.0,246.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://onemocneni-aktualne.mzcr.cz/covid-19
4511,Czechia,CZE,2021-01-01,12033,12033,0,261.0,2156,0.11,0.11,0.0,201.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://onemocneni-aktualne.mzcr.cz/covid-19
4512,Czechia,CZE,2021-01-02,13300,13300,0,1267.0,2008,0.12,0.12,0.0,188.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://onemocneni-aktualne.mzcr.cz/covid-19
4513,Czechia,CZE,2021-01-03,14215,14215,0,915.0,1852,0.13,0.13,0.0,173.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://onemocneni-aktualne.mzcr.cz/covid-19
4514,Czechia,CZE,2021-01-04,17788,17788,0,3573.0,2034,0.17,0.17,0.0,190.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://onemocneni-aktualne.mzcr.cz/covid-19
4515,Czechia,CZE,2021-01-05,22279,22279,0,4491.0,2184,0.21,0.21,0.0,204.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://onemocneni-aktualne.mzcr.cz/covid-19
