,country,iso_code,date,total_vaccinations,people_vaccinated,people_fully_vaccinated,daily_vaccinations_raw,daily_vaccinations,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,daily_vaccinations_per_million,vaccines,source_name,source_website
4656,Democratic Republic of Congo,COD,2021-04-18,0,0,0,,0,0.0,0.0,0.0,0.0,Oxford/AstraZeneca,World Health Organization,https://covid19.who.int/
4657,Democratic Republic of Congo,COD,2021-04-19,242,242,0,,243,0.00026578073089701,0.00026578073089701,0.0,3.0,Oxford/AstraZeneca,World Health Organization,https://covid19.who.int/
4658,Democratic Republic of Congo,COD,2021-04-20,485,485,0,,243,0.0005326597292770654,0.0005326597292770654,0.0,3.0,Oxford/AstraZeneca,World Health Organization,https://covid19.who.int/
4659,Democratic Republic of Congo,COD,2021-04-21,728,728,0,,243,0.0007995387276571208,0.0007995387276571208,0.0,3.0,Oxford/AstraZeneca,World Health Organization,https://covid19.who.int/
4660,Democratic Republic of Congo,COD,2021-04-22,971,971,0,,243,0.0010664177260371764,0.0010664177260371764,0.0,3.0,Oxford/AstraZeneca,World Health Organization,https://covid19.who.int/
4661,Democratic Republic of Congo,COD,2021-04-23,1214,1214,0,,243,0.0013332967244172318,0.0013332967244172318,0.0,3.0,Oxford/AstraZeneca,World Health Organization,https://covid19.who.int/
4662,Democratic Republic of Congo,COD,2021-04-24,1457,1457,0,,243,0.0016001757227972872,0.0016001757227972872,0.0,3.0,Oxford/AstraZeneca,World Health Organization,https://covid19.who.int/
4663,Democratic Republic of Congo,COD,2021-04-25,1700,1700,0,,243,0.0,0.0,0.0,3.0,Oxford/AstraZeneca,World Health Organization,https://covid19.who.int/
4664,Democratic Republic of Congo,COD,2021-04-26,2096,2096,0,,265,0.002301968644463359,0.002301968644463359,0.0,3.0,Oxford/AstraZeneca,World Health Organization,https://covid19.who.int/
4665,Democratic Republic of Congo,COD,2021-04-27,2493,2493,0,,287,0.0027379808352324207,0.0027379808352324207,0.0,3.0,Oxford/AstraZeneca,World Health Organization,https://covid19.who.int/
4666,Democratic Republic of Congo,COD,2021-04-28,2890,2890,0,,309,0.003173993026001483,0.003173993026001483,0.0,3.0,Oxford/AstraZeneca,World Health Organization,https://covid19.who.int/
4667,Democratic Republic of Congo,COD,2021-04-29,3287,3287,0,,331,0.003610005216770545,0.003610005216770545,0.0,4.0,Oxford/AstraZeneca,World Health Organization,https://covid19.who.int/
4668,Democratic Republic of Congo,COD,2021-04-30,3684,3684,0,,353,0.004046017407539606,0.004046017407539606,0.0,4.0,Oxford/AstraZeneca,World Health Organization,https://covid19.who.int/
4669,Democratic Republic of Congo,COD,2021-05-01,4080,4080,0,,375,0.004480931330825623,0.004480931330825623,0.0,4.0,Oxford/AstraZeneca,World Health Organization,https://covid19.who.int/
4670,Democratic Republic of Congo,COD,2021-05-02,4477,4477,0,,397,0.004916943521594684,0.004916943521594684,0.0,4.0,Oxford/AstraZeneca,World Health Organization,https://covid19.who.int/
4671,Democratic Republic of Congo,COD,2021-05-03,4874,4874,0,,397,0.0053529557123637465,0.0053529557123637465,0.0,4.0,Oxford/AstraZeneca,World Health Organization,https://covid19.who.int/
4672,Democratic Republic of Congo,COD,2021-05-04,5271,5271,0,,397,0.005788967903132808,0.005788967903132808,0.0,4.0,Oxford/AstraZeneca,World Health Organization,https://covid19.who.int/
4673,Democratic Republic of Congo,COD,2021-05-05,5668,5668,0,,397,0.00622498009390187,0.00622498009390187,0.0,4.0,Oxford/AstraZeneca,World Health Organization,https://covid19.who.int/
4674,Democratic Republic of Congo,COD,2021-05-06,6065,6065,0,,397,0.006660992284670931,0.006660992284670931,0.0,4.0,Oxford/AstraZeneca,World Health Organization,https://covid19.who.int/
4675,Democratic Republic of Congo,COD,2021-05-07,6461,6461,0,,397,0.0070959062079569485,0.0070959062079569485,0.0,4.0,Oxford/AstraZeneca,World Health Organization,https://covid19.who.int/
4676,Democratic Republic of Congo,COD,2021-05-08,6858,6858,0,,397,0.007531918398726009,0.007531918398726009,0.0,4.0,Oxford/AstraZeneca,World Health Organization,https://covid19.who.int/
4677,Democratic Republic of Congo,COD,2021-05-09,7255,7255,0,,397,0.007967930589495072,0.007967930589495072,0.0,4.0,Oxford/AstraZeneca,World Health Organization,https://covid19.who.int/
4678,Democratic Republic of Congo,COD,2021-05-10,7652,7652,0,,397,0.008403942780264134,0.008403942780264134,0.0,4.0,Oxford/AstraZeneca,World Health Organization,https://covid19.who.int/
4679,Democratic Republic of Congo,COD,2021-05-11,8049,8049,0,,397,0.008839954971033195,0.008839954971033195,0.0,4.0,Oxford/AstraZeneca,World Health Organization,https://covid19.who.int/
4680,Democratic Republic of Congo,COD,2021-05-12,8446,8446,0,,397,0.01,0.01,0.0,4.0,Oxford/AstraZeneca,World Health Organization,https://covid19.who.int/
4681,Democratic Republic of Congo,COD,2021-05-13,8897,8897,0,,405,0.009771285796655775,0.009771285796655775,0.0,5.0,Oxford/AstraZeneca,World Health Organization,https://covid19.who.int/
4682,Democratic Republic of Congo,COD,2021-05-14,9349,9349,0,,412,0.01026770269899234,0.01026770269899234,0.0,5.0,Oxford/AstraZeneca,World Health Organization,https://covid19.who.int/
4683,Democratic Republic of Congo,COD,2021-05-15,9800,9800,0,,420,0.010763021333845858,0.010763021333845858,0.0,5.0,Oxford/AstraZeneca,World Health Organization,https://covid19.who.int/
4684,Democratic Republic of Congo,COD,2021-05-16,10252,10252,0,,428,0.011259438236182423,0.011259438236182423,0.0,5.0,Oxford/AstraZeneca,World Health Organization,https://covid19.who.int/
4685,Democratic Republic of Congo,COD,2021-05-17,10703,10703,0,,436,0.011754756871035941,0.011754756871035941,0.0,5.0,Oxford/AstraZeneca,World Health Organization,https://covid19.who.int/
4686,Democratic Republic of Congo,COD,2021-05-18,11155,11155,0,,444,0.01,0.01,0.0,5.0,Oxford/AstraZeneca,World Health Organization,https://covid19.who.int/
4687,Democratic Republic of Congo,COD,2021-05-19,12582,12582,0,,591,0.013818401471678426,0.013818401471678426,0.0,7.0,Oxford/AstraZeneca,World Health Organization,https://covid19.who.int/
4688,Democratic Republic of Congo,COD,2021-05-20,14009,14009,0,,730,0.01538562916998435,0.01538562916998435,0.0,8.0,Oxford/AstraZeneca,World Health Organization,https://covid19.who.int/
4689,Democratic Republic of Congo,COD,2021-05-21,15436,15436,0,,870,0.02,0.02,0.0,10.0,Oxford/AstraZeneca,World Health Organization,https://covid19.who.int/
4690,Democratic Republic of Congo,COD,2021-05-22,16358,16358,0,,937,0.01796545948765822,0.01796545948765822,0.0,10.0,Oxford/AstraZeneca,World Health Organization,https://covid19.who.int/
4691,Democratic Republic of Congo,COD,2021-05-23,17281,17281,0,,1004,0.01897916037450921,0.01897916037450921,0.0,11.0,Oxford/AstraZeneca,World Health Organization,https://covid19.who.int/
4692,Democratic Republic of Congo,COD,2021-05-24,18204,18204,0,,1072,0.02,0.02,0.0,12.0,Oxford/AstraZeneca,World Health Organization,https://covid19.who.int/
