,country,iso_code,date,total_vaccinations,people_vaccinated,people_fully_vaccinated,daily_vaccinations_raw,daily_vaccinations,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,daily_vaccinations_per_million,vaccines,source_name,source_website
4853,Djibouti,DJI,2021-04-17,10246,0,0,,0,1.04,1.04,0.0,0.0,"Oxford/AstraZeneca, Sinopharm/Beijing, Sputnik V",World Health Organization,https://covid19.who.int/
4854,Djibouti,DJI,2021-04-18,10500,10455,44,,254,1.0610712170790022,1.0565237690058067,0.004446393671569153,257.0,"Oxford/AstraZeneca, Sinopharm/Beijing, Sputnik V",World Health Organization,https://covid19.who.int/
4855,Djibouti,DJI,2021-04-19,10754,10664,89,,254,1.0867390350921515,1.07764413894576,0.008993841744764877,257.0,"Oxford/AstraZeneca, Sinopharm/Beijing, Sputnik V",World Health Organization,https://covid19.who.int/
4856,Djibouti,DJI,2021-04-20,11008,10873,134,,254,1.1124068531053006,1.0987645088857136,0.0135412898179606,257.0,"Oxford/AstraZeneca, Sinopharm/Beijing, Sputnik V",World Health Organization,https://covid19.who.int/
4857,Djibouti,DJI,2021-04-21,11262,11082,179,,254,1.13807467111845,1.119884878825667,0.018088737891156326,257.0,"Oxford/AstraZeneca, Sinopharm/Beijing, Sputnik V",World Health Organization,https://covid19.who.int/
4858,Djibouti,DJI,2021-04-22,11516,11291,224,,254,1.1637424891315993,1.1410052487656204,0.02263618596435205,257.0,"Oxford/AstraZeneca, Sinopharm/Beijing, Sputnik V",World Health Organization,https://covid19.who.int/
4859,Djibouti,DJI,2021-04-23,11771,11501,269,,254,1.1895113615463748,1.1622266731072006,0.027183634037547772,257.0,"Oxford/AstraZeneca, Sinopharm/Beijing, Sputnik V",World Health Organization,https://covid19.who.int/
4860,Djibouti,DJI,2021-04-24,12025,11710,314,,254,1.2151791795595241,1.183347043047154,0.0317310821107435,257.0,"Oxford/AstraZeneca, Sinopharm/Beijing, Sputnik V",World Health Organization,https://covid19.who.int/
4861,Djibouti,DJI,2021-04-25,12279,11919,359,,254,1.2408469975726732,1.2044674129871074,0.03627853018393922,257.0,"Oxford/AstraZeneca, Sinopharm/Beijing, Sputnik V",World Health Organization,https://covid19.who.int/
4862,Djibouti,DJI,2021-04-26,12533,12128,404,,254,1.2665148155858226,1.225587782927061,0.040825978257134944,257.0,"Oxford/AstraZeneca, Sinopharm/Beijing, Sputnik V",World Health Organization,https://covid19.who.int/
4863,Djibouti,DJI,2021-04-27,12787,12337,449,,254,1.2921826335989717,1.2467081528670143,0.04537342633033067,257.0,"Oxford/AstraZeneca, Sinopharm/Beijing, Sputnik V",World Health Organization,https://covid19.who.int/
4864,Djibouti,DJI,2021-04-28,13042,12547,495,,254,1.32,1.27,0.05,257.0,"Oxford/AstraZeneca, Sinopharm/Beijing, Sputnik V",World Health Organization,https://covid19.who.int/
