,country,iso_code,date,total_vaccinations,people_vaccinated,people_fully_vaccinated,daily_vaccinations_raw,daily_vaccinations,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,daily_vaccinations_per_million,vaccines,source_name,source_website
4891,Dominica,DMA,2021-02-11,0,0,0,,0,0.0,0.0,0.0,0.0,Oxford/AstraZeneca,Government of Dominica,https://dominica.gov.dm/images/coronavirus/May-18-th-2021-Dominica_coronavirus_updated_report.jpg
4892,Dominica,DMA,2021-02-12,205,205,0,,205,0.2851182197496523,0.2851182197496523,0.0,2848.0,Oxford/AstraZeneca,Government of Dominica,https://dominica.gov.dm/images/coronavirus/May-18-th-2021-Dominica_coronavirus_updated_report.jpg
4893,Dominica,DMA,2021-02-13,410,410,0,,205,0.5702364394993046,0.5702364394993046,0.0,2848.0,Oxford/AstraZeneca,Government of Dominica,https://dominica.gov.dm/images/coronavirus/May-18-th-2021-Dominica_coronavirus_updated_report.jpg
4894,Dominica,DMA,2021-02-14,616,616,0,,205,0.8567454798331015,0.8567454798331015,0.0,2848.0,Oxford/AstraZeneca,Government of Dominica,https://dominica.gov.dm/images/coronavirus/May-18-th-2021-Dominica_coronavirus_updated_report.jpg
4895,Dominica,DMA,2021-02-15,821,821,0,,205,1.1418636995827538,1.1418636995827538,0.0,2848.0,Oxford/AstraZeneca,Government of Dominica,https://dominica.gov.dm/images/coronavirus/May-18-th-2021-Dominica_coronavirus_updated_report.jpg
4896,Dominica,DMA,2021-02-16,1027,1027,0,,205,1.4283727399165507,1.4283727399165507,0.0,2848.0,Oxford/AstraZeneca,Government of Dominica,https://dominica.gov.dm/images/coronavirus/May-18-th-2021-Dominica_coronavirus_updated_report.jpg
4897,Dominica,DMA,2021-02-17,1232,1232,0,,205,1.713490959666203,1.713490959666203,0.0,2848.0,Oxford/AstraZeneca,Government of Dominica,https://dominica.gov.dm/images/coronavirus/May-18-th-2021-Dominica_coronavirus_updated_report.jpg
4898,Dominica,DMA,2021-02-18,1437,1437,0,,205,1.9986091794158551,1.9986091794158551,0.0,2848.0,Oxford/AstraZeneca,Government of Dominica,https://dominica.gov.dm/images/coronavirus/May-18-th-2021-Dominica_coronavirus_updated_report.jpg
4899,Dominica,DMA,2021-02-19,1643,1643,0,,205,2.2851182197496525,2.2851182197496525,0.0,2848.0,Oxford/AstraZeneca,Government of Dominica,https://dominica.gov.dm/images/coronavirus/May-18-th-2021-Dominica_coronavirus_updated_report.jpg
4900,Dominica,DMA,2021-02-20,1848,1848,0,,205,2.570236439499305,2.570236439499305,0.0,2848.0,Oxford/AstraZeneca,Government of Dominica,https://dominica.gov.dm/images/coronavirus/May-18-th-2021-Dominica_coronavirus_updated_report.jpg
4901,Dominica,DMA,2021-02-21,2054,2054,0,,205,2.8567454798331013,2.8567454798331013,0.0,2848.0,Oxford/AstraZeneca,Government of Dominica,https://dominica.gov.dm/images/coronavirus/May-18-th-2021-Dominica_coronavirus_updated_report.jpg
4902,Dominica,DMA,2021-02-22,2259,2259,0,,205,3.141863699582754,3.141863699582754,0.0,2848.0,Oxford/AstraZeneca,Government of Dominica,https://dominica.gov.dm/images/coronavirus/May-18-th-2021-Dominica_coronavirus_updated_report.jpg
4903,Dominica,DMA,2021-02-23,2465,2465,0,,205,3.42,3.42,0.0,2848.0,Oxford/AstraZeneca,Government of Dominica,https://dominica.gov.dm/images/coronavirus/May-18-th-2021-Dominica_coronavirus_updated_report.jpg
4904,Dominica,DMA,2021-02-24,3638,3638,0,,344,5.05980528511822,5.05980528511822,0.0,4778.0,Oxford/AstraZeneca,Government of Dominica,https://dominica.gov.dm/images/coronavirus/May-18-th-2021-Dominica_coronavirus_updated_report.jpg
