,country,iso_code,date,total_vaccinations,people_vaccinated,people_fully_vaccinated,daily_vaccinations_raw,daily_vaccinations,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,daily_vaccinations_per_million,vaccines,source_name,source_website
4988,Dominican Republic,DOM,2021-02-15,0,0,0,,0,0.0,0.0,0.0,0.0,"Oxford/AstraZeneca, Sinopharm/Beijing, Sinovac",Ministry of Public Health,https://vacunate.gob.do/
4989,Dominican Republic,DOM,2021-02-16,385,385,0,385.0,385,0.0,0.0,0.0,35.0,"Oxford/AstraZeneca, Sinopharm/Beijing, Sinovac",Ministry of Public Health,https://vacunate.gob.do/
4990,Dominican Republic,DOM,2021-02-17,1379,1379,0,994.0,690,0.01,0.01,0.0,64.0,"Oxford/AstraZeneca, Sinopharm/Beijing, Sinovac",Ministry of Public Health,https://vacunate.gob.do/
4991,Dominican Republic,DOM,2021-02-18,5328,5328,0,3949.0,1776,0.05,0.05,0.0,164.0,"Oxford/AstraZeneca, Sinopharm/Beijing, Sinovac",Ministry of Public Health,https://vacunate.gob.do/
4992,Dominican Republic,DOM,2021-02-19,10200,10200,0,4872.0,2550,0.09,0.09,0.0,235.0,"Oxford/AstraZeneca, Sinopharm/Beijing, Sinovac",Ministry of Public Health,https://vacunate.gob.do/
4993,Dominican Republic,DOM,2021-02-20,13087,13087,0,2887.0,2617,0.12,0.12,0.0,241.0,"Oxford/AstraZeneca, Sinopharm/Beijing, Sinovac",Ministry of Public Health,https://vacunate.gob.do/
4994,Dominican Republic,DOM,2021-02-21,14264,14264,0,1177.0,2377,0.13,0.13,0.0,219.0,"Oxford/AstraZeneca, Sinopharm/Beijing, Sinovac",Ministry of Public Health,https://vacunate.gob.do/
4995,Dominican Republic,DOM,2021-02-22,18309,18309,0,,2616,0.16802592163947927,0.16802592163947927,0.0,241.0,"Oxford/AstraZeneca, Sinopharm/Beijing, Sinovac",Ministry of Public Health,https://vacunate.gob.do/
4996,Dominican Republic,DOM,2021-02-23,22354,22354,0,,3139,0.20514782087109723,0.20514782087109723,0.0,289.0,"Oxford/AstraZeneca, Sinopharm/Beijing, Sinovac",Ministry of Public Health,https://vacunate.gob.do/
4997,Dominican Republic,DOM,2021-02-24,26400,26400,0,,3574,0.24,0.24,0.0,329.0,"Oxford/AstraZeneca, Sinopharm/Beijing, Sinovac",Ministry of Public Health,https://vacunate.gob.do/
4998,Dominican Republic,DOM,2021-02-25,33120,33120,0,,3970,0.30394988938224665,0.30394988938224665,0.0,366.0,"Oxford/AstraZeneca, Sinopharm/Beijing, Sinovac",Ministry of Public Health,https://vacunate.gob.do/
4999,Dominican Republic,DOM,2021-02-26,39840,39840,0,,4234,0.3656208814308184,0.3656208814308184,0.0,390.0,"Oxford/AstraZeneca, Sinopharm/Beijing, Sinovac",Ministry of Public Health,https://vacunate.gob.do/
5000,Dominican Republic,DOM,2021-02-27,46560,46560,0,,4782,0.4272918734793902,0.4272918734793902,0.0,441.0,"Oxford/AstraZeneca, Sinopharm/Beijing, Sinovac",Ministry of Public Health,https://vacunate.gob.do/
5001,Dominican Republic,DOM,2021-02-28,53280,53280,0,,5574,0.488962865527962,0.488962865527962,0.0,514.0,"Oxford/AstraZeneca, Sinopharm/Beijing, Sinovac",Ministry of Public Health,https://vacunate.gob.do/
