,country,iso_code,date,total_vaccinations,people_vaccinated,people_fully_vaccinated,daily_vaccinations_raw,daily_vaccinations,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,daily_vaccinations_per_million,vaccines,source_name,source_website
5088,Ecuador,ECU,2021-01-21,0,0,0,,0,0.0,0.0,0.0,0.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac",Government of Ecuador via Ecuacovid,https://github.com/andrab/ecuacovid
5089,Ecuador,ECU,2021-01-22,108,108,0,108.0,108,0.0,0.0,0.0,6.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac",Government of Ecuador via Ecuacovid,https://github.com/andrab/ecuacovid
5090,Ecuador,ECU,2021-01-23,682,682,0,,341,0.0038959555925042956,0.0038959555925042956,0.0,19.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac",Government of Ecuador via Ecuacovid,https://github.com/andrab/ecuacovid
5091,Ecuador,ECU,2021-01-24,1257,1257,0,,419,0.007180668885304838,0.007180668885304838,0.0,24.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac",Government of Ecuador via Ecuacovid,https://github.com/andrab/ecuacovid
5092,Ecuador,ECU,2021-01-25,1832,1832,0,,458,0.010465382178105382,0.010465382178105382,0.0,26.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac",Government of Ecuador via Ecuacovid,https://github.com/andrab/ecuacovid
5093,Ecuador,ECU,2021-01-26,2407,2407,0,,481,0.013750095470905924,0.013750095470905924,0.0,27.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac",Government of Ecuador via Ecuacovid,https://github.com/andrab/ecuacovid
5094,Ecuador,ECU,2021-01-27,2982,2982,0,,497,0.02,0.02,0.0,28.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac",Government of Ecuador via Ecuacovid,https://github.com/andrab/ecuacovid
5095,Ecuador,ECU,2021-01-28,3387,3387,0,,484,0.019348389430809455,0.019348389430809455,0.0,27.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac",Government of Ecuador via Ecuacovid,https://github.com/andrab/ecuacovid
5096,Ecuador,ECU,2021-01-29,3793,3793,0,,526,0.02166768264276949,0.02166768264276949,0.0,30.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac",Government of Ecuador via Ecuacovid,https://github.com/andrab/ecuacovid
5097,Ecuador,ECU,2021-01-30,4199,4199,0,,502,0.023986975854729527,0.023986975854729527,0.0,28.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac",Government of Ecuador via Ecuacovid,https://github.com/andrab/ecuacovid
5098,Ecuador,ECU,2021-01-31,4605,4605,0,,478,0.026306269066689564,0.026306269066689564,0.0,27.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac",Government of Ecuador via Ecuacovid,https://github.com/andrab/ecuacovid
