,country,iso_code,date,total_vaccinations,people_vaccinated,people_fully_vaccinated,daily_vaccinations_raw,daily_vaccinations,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,daily_vaccinations_per_million,vaccines,source_name,source_website
5332,El Salvador,SLV,2021-02-17,0,0,0,,0,0.0,0.0,0.0,0.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac",Ministry of Health,https://covid19.gob.sv/
5333,El Salvador,SLV,2021-02-18,1200,1200,0,,1200,0.01853272408032515,0.01853272408032515,0.0,185.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac",Ministry of Health,https://covid19.gob.sv/
5334,El Salvador,SLV,2021-02-19,2400,2400,0,,1200,0.0370654481606503,0.0370654481606503,0.0,185.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac",Ministry of Health,https://covid19.gob.sv/
5335,El Salvador,SLV,2021-02-20,3600,3600,0,,1200,0.05559817224097545,0.05559817224097545,0.0,185.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac",Ministry of Health,https://covid19.gob.sv/
5336,El Salvador,SLV,2021-02-21,4800,4800,0,,1200,0.0741308963213006,0.0741308963213006,0.0,185.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac",Ministry of Health,https://covid19.gob.sv/
5337,El Salvador,SLV,2021-02-22,6000,6000,0,,1200,0.09,0.09,0.0,185.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac",Ministry of Health,https://covid19.gob.sv/
5338,El Salvador,SLV,2021-02-23,9333,9333,0,,1556,0.14413826153472886,0.14413826153472886,0.0,240.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac",Ministry of Health,https://covid19.gob.sv/
5339,El Salvador,SLV,2021-02-24,12666,12666,0,,1810,0.19561290266783196,0.19561290266783196,0.0,279.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac",Ministry of Health,https://covid19.gob.sv/
5340,El Salvador,SLV,2021-02-25,16000,16000,0,,2114,0.25,0.25,0.0,326.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac",Ministry of Health,https://covid19.gob.sv/
5341,El Salvador,SLV,2021-02-26,16529,16529,0,,2018,0.25527283026974534,0.25527283026974534,0.0,311.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac",Ministry of Health,https://covid19.gob.sv/
5342,El Salvador,SLV,2021-02-27,17058,17058,0,,1923,0.263442672801822,0.263442672801822,0.0,296.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac",Ministry of Health,https://covid19.gob.sv/
5343,El Salvador,SLV,2021-02-28,17588,17588,0,,1827,0.2716279592706323,0.2716279592706323,0.0,282.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac",Ministry of Health,https://covid19.gob.sv/
5344,El Salvador,SLV,2021-03-01,18117,18117,0,,1731,0.2797978018027089,0.2797978018027089,0.0,267.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac",Ministry of Health,https://covid19.gob.sv/
5345,El Salvador,SLV,2021-03-02,18647,18647,0,,1331,0.28798308827151925,0.28798308827151925,0.0,205.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac",Ministry of Health,https://covid19.gob.sv/
5346,El Salvador,SLV,2021-03-03,19176,19176,0,,930,0.29615293080359595,0.29615293080359595,0.0,143.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac",Ministry of Health,https://covid19.gob.sv/
5347,El Salvador,SLV,2021-03-04,19705,19705,0,,529,0.3043227733356726,0.3043227733356726,0.0,82.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac",Ministry of Health,https://covid19.gob.sv/
5348,El Salvador,SLV,2021-03-05,20235,20235,0,,529,0.3125080598044829,0.3125080598044829,0.0,82.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac",Ministry of Health,https://covid19.gob.sv/
5349,El Salvador,SLV,2021-03-06,20764,20764,0,,529,0.3206779023365595,0.3206779023365595,0.0,82.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac",Ministry of Health,https://covid19.gob.sv/
5350,El Salvador,SLV,2021-03-07,21294,21294,0,,529,0.3288631888053698,0.3288631888053698,0.0,82.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac",Ministry of Health,https://covid19.gob.sv/
5351,El Salvador,SLV,2021-03-08,21823,21823,0,,529,0.3370330313374465,0.3370330313374465,0.0,82.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac",Ministry of Health,https://covid19.gob.sv/
5352,El Salvador,SLV,2021-03-09,22352,22352,0,,529,0.34520287386952314,0.34520287386952314,0.0,82.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac",Ministry of Health,https://covid19.gob.sv/
5353,El Salvador,SLV,2021-03-10,22882,22882,0,,529,0.3533881603383334,0.3533881603383334,0.0,82.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac",Ministry of Health,https://covid19.gob.sv/
5354,El Salvador,SLV,2021-03-11,23411,23411,0,,529,0.36155800287041007,0.36155800287041007,0.0,82.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac",Ministry of Health,https://covid19.gob.sv/
5355,El Salvador,SLV,2021-03-12,23941,23941,0,,529,0.36974328933922035,0.36974328933922035,0.0,82.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac",Ministry of Health,https://covid19.gob.sv/
5356,El Salvador,SLV,2021-03-13,24470,24470,0,,529,0.37791313187129705,0.37791313187129705,0.0,82.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac",Ministry of Health,https://covid19.gob.sv/
5357,El Salvador,SLV,2021-03-14,25000,25000,0,,529,0.39,0.39,0.0,82.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac",Ministry of Health,https://covid19.gob.sv/
5358,El Salvador,SLV,2021-03-15,28666,28666,0,,978,0.4427158904055007,0.4427158904055007,0.0,151.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac",Ministry of Health,https://covid19.gob.sv/
5359,El Salvador,SLV,2021-03-16,32333,32333,0,,1426,0.4993488064076275,0.4993488064076275,0.0,220.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac",Ministry of Health,https://covid19.gob.sv/
5360,El Salvador,SLV,2021-03-17,36000,36000,0,,1874,0.56,0.56,0.0,289.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac",Ministry of Health,https://covid19.gob.sv/
5361,El Salvador,SLV,2021-03-18,41512,41512,0,5512.0,2586,0.64,0.64,0.0,399.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac",Ministry of Health,https://covid19.gob.sv/
5362,El Salvador,SLV,2021-03-19,44008,44008,0,,2867,0.6796567677724576,0.6796567677724576,0.0,442.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac",Ministry of Health,https://covid19.gob.sv/
5363,El Salvador,SLV,2021-03-20,46504,46504,0,,3148,0.718204833859534,0.718204833859534,0.0,485.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac",Ministry of Health,https://covid19.gob.sv/
5364,El Salvador,SLV,2021-03-21,49000,49000,0,,3429,0.76,0.76,0.0,529.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac",Ministry of Health,https://covid19.gob.sv/
5365,El Salvador,SLV,2021-03-22,52000,52000,0,,3333,0.8030847101474232,0.8030847101474232,0.0,514.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac",Ministry of Health,https://covid19.gob.sv/
5366,El Salvador,SLV,2021-03-23,55000,55000,0,,3238,0.8494165203482361,0.8494165203482361,0.0,499.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac",Ministry of Health,https://covid19.gob.sv/
5367,El Salvador,SLV,2021-03-24,58000,58000,0,,3143,0.8957483305490489,0.8957483305490489,0.0,485.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac",Ministry of Health,https://covid19.gob.sv/
5368,El Salvador,SLV,2021-03-25,61000,61000,0,,2784,0.9420801407498618,0.9420801407498618,0.0,429.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac",Ministry of Health,https://covid19.gob.sv/
5369,El Salvador,SLV,2021-03-26,64000,64000,0,,2856,0.9884119509506746,0.9884119509506746,0.0,440.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac",Ministry of Health,https://covid19.gob.sv/
5370,El Salvador,SLV,2021-03-27,67000,67000,0,,2928,1.0347437611514876,1.0347437611514876,0.0,451.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac",Ministry of Health,https://covid19.gob.sv/
5371,El Salvador,SLV,2021-03-28,70000,70000,0,,3000,1.08,1.08,0.0,463.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac",Ministry of Health,https://covid19.gob.sv/
5372,El Salvador,SLV,2021-03-29,79951,79951,0,,3993,1.2347581857883967,1.2347581857883967,0.0,616.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac",Ministry of Health,https://covid19.gob.sv/
5373,El Salvador,SLV,2021-03-30,89903,89903,0,,4986,1.3884562441612267,1.3884562441612267,0.0,769.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac",Ministry of Health,https://covid19.gob.sv/
5374,El Salvador,SLV,2021-03-31,99855,99855,0,,5979,1.54,1.54,0.0,922.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac",Ministry of Health,https://covid19.gob.sv/
5375,El Salvador,SLV,2021-04-01,120476,120476,0,20621.0,8497,1.86,1.86,0.0,1310.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac",Ministry of Health,https://covid19.gob.sv/
5376,El Salvador,SLV,2021-04-02,133330,133330,0,12854.0,9904,2.06,2.06,0.0,1527.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac",Ministry of Health,https://covid19.gob.sv/
5377,El Salvador,SLV,2021-04-03,138664,138664,0,,10238,2.1415180432285053,2.1415180432285053,0.0,1578.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac",Ministry of Health,https://covid19.gob.sv/
5378,El Salvador,SLV,2021-04-04,143998,143998,0,,10571,2.2238960017655507,2.2238960017655507,0.0,1630.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac",Ministry of Health,https://covid19.gob.sv/
5379,El Salvador,SLV,2021-04-05,149332,149332,0,,9911,2.306273960302596,2.306273960302596,0.0,1528.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac",Ministry of Health,https://covid19.gob.sv/
5380,El Salvador,SLV,2021-04-06,154666,154666,0,,9252,2.3886519188396416,2.3886519188396416,0.0,1426.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac",Ministry of Health,https://covid19.gob.sv/
5381,El Salvador,SLV,2021-04-07,160000,160000,0,,8592,2.47,2.47,0.0,1325.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac",Ministry of Health,https://covid19.gob.sv/
5382,El Salvador,SLV,2021-04-08,170000,170000,0,,7075,2.6254692447127295,2.6254692447127295,0.0,1091.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac",Ministry of Health,https://covid19.gob.sv/
5383,El Salvador,SLV,2021-04-09,180000,180000,0,,6667,2.78,2.78,0.0,1028.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac",Ministry of Health,https://covid19.gob.sv/
5384,El Salvador,SLV,2021-04-10,190000,190000,0,,7334,2.9343479793848157,2.9343479793848157,0.0,1131.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac",Ministry of Health,https://covid19.gob.sv/
5385,El Salvador,SLV,2021-04-11,200000,200000,0,,8000,3.08,3.08,0.0,1233.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac",Ministry of Health,https://covid19.gob.sv/
5386,El Salvador,SLV,2021-04-12,264159,254213,9946,64159.0,16404,4.07,3.926049488859748,0.1536053947524283,2529.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac",Ministry of Health,https://covid19.gob.sv/
5387,El Salvador,SLV,2021-04-13,310793,308426,2367,46634.0,22304,4.79,4.76,0.04,3439.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac",Ministry of Health,https://covid19.gob.sv/
5388,El Salvador,SLV,2021-04-14,361474,355941,5533,50681.0,28782,5.57,5.49,0.09,4437.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac",Ministry of Health,https://covid19.gob.sv/
5389,El Salvador,SLV,2021-04-15,410810,401179,9631,49336.0,34401,6.33,6.19,0.15,5304.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac",Ministry of Health,https://covid19.gob.sv/
5390,El Salvador,SLV,2021-04-16,460565,445109,15456,49755.0,40081,7.1,6.86,0.24,6179.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac",Ministry of Health,https://covid19.gob.sv/
5391,El Salvador,SLV,2021-04-17,502013,483638,18375,41448.0,44573,7.74,7.46,0.28,6872.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac",Ministry of Health,https://covid19.gob.sv/
5392,El Salvador,SLV,2021-04-18,524789,513433,11356,,46398,8.104808114491464,7.929426768944653,0.17538134554681034,7153.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac",Ministry of Health,https://covid19.gob.sv/
5393,El Salvador,SLV,2021-04-19,547566,543228,4338,,40487,8.44,8.389578863922392,0.06699579755037542,6242.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac",Ministry of Health,https://covid19.gob.sv/
5394,El Salvador,SLV,2021-04-20,622912,573023,49889,75346.0,44588,9.6,8.849730958900132,0.7704825597027845,6874.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac",Ministry of Health,https://covid19.gob.sv/
5395,El Salvador,SLV,2021-04-21,639799,602818,36981,,39761,9.881015278223293,9.309883053877872,0.5711322243454203,6130.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac",Ministry of Health,https://covid19.gob.sv/
5396,El Salvador,SLV,2021-04-22,656687,632613,24074,,35125,10.12,9.75,0.37,5415.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac",Ministry of Health,https://covid19.gob.sv/
5397,El Salvador,SLV,2021-04-23,698569,674495,24074,41882.0,34001,10.77,10.4,0.37,5242.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac",Ministry of Health,https://covid19.gob.sv/
5398,El Salvador,SLV,2021-04-24,714246,689026,25219,,30319,11.030770036229931,10.641273951808431,0.38948064048476666,4674.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac",Ministry of Health,https://covid19.gob.sv/
5399,El Salvador,SLV,2021-04-25,729924,703557,26366,,29305,11.27290007633938,10.865689796484435,0.40719483591821076,4518.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac",Ministry of Health,https://covid19.gob.sv/
5400,El Salvador,SLV,2021-04-26,745602,718089,27513,,28291,11.5,11.07,0.42,4362.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac",Ministry of Health,https://covid19.gob.sv/
5401,El Salvador,SLV,2021-04-27,788173,747918,40255,42571.0,23609,12.15,11.53,0.62,3640.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac",Ministry of Health,https://covid19.gob.sv/
5402,El Salvador,SLV,2021-04-28,833959,775959,58000,45786.0,27737,12.86,11.96,0.89,4276.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac",Ministry of Health,https://covid19.gob.sv/
5403,El Salvador,SLV,2021-04-29,875069,806790,68279,41110.0,31197,13.49,12.44,1.05,4810.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac",Ministry of Health,https://covid19.gob.sv/
5404,El Salvador,SLV,2021-04-30,915725,839870,75855,40656.0,31022,14.12,12.95,1.17,4783.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac",Ministry of Health,https://covid19.gob.sv/
5405,El Salvador,SLV,2021-05-01,934577,852429,82147,,31476,14.433548060681698,13.164859545889573,1.2686730708553917,4853.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac",Ministry of Health,https://covid19.gob.sv/
5406,El Salvador,SLV,2021-05-02,953429,864989,88439,,31929,14.724697155983607,13.358835391263643,1.3658463207832299,4923.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac",Ministry of Health,https://covid19.gob.sv/
5407,El Salvador,SLV,2021-05-03,972281,877549,94731,,32383,15.015846251285513,13.552811236637712,1.463019570711068,4993.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac",Ministry of Health,https://covid19.gob.sv/
