,country,iso_code,date,total_vaccinations,people_vaccinated,people_fully_vaccinated,daily_vaccinations_raw,daily_vaccinations,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,daily_vaccinations_per_million,vaccines,source_name,source_website
5578,Equatorial Guinea,GNQ,2021-03-16,5765,0,800,,0,0.47,0.41,0.06,0.0,Sinopharm/Beijing,Ministry of Health,https://guineasalud.org/estadisticas/
5579,Equatorial Guinea,GNQ,2021-03-17,6995,6071,923,,430,0.49910809846592935,0.43317873706742777,0.06585800927577595,306.0,Sinopharm/Beijing,Ministry of Health,https://guineasalud.org/estadisticas/
5580,Equatorial Guinea,GNQ,2021-03-18,7425,6377,1047,,430,0.5297895112379593,0.45501248662147703,0.07470567249375669,306.0,Sinopharm/Beijing,Ministry of Health,https://guineasalud.org/estadisticas/
5581,Equatorial Guinea,GNQ,2021-03-19,7855,6684,1170,,430,0.5604709240099893,0.4769175882982518,0.08348198358901178,306.0,Sinopharm/Beijing,Ministry of Health,https://guineasalud.org/estadisticas/
5582,Equatorial Guinea,GNQ,2021-03-20,8285,6990,1294,,430,0.5911523367820193,0.49875133785230114,0.0923296468069925,306.0,Sinopharm/Beijing,Ministry of Health,https://guineasalud.org/estadisticas/
5583,Equatorial Guinea,GNQ,2021-03-21,8715,7296,1418,,430,0.6218337495540492,0.5205850874063503,0.10117731002497324,306.0,Sinopharm/Beijing,Ministry of Health,https://guineasalud.org/estadisticas/
5584,Equatorial Guinea,GNQ,2021-03-22,9145,7603,1541,,430,0.6525151623260792,0.5424901890831252,0.10995362112022833,306.0,Sinopharm/Beijing,Ministry of Health,https://guineasalud.org/estadisticas/
5585,Equatorial Guinea,GNQ,2021-03-23,9575,7909,1665,,430,0.6831965750981092,0.5643239386371744,0.11880128433820905,306.0,Sinopharm/Beijing,Ministry of Health,https://guineasalud.org/estadisticas/
5586,Equatorial Guinea,GNQ,2021-03-24,10005,8216,1788,,430,0.7138779878701391,0.5862290403139493,0.12757759543346414,306.0,Sinopharm/Beijing,Ministry of Health,https://guineasalud.org/estadisticas/
5587,Equatorial Guinea,GNQ,2021-03-25,10435,8522,1912,,430,0.7445594006421691,0.6080627898679986,0.1364252586514449,306.0,Sinopharm/Beijing,Ministry of Health,https://guineasalud.org/estadisticas/
5588,Equatorial Guinea,GNQ,2021-03-26,10865,8828,2036,,430,0.775240813414199,0.6298965394220478,0.14527292186942561,306.0,Sinopharm/Beijing,Ministry of Health,https://guineasalud.org/estadisticas/
5589,Equatorial Guinea,GNQ,2021-03-27,11295,9135,2159,,430,0.805922226186229,0.6518016410988227,0.15404923296468068,306.0,Sinopharm/Beijing,Ministry of Health,https://guineasalud.org/estadisticas/
5590,Equatorial Guinea,GNQ,2021-03-28,11725,9441,2283,,430,0.8366036389582591,0.6736353906528719,0.16289689618266143,306.0,Sinopharm/Beijing,Ministry of Health,https://guineasalud.org/estadisticas/
5591,Equatorial Guinea,GNQ,2021-03-29,12155,9748,2407,,430,0.87,0.69,0.17,306.0,Sinopharm/Beijing,Ministry of Health,https://guineasalud.org/estadisticas/
5592,Equatorial Guinea,GNQ,2021-03-30,12796,10195,2600,,460,0.9130217623974313,0.7274348911880129,0.1855155190866928,328.0,Sinopharm/Beijing,Ministry of Health,https://guineasalud.org/estadisticas/
5593,Equatorial Guinea,GNQ,2021-03-31,13438,10642,2795,,490,0.9588298251872993,0.759329290046379,0.1994291830181948,349.0,Sinopharm/Beijing,Ministry of Health,https://guineasalud.org/estadisticas/
5594,Equatorial Guinea,GNQ,2021-04-01,14080,11090,2990,,521,1.0,0.79,0.21,371.0,Sinopharm/Beijing,Ministry of Health,https://guineasalud.org/estadisticas/
5595,Equatorial Guinea,GNQ,2021-04-02,15333,12189,3143,,638,1.0940420977524081,0.8697110239029612,0.22425972172672137,455.0,Sinopharm/Beijing,Ministry of Health,https://guineasalud.org/estadisticas/
