,country,iso_code,date,total_vaccinations,people_vaccinated,people_fully_vaccinated,daily_vaccinations_raw,daily_vaccinations,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,daily_vaccinations_per_million,vaccines,source_name,source_website
5646,Estonia,EST,2020-12-27,191,0,0,,0,0.01,0.01,0.0,0.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",National Health Board,https://opendata.digilugu.ee
5647,Estonia,EST,2020-12-28,509,509,0,318.0,318,0.04,0.04,0.0,240.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",National Health Board,https://opendata.digilugu.ee
5648,Estonia,EST,2020-12-29,876,876,0,367.0,342,0.07,0.07,0.0,258.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",National Health Board,https://opendata.digilugu.ee
5649,Estonia,EST,2020-12-30,1890,1890,0,1014.0,566,0.14,0.14,0.0,427.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",National Health Board,https://opendata.digilugu.ee
5650,Estonia,EST,2020-12-31,2476,2476,0,586.0,571,0.19,0.19,0.0,430.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",National Health Board,https://opendata.digilugu.ee
5651,Estonia,EST,2021-01-01,2476,2476,0,0.0,457,0.19,0.19,0.0,345.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",National Health Board,https://opendata.digilugu.ee
5652,Estonia,EST,2021-01-02,2506,2506,0,30.0,386,0.19,0.19,0.0,291.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",National Health Board,https://opendata.digilugu.ee
5653,Estonia,EST,2021-01-03,2524,2524,0,18.0,333,0.19,0.19,0.0,251.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",National Health Board,https://opendata.digilugu.ee
5654,Estonia,EST,2021-01-04,3166,3166,0,642.0,380,0.24,0.24,0.0,286.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",National Health Board,https://opendata.digilugu.ee
5655,Estonia,EST,2021-01-05,4976,4976,0,1810.0,586,0.38,0.38,0.0,442.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",National Health Board,https://opendata.digilugu.ee
5656,Estonia,EST,2021-01-06,6587,6587,0,1611.0,671,0.5,0.5,0.0,506.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",National Health Board,https://opendata.digilugu.ee
5657,Estonia,EST,2021-01-07,7929,7929,0,1342.0,779,0.6,0.6,0.0,587.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",National Health Board,https://opendata.digilugu.ee
5658,Estonia,EST,2021-01-08,10144,10144,0,2215.0,1095,0.76,0.76,0.0,825.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",National Health Board,https://opendata.digilugu.ee
5659,Estonia,EST,2021-01-09,10695,10695,0,551.0,1170,0.81,0.81,0.0,882.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",National Health Board,https://opendata.digilugu.ee
5660,Estonia,EST,2021-01-10,10918,10918,0,223.0,1199,0.82,0.82,0.0,904.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",National Health Board,https://opendata.digilugu.ee
5661,Estonia,EST,2021-01-11,11768,11767,1,850.0,1229,0.89,0.89,0.0,926.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",National Health Board,https://opendata.digilugu.ee
5662,Estonia,EST,2021-01-12,13348,13347,1,1580.0,1196,1.01,1.01,0.0,902.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",National Health Board,https://opendata.digilugu.ee
5663,Estonia,EST,2021-01-13,14743,14742,1,1395.0,1165,1.11,1.11,0.0,878.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",National Health Board,https://opendata.digilugu.ee
5664,Estonia,EST,2021-01-14,16523,16522,1,1780.0,1228,1.25,1.25,0.0,926.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",National Health Board,https://opendata.digilugu.ee
5665,Estonia,EST,2021-01-15,17804,17803,1,1281.0,1094,1.34,1.34,0.0,825.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",National Health Board,https://opendata.digilugu.ee
5666,Estonia,EST,2021-01-16,18024,18023,1,220.0,1047,1.36,1.36,0.0,789.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",National Health Board,https://opendata.digilugu.ee
5667,Estonia,EST,2021-01-17,18120,18053,67,96.0,1029,1.37,1.36,0.01,776.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",National Health Board,https://opendata.digilugu.ee
5668,Estonia,EST,2021-01-18,19154,18712,442,1034.0,1055,1.44,1.41,0.03,795.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",National Health Board,https://opendata.digilugu.ee
5669,Estonia,EST,2021-01-19,20316,19471,845,1162.0,995,1.53,1.47,0.06,750.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",National Health Board,https://opendata.digilugu.ee
5670,Estonia,EST,2021-01-20,21799,20323,1476,1483.0,1008,1.64,1.53,0.11,760.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",National Health Board,https://opendata.digilugu.ee
5671,Estonia,EST,2021-01-21,23981,21840,2141,2182.0,1065,1.81,1.65,0.16,803.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",National Health Board,https://opendata.digilugu.ee
5672,Estonia,EST,2021-01-22,25485,23075,2410,1504.0,1097,1.92,1.74,0.18,827.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",National Health Board,https://opendata.digilugu.ee
5673,Estonia,EST,2021-01-23,25743,23330,2413,258.0,1103,1.94,1.76,0.18,831.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",National Health Board,https://opendata.digilugu.ee
5674,Estonia,EST,2021-01-24,25904,23491,2413,161.0,1112,1.95,1.77,0.18,838.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",National Health Board,https://opendata.digilugu.ee
