,country,iso_code,date,total_vaccinations,people_vaccinated,people_fully_vaccinated,daily_vaccinations_raw,daily_vaccinations,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,daily_vaccinations_per_million,vaccines,source_name,source_website
5796,Eswatini,SWZ,2021-03-30,0,0,0,,0,0.0,0.0,0.0,0.0,Oxford/AstraZeneca,Government of Eswatini,https://twitter.com/EswatiniGovern1/status/1392874186671075331
5797,Eswatini,SWZ,2021-03-31,3377,3377,0,,3377,0.2911959989652496,0.2911959989652496,0.0,2911.0,Oxford/AstraZeneca,Government of Eswatini,https://twitter.com/EswatiniGovern1/status/1392874186671075331
5798,Eswatini,SWZ,2021-04-01,6754,6754,0,,3377,0.5823919979304992,0.5823919979304992,0.0,2911.0,Oxford/AstraZeneca,Government of Eswatini,https://twitter.com/EswatiniGovern1/status/1392874186671075331
5799,Eswatini,SWZ,2021-04-02,10131,10131,0,,3377,0.873587996895749,0.873587996895749,0.0,2911.0,Oxford/AstraZeneca,Government of Eswatini,https://twitter.com/EswatiniGovern1/status/1392874186671075331
5800,Eswatini,SWZ,2021-04-03,13508,13508,0,,3377,1.1647839958609985,1.1647839958609985,0.0,2911.0,Oxford/AstraZeneca,Government of Eswatini,https://twitter.com/EswatiniGovern1/status/1392874186671075331
5801,Eswatini,SWZ,2021-04-04,16885,16885,0,,3377,1.4559799948262482,1.4559799948262482,0.0,2911.0,Oxford/AstraZeneca,Government of Eswatini,https://twitter.com/EswatiniGovern1/status/1392874186671075331
5802,Eswatini,SWZ,2021-04-05,20262,20262,0,,3377,1.75,1.75,0.0,2911.0,Oxford/AstraZeneca,Government of Eswatini,https://twitter.com/EswatiniGovern1/status/1392874186671075331
5803,Eswatini,SWZ,2021-04-06,22708,22708,0,,3244,1.9580926101577996,1.9580926101577996,0.0,2796.0,Oxford/AstraZeneca,Government of Eswatini,https://twitter.com/EswatiniGovern1/status/1392874186671075331
5804,Eswatini,SWZ,2021-04-07,25154,25154,0,,3111,2.169009226524101,2.169009226524101,0.0,2682.0,Oxford/AstraZeneca,Government of Eswatini,https://twitter.com/EswatiniGovern1/status/1392874186671075331
5805,Eswatini,SWZ,2021-04-08,27601,27601,0,,2978,2.38,2.38,0.0,2567.0,Oxford/AstraZeneca,Government of Eswatini,https://twitter.com/EswatiniGovern1/status/1392874186671075331
5806,Eswatini,SWZ,2021-04-09,27986,27986,0,,2551,2.413210313011986,2.413210313011986,0.0,2199.0,Oxford/AstraZeneca,Government of Eswatini,https://twitter.com/EswatiniGovern1/status/1392874186671075331
5807,Eswatini,SWZ,2021-04-10,28372,28372,0,,2124,2.446494783133569,2.446494783133569,0.0,1831.0,Oxford/AstraZeneca,Government of Eswatini,https://twitter.com/EswatiniGovern1/status/1392874186671075331
5808,Eswatini,SWZ,2021-04-11,28758,28758,0,,1696,2.479779253255152,2.479779253255152,0.0,1462.0,Oxford/AstraZeneca,Government of Eswatini,https://twitter.com/EswatiniGovern1/status/1392874186671075331
5809,Eswatini,SWZ,2021-04-12,29144,29144,0,,1269,2.5130637233767352,2.5130637233767352,0.0,1094.0,Oxford/AstraZeneca,Government of Eswatini,https://twitter.com/EswatiniGovern1/status/1392874186671075331
5810,Eswatini,SWZ,2021-04-13,29530,29530,0,,975,2.5463481934983183,2.5463481934983183,0.0,840.0,Oxford/AstraZeneca,Government of Eswatini,https://twitter.com/EswatiniGovern1/status/1392874186671075331
5811,Eswatini,SWZ,2021-04-14,29916,29916,0,,680,2.579632663619902,2.579632663619902,0.0,586.0,Oxford/AstraZeneca,Government of Eswatini,https://twitter.com/EswatiniGovern1/status/1392874186671075331
5812,Eswatini,SWZ,2021-04-15,30302,30302,0,,386,2.612917133741485,2.612917133741485,0.0,333.0,Oxford/AstraZeneca,Government of Eswatini,https://twitter.com/EswatiniGovern1/status/1392874186671075331
5813,Eswatini,SWZ,2021-04-16,30688,30688,0,,386,2.646201603863068,2.646201603863068,0.0,333.0,Oxford/AstraZeneca,Government of Eswatini,https://twitter.com/EswatiniGovern1/status/1392874186671075331
5814,Eswatini,SWZ,2021-04-17,31074,31074,0,,386,2.679486073984651,2.679486073984651,0.0,333.0,Oxford/AstraZeneca,Government of Eswatini,https://twitter.com/EswatiniGovern1/status/1392874186671075331
5815,Eswatini,SWZ,2021-04-18,31460,31460,0,,386,2.7127705441062346,2.7127705441062346,0.0,333.0,Oxford/AstraZeneca,Government of Eswatini,https://twitter.com/EswatiniGovern1/status/1392874186671075331
5816,Eswatini,SWZ,2021-04-19,31846,31846,0,,386,2.74,2.74,0.0,333.0,Oxford/AstraZeneca,Government of Eswatini,https://twitter.com/EswatiniGovern1/status/1392874186671075331
5817,Eswatini,SWZ,2021-04-20,32958,32958,0,1112.0,490,2.84,2.84,0.0,422.0,Oxford/AstraZeneca,Government of Eswatini,https://twitter.com/EswatiniGovern1/status/1392874186671075331
5818,Eswatini,SWZ,2021-04-21,33118,33118,0,,457,2.855738553074071,2.855738553074071,0.0,394.0,Oxford/AstraZeneca,Government of Eswatini,https://twitter.com/EswatiniGovern1/status/1392874186671075331
5819,Eswatini,SWZ,2021-04-22,33279,33279,0,,425,2.87,2.87,0.0,366.0,Oxford/AstraZeneca,Government of Eswatini,https://twitter.com/EswatiniGovern1/status/1392874186671075331
5820,Eswatini,SWZ,2021-04-23,33532,33532,0,253.0,406,2.89,2.89,0.0,350.0,Oxford/AstraZeneca,Government of Eswatini,https://twitter.com/EswatiniGovern1/status/1392874186671075331
5821,Eswatini,SWZ,2021-04-24,34214,34214,0,,449,2.9502457532120374,2.9502457532120374,0.0,387.0,Oxford/AstraZeneca,Government of Eswatini,https://twitter.com/EswatiniGovern1/status/1392874186671075331
5822,Eswatini,SWZ,2021-04-25,34897,34897,0,,491,3.01,3.01,0.0,423.0,Oxford/AstraZeneca,Government of Eswatini,https://twitter.com/EswatiniGovern1/status/1392874186671075331
5823,Eswatini,SWZ,2021-04-26,34915,34915,0,,438,3.0106924204535654,3.0106924204535654,0.0,378.0,Oxford/AstraZeneca,Government of Eswatini,https://twitter.com/EswatiniGovern1/status/1392874186671075331
5824,Eswatini,SWZ,2021-04-27,34933,34933,0,,282,3.0122445460032767,3.0122445460032767,0.0,243.0,Oxford/AstraZeneca,Government of Eswatini,https://twitter.com/EswatiniGovern1/status/1392874186671075331
5825,Eswatini,SWZ,2021-04-28,34952,34952,0,,262,3.0138829007501937,3.0138829007501937,0.0,226.0,Oxford/AstraZeneca,Government of Eswatini,https://twitter.com/EswatiniGovern1/status/1392874186671075331
5826,Eswatini,SWZ,2021-04-29,34970,34970,0,,242,3.0154350262999055,3.0154350262999055,0.0,209.0,Oxford/AstraZeneca,Government of Eswatini,https://twitter.com/EswatiniGovern1/status/1392874186671075331
5827,Eswatini,SWZ,2021-04-30,34988,34988,0,,208,3.0169871518496163,3.0169871518496163,0.0,179.0,Oxford/AstraZeneca,Government of Eswatini,https://twitter.com/EswatiniGovern1/status/1392874186671075331
5828,Eswatini,SWZ,2021-05-01,35007,35007,0,,113,3.0186255065965337,3.0186255065965337,0.0,97.0,Oxford/AstraZeneca,Government of Eswatini,https://twitter.com/EswatiniGovern1/status/1392874186671075331
5829,Eswatini,SWZ,2021-05-02,35025,35025,0,,18,3.0201776321462446,3.0201776321462446,0.0,16.0,Oxford/AstraZeneca,Government of Eswatini,https://twitter.com/EswatiniGovern1/status/1392874186671075331
5830,Eswatini,SWZ,2021-05-03,35043,35043,0,,18,3.021729757695956,3.021729757695956,0.0,16.0,Oxford/AstraZeneca,Government of Eswatini,https://twitter.com/EswatiniGovern1/status/1392874186671075331
5831,Eswatini,SWZ,2021-05-04,35062,35062,0,,18,3.0233681124428733,3.0233681124428733,0.0,16.0,Oxford/AstraZeneca,Government of Eswatini,https://twitter.com/EswatiniGovern1/status/1392874186671075331
5832,Eswatini,SWZ,2021-05-05,35080,35080,0,,18,3.0249202379925846,3.0249202379925846,0.0,16.0,Oxford/AstraZeneca,Government of Eswatini,https://twitter.com/EswatiniGovern1/status/1392874186671075331
5833,Eswatini,SWZ,2021-05-06,35098,35098,0,,18,3.0264723635422954,3.0264723635422954,0.0,16.0,Oxford/AstraZeneca,Government of Eswatini,https://twitter.com/EswatiniGovern1/status/1392874186671075331
5834,Eswatini,SWZ,2021-05-07,35117,35117,0,,18,3.028110718289213,3.028110718289213,0.0,16.0,Oxford/AstraZeneca,Government of Eswatini,https://twitter.com/EswatiniGovern1/status/1392874186671075331
5835,Eswatini,SWZ,2021-05-08,35135,35135,0,,18,3.0296628438389237,3.0296628438389237,0.0,16.0,Oxford/AstraZeneca,Government of Eswatini,https://twitter.com/EswatiniGovern1/status/1392874186671075331
5836,Eswatini,SWZ,2021-05-09,35153,35153,0,,18,3.031214969388635,3.031214969388635,0.0,16.0,Oxford/AstraZeneca,Government of Eswatini,https://twitter.com/EswatiniGovern1/status/1392874186671075331
5837,Eswatini,SWZ,2021-05-10,35172,35172,0,,18,3.0328533241355524,3.0328533241355524,0.0,16.0,Oxford/AstraZeneca,Government of Eswatini,https://twitter.com/EswatiniGovern1/status/1392874186671075331
5838,Eswatini,SWZ,2021-05-11,35190,35190,0,,18,3.0344054496852633,3.0344054496852633,0.0,16.0,Oxford/AstraZeneca,Government of Eswatini,https://twitter.com/EswatiniGovern1/status/1392874186671075331
5839,Eswatini,SWZ,2021-05-12,35208,35208,0,,18,3.0359575752349746,3.0359575752349746,0.0,16.0,Oxford/AstraZeneca,Government of Eswatini,https://twitter.com/EswatiniGovern1/status/1392874186671075331
5840,Eswatini,SWZ,2021-05-13,35227,35227,0,,18,3.04,3.04,0.0,16.0,Oxford/AstraZeneca,Government of Eswatini,https://twitter.com/EswatiniGovern1/status/1392874186671075331
