,country,iso_code,date,total_vaccinations,people_vaccinated,people_fully_vaccinated,daily_vaccinations_raw,daily_vaccinations,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,daily_vaccinations_per_million,vaccines,source_name,source_website
5841,Ethiopia,ETH,2021-04-08,430000,0,0,,0,0.37,0.37,0.0,0.0,Oxford/AstraZeneca,Ministry of Health,https://twitter.com/FMoHealth/status/1396528590330683401
5842,Ethiopia,ETH,2021-04-09,462074,462074,0,,32074,0.40201147550254257,0.40201147550254257,0.0,279.0,Oxford/AstraZeneca,Ministry of Health,https://twitter.com/FMoHealth/status/1396528590330683401
5843,Ethiopia,ETH,2021-04-10,494148,494148,0,,32074,0.4299163480235426,0.4299163480235426,0.0,279.0,Oxford/AstraZeneca,Ministry of Health,https://twitter.com/FMoHealth/status/1396528590330683401
5844,Ethiopia,ETH,2021-04-11,526222,526222,0,,32074,0.4578212205445426,0.4578212205445426,0.0,279.0,Oxford/AstraZeneca,Ministry of Health,https://twitter.com/FMoHealth/status/1396528590330683401
5845,Ethiopia,ETH,2021-04-12,558297,558297,0,,32074,0.4857269630808984,0.4857269630808984,0.0,279.0,Oxford/AstraZeneca,Ministry of Health,https://twitter.com/FMoHealth/status/1396528590330683401
5846,Ethiopia,ETH,2021-04-13,590371,590371,0,,32074,0.5136318356018983,0.5136318356018983,0.0,279.0,Oxford/AstraZeneca,Ministry of Health,https://twitter.com/FMoHealth/status/1396528590330683401
5847,Ethiopia,ETH,2021-04-14,622445,622445,0,,32074,0.5415367081228983,0.5415367081228983,0.0,279.0,Oxford/AstraZeneca,Ministry of Health,https://twitter.com/FMoHealth/status/1396528590330683401
5848,Ethiopia,ETH,2021-04-15,654519,654519,0,,32074,0.5694415806438984,0.5694415806438984,0.0,279.0,Oxford/AstraZeneca,Ministry of Health,https://twitter.com/FMoHealth/status/1396528590330683401
5849,Ethiopia,ETH,2021-04-16,686594,686594,0,,32074,0.5973473231802542,0.5973473231802542,0.0,279.0,Oxford/AstraZeneca,Ministry of Health,https://twitter.com/FMoHealth/status/1396528590330683401
5850,Ethiopia,ETH,2021-04-17,718668,718668,0,,32074,0.6252521957012541,0.6252521957012541,0.0,279.0,Oxford/AstraZeneca,Ministry of Health,https://twitter.com/FMoHealth/status/1396528590330683401
5851,Ethiopia,ETH,2021-04-18,750742,750742,0,,32074,0.6531570682222541,0.6531570682222541,0.0,279.0,Oxford/AstraZeneca,Ministry of Health,https://twitter.com/FMoHealth/status/1396528590330683401
5852,Ethiopia,ETH,2021-04-19,782816,782816,0,,32074,0.6810619407432541,0.6810619407432541,0.0,279.0,Oxford/AstraZeneca,Ministry of Health,https://twitter.com/FMoHealth/status/1396528590330683401
5853,Ethiopia,ETH,2021-04-20,814891,814891,0,,32074,0.7089676832796099,0.7089676832796099,0.0,279.0,Oxford/AstraZeneca,Ministry of Health,https://twitter.com/FMoHealth/status/1396528590330683401
5854,Ethiopia,ETH,2021-04-21,846965,846965,0,,32074,0.73687255580061,0.73687255580061,0.0,279.0,Oxford/AstraZeneca,Ministry of Health,https://twitter.com/FMoHealth/status/1396528590330683401
5855,Ethiopia,ETH,2021-04-22,879039,879039,0,,32074,0.7647774283216099,0.7647774283216099,0.0,279.0,Oxford/AstraZeneca,Ministry of Health,https://twitter.com/FMoHealth/status/1396528590330683401
5856,Ethiopia,ETH,2021-04-23,911113,911113,0,,32074,0.7926823008426098,0.7926823008426098,0.0,279.0,Oxford/AstraZeneca,Ministry of Health,https://twitter.com/FMoHealth/status/1396528590330683401
