,country,iso_code,date,total_vaccinations,people_vaccinated,people_fully_vaccinated,daily_vaccinations_raw,daily_vaccinations,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,daily_vaccinations_per_million,vaccines,source_name,source_website
5887,Faeroe Islands,FRO,2021-01-29,3993,0,1,,0,8.17,8.17,0.0,0.0,"Moderna, Pfizer/BioNTech",Government of the Faeroe Islands,https://corona.fo/api
5888,Faeroe Islands,FRO,2021-01-30,4076,4000,75,,83,8.352459016393443,8.19672131147541,0.15368852459016394,1699.0,"Moderna, Pfizer/BioNTech",Government of the Faeroe Islands,https://corona.fo/api
5889,Faeroe Islands,FRO,2021-01-31,4159,4007,151,,83,8.522540983606557,8.211065573770492,0.3094262295081967,1699.0,"Moderna, Pfizer/BioNTech",Government of the Faeroe Islands,https://corona.fo/api
5890,Faeroe Islands,FRO,2021-02-01,4242,4014,227,,83,8.692622950819672,8.225409836065573,0.4651639344262295,1699.0,"Moderna, Pfizer/BioNTech",Government of the Faeroe Islands,https://corona.fo/api
5891,Faeroe Islands,FRO,2021-02-02,4325,4022,303,,83,8.862704918032787,8.241803278688524,0.6209016393442622,1699.0,"Moderna, Pfizer/BioNTech",Government of the Faeroe Islands,https://corona.fo/api
5892,Faeroe Islands,FRO,2021-02-03,4408,4029,378,,83,9.032786885245901,8.256147540983607,0.7745901639344261,1699.0,"Moderna, Pfizer/BioNTech",Government of the Faeroe Islands,https://corona.fo/api
5893,Faeroe Islands,FRO,2021-02-04,4491,4036,454,,83,9.202868852459016,8.270491803278688,0.930327868852459,1699.0,"Moderna, Pfizer/BioNTech",Government of the Faeroe Islands,https://corona.fo/api
5894,Faeroe Islands,FRO,2021-02-05,4574,4043,530,,83,9.37295081967213,8.28483606557377,1.0860655737704918,1699.0,"Moderna, Pfizer/BioNTech",Government of the Faeroe Islands,https://corona.fo/api
5895,Faeroe Islands,FRO,2021-02-06,4657,4051,606,,83,9.53,8.29,1.24,1699.0,"Moderna, Pfizer/BioNTech",Government of the Faeroe Islands,https://corona.fo/api
5896,Faeroe Islands,FRO,2021-02-07,4720,4074,645,,80,9.672131147540984,8.348360655737705,1.3217213114754098,1637.0,"Moderna, Pfizer/BioNTech",Government of the Faeroe Islands,https://corona.fo/api
5897,Faeroe Islands,FRO,2021-02-08,4783,4098,685,,77,9.79,8.39,1.4,1576.0,"Moderna, Pfizer/BioNTech",Government of the Faeroe Islands,https://corona.fo/api
