,country,iso_code,date,total_vaccinations,people_vaccinated,people_fully_vaccinated,daily_vaccinations_raw,daily_vaccinations,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,daily_vaccinations_per_million,vaccines,source_name,source_website
6004,Falkland Islands,FLK,2021-02-07,0,0,0,,0,0.0,0.0,0.0,0.0,Oxford/AstraZeneca,Government of the Falkland Islands,https://www.facebook.com/FalkIandsGov/posts/4401230323224594
6005,Falkland Islands,FLK,2021-02-08,189,189,0,,189,5.5588235294117645,5.5588235294117645,0.0,54264.0,Oxford/AstraZeneca,Government of the Falkland Islands,https://www.facebook.com/FalkIandsGov/posts/4401230323224594
6006,Falkland Islands,FLK,2021-02-09,378,378,0,,189,11.117647058823529,11.117647058823529,0.0,54264.0,Oxford/AstraZeneca,Government of the Falkland Islands,https://www.facebook.com/FalkIandsGov/posts/4401230323224594
6007,Falkland Islands,FLK,2021-02-10,568,568,0,,189,16.705882352941178,16.705882352941178,0.0,54264.0,Oxford/AstraZeneca,Government of the Falkland Islands,https://www.facebook.com/FalkIandsGov/posts/4401230323224594
6008,Falkland Islands,FLK,2021-02-11,757,757,0,,189,22.264705882352942,22.264705882352942,0.0,54264.0,Oxford/AstraZeneca,Government of the Falkland Islands,https://www.facebook.com/FalkIandsGov/posts/4401230323224594
6009,Falkland Islands,FLK,2021-02-12,946,946,0,,189,27.823529411764707,27.823529411764707,0.0,54264.0,Oxford/AstraZeneca,Government of the Falkland Islands,https://www.facebook.com/FalkIandsGov/posts/4401230323224594
6010,Falkland Islands,FLK,2021-02-13,1136,1136,0,,189,33.411764705882355,33.411764705882355,0.0,54264.0,Oxford/AstraZeneca,Government of the Falkland Islands,https://www.facebook.com/FalkIandsGov/posts/4401230323224594
6011,Falkland Islands,FLK,2021-02-14,1325,1325,0,,189,38.970588235294116,38.970588235294116,0.0,54264.0,Oxford/AstraZeneca,Government of the Falkland Islands,https://www.facebook.com/FalkIandsGov/posts/4401230323224594
6012,Falkland Islands,FLK,2021-02-15,1515,1515,0,,189,43.5,43.5,0.0,54264.0,Oxford/AstraZeneca,Government of the Falkland Islands,https://www.facebook.com/FalkIandsGov/posts/4401230323224594
6013,Falkland Islands,FLK,2021-02-16,1546,1546,0,,167,45.470588235294116,45.470588235294116,0.0,47947.0,Oxford/AstraZeneca,Government of the Falkland Islands,https://www.facebook.com/FalkIandsGov/posts/4401230323224594
