,country,iso_code,date,total_vaccinations,people_vaccinated,people_fully_vaccinated,daily_vaccinations_raw,daily_vaccinations,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,daily_vaccinations_per_million,vaccines,source_name,source_website
6071,Fiji,FJI,2021-03-17,0,0,0,,0,0.0,0.0,0.0,0.0,Oxford/AstraZeneca,SPC Public Health Division,https://stats.pacificdata.org/vis?tm=covid&pg=0&df[ds]=SPC2&df[id]=DF_COVID_VACCINATION&df[ag]=SPC&df[vs]=1.0
6072,Fiji,FJI,2021-03-18,232,232,0,,233,0.025881302989736725,0.025881302989736725,0.0,260.0,Oxford/AstraZeneca,SPC Public Health Division,https://stats.pacificdata.org/vis?tm=covid&pg=0&df[ds]=SPC2&df[id]=DF_COVID_VACCINATION&df[ag]=SPC&df[vs]=1.0
6073,Fiji,FJI,2021-03-19,465,465,0,,233,0.05187416331994645,0.05187416331994645,0.0,260.0,Oxford/AstraZeneca,SPC Public Health Division,https://stats.pacificdata.org/vis?tm=covid&pg=0&df[ds]=SPC2&df[id]=DF_COVID_VACCINATION&df[ag]=SPC&df[vs]=1.0
6074,Fiji,FJI,2021-03-20,697,697,0,,233,0.07775546630968318,0.07775546630968318,0.0,260.0,Oxford/AstraZeneca,SPC Public Health Division,https://stats.pacificdata.org/vis?tm=covid&pg=0&df[ds]=SPC2&df[id]=DF_COVID_VACCINATION&df[ag]=SPC&df[vs]=1.0
6075,Fiji,FJI,2021-03-21,930,930,0,,233,0.1037483266398929,0.1037483266398929,0.0,260.0,Oxford/AstraZeneca,SPC Public Health Division,https://stats.pacificdata.org/vis?tm=covid&pg=0&df[ds]=SPC2&df[id]=DF_COVID_VACCINATION&df[ag]=SPC&df[vs]=1.0
6076,Fiji,FJI,2021-03-22,1162,1162,0,,233,0.12962962962962962,0.12962962962962962,0.0,260.0,Oxford/AstraZeneca,SPC Public Health Division,https://stats.pacificdata.org/vis?tm=covid&pg=0&df[ds]=SPC2&df[id]=DF_COVID_VACCINATION&df[ag]=SPC&df[vs]=1.0
6077,Fiji,FJI,2021-03-23,1395,1395,0,,233,0.15562248995983935,0.15562248995983935,0.0,260.0,Oxford/AstraZeneca,SPC Public Health Division,https://stats.pacificdata.org/vis?tm=covid&pg=0&df[ds]=SPC2&df[id]=DF_COVID_VACCINATION&df[ag]=SPC&df[vs]=1.0
6078,Fiji,FJI,2021-03-24,1627,1627,0,,233,0.18150379294957608,0.18150379294957608,0.0,260.0,Oxford/AstraZeneca,SPC Public Health Division,https://stats.pacificdata.org/vis?tm=covid&pg=0&df[ds]=SPC2&df[id]=DF_COVID_VACCINATION&df[ag]=SPC&df[vs]=1.0
6079,Fiji,FJI,2021-03-25,1860,1860,0,,233,0.2074966532797858,0.2074966532797858,0.0,260.0,Oxford/AstraZeneca,SPC Public Health Division,https://stats.pacificdata.org/vis?tm=covid&pg=0&df[ds]=SPC2&df[id]=DF_COVID_VACCINATION&df[ag]=SPC&df[vs]=1.0
6080,Fiji,FJI,2021-03-26,2092,2092,0,,233,0.23337795626952254,0.23337795626952254,0.0,260.0,Oxford/AstraZeneca,SPC Public Health Division,https://stats.pacificdata.org/vis?tm=covid&pg=0&df[ds]=SPC2&df[id]=DF_COVID_VACCINATION&df[ag]=SPC&df[vs]=1.0
6081,Fiji,FJI,2021-03-27,2325,2325,0,,233,0.25937081659973227,0.25937081659973227,0.0,260.0,Oxford/AstraZeneca,SPC Public Health Division,https://stats.pacificdata.org/vis?tm=covid&pg=0&df[ds]=SPC2&df[id]=DF_COVID_VACCINATION&df[ag]=SPC&df[vs]=1.0
6082,Fiji,FJI,2021-03-28,2557,2557,0,,233,0.285252119589469,0.285252119589469,0.0,260.0,Oxford/AstraZeneca,SPC Public Health Division,https://stats.pacificdata.org/vis?tm=covid&pg=0&df[ds]=SPC2&df[id]=DF_COVID_VACCINATION&df[ag]=SPC&df[vs]=1.0
6083,Fiji,FJI,2021-03-29,2790,2790,0,,233,0.3112449799196787,0.3112449799196787,0.0,260.0,Oxford/AstraZeneca,SPC Public Health Division,https://stats.pacificdata.org/vis?tm=covid&pg=0&df[ds]=SPC2&df[id]=DF_COVID_VACCINATION&df[ag]=SPC&df[vs]=1.0
6084,Fiji,FJI,2021-03-30,3022,3022,0,,233,0.33712628290941543,0.33712628290941543,0.0,260.0,Oxford/AstraZeneca,SPC Public Health Division,https://stats.pacificdata.org/vis?tm=covid&pg=0&df[ds]=SPC2&df[id]=DF_COVID_VACCINATION&df[ag]=SPC&df[vs]=1.0
6085,Fiji,FJI,2021-03-31,3255,3255,0,,233,0.3631191432396252,0.3631191432396252,0.0,260.0,Oxford/AstraZeneca,SPC Public Health Division,https://stats.pacificdata.org/vis?tm=covid&pg=0&df[ds]=SPC2&df[id]=DF_COVID_VACCINATION&df[ag]=SPC&df[vs]=1.0
6086,Fiji,FJI,2021-04-01,3487,3487,0,,233,0.3890004462293619,0.3890004462293619,0.0,260.0,Oxford/AstraZeneca,SPC Public Health Division,https://stats.pacificdata.org/vis?tm=covid&pg=0&df[ds]=SPC2&df[id]=DF_COVID_VACCINATION&df[ag]=SPC&df[vs]=1.0
6087,Fiji,FJI,2021-04-02,3720,3720,0,,233,0.4149933065595716,0.4149933065595716,0.0,260.0,Oxford/AstraZeneca,SPC Public Health Division,https://stats.pacificdata.org/vis?tm=covid&pg=0&df[ds]=SPC2&df[id]=DF_COVID_VACCINATION&df[ag]=SPC&df[vs]=1.0
