,country,iso_code,date,total_vaccinations,people_vaccinated,people_fully_vaccinated,daily_vaccinations_raw,daily_vaccinations,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,daily_vaccinations_per_million,vaccines,source_name,source_website
6423,French Polynesia,PYF,2021-02-02,2133,0,0,,0,0.76,0.76,0.0,0.0,Oxford/AstraZeneca,SPC Public Health Division,https://stats.pacificdata.org/vis?tm=covid&pg=0&df[ds]=SPC2&df[id]=DF_COVID_VACCINATION&df[ag]=SPC&df[vs]=1.0
6424,French Polynesia,PYF,2021-02-03,2317,2265,51,,185,0.825045489668237,0.8065291472156051,0.018160258943927532,659.0,Oxford/AstraZeneca,SPC Public Health Division,https://stats.pacificdata.org/vis?tm=covid&pg=0&df[ds]=SPC2&df[id]=DF_COVID_VACCINATION&df[ag]=SPC&df[vs]=1.0
6425,French Polynesia,PYF,2021-02-04,2502,2398,103,,185,0.8909209387785624,0.8538882538732983,0.03667660139655952,659.0,Oxford/AstraZeneca,SPC Public Health Division,https://stats.pacificdata.org/vis?tm=covid&pg=0&df[ds]=SPC2&df[id]=DF_COVID_VACCINATION&df[ag]=SPC&df[vs]=1.0
6426,French Polynesia,PYF,2021-02-05,2687,2531,155,,185,0.9567963878888877,0.9012473605309916,0.05519294384919152,659.0,Oxford/AstraZeneca,SPC Public Health Division,https://stats.pacificdata.org/vis?tm=covid&pg=0&df[ds]=SPC2&df[id]=DF_COVID_VACCINATION&df[ag]=SPC&df[vs]=1.0
6427,French Polynesia,PYF,2021-02-06,2872,2664,207,,185,1.022671836999213,0.948606467188685,0.07370928630182351,659.0,Oxford/AstraZeneca,SPC Public Health Division,https://stats.pacificdata.org/vis?tm=covid&pg=0&df[ds]=SPC2&df[id]=DF_COVID_VACCINATION&df[ag]=SPC&df[vs]=1.0
6428,French Polynesia,PYF,2021-02-07,3056,2797,258,,185,1.088191202600834,0.9959655738463784,0.09186954524575103,659.0,Oxford/AstraZeneca,SPC Public Health Division,https://stats.pacificdata.org/vis?tm=covid&pg=0&df[ds]=SPC2&df[id]=DF_COVID_VACCINATION&df[ag]=SPC&df[vs]=1.0
6429,French Polynesia,PYF,2021-02-08,3241,2930,310,,185,1.1540666517111593,1.043324680504072,0.11038588769838303,659.0,Oxford/AstraZeneca,SPC Public Health Division,https://stats.pacificdata.org/vis?tm=covid&pg=0&df[ds]=SPC2&df[id]=DF_COVID_VACCINATION&df[ag]=SPC&df[vs]=1.0
6430,French Polynesia,PYF,2021-02-09,3426,3063,362,,185,1.2199421008214846,1.0906837871617652,0.128902230151015,659.0,Oxford/AstraZeneca,SPC Public Health Division,https://stats.pacificdata.org/vis?tm=covid&pg=0&df[ds]=SPC2&df[id]=DF_COVID_VACCINATION&df[ag]=SPC&df[vs]=1.0
6431,French Polynesia,PYF,2021-02-10,3611,3196,415,,185,1.29,1.14,0.15,659.0,Oxford/AstraZeneca,SPC Public Health Division,https://stats.pacificdata.org/vis?tm=covid&pg=0&df[ds]=SPC2&df[id]=DF_COVID_VACCINATION&df[ag]=SPC&df[vs]=1.0
6432,French Polynesia,PYF,2021-02-11,3960,3434,525,,208,1.410090694469667,1.2227907688911204,0.18694384206984221,740.0,Oxford/AstraZeneca,SPC Public Health Division,https://stats.pacificdata.org/vis?tm=covid&pg=0&df[ds]=SPC2&df[id]=DF_COVID_VACCINATION&df[ag]=SPC&df[vs]=1.0
6433,French Polynesia,PYF,2021-02-12,4309,3673,635,,232,1.534363839007524,1.3078947274714865,0.226113028027333,826.0,Oxford/AstraZeneca,SPC Public Health Division,https://stats.pacificdata.org/vis?tm=covid&pg=0&df[ds]=SPC2&df[id]=DF_COVID_VACCINATION&df[ag]=SPC&df[vs]=1.0
6434,French Polynesia,PYF,2021-02-13,4658,3912,746,,255,1.6586369835453811,1.3929986860518528,0.2656382974935282,908.0,Oxford/AstraZeneca,SPC Public Health Division,https://stats.pacificdata.org/vis?tm=covid&pg=0&df[ds]=SPC2&df[id]=DF_COVID_VACCINATION&df[ag]=SPC&df[vs]=1.0
6435,French Polynesia,PYF,2021-02-14,5007,4150,856,,279,1.7829101280832382,1.4777465611235148,0.30480748345101893,993.0,Oxford/AstraZeneca,SPC Public Health Division,https://stats.pacificdata.org/vis?tm=covid&pg=0&df[ds]=SPC2&df[id]=DF_COVID_VACCINATION&df[ag]=SPC&df[vs]=1.0
6436,French Polynesia,PYF,2021-02-15,5356,4389,966,,302,1.9071832726210949,1.562850519703881,0.3439766694085097,1075.0,Oxford/AstraZeneca,SPC Public Health Division,https://stats.pacificdata.org/vis?tm=covid&pg=0&df[ds]=SPC2&df[id]=DF_COVID_VACCINATION&df[ag]=SPC&df[vs]=1.0
