,country,iso_code,date,total_vaccinations,people_vaccinated,people_fully_vaccinated,daily_vaccinations_raw,daily_vaccinations,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,daily_vaccinations_per_million,vaccines,source_name,source_website
6536,Gabon,GAB,2021-03-22,0,0,0,,0,0.0,0.0,0.0,0.0,Sinopharm/Beijing,Ministry of Health,https://twitter.com/SanteGOUVGA/status/1394595022247497731
6537,Gabon,GAB,2021-03-23,33,33,0,,33,0.001449615324806081,0.001449615324806081,0.0,15.0,Sinopharm/Beijing,Ministry of Health,https://twitter.com/SanteGOUVGA/status/1394595022247497731
6538,Gabon,GAB,2021-03-24,66,66,0,,33,0.002899230649612162,0.002899230649612162,0.0,15.0,Sinopharm/Beijing,Ministry of Health,https://twitter.com/SanteGOUVGA/status/1394595022247497731
6539,Gabon,GAB,2021-03-25,100,100,0,,33,0.004392773711533579,0.004392773711533579,0.0,15.0,Sinopharm/Beijing,Ministry of Health,https://twitter.com/SanteGOUVGA/status/1394595022247497731
6540,Gabon,GAB,2021-03-26,133,133,0,,33,0.0058423890363396595,0.0058423890363396595,0.0,15.0,Sinopharm/Beijing,Ministry of Health,https://twitter.com/SanteGOUVGA/status/1394595022247497731
6541,Gabon,GAB,2021-03-27,167,167,0,,33,0.007335932098261077,0.007335932098261077,0.0,15.0,Sinopharm/Beijing,Ministry of Health,https://twitter.com/SanteGOUVGA/status/1394595022247497731
6542,Gabon,GAB,2021-03-28,200,200,0,,33,0.008785547423067157,0.008785547423067157,0.0,15.0,Sinopharm/Beijing,Ministry of Health,https://twitter.com/SanteGOUVGA/status/1394595022247497731
6543,Gabon,GAB,2021-03-29,234,234,0,,33,0.010279090484988575,0.010279090484988575,0.0,15.0,Sinopharm/Beijing,Ministry of Health,https://twitter.com/SanteGOUVGA/status/1394595022247497731
6544,Gabon,GAB,2021-03-30,267,267,0,,33,0.011728705809794656,0.011728705809794656,0.0,15.0,Sinopharm/Beijing,Ministry of Health,https://twitter.com/SanteGOUVGA/status/1394595022247497731
6545,Gabon,GAB,2021-03-31,301,301,0,,33,0.01,0.01,0.0,15.0,Sinopharm/Beijing,Ministry of Health,https://twitter.com/SanteGOUVGA/status/1394595022247497731
6546,Gabon,GAB,2021-04-01,1367,1367,0,,181,0.060049216636664016,0.060049216636664016,0.0,81.0,Sinopharm/Beijing,Ministry of Health,https://twitter.com/SanteGOUVGA/status/1394595022247497731
6547,Gabon,GAB,2021-04-02,2433,2433,0,,328,0.11,0.11,0.0,147.0,Sinopharm/Beijing,Ministry of Health,https://twitter.com/SanteGOUVGA/status/1394595022247497731
6548,Gabon,GAB,2021-04-03,2646,2646,0,,354,0.11623279240717849,0.11623279240717849,0.0,159.0,Sinopharm/Beijing,Ministry of Health,https://twitter.com/SanteGOUVGA/status/1394595022247497731
6549,Gabon,GAB,2021-04-04,2859,2859,0,,380,0.12558940041274502,0.12558940041274502,0.0,171.0,Sinopharm/Beijing,Ministry of Health,https://twitter.com/SanteGOUVGA/status/1394595022247497731
6550,Gabon,GAB,2021-04-05,3072,3072,0,,405,0.13494600841831153,0.13494600841831153,0.0,182.0,Sinopharm/Beijing,Ministry of Health,https://twitter.com/SanteGOUVGA/status/1394595022247497731
6551,Gabon,GAB,2021-04-06,3285,3285,0,,431,0.14430261642387807,0.14430261642387807,0.0,194.0,Sinopharm/Beijing,Ministry of Health,https://twitter.com/SanteGOUVGA/status/1394595022247497731
6552,Gabon,GAB,2021-04-07,3498,3498,0,,457,0.15365922442944457,0.15365922442944457,0.0,205.0,Sinopharm/Beijing,Ministry of Health,https://twitter.com/SanteGOUVGA/status/1394595022247497731
6553,Gabon,GAB,2021-04-08,3711,3711,0,,335,0.1630158324350111,0.1630158324350111,0.0,151.0,Sinopharm/Beijing,Ministry of Health,https://twitter.com/SanteGOUVGA/status/1394595022247497731
6554,Gabon,GAB,2021-04-09,3925,3925,0,,213,0.18,0.18,0.0,96.0,Sinopharm/Beijing,Ministry of Health,https://twitter.com/SanteGOUVGA/status/1394595022247497731
6555,Gabon,GAB,2021-04-10,4187,4130,56,,220,0.18392543530191094,0.1814215542863368,0.002459953278458804,99.0,Sinopharm/Beijing,Ministry of Health,https://twitter.com/SanteGOUVGA/status/1394595022247497731
6556,Gabon,GAB,2021-04-11,4449,4335,113,,227,0.19543450242612892,0.19042674039498064,0.004963834294032944,102.0,Sinopharm/Beijing,Ministry of Health,https://twitter.com/SanteGOUVGA/status/1394595022247497731
6557,Gabon,GAB,2021-04-12,4712,4540,171,,234,0.2069874972874622,0.19943192650362448,0.0075116430467224195,105.0,Sinopharm/Beijing,Ministry of Health,https://twitter.com/SanteGOUVGA/status/1394595022247497731
6558,Gabon,GAB,2021-04-13,4974,4746,227,,241,0.2184965644116802,0.20848104034938364,0.009971596325181223,108.0,Sinopharm/Beijing,Ministry of Health,https://twitter.com/SanteGOUVGA/status/1394595022247497731
