,country,iso_code,date,total_vaccinations,people_vaccinated,people_fully_vaccinated,daily_vaccinations_raw,daily_vaccinations,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,daily_vaccinations_per_million,vaccines,source_name,source_website
6593,Gambia,GMB,2021-03-09,0,0,0,,0,0.0,0.0,0.0,0.0,Oxford/AstraZeneca,Ministry of Health,https://www.moh.gov.gm/wp-content/uploads/2021/05/GMB_COVID-19_Situational_Report_2021_21st_May_No_319.pdf
6594,Gambia,GMB,2021-03-10,281,281,0,,281,0.010750219977810935,0.010750219977810935,0.0,116.0,Oxford/AstraZeneca,Ministry of Health,https://www.moh.gov.gm/wp-content/uploads/2021/05/GMB_COVID-19_Situational_Report_2021_21st_May_No_319.pdf
6595,Gambia,GMB,2021-03-11,562,562,0,,281,0.02150043995562187,0.02150043995562187,0.0,116.0,Oxford/AstraZeneca,Ministry of Health,https://www.moh.gov.gm/wp-content/uploads/2021/05/GMB_COVID-19_Situational_Report_2021_21st_May_No_319.pdf
6596,Gambia,GMB,2021-03-12,843,843,0,,281,0.032250659933432804,0.032250659933432804,0.0,116.0,Oxford/AstraZeneca,Ministry of Health,https://www.moh.gov.gm/wp-content/uploads/2021/05/GMB_COVID-19_Situational_Report_2021_21st_May_No_319.pdf
6597,Gambia,GMB,2021-03-13,1125,1125,0,,281,0.04303913692184093,0.04303913692184093,0.0,116.0,Oxford/AstraZeneca,Ministry of Health,https://www.moh.gov.gm/wp-content/uploads/2021/05/GMB_COVID-19_Situational_Report_2021_21st_May_No_319.pdf
6598,Gambia,GMB,2021-03-14,1406,1406,0,,281,0.05378935689965186,0.05378935689965186,0.0,116.0,Oxford/AstraZeneca,Ministry of Health,https://www.moh.gov.gm/wp-content/uploads/2021/05/GMB_COVID-19_Situational_Report_2021_21st_May_No_319.pdf
6599,Gambia,GMB,2021-03-15,1687,1687,0,,281,0.0645395768774628,0.0645395768774628,0.0,116.0,Oxford/AstraZeneca,Ministry of Health,https://www.moh.gov.gm/wp-content/uploads/2021/05/GMB_COVID-19_Situational_Report_2021_21st_May_No_319.pdf
6600,Gambia,GMB,2021-03-16,1969,1969,0,,281,0.07532805386587092,0.07532805386587092,0.0,116.0,Oxford/AstraZeneca,Ministry of Health,https://www.moh.gov.gm/wp-content/uploads/2021/05/GMB_COVID-19_Situational_Report_2021_21st_May_No_319.pdf
6601,Gambia,GMB,2021-03-17,2250,2250,0,,281,0.08607827384368186,0.08607827384368186,0.0,116.0,Oxford/AstraZeneca,Ministry of Health,https://www.moh.gov.gm/wp-content/uploads/2021/05/GMB_COVID-19_Situational_Report_2021_21st_May_No_319.pdf
6602,Gambia,GMB,2021-03-18,2531,2531,0,,281,0.09682849382149279,0.09682849382149279,0.0,116.0,Oxford/AstraZeneca,Ministry of Health,https://www.moh.gov.gm/wp-content/uploads/2021/05/GMB_COVID-19_Situational_Report_2021_21st_May_No_319.pdf
6603,Gambia,GMB,2021-03-19,2813,2813,0,,281,0.10761697080990092,0.10761697080990092,0.0,116.0,Oxford/AstraZeneca,Ministry of Health,https://www.moh.gov.gm/wp-content/uploads/2021/05/GMB_COVID-19_Situational_Report_2021_21st_May_No_319.pdf
6604,Gambia,GMB,2021-03-20,3094,3094,0,,281,0.11836719078771184,0.11836719078771184,0.0,116.0,Oxford/AstraZeneca,Ministry of Health,https://www.moh.gov.gm/wp-content/uploads/2021/05/GMB_COVID-19_Situational_Report_2021_21st_May_No_319.pdf
