,country,iso_code,date,total_vaccinations,people_vaccinated,people_fully_vaccinated,daily_vaccinations_raw,daily_vaccinations,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,daily_vaccinations_per_million,vaccines,source_name,source_website
6737,Germany,DEU,2020-12-27,24073,0,14,,0,0.03,0.03,0.0,0.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Robert Koch Institut,https://impfdashboard.de/
6738,Germany,DEU,2020-12-28,42647,42595,52,18560.0,18560,0.05,0.05,0.0,222.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Robert Koch Institut,https://impfdashboard.de/
6739,Germany,DEU,2020-12-29,93467,92687,780,50820.0,34690,0.11,0.11,0.0,414.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Robert Koch Institut,https://impfdashboard.de/
6740,Germany,DEU,2020-12-30,156472,155570,902,63005.0,44128,0.19,0.19,0.0,527.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Robert Koch Institut,https://impfdashboard.de/
6741,Germany,DEU,2020-12-31,206660,205609,1051,50188.0,45643,0.25,0.25,0.0,545.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Robert Koch Institut,https://impfdashboard.de/
6742,Germany,DEU,2021-01-01,225594,224536,1058,18934.0,40301,0.27,0.27,0.0,481.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Robert Koch Institut,https://impfdashboard.de/
6743,Germany,DEU,2021-01-02,278128,276787,1341,52534.0,42340,0.33,0.33,0.0,505.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Robert Koch Institut,https://impfdashboard.de/
6744,Germany,DEU,2021-01-03,302026,300680,1346,23898.0,39706,0.36,0.36,0.0,474.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Robert Koch Institut,https://impfdashboard.de/
6745,Germany,DEU,2021-01-04,350198,348801,1397,48172.0,43936,0.42,0.42,0.0,524.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Robert Koch Institut,https://impfdashboard.de/
6746,Germany,DEU,2021-01-05,403963,402538,1425,53765.0,44357,0.48,0.48,0.0,529.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Robert Koch Institut,https://impfdashboard.de/
6747,Germany,DEU,2021-01-06,466629,465196,1433,62666.0,44308,0.56,0.56,0.0,529.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Robert Koch Institut,https://impfdashboard.de/
6748,Germany,DEU,2021-01-07,522712,521270,1442,56083.0,45150,0.62,0.62,0.0,539.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Robert Koch Institut,https://impfdashboard.de/
6749,Germany,DEU,2021-01-08,585764,583999,1765,63052.0,51453,0.7,0.7,0.0,614.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Robert Koch Institut,https://impfdashboard.de/
6750,Germany,DEU,2021-01-09,647202,645390,1812,61438.0,52725,0.77,0.77,0.0,629.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Robert Koch Institut,https://impfdashboard.de/
6751,Germany,DEU,2021-01-10,682715,680894,1821,35513.0,54384,0.81,0.81,0.0,649.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Robert Koch Institut,https://impfdashboard.de/
6752,Germany,DEU,2021-01-11,750315,748442,1873,67600.0,57160,0.9,0.89,0.0,682.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Robert Koch Institut,https://impfdashboard.de/
6753,Germany,DEU,2021-01-12,833046,831114,1932,82731.0,61298,0.99,0.99,0.0,732.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Robert Koch Institut,https://impfdashboard.de/
6754,Germany,DEU,2021-01-13,944880,942750,2130,111834.0,68322,1.13,1.13,0.0,815.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Robert Koch Institut,https://impfdashboard.de/
6755,Germany,DEU,2021-01-14,1028024,1025709,2315,83144.0,72187,1.23,1.22,0.0,862.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Robert Koch Institut,https://impfdashboard.de/
6756,Germany,DEU,2021-01-15,1119584,1116660,2924,91560.0,76260,1.34,1.33,0.0,910.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Robert Koch Institut,https://impfdashboard.de/
6757,Germany,DEU,2021-01-16,1177157,1173327,3830,57573.0,75708,1.4,1.4,0.0,904.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Robert Koch Institut,https://impfdashboard.de/
6758,Germany,DEU,2021-01-17,1226155,1204982,21173,48998.0,77634,1.46,1.44,0.03,927.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Robert Koch Institut,https://impfdashboard.de/
6759,Germany,DEU,2021-01-18,1308788,1271842,36946,82633.0,79782,1.56,1.52,0.04,952.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Robert Koch Institut,https://impfdashboard.de/
6760,Germany,DEU,2021-01-19,1426489,1354661,71828,117701.0,84778,1.7,1.62,0.09,1012.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Robert Koch Institut,https://impfdashboard.de/
6761,Germany,DEU,2021-01-20,1558544,1435198,123346,132055.0,87666,1.86,1.71,0.15,1046.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Robert Koch Institut,https://impfdashboard.de/
6762,Germany,DEU,2021-01-21,1666277,1501078,165199,107733.0,91179,1.99,1.79,0.2,1088.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Robert Koch Institut,https://impfdashboard.de/
6763,Germany,DEU,2021-01-22,1770355,1569596,200759,104078.0,92967,2.11,1.87,0.24,1110.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Robert Koch Institut,https://impfdashboard.de/
6764,Germany,DEU,2021-01-23,1855357,1609640,245717,85002.0,96886,2.21,1.92,0.29,1156.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Robert Koch Institut,https://impfdashboard.de/
6765,Germany,DEU,2021-01-24,1904588,1635724,268864,49231.0,96919,2.27,1.95,0.32,1157.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Robert Koch Institut,https://impfdashboard.de/
6766,Germany,DEU,2021-01-25,1996287,1688825,307462,91699.0,98214,2.38,2.02,0.37,1172.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Robert Koch Institut,https://impfdashboard.de/
6767,Germany,DEU,2021-01-26,2094961,1739069,355892,98674.0,95496,2.5,2.08,0.42,1140.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Robert Koch Institut,https://impfdashboard.de/
6768,Germany,DEU,2021-01-27,2206098,1790583,415515,111137.0,92508,2.63,2.14,0.5,1104.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Robert Koch Institut,https://impfdashboard.de/
6769,Germany,DEU,2021-01-28,2297328,1835708,461620,91230.0,90150,2.74,2.19,0.55,1076.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Robert Koch Institut,https://impfdashboard.de/
6770,Germany,DEU,2021-01-29,2406441,1887174,519267,109113.0,90869,2.87,2.25,0.62,1085.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Robert Koch Institut,https://impfdashboard.de/
6771,Germany,DEU,2021-01-30,2494946,1923519,571427,88505.0,91370,2.98,2.3,0.68,1091.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Robert Koch Institut,https://impfdashboard.de/
6772,Germany,DEU,2021-01-31,2551459,1949501,601958,56513.0,92410,3.05,2.33,0.72,1103.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Robert Koch Institut,https://impfdashboard.de/
6773,Germany,DEU,2021-02-01,2672107,2008658,663449,120648.0,96546,3.19,2.4,0.79,1152.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Robert Koch Institut,https://impfdashboard.de/
6774,Germany,DEU,2021-02-02,2803868,2072870,730998,131761.0,101272,3.35,2.47,0.87,1209.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Robert Koch Institut,https://impfdashboard.de/
6775,Germany,DEU,2021-02-03,2963527,2137102,826425,159659.0,108204,3.54,2.55,0.99,1291.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Robert Koch Institut,https://impfdashboard.de/
6776,Germany,DEU,2021-02-04,3095295,2198182,897113,131768.0,113995,3.69,2.62,1.07,1361.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Robert Koch Institut,https://impfdashboard.de/
6777,Germany,DEU,2021-02-05,3240088,2265847,974241,144793.0,119092,3.87,2.7,1.16,1421.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Robert Koch Institut,https://impfdashboard.de/
6778,Germany,DEU,2021-02-06,3340234,2313015,1027219,100146.0,120755,3.99,2.76,1.23,1441.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Robert Koch Institut,https://impfdashboard.de/
6779,Germany,DEU,2021-02-07,3394489,2341193,1053296,54255.0,120433,4.05,2.79,1.26,1437.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Robert Koch Institut,https://impfdashboard.de/
6780,Germany,DEU,2021-02-08,3504433,2394358,1110075,109944.0,118904,4.18,2.86,1.32,1419.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Robert Koch Institut,https://impfdashboard.de/
6781,Germany,DEU,2021-02-09,3638364,2454058,1184306,133931.0,119214,4.34,2.93,1.41,1423.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Robert Koch Institut,https://impfdashboard.de/
6782,Germany,DEU,2021-02-10,3790188,2529225,1260963,151824.0,118094,4.52,3.02,1.51,1410.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Robert Koch Institut,https://impfdashboard.de/
6783,Germany,DEU,2021-02-11,3931335,2603058,1328281,141147.0,119434,4.69,3.11,1.59,1425.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Robert Koch Institut,https://impfdashboard.de/
6784,Germany,DEU,2021-02-12,4088853,2684477,1404384,157518.0,121252,4.88,3.2,1.68,1447.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Robert Koch Institut,https://impfdashboard.de/
6785,Germany,DEU,2021-02-13,4196609,2746656,1449963,107756.0,122339,5.01,3.28,1.73,1460.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Robert Koch Institut,https://impfdashboard.de/
6786,Germany,DEU,2021-02-14,4261897,2786679,1475230,65288.0,123915,5.09,3.33,1.76,1479.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Robert Koch Institut,https://impfdashboard.de/
6787,Germany,DEU,2021-02-15,4388755,2857923,1530846,126858.0,126332,5.24,3.41,1.83,1508.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Robert Koch Institut,https://impfdashboard.de/
6788,Germany,DEU,2021-02-16,4525395,2939941,1585470,136640.0,126719,5.4,3.51,1.89,1512.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Robert Koch Institut,https://impfdashboard.de/
6789,Germany,DEU,2021-02-17,4674630,3033508,1641140,149235.0,126349,5.58,3.62,1.96,1508.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Robert Koch Institut,https://impfdashboard.de/
6790,Germany,DEU,2021-02-18,4817339,3124981,1692378,142709.0,126572,5.75,3.73,2.02,1511.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Robert Koch Institut,https://impfdashboard.de/
6791,Germany,DEU,2021-02-19,4972011,3224851,1747182,154672.0,126165,5.93,3.85,2.09,1506.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Robert Koch Institut,https://impfdashboard.de/
6792,Germany,DEU,2021-02-20,5085428,3301171,1784281,113417.0,126974,6.07,3.94,2.13,1515.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Robert Koch Institut,https://impfdashboard.de/
6793,Germany,DEU,2021-02-21,5171581,3358215,1813392,86153.0,129955,6.17,4.01,2.16,1551.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Robert Koch Institut,https://impfdashboard.de/
6794,Germany,DEU,2021-02-22,5331942,3458467,1873503,160361.0,134741,6.36,4.13,2.24,1608.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Robert Koch Institut,https://impfdashboard.de/
6795,Germany,DEU,2021-02-23,5499115,3565876,1933269,167173.0,139103,6.56,4.26,2.31,1660.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Robert Koch Institut,https://impfdashboard.de/
6796,Germany,DEU,2021-02-24,5675116,3682295,1992853,176001.0,142927,6.77,4.39,2.38,1706.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Robert Koch Institut,https://impfdashboard.de/
6797,Germany,DEU,2021-02-25,5864513,3813168,2051377,189397.0,149596,7.0,4.55,2.45,1785.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Robert Koch Institut,https://impfdashboard.de/
6798,Germany,DEU,2021-02-26,6074368,3957621,2116779,209855.0,157480,7.25,4.72,2.53,1880.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Robert Koch Institut,https://impfdashboard.de/
6799,Germany,DEU,2021-02-27,6222977,4066220,2156789,148609.0,162507,7.43,4.85,2.57,1940.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Robert Koch Institut,https://impfdashboard.de/
6800,Germany,DEU,2021-02-28,6331069,4150022,2181079,108092.0,165641,7.56,4.95,2.6,1977.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Robert Koch Institut,https://impfdashboard.de/
6801,Germany,DEU,2021-03-01,6526918,4296507,2230443,195849.0,170711,7.79,5.13,2.66,2038.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Robert Koch Institut,https://impfdashboard.de/
6802,Germany,DEU,2021-03-02,6747040,4462946,2284126,220122.0,178275,8.05,5.33,2.73,2128.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Robert Koch Institut,https://impfdashboard.de/
6803,Germany,DEU,2021-03-03,6990866,4637712,2353186,243826.0,187964,8.34,5.54,2.81,2243.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Robert Koch Institut,https://impfdashboard.de/
6804,Germany,DEU,2021-03-04,7234053,4818220,2415865,243187.0,195649,8.63,5.75,2.88,2335.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Robert Koch Institut,https://impfdashboard.de/
6805,Germany,DEU,2021-03-05,7503224,5019978,2483278,269171.0,204122,8.96,5.99,2.96,2436.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Robert Koch Institut,https://impfdashboard.de/
6806,Germany,DEU,2021-03-06,7705706,5173171,2532567,202482.0,211818,9.2,6.17,3.02,2528.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Robert Koch Institut,https://impfdashboard.de/
6807,Germany,DEU,2021-03-07,7856082,5289090,2567024,150376.0,217859,9.38,6.31,3.06,2600.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Robert Koch Institut,https://impfdashboard.de/
6808,Germany,DEU,2021-03-08,8095323,5475825,2619530,239241.0,224058,9.66,6.54,3.13,2674.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Robert Koch Institut,https://impfdashboard.de/
6809,Germany,DEU,2021-03-09,8345799,5671550,2674281,250476.0,228394,9.96,6.77,3.19,2726.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Robert Koch Institut,https://impfdashboard.de/
