,country,iso_code,date,total_vaccinations,people_vaccinated,people_fully_vaccinated,daily_vaccinations_raw,daily_vaccinations,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,daily_vaccinations_per_million,vaccines,source_name,source_website
6887,Ghana,GHA,2021-03-01,0,0,0,,0,0.0,0.0,0.0,0.0,"Oxford/AstraZeneca, Sputnik V",World Health Organization,https://covid19.who.int/
6888,Ghana,GHA,2021-03-02,28893,28893,0,,28893,0.09296062855322722,0.09296062855322722,0.0,930.0,"Oxford/AstraZeneca, Sputnik V",World Health Organization,https://covid19.who.int/
6889,Ghana,GHA,2021-03-03,57786,57786,0,,28893,0.18592125710645444,0.18592125710645444,0.0,930.0,"Oxford/AstraZeneca, Sputnik V",World Health Organization,https://covid19.who.int/
6890,Ghana,GHA,2021-03-04,86679,86679,0,,28893,0.2788818856596817,0.2788818856596817,0.0,930.0,"Oxford/AstraZeneca, Sputnik V",World Health Organization,https://covid19.who.int/
6891,Ghana,GHA,2021-03-05,115572,115572,0,,28893,0.37184251421290887,0.37184251421290887,0.0,930.0,"Oxford/AstraZeneca, Sputnik V",World Health Organization,https://covid19.who.int/
6892,Ghana,GHA,2021-03-06,144465,144465,0,,28893,0.46480314276613616,0.46480314276613616,0.0,930.0,"Oxford/AstraZeneca, Sputnik V",World Health Organization,https://covid19.who.int/
6893,Ghana,GHA,2021-03-07,173358,173358,0,,28893,0.5577637713193634,0.5577637713193634,0.0,930.0,"Oxford/AstraZeneca, Sputnik V",World Health Organization,https://covid19.who.int/
6894,Ghana,GHA,2021-03-08,202252,202252,0,,28893,0.65,0.65,0.0,930.0,"Oxford/AstraZeneca, Sputnik V",World Health Organization,https://covid19.who.int/
6895,Ghana,GHA,2021-03-09,251126,251126,0,,31748,0.8079753160301021,0.8079753160301021,0.0,1022.0,"Oxford/AstraZeneca, Sputnik V",World Health Organization,https://covid19.who.int/
6896,Ghana,GHA,2021-03-10,300000,300000,0,,34602,0.97,0.97,0.0,1114.0,"Oxford/AstraZeneca, Sputnik V",World Health Organization,https://covid19.who.int/
6897,Ghana,GHA,2021-03-11,315000,315000,0,,32617,1.0134841655164426,1.0134841655164426,0.0,1050.0,"Oxford/AstraZeneca, Sputnik V",World Health Organization,https://covid19.who.int/
6898,Ghana,GHA,2021-03-12,330000,330000,0,,30632,1.0617453162553208,1.0617453162553208,0.0,986.0,"Oxford/AstraZeneca, Sputnik V",World Health Organization,https://covid19.who.int/
6899,Ghana,GHA,2021-03-13,345000,345000,0,,28648,1.1100064669941991,1.1100064669941991,0.0,922.0,"Oxford/AstraZeneca, Sputnik V",World Health Organization,https://covid19.who.int/
6900,Ghana,GHA,2021-03-14,360000,360000,0,,26663,1.158267617733077,1.158267617733077,0.0,858.0,"Oxford/AstraZeneca, Sputnik V",World Health Organization,https://covid19.who.int/
6901,Ghana,GHA,2021-03-15,375000,375000,0,,24678,1.2065287684719554,1.2065287684719554,0.0,794.0,"Oxford/AstraZeneca, Sputnik V",World Health Organization,https://covid19.who.int/
6902,Ghana,GHA,2021-03-16,390000,390000,0,,19839,1.2547899192108338,1.2547899192108338,0.0,638.0,"Oxford/AstraZeneca, Sputnik V",World Health Organization,https://covid19.who.int/
6903,Ghana,GHA,2021-03-17,405000,405000,0,,15000,1.3030510699497118,1.3030510699497118,0.0,483.0,"Oxford/AstraZeneca, Sputnik V",World Health Organization,https://covid19.who.int/
6904,Ghana,GHA,2021-03-18,420000,420000,0,,15000,1.35,1.35,0.0,483.0,"Oxford/AstraZeneca, Sputnik V",World Health Organization,https://covid19.who.int/
6905,Ghana,GHA,2021-03-19,433333,433333,0,,14762,1.3942099488753543,1.3942099488753543,0.0,475.0,"Oxford/AstraZeneca, Sputnik V",World Health Organization,https://covid19.who.int/
6906,Ghana,GHA,2021-03-20,446666,446666,0,,14524,1.4371076770621185,1.4371076770621185,0.0,467.0,"Oxford/AstraZeneca, Sputnik V",World Health Organization,https://covid19.who.int/
6907,Ghana,GHA,2021-03-21,460000,460000,0,,14286,1.4800086226589322,1.4800086226589322,0.0,460.0,"Oxford/AstraZeneca, Sputnik V",World Health Organization,https://covid19.who.int/
6908,Ghana,GHA,2021-03-22,473333,473333,0,,14048,1.5229063508456961,1.5229063508456961,0.0,452.0,"Oxford/AstraZeneca, Sputnik V",World Health Organization,https://covid19.who.int/
6909,Ghana,GHA,2021-03-23,486666,486666,0,,13810,1.5658040790324605,1.5658040790324605,0.0,444.0,"Oxford/AstraZeneca, Sputnik V",World Health Organization,https://covid19.who.int/
6910,Ghana,GHA,2021-03-24,500000,500000,0,,13571,1.61,1.61,0.0,437.0,"Oxford/AstraZeneca, Sputnik V",World Health Organization,https://covid19.who.int/
6911,Ghana,GHA,2021-03-25,507080,507080,0,,12440,1.6314842877780245,1.6314842877780245,0.0,400.0,"Oxford/AstraZeneca, Sputnik V",World Health Organization,https://covid19.who.int/
6912,Ghana,GHA,2021-03-26,514161,514161,0,,11547,1.6542667683368242,1.6542667683368242,0.0,372.0,"Oxford/AstraZeneca, Sputnik V",World Health Organization,https://covid19.who.int/
6913,Ghana,GHA,2021-03-27,521241,521241,0,,10654,1.6770460314855746,1.6770460314855746,0.0,343.0,"Oxford/AstraZeneca, Sputnik V",World Health Organization,https://covid19.who.int/
6914,Ghana,GHA,2021-03-28,528322,528322,0,,9760,1.6998285120443744,1.6998285120443744,0.0,314.0,"Oxford/AstraZeneca, Sputnik V",World Health Organization,https://covid19.who.int/
6915,Ghana,GHA,2021-03-29,535402,535402,0,,8867,1.722607775193125,1.722607775193125,0.0,285.0,"Oxford/AstraZeneca, Sputnik V",World Health Organization,https://covid19.who.int/
6916,Ghana,GHA,2021-03-30,542483,542483,0,,7974,1.745390255751925,1.745390255751925,0.0,257.0,"Oxford/AstraZeneca, Sputnik V",World Health Organization,https://covid19.who.int/
6917,Ghana,GHA,2021-03-31,549564,549564,0,,7081,1.7681727363107247,1.7681727363107247,0.0,228.0,"Oxford/AstraZeneca, Sputnik V",World Health Organization,https://covid19.who.int/
6918,Ghana,GHA,2021-04-01,556644,556644,0,,7081,1.7909519994594754,1.7909519994594754,0.0,228.0,"Oxford/AstraZeneca, Sputnik V",World Health Organization,https://covid19.who.int/
