,country,iso_code,date,total_vaccinations,people_vaccinated,people_fully_vaccinated,daily_vaccinations_raw,daily_vaccinations,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,daily_vaccinations_per_million,vaccines,source_name,source_website
6972,Gibraltar,GIB,2021-01-10,420,0,0,,0,1.25,1.25,0.0,0.0,Pfizer/BioNTech,Government of Gibraltar,https://twitter.com/GibraltarGov/status/1396069102280757257
6973,Gibraltar,GIB,2021-01-11,1445,1445,0,1025.0,1025,4.29,4.29,0.0,30424.0,Pfizer/BioNTech,Government of Gibraltar,https://twitter.com/GibraltarGov/status/1396069102280757257
6974,Gibraltar,GIB,2021-01-12,2501,2501,0,1056.0,1040,7.42,7.42,0.0,30869.0,Pfizer/BioNTech,Government of Gibraltar,https://twitter.com/GibraltarGov/status/1396069102280757257
6975,Gibraltar,GIB,2021-01-13,3379,3379,0,,986,10.056547619047619,10.056547619047619,0.0,29266.0,Pfizer/BioNTech,Government of Gibraltar,https://twitter.com/GibraltarGov/status/1396069102280757257
6976,Gibraltar,GIB,2021-01-14,4257,4257,0,,959,12.669642857142858,12.669642857142858,0.0,28465.0,Pfizer/BioNTech,Government of Gibraltar,https://twitter.com/GibraltarGov/status/1396069102280757257
6977,Gibraltar,GIB,2021-01-15,5135,5135,0,,943,15.24,15.24,0.0,27990.0,Pfizer/BioNTech,Government of Gibraltar,https://twitter.com/GibraltarGov/status/1396069102280757257
6978,Gibraltar,GIB,2021-01-16,5847,5847,0,712.0,904,17.35,17.35,0.0,26832.0,Pfizer/BioNTech,Government of Gibraltar,https://twitter.com/GibraltarGov/status/1396069102280757257
6979,Gibraltar,GIB,2021-01-17,5847,5847,0,0.0,775,17.35,17.35,0.0,23003.0,Pfizer/BioNTech,Government of Gibraltar,https://twitter.com/GibraltarGov/status/1396069102280757257
6980,Gibraltar,GIB,2021-01-18,6435,6435,0,588.0,713,19.1,19.1,0.0,21163.0,Pfizer/BioNTech,Government of Gibraltar,https://twitter.com/GibraltarGov/status/1396069102280757257
6981,Gibraltar,GIB,2021-01-19,7017,7017,0,582.0,645,20.83,20.83,0.0,19145.0,Pfizer/BioNTech,Government of Gibraltar,https://twitter.com/GibraltarGov/status/1396069102280757257
6982,Gibraltar,GIB,2021-01-20,7017,7017,0,0.0,520,20.83,20.83,0.0,15434.0,Pfizer/BioNTech,Government of Gibraltar,https://twitter.com/GibraltarGov/status/1396069102280757257
6983,Gibraltar,GIB,2021-01-21,7947,7947,0,930.0,527,23.59,23.59,0.0,15642.0,Pfizer/BioNTech,Government of Gibraltar,https://twitter.com/GibraltarGov/status/1396069102280757257
6984,Gibraltar,GIB,2021-01-22,8877,8877,0,930.0,535,26.35,26.35,0.0,15880.0,Pfizer/BioNTech,Government of Gibraltar,https://twitter.com/GibraltarGov/status/1396069102280757257
6985,Gibraltar,GIB,2021-01-23,9807,9807,0,930.0,566,29.11,29.11,0.0,16800.0,Pfizer/BioNTech,Government of Gibraltar,https://twitter.com/GibraltarGov/status/1396069102280757257
