,country,iso_code,date,total_vaccinations,people_vaccinated,people_fully_vaccinated,daily_vaccinations_raw,daily_vaccinations,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,daily_vaccinations_per_million,vaccines,source_name,source_website
7105,Greece,GRC,2020-12-28,447,0,0,,0,0.0,0.0,0.0,0.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://www.data.gov.gr/datasets/mdg_emvolio/
7106,Greece,GRC,2020-12-29,1077,1077,0,630.0,630,0.01,0.01,0.0,60.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://www.data.gov.gr/datasets/mdg_emvolio/
7107,Greece,GRC,2020-12-30,1722,1722,0,645.0,638,0.02,0.02,0.0,61.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://www.data.gov.gr/datasets/mdg_emvolio/
7108,Greece,GRC,2020-12-31,2339,2339,0,617.0,631,0.02,0.02,0.0,61.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://www.data.gov.gr/datasets/mdg_emvolio/
7109,Greece,GRC,2021-01-01,2603,2603,0,264.0,539,0.02,0.02,0.0,52.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://www.data.gov.gr/datasets/mdg_emvolio/
7110,Greece,GRC,2021-01-02,3149,3149,0,546.0,540,0.03,0.03,0.0,52.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://www.data.gov.gr/datasets/mdg_emvolio/
7111,Greece,GRC,2021-01-03,3869,3869,0,720.0,570,0.04,0.04,0.0,55.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://www.data.gov.gr/datasets/mdg_emvolio/
7112,Greece,GRC,2021-01-04,10327,10327,0,6458.0,1411,0.1,0.1,0.0,135.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://www.data.gov.gr/datasets/mdg_emvolio/
7113,Greece,GRC,2021-01-05,16631,16631,0,6304.0,2222,0.16,0.16,0.0,213.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://www.data.gov.gr/datasets/mdg_emvolio/
7114,Greece,GRC,2021-01-06,20616,20616,0,3985.0,2699,0.2,0.2,0.0,259.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://www.data.gov.gr/datasets/mdg_emvolio/
7115,Greece,GRC,2021-01-07,26445,26445,0,5829.0,3444,0.25,0.25,0.0,330.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://www.data.gov.gr/datasets/mdg_emvolio/
7116,Greece,GRC,2021-01-08,35272,35272,0,8827.0,4667,0.34,0.34,0.0,448.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://www.data.gov.gr/datasets/mdg_emvolio/
7117,Greece,GRC,2021-01-09,40427,40427,0,5155.0,5325,0.39,0.39,0.0,511.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://www.data.gov.gr/datasets/mdg_emvolio/
7118,Greece,GRC,2021-01-10,44645,44645,0,4218.0,5825,0.43,0.43,0.0,559.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://www.data.gov.gr/datasets/mdg_emvolio/
7119,Greece,GRC,2021-01-11,50045,50045,0,5400.0,5674,0.48,0.48,0.0,544.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://www.data.gov.gr/datasets/mdg_emvolio/
7120,Greece,GRC,2021-01-12,56475,56475,0,6430.0,5692,0.54,0.54,0.0,546.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://www.data.gov.gr/datasets/mdg_emvolio/
7121,Greece,GRC,2021-01-13,64932,64932,0,8457.0,6331,0.62,0.62,0.0,607.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://www.data.gov.gr/datasets/mdg_emvolio/
7122,Greece,GRC,2021-01-14,70960,70960,0,6028.0,6359,0.68,0.68,0.0,610.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://www.data.gov.gr/datasets/mdg_emvolio/
7123,Greece,GRC,2021-01-15,75412,75412,0,4452.0,5734,0.72,0.72,0.0,550.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://www.data.gov.gr/datasets/mdg_emvolio/
7124,Greece,GRC,2021-01-16,80391,80389,2,4979.0,5709,0.77,0.77,0.0,548.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://www.data.gov.gr/datasets/mdg_emvolio/
7125,Greece,GRC,2021-01-17,83144,82932,212,,5500,0.7969328093549315,0.7949007955525735,0.002032013802357903,528.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://www.data.gov.gr/datasets/mdg_emvolio/
7126,Greece,GRC,2021-01-18,85898,85475,423,,5122,0.82,0.82,0.0,491.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://www.data.gov.gr/datasets/mdg_emvolio/
7127,Greece,GRC,2021-01-19,94454,93382,1072,8556.0,5426,0.91,0.9,0.01,521.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://www.data.gov.gr/datasets/mdg_emvolio/
7128,Greece,GRC,2021-01-20,109831,108167,1664,15377.0,6414,1.05,1.04,0.02,615.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://www.data.gov.gr/datasets/mdg_emvolio/
7129,Greece,GRC,2021-01-21,125928,123667,2261,16097.0,7853,1.21,1.19,0.02,753.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://www.data.gov.gr/datasets/mdg_emvolio/
7130,Greece,GRC,2021-01-22,143877,141298,2579,17949.0,9781,1.38,1.36,0.02,938.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://www.data.gov.gr/datasets/mdg_emvolio/
7131,Greece,GRC,2021-01-23,160101,156966,3135,16224.0,11387,1.54,1.51,0.03,1092.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://www.data.gov.gr/datasets/mdg_emvolio/
7132,Greece,GRC,2021-01-24,170026,164428,5598,,12412,1.62969423943257,1.576037573085402,0.05365666634716764,1191.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://www.data.gov.gr/datasets/mdg_emvolio/
7133,Greece,GRC,2021-01-25,179951,171890,8061,,13436,1.73,1.65,0.08,1289.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://www.data.gov.gr/datasets/mdg_emvolio/
7134,Greece,GRC,2021-01-26,197755,184610,13145,17804.0,14757,1.9,1.77,0.13,1416.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://www.data.gov.gr/datasets/mdg_emvolio/
7135,Greece,GRC,2021-01-27,216040,198161,17879,18285.0,15173,2.07,1.9,0.17,1456.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://www.data.gov.gr/datasets/mdg_emvolio/
7136,Greece,GRC,2021-01-28,234285,210488,23797,18245.0,15480,2.25,2.02,0.23,1485.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://www.data.gov.gr/datasets/mdg_emvolio/
7137,Greece,GRC,2021-01-29,253363,220621,32742,19078.0,15641,2.43,2.12,0.31,1501.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://www.data.gov.gr/datasets/mdg_emvolio/
7138,Greece,GRC,2021-01-30,271287,232399,38888,17924.0,15884,2.6,2.23,0.37,1524.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://www.data.gov.gr/datasets/mdg_emvolio/
7139,Greece,GRC,2021-01-31,282552,239825,42727,,16075,2.7082526598293875,2.2987156139173774,0.40953704591200996,1542.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://www.data.gov.gr/datasets/mdg_emvolio/
7140,Greece,GRC,2021-02-01,293817,247251,46566,,16267,2.82,2.37,0.45,1561.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://www.data.gov.gr/datasets/mdg_emvolio/
7141,Greece,GRC,2021-02-02,315628,261543,54085,21811.0,16839,3.03,2.51,0.52,1616.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://www.data.gov.gr/datasets/mdg_emvolio/
7142,Greece,GRC,2021-02-03,338122,276103,62019,22494.0,17440,3.24,2.65,0.6,1673.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://www.data.gov.gr/datasets/mdg_emvolio/
7143,Greece,GRC,2021-02-04,359723,291259,68464,21601.0,17920,3.45,2.79,0.66,1719.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://www.data.gov.gr/datasets/mdg_emvolio/
7144,Greece,GRC,2021-02-05,380136,306441,73695,20413.0,18110,3.65,2.94,0.71,1737.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://www.data.gov.gr/datasets/mdg_emvolio/
7145,Greece,GRC,2021-02-06,397857,318097,79760,17721.0,18081,3.82,3.05,0.77,1735.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://www.data.gov.gr/datasets/mdg_emvolio/
7146,Greece,GRC,2021-02-07,407711,325454,82256,,17880,3.9078980159110515,3.119467075625419,0.7884213553148663,1715.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://www.data.gov.gr/datasets/mdg_emvolio/
7147,Greece,GRC,2021-02-08,417565,332812,84753,,17678,4.01,3.19,0.81,1696.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://www.data.gov.gr/datasets/mdg_emvolio/
7148,Greece,GRC,2021-02-09,437872,345290,92582,20307.0,17463,4.2,3.31,0.89,1675.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://www.data.gov.gr/datasets/mdg_emvolio/
7149,Greece,GRC,2021-02-10,459535,353412,106123,21663.0,17345,4.41,3.39,1.02,1664.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://www.data.gov.gr/datasets/mdg_emvolio/
