,country,iso_code,date,total_vaccinations,people_vaccinated,people_fully_vaccinated,daily_vaccinations_raw,daily_vaccinations,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,daily_vaccinations_per_million,vaccines,source_name,source_website
7373,Grenada,GRD,2021-02-11,0,0,0,,0,0.0,0.0,0.0,0.0,Oxford/AstraZeneca,Government of Grenada,https://www.facebook.com/HealthGrenada/photos/a.570448523487244/1012889499243142/
7374,Grenada,GRD,2021-02-12,29,29,0,,29,0.02600896860986547,0.02600896860986547,0.0,258.0,Oxford/AstraZeneca,Government of Grenada,https://www.facebook.com/HealthGrenada/photos/a.570448523487244/1012889499243142/
7375,Grenada,GRD,2021-02-13,58,58,0,,29,0.05201793721973094,0.05201793721973094,0.0,258.0,Oxford/AstraZeneca,Government of Grenada,https://www.facebook.com/HealthGrenada/photos/a.570448523487244/1012889499243142/
7376,Grenada,GRD,2021-02-14,87,87,0,,29,0.07802690582959641,0.07802690582959641,0.0,258.0,Oxford/AstraZeneca,Government of Grenada,https://www.facebook.com/HealthGrenada/photos/a.570448523487244/1012889499243142/
7377,Grenada,GRD,2021-02-15,116,116,0,,29,0.10403587443946188,0.10403587443946188,0.0,258.0,Oxford/AstraZeneca,Government of Grenada,https://www.facebook.com/HealthGrenada/photos/a.570448523487244/1012889499243142/
7378,Grenada,GRD,2021-02-16,146,146,0,,29,0.13,0.13,0.0,258.0,Oxford/AstraZeneca,Government of Grenada,https://www.facebook.com/HealthGrenada/photos/a.570448523487244/1012889499243142/
7379,Grenada,GRD,2021-02-17,296,296,0,,49,0.26547085201793724,0.26547085201793724,0.0,435.0,Oxford/AstraZeneca,Government of Grenada,https://www.facebook.com/HealthGrenada/photos/a.570448523487244/1012889499243142/
7380,Grenada,GRD,2021-02-18,447,447,0,,64,0.40089686098654703,0.40089686098654703,0.0,569.0,Oxford/AstraZeneca,Government of Grenada,https://www.facebook.com/HealthGrenada/photos/a.570448523487244/1012889499243142/
7381,Grenada,GRD,2021-02-19,597,597,0,,81,0.5354260089686098,0.5354260089686098,0.0,720.0,Oxford/AstraZeneca,Government of Grenada,https://www.facebook.com/HealthGrenada/photos/a.570448523487244/1012889499243142/
7382,Grenada,GRD,2021-02-20,748,748,0,,99,0.6708520179372197,0.6708520179372197,0.0,880.0,Oxford/AstraZeneca,Government of Grenada,https://www.facebook.com/HealthGrenada/photos/a.570448523487244/1012889499243142/
