,country,iso_code,date,total_vaccinations,people_vaccinated,people_fully_vaccinated,daily_vaccinations_raw,daily_vaccinations,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,daily_vaccinations_per_million,vaccines,source_name,source_website
7463,Guatemala,GTM,2021-02-25,0,0,0,,0,0.0,0.0,0.0,0.0,"Moderna, Oxford/AstraZeneca",Ministry of Health,https://gtmvigilanciacovid.shinyapps.io/3869aac0fb95d6baf2c80f19f2da5f98
7464,Guatemala,GTM,2021-02-26,1112,1112,0,,1112,0.005978259028824294,0.005978259028824294,0.0,62.0,"Moderna, Oxford/AstraZeneca",Ministry of Health,https://gtmvigilanciacovid.shinyapps.io/3869aac0fb95d6baf2c80f19f2da5f98
7465,Guatemala,GTM,2021-02-27,2224,2224,0,,1112,0.01,0.01,0.0,62.0,"Moderna, Oxford/AstraZeneca",Ministry of Health,https://gtmvigilanciacovid.shinyapps.io/3869aac0fb95d6baf2c80f19f2da5f98
7466,Guatemala,GTM,2021-02-28,2325,2325,0,,775,0.012499507411885328,0.012499507411885328,0.0,43.0,"Moderna, Oxford/AstraZeneca",Ministry of Health,https://gtmvigilanciacovid.shinyapps.io/3869aac0fb95d6baf2c80f19f2da5f98
7467,Guatemala,GTM,2021-03-01,2427,2427,0,,607,0.01,0.01,0.0,34.0,"Moderna, Oxford/AstraZeneca",Ministry of Health,https://gtmvigilanciacovid.shinyapps.io/3869aac0fb95d6baf2c80f19f2da5f98
7468,Guatemala,GTM,2021-03-02,4179,4179,0,,836,0.022466856548072595,0.022466856548072595,0.0,47.0,"Moderna, Oxford/AstraZeneca",Ministry of Health,https://gtmvigilanciacovid.shinyapps.io/3869aac0fb95d6baf2c80f19f2da5f98
7469,Guatemala,GTM,2021-03-03,5931,5931,0,,988,0.03188584019780296,0.03188584019780296,0.0,55.0,"Moderna, Oxford/AstraZeneca",Ministry of Health,https://gtmvigilanciacovid.shinyapps.io/3869aac0fb95d6baf2c80f19f2da5f98
7470,Guatemala,GTM,2021-03-04,7683,7683,0,,1098,0.04130482384753332,0.04130482384753332,0.0,61.0,"Moderna, Oxford/AstraZeneca",Ministry of Health,https://gtmvigilanciacovid.shinyapps.io/3869aac0fb95d6baf2c80f19f2da5f98
7471,Guatemala,GTM,2021-03-05,9435,9435,0,,1189,0.050723807497263684,0.050723807497263684,0.0,66.0,"Moderna, Oxford/AstraZeneca",Ministry of Health,https://gtmvigilanciacovid.shinyapps.io/3869aac0fb95d6baf2c80f19f2da5f98
7472,Guatemala,GTM,2021-03-06,11187,11187,0,,1280,0.06014279114699405,0.06014279114699405,0.0,71.0,"Moderna, Oxford/AstraZeneca",Ministry of Health,https://gtmvigilanciacovid.shinyapps.io/3869aac0fb95d6baf2c80f19f2da5f98
7473,Guatemala,GTM,2021-03-07,12939,12939,0,,1516,0.0695617747967244,0.0695617747967244,0.0,85.0,"Moderna, Oxford/AstraZeneca",Ministry of Health,https://gtmvigilanciacovid.shinyapps.io/3869aac0fb95d6baf2c80f19f2da5f98
7474,Guatemala,GTM,2021-03-08,14691,14691,0,,1752,0.07898075844645477,0.07898075844645477,0.0,98.0,"Moderna, Oxford/AstraZeneca",Ministry of Health,https://gtmvigilanciacovid.shinyapps.io/3869aac0fb95d6baf2c80f19f2da5f98
7475,Guatemala,GTM,2021-03-09,16443,16443,0,,1752,0.08839974209618515,0.08839974209618515,0.0,98.0,"Moderna, Oxford/AstraZeneca",Ministry of Health,https://gtmvigilanciacovid.shinyapps.io/3869aac0fb95d6baf2c80f19f2da5f98
