,country,iso_code,date,total_vaccinations,people_vaccinated,people_fully_vaccinated,daily_vaccinations_raw,daily_vaccinations,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,daily_vaccinations_per_million,vaccines,source_name,source_website
7675,Guinea,GIN,2021-03-19,25263,0,0,,0,0.0,0.19,0.0,0.0,Sputnik V,National Health Security Agency,https://twitter.com/anss_guinee/status/1397487317049384967
7676,Guinea,GIN,2021-03-23,34178,34178,0,,31322,0.23838167141611055,0.26,0.0,2383.8167141611057,Sputnik V,National Health Security Agency,https://twitter.com/anss_guinee/status/1397487317049384967
7677,Guinea,GIN,2021-03-31,62645,59993,2652,,31323,0.48,0.46,0.02,2383.8928209459264,Sputnik V,National Health Security Agency,https://twitter.com/anss_guinee/status/1397487317049384967
7678,Guinea,GIN,2021-04-01,65429,61604,3824,,2784,0.4979590824048496,0.4688482372108446,0.029103234515522856,212.0,Sputnik V,National Health Security Agency,https://twitter.com/anss_guinee/status/1397487317049384967
7679,Guinea,GIN,2021-04-02,68213,63216,4997,,2784,0.5191472112989959,0.48111665092397826,0.0380305603750177,212.0,Sputnik V,National Health Security Agency,https://twitter.com/anss_guinee/status/1397487317049384967
7680,Guinea,GIN,2021-04-03,70997,64827,6169,,2784,0.5403353401931422,0.4933774539586297,0.04695027555603046,212.0,Sputnik V,National Health Security Agency,https://twitter.com/anss_guinee/status/1397487317049384967
7681,Guinea,GIN,2021-04-04,73782,66439,7343,,2784,0.5615310797657708,0.51,0.0558852120940074,212.0,Sputnik V,National Health Security Agency,https://twitter.com/anss_guinee/status/1397487317049384967
7682,Guinea,GIN,2021-04-05,76566,67686,8880,,2784,0.5827192086599171,0.52,0.06758282492098404,212.0,Sputnik V,National Health Security Agency,https://twitter.com/anss_guinee/status/1397487317049384967
7683,Guinea,GIN,2021-04-06,79350,67863,11487,,2784,0.6039073375540635,0.52,0.08742386372379995,212.0,Sputnik V,National Health Security Agency,https://twitter.com/anss_guinee/status/1397487317049384967
7684,Guinea,GIN,2021-04-07,82135,72576,9559,,2784,0.63,0.55,0.07,212.0,Sputnik V,National Health Security Agency,https://twitter.com/anss_guinee/status/1397487317049384967
7685,Guinea,GIN,2021-04-08,85121,74760,10361,,2813,0.647828563074221,0.57,0.07885423975296346,214.0,Sputnik V,National Health Security Agency,https://twitter.com/anss_guinee/status/1397487317049384967
7686,Guinea,GIN,2021-04-09,88107,76715,11392,,2842,0.6705540490217501,0.58,0.08670084926800115,216.0,Sputnik V,National Health Security Agency,https://twitter.com/anss_guinee/status/1397487317049384967
7687,Guinea,GIN,2021-04-10,91093,77433,13660,,2871,0.6932795349692792,0.59,0.10396186806538761,219.0,Sputnik V,National Health Security Agency,https://twitter.com/anss_guinee/status/1397487317049384967
7688,Guinea,GIN,2021-04-11,94079,78441,15637,,2900,0.7160050209168083,0.596989230813841,0.11900817942448506,221.0,Sputnik V,National Health Security Agency,https://twitter.com/anss_guinee/status/1397487317049384967
7689,Guinea,GIN,2021-04-12,97065,79450,17615,,2928,0.7387305068643374,0.6,0.1340621014620646,223.0,Sputnik V,National Health Security Agency,https://twitter.com/anss_guinee/status/1397487317049384967
7690,Guinea,GIN,2021-04-13,100051,79557,20493,,2957,0.7614559928118664,0.6054827479998567,0.15596563413352768,225.0,Sputnik V,National Health Security Agency,https://twitter.com/anss_guinee/status/1397487317049384967
7691,Guinea,GIN,2021-04-14,103037,79665,23372,,2986,0.7841814787593955,0.61,0.17787677748347283,227.0,Sputnik V,National Health Security Agency,https://twitter.com/anss_guinee/status/1397487317049384967
7692,Guinea,GIN,2021-04-15,106024,80992,25032,,2986,0.81,0.62,0.19,227.0,Sputnik V,National Health Security Agency,https://twitter.com/anss_guinee/status/1397487317049384967
7693,Guinea,GIN,2021-04-16,109296,81429,27867,3272.0,3027,0.83,0.62,0.21,230.0,Sputnik V,National Health Security Agency,https://twitter.com/anss_guinee/status/1397487317049384967
7694,Guinea,GIN,2021-04-17,110366,81865,28500,,2753,0.8399601413546535,0.6230481939365268,0.21690433673964468,210.0,Sputnik V,National Health Security Agency,https://twitter.com/anss_guinee/status/1397487317049384967
7695,Guinea,GIN,2021-04-18,111436,82301,29134,,2480,0.8481035673304929,0.6263664497547192,0.22172950689729154,189.0,Sputnik V,National Health Security Agency,https://twitter.com/anss_guinee/status/1397487317049384967
7696,Guinea,GIN,2021-04-19,112506,82738,29768,,2206,0.86,0.63,0.23,168.0,Sputnik V,National Health Security Agency,https://twitter.com/anss_guinee/status/1397487317049384967
7697,Guinea,GIN,2021-04-20,114297,83035,31262,1791.0,2035,0.87,0.63,0.24,155.0,Sputnik V,National Health Security Agency,https://twitter.com/anss_guinee/status/1397487317049384967
7698,Guinea,GIN,2021-04-21,116113,83324,32789,1816.0,1868,0.88,0.63,0.25,142.0,Sputnik V,National Health Security Agency,https://twitter.com/anss_guinee/status/1397487317049384967
7699,Guinea,GIN,2021-04-22,124501,87288,37213,8388.0,2640,0.95,0.66,0.28,201.0,Sputnik V,National Health Security Agency,https://twitter.com/anss_guinee/status/1397487317049384967
7700,Guinea,GIN,2021-04-23,126923,88557,38365,,2518,0.9659701449826641,0.6739788543386918,0.29198367996549013,192.0,Sputnik V,National Health Security Agency,https://twitter.com/anss_guinee/status/1397487317049384967
7701,Guinea,GIN,2021-04-24,129345,89827,39518,,2711,0.98,0.68,0.3,206.0,Sputnik V,National Health Security Agency,https://twitter.com/anss_guinee/status/1397487317049384967
7702,Guinea,GIN,2021-04-25,129424,89874,39550,79.0,2570,0.99,0.68,0.3,196.0,Sputnik V,National Health Security Agency,https://twitter.com/anss_guinee/status/1397487317049384967
7703,Guinea,GIN,2021-04-26,132340,91038,41302,2916.0,2833,1.01,0.69,0.31,216.0,Sputnik V,National Health Security Agency,https://twitter.com/anss_guinee/status/1397487317049384967
7704,Guinea,GIN,2021-04-27,135454,91696,43758,3114.0,3022,1.03,0.7,0.33,230.0,Sputnik V,National Health Security Agency,https://twitter.com/anss_guinee/status/1397487317049384967
