,country,iso_code,date,total_vaccinations,people_vaccinated,people_fully_vaccinated,daily_vaccinations_raw,daily_vaccinations,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,daily_vaccinations_per_million,vaccines,source_name,source_website
7734,Guyana,GUY,2021-02-11,0,0,0,,0,0.0,0.0,0.0,0.0,"Oxford/AstraZeneca, Sputnik V",Ministry of Health,https://www.facebook.com/mohguyana/photos/a.1505704143066460/2599199210383609/
7735,Guyana,GUY,2021-02-12,167,167,0,,167,0.02132822477650064,0.02132822477650064,0.0,212.0,"Oxford/AstraZeneca, Sputnik V",Ministry of Health,https://www.facebook.com/mohguyana/photos/a.1505704143066460/2599199210383609/
7736,Guyana,GUY,2021-02-13,334,334,0,,167,0.04265644955300128,0.04265644955300128,0.0,212.0,"Oxford/AstraZeneca, Sputnik V",Ministry of Health,https://www.facebook.com/mohguyana/photos/a.1505704143066460/2599199210383609/
7737,Guyana,GUY,2021-02-14,501,501,0,,167,0.06398467432950192,0.06398467432950192,0.0,212.0,"Oxford/AstraZeneca, Sputnik V",Ministry of Health,https://www.facebook.com/mohguyana/photos/a.1505704143066460/2599199210383609/
7738,Guyana,GUY,2021-02-15,668,668,0,,167,0.08,0.08,0.0,212.0,"Oxford/AstraZeneca, Sputnik V",Ministry of Health,https://www.facebook.com/mohguyana/photos/a.1505704143066460/2599199210383609/
7739,Guyana,GUY,2021-02-16,837,837,0,,167,0.10689655172413794,0.10689655172413794,0.0,212.0,"Oxford/AstraZeneca, Sputnik V",Ministry of Health,https://www.facebook.com/mohguyana/photos/a.1505704143066460/2599199210383609/
7740,Guyana,GUY,2021-02-17,1006,1006,0,,168,0.1284802043422733,0.1284802043422733,0.0,214.0,"Oxford/AstraZeneca, Sputnik V",Ministry of Health,https://www.facebook.com/mohguyana/photos/a.1505704143066460/2599199210383609/
7741,Guyana,GUY,2021-02-18,1175,1175,0,,168,0.1500638569604087,0.1500638569604087,0.0,214.0,"Oxford/AstraZeneca, Sputnik V",Ministry of Health,https://www.facebook.com/mohguyana/photos/a.1505704143066460/2599199210383609/
7742,Guyana,GUY,2021-02-19,1344,1344,0,,168,0.17164750957854408,0.17164750957854408,0.0,214.0,"Oxford/AstraZeneca, Sputnik V",Ministry of Health,https://www.facebook.com/mohguyana/photos/a.1505704143066460/2599199210383609/
7743,Guyana,GUY,2021-02-20,1513,1513,0,,169,0.19323116219667943,0.19323116219667943,0.0,215.0,"Oxford/AstraZeneca, Sputnik V",Ministry of Health,https://www.facebook.com/mohguyana/photos/a.1505704143066460/2599199210383609/
7744,Guyana,GUY,2021-02-21,1682,1682,0,,169,0.21481481481481482,0.21481481481481482,0.0,215.0,"Oxford/AstraZeneca, Sputnik V",Ministry of Health,https://www.facebook.com/mohguyana/photos/a.1505704143066460/2599199210383609/
7745,Guyana,GUY,2021-02-22,1852,1852,0,,169,0.24,0.24,0.0,215.0,"Oxford/AstraZeneca, Sputnik V",Ministry of Health,https://www.facebook.com/mohguyana/photos/a.1505704143066460/2599199210383609/
7746,Guyana,GUY,2021-02-23,2398,2398,0,,223,0.3062579821200511,0.3062579821200511,0.0,284.0,"Oxford/AstraZeneca, Sputnik V",Ministry of Health,https://www.facebook.com/mohguyana/photos/a.1505704143066460/2599199210383609/
7747,Guyana,GUY,2021-02-24,2945,2945,0,,277,0.37611749680715195,0.37611749680715195,0.0,352.0,"Oxford/AstraZeneca, Sputnik V",Ministry of Health,https://www.facebook.com/mohguyana/photos/a.1505704143066460/2599199210383609/
7748,Guyana,GUY,2021-02-25,3492,3492,0,,331,0.44597701149425284,0.44597701149425284,0.0,421.0,"Oxford/AstraZeneca, Sputnik V",Ministry of Health,https://www.facebook.com/mohguyana/photos/a.1505704143066460/2599199210383609/
7749,Guyana,GUY,2021-02-26,4039,4039,0,,385,0.5158365261813538,0.5158365261813538,0.0,489.0,"Oxford/AstraZeneca, Sputnik V",Ministry of Health,https://www.facebook.com/mohguyana/photos/a.1505704143066460/2599199210383609/
7750,Guyana,GUY,2021-02-27,4586,4586,0,,439,0.5856960408684547,0.5856960408684547,0.0,558.0,"Oxford/AstraZeneca, Sputnik V",Ministry of Health,https://www.facebook.com/mohguyana/photos/a.1505704143066460/2599199210383609/
7751,Guyana,GUY,2021-02-28,5133,5133,0,,493,0.6555555555555556,0.6555555555555556,0.0,627.0,"Oxford/AstraZeneca, Sputnik V",Ministry of Health,https://www.facebook.com/mohguyana/photos/a.1505704143066460/2599199210383609/
7752,Guyana,GUY,2021-03-01,5680,5680,0,,547,0.7254150702426565,0.7254150702426565,0.0,695.0,"Oxford/AstraZeneca, Sputnik V",Ministry of Health,https://www.facebook.com/mohguyana/photos/a.1505704143066460/2599199210383609/
7753,Guyana,GUY,2021-03-02,6227,6227,0,,547,0.7952745849297573,0.7952745849297573,0.0,695.0,"Oxford/AstraZeneca, Sputnik V",Ministry of Health,https://www.facebook.com/mohguyana/photos/a.1505704143066460/2599199210383609/
7754,Guyana,GUY,2021-03-03,6773,6773,0,,547,0.8650063856960408,0.8650063856960408,0.0,695.0,"Oxford/AstraZeneca, Sputnik V",Ministry of Health,https://www.facebook.com/mohguyana/photos/a.1505704143066460/2599199210383609/
7755,Guyana,GUY,2021-03-04,7320,7320,0,,547,0.9348659003831419,0.9348659003831419,0.0,695.0,"Oxford/AstraZeneca, Sputnik V",Ministry of Health,https://www.facebook.com/mohguyana/photos/a.1505704143066460/2599199210383609/
7756,Guyana,GUY,2021-03-05,7867,7867,0,,547,1.0047254150702427,1.0047254150702427,0.0,695.0,"Oxford/AstraZeneca, Sputnik V",Ministry of Health,https://www.facebook.com/mohguyana/photos/a.1505704143066460/2599199210383609/
7757,Guyana,GUY,2021-03-06,8414,8414,0,,547,1.0745849297573435,1.0745849297573435,0.0,695.0,"Oxford/AstraZeneca, Sputnik V",Ministry of Health,https://www.facebook.com/mohguyana/photos/a.1505704143066460/2599199210383609/
7758,Guyana,GUY,2021-03-07,8961,8961,0,,547,1.1444444444444444,1.1444444444444444,0.0,695.0,"Oxford/AstraZeneca, Sputnik V",Ministry of Health,https://www.facebook.com/mohguyana/photos/a.1505704143066460/2599199210383609/
7759,Guyana,GUY,2021-03-08,9508,9508,0,,547,1.2143039591315452,1.2143039591315452,0.0,695.0,"Oxford/AstraZeneca, Sputnik V",Ministry of Health,https://www.facebook.com/mohguyana/photos/a.1505704143066460/2599199210383609/
7760,Guyana,GUY,2021-03-09,10055,10055,0,,547,1.2841634738186463,1.2841634738186463,0.0,695.0,"Oxford/AstraZeneca, Sputnik V",Ministry of Health,https://www.facebook.com/mohguyana/photos/a.1505704143066460/2599199210383609/
7761,Guyana,GUY,2021-03-10,10602,10602,0,,547,1.354022988505747,1.354022988505747,0.0,695.0,"Oxford/AstraZeneca, Sputnik V",Ministry of Health,https://www.facebook.com/mohguyana/photos/a.1505704143066460/2599199210383609/
7762,Guyana,GUY,2021-03-11,11148,11148,0,,547,1.4237547892720308,1.4237547892720308,0.0,695.0,"Oxford/AstraZeneca, Sputnik V",Ministry of Health,https://www.facebook.com/mohguyana/photos/a.1505704143066460/2599199210383609/
7763,Guyana,GUY,2021-03-12,11695,11695,0,,547,1.4936143039591316,1.4936143039591316,0.0,695.0,"Oxford/AstraZeneca, Sputnik V",Ministry of Health,https://www.facebook.com/mohguyana/photos/a.1505704143066460/2599199210383609/
