,country,iso_code,date,total_vaccinations,people_vaccinated,people_fully_vaccinated,daily_vaccinations_raw,daily_vaccinations,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,daily_vaccinations_per_million,vaccines,source_name,source_website
7819,Honduras,HND,2021-02-28,2684,0,0,,0,0.03,0.03,0.0,0.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Sputnik V",Government of Honduras,https://ais.paho.org/imm/IM_DosisAdmin-Vacunacion.asp
7820,Honduras,HND,2021-03-01,2960,2960,0,,276,0.03059379032876542,0.03059379032876542,0.0,28.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Sputnik V",Government of Honduras,https://ais.paho.org/imm/IM_DosisAdmin-Vacunacion.asp
7821,Honduras,HND,2021-03-02,3236,3236,0,,276,0.03344645456212327,0.03344645456212327,0.0,28.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Sputnik V",Government of Honduras,https://ais.paho.org/imm/IM_DosisAdmin-Vacunacion.asp
7822,Honduras,HND,2021-03-03,3512,3512,0,,276,0.03629911879548113,0.03629911879548113,0.0,28.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Sputnik V",Government of Honduras,https://ais.paho.org/imm/IM_DosisAdmin-Vacunacion.asp
7823,Honduras,HND,2021-03-04,3788,3788,0,,276,0.03915178302883899,0.03915178302883899,0.0,28.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Sputnik V",Government of Honduras,https://ais.paho.org/imm/IM_DosisAdmin-Vacunacion.asp
7824,Honduras,HND,2021-03-05,4064,4064,0,,276,0.04200444726219685,0.04200444726219685,0.0,28.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Sputnik V",Government of Honduras,https://ais.paho.org/imm/IM_DosisAdmin-Vacunacion.asp
7825,Honduras,HND,2021-03-06,4340,4340,0,,276,0.0448571114955547,0.0448571114955547,0.0,28.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Sputnik V",Government of Honduras,https://ais.paho.org/imm/IM_DosisAdmin-Vacunacion.asp
7826,Honduras,HND,2021-03-07,4616,4616,0,,276,0.04770977572891256,0.04770977572891256,0.0,28.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Sputnik V",Government of Honduras,https://ais.paho.org/imm/IM_DosisAdmin-Vacunacion.asp
7827,Honduras,HND,2021-03-08,4892,4892,0,,276,0.05056243996227042,0.05056243996227042,0.0,28.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Sputnik V",Government of Honduras,https://ais.paho.org/imm/IM_DosisAdmin-Vacunacion.asp
7828,Honduras,HND,2021-03-09,5168,5168,0,,276,0.05341510419562827,0.05341510419562827,0.0,28.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Sputnik V",Government of Honduras,https://ais.paho.org/imm/IM_DosisAdmin-Vacunacion.asp
