,country,iso_code,date,total_vaccinations,people_vaccinated,people_fully_vaccinated,daily_vaccinations_raw,daily_vaccinations,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,daily_vaccinations_per_million,vaccines,source_name,source_website
7902,Hong Kong,HKG,2021-02-22,47,0,0,,0,0.0,0.0,0.0,0.0,"Pfizer/BioNTech, Sinovac",Government of Hong Kong,https://www.covidvaccine.gov.hk/en/dashboard
7903,Hong Kong,HKG,2021-02-23,579,579,0,532.0,532,0.01,0.01,0.0,71.0,"Pfizer/BioNTech, Sinovac",Government of Hong Kong,https://www.covidvaccine.gov.hk/en/dashboard
7904,Hong Kong,HKG,2021-02-24,579,579,0,0.0,266,0.01,0.01,0.0,35.0,"Pfizer/BioNTech, Sinovac",Government of Hong Kong,https://www.covidvaccine.gov.hk/en/dashboard
7905,Hong Kong,HKG,2021-02-25,579,579,0,0.0,177,0.01,0.01,0.0,24.0,"Pfizer/BioNTech, Sinovac",Government of Hong Kong,https://www.covidvaccine.gov.hk/en/dashboard
7906,Hong Kong,HKG,2021-02-26,6645,6645,0,6066.0,1650,0.09,0.09,0.0,220.0,"Pfizer/BioNTech, Sinovac",Government of Hong Kong,https://www.covidvaccine.gov.hk/en/dashboard
7907,Hong Kong,HKG,2021-02-27,13685,13685,0,7040.0,2728,0.18,0.18,0.0,364.0,"Pfizer/BioNTech, Sinovac",Government of Hong Kong,https://www.covidvaccine.gov.hk/en/dashboard
7908,Hong Kong,HKG,2021-02-28,20701,20701,0,7016.0,3442,0.28,0.28,0.0,459.0,"Pfizer/BioNTech, Sinovac",Government of Hong Kong,https://www.covidvaccine.gov.hk/en/dashboard
7909,Hong Kong,HKG,2021-03-01,27109,27109,0,6408.0,3866,0.36,0.36,0.0,516.0,"Pfizer/BioNTech, Sinovac",Government of Hong Kong,https://www.covidvaccine.gov.hk/en/dashboard
7910,Hong Kong,HKG,2021-03-02,40181,40181,0,13072.0,5657,0.54,0.54,0.0,755.0,"Pfizer/BioNTech, Sinovac",Government of Hong Kong,https://www.covidvaccine.gov.hk/en/dashboard
7911,Hong Kong,HKG,2021-03-03,51849,51847,2,11668.0,7324,0.69,0.69,0.0,977.0,"Pfizer/BioNTech, Sinovac",Government of Hong Kong,https://www.covidvaccine.gov.hk/en/dashboard
7912,Hong Kong,HKG,2021-03-04,62238,62236,2,10389.0,8808,0.83,0.83,0.0,1175.0,"Pfizer/BioNTech, Sinovac",Government of Hong Kong,https://www.covidvaccine.gov.hk/en/dashboard
7913,Hong Kong,HKG,2021-03-05,72376,72374,2,10138.0,9390,0.97,0.97,0.0,1253.0,"Pfizer/BioNTech, Sinovac",Government of Hong Kong,https://www.covidvaccine.gov.hk/en/dashboard
7914,Hong Kong,HKG,2021-03-06,84034,84031,3,11658.0,10050,1.12,1.12,0.0,1341.0,"Pfizer/BioNTech, Sinovac",Government of Hong Kong,https://www.covidvaccine.gov.hk/en/dashboard
7915,Hong Kong,HKG,2021-03-07,93027,93023,4,8993.0,10332,1.24,1.24,0.0,1378.0,"Pfizer/BioNTech, Sinovac",Government of Hong Kong,https://www.covidvaccine.gov.hk/en/dashboard
7916,Hong Kong,HKG,2021-03-08,103852,103848,4,10825.0,10963,1.39,1.39,0.0,1462.0,"Pfizer/BioNTech, Sinovac",Government of Hong Kong,https://www.covidvaccine.gov.hk/en/dashboard
7917,Hong Kong,HKG,2021-03-09,113528,113523,5,9676.0,10478,1.51,1.51,0.0,1398.0,"Pfizer/BioNTech, Sinovac",Government of Hong Kong,https://www.covidvaccine.gov.hk/en/dashboard
7918,Hong Kong,HKG,2021-03-10,130551,130545,6,17023.0,11243,1.74,1.74,0.0,1500.0,"Pfizer/BioNTech, Sinovac",Government of Hong Kong,https://www.covidvaccine.gov.hk/en/dashboard
7919,Hong Kong,HKG,2021-03-11,145911,145905,6,15360.0,11953,1.95,1.95,0.0,1594.0,"Pfizer/BioNTech, Sinovac",Government of Hong Kong,https://www.covidvaccine.gov.hk/en/dashboard
7920,Hong Kong,HKG,2021-03-12,162233,162227,6,16322.0,12837,2.16,2.16,0.0,1712.0,"Pfizer/BioNTech, Sinovac",Government of Hong Kong,https://www.covidvaccine.gov.hk/en/dashboard
7921,Hong Kong,HKG,2021-03-13,177114,177107,7,14881.0,13297,2.36,2.36,0.0,1774.0,"Pfizer/BioNTech, Sinovac",Government of Hong Kong,https://www.covidvaccine.gov.hk/en/dashboard
7922,Hong Kong,HKG,2021-03-14,190734,190727,7,13620.0,13958,2.54,2.54,0.0,1862.0,"Pfizer/BioNTech, Sinovac",Government of Hong Kong,https://www.covidvaccine.gov.hk/en/dashboard
7923,Hong Kong,HKG,2021-03-15,206097,206090,7,15363.0,14606,2.75,2.75,0.0,1948.0,"Pfizer/BioNTech, Sinovac",Government of Hong Kong,https://www.covidvaccine.gov.hk/en/dashboard
7924,Hong Kong,HKG,2021-03-16,229424,229417,7,23327.0,16557,3.06,3.06,0.0,2208.0,"Pfizer/BioNTech, Sinovac",Government of Hong Kong,https://www.covidvaccine.gov.hk/en/dashboard
7925,Hong Kong,HKG,2021-03-17,254023,254016,7,24599.0,17639,3.39,3.39,0.0,2353.0,"Pfizer/BioNTech, Sinovac",Government of Hong Kong,https://www.covidvaccine.gov.hk/en/dashboard
7926,Hong Kong,HKG,2021-03-18,276649,276642,7,22626.0,18677,3.69,3.69,0.0,2491.0,"Pfizer/BioNTech, Sinovac",Government of Hong Kong,https://www.covidvaccine.gov.hk/en/dashboard
7927,Hong Kong,HKG,2021-03-19,304255,304248,7,27606.0,20289,4.06,4.06,0.0,2706.0,"Pfizer/BioNTech, Sinovac",Government of Hong Kong,https://www.covidvaccine.gov.hk/en/dashboard
7928,Hong Kong,HKG,2021-03-20,330624,330617,7,26369.0,21930,4.41,4.41,0.0,2925.0,"Pfizer/BioNTech, Sinovac",Government of Hong Kong,https://www.covidvaccine.gov.hk/en/dashboard
7929,Hong Kong,HKG,2021-03-21,354445,354438,7,23821.0,23387,4.73,4.73,0.0,3120.0,"Pfizer/BioNTech, Sinovac",Government of Hong Kong,https://www.covidvaccine.gov.hk/en/dashboard
7930,Hong Kong,HKG,2021-03-22,379699,379649,50,25254.0,24800,5.06,5.06,0.0,3308.0,"Pfizer/BioNTech, Sinovac",Government of Hong Kong,https://www.covidvaccine.gov.hk/en/dashboard
7931,Hong Kong,HKG,2021-03-23,403531,403086,445,23832.0,24872,5.38,5.38,0.01,3318.0,"Pfizer/BioNTech, Sinovac",Government of Hong Kong,https://www.covidvaccine.gov.hk/en/dashboard
7932,Hong Kong,HKG,2021-03-24,413306,412829,477,9775.0,22755,5.51,5.51,0.01,3035.0,"Pfizer/BioNTech, Sinovac",Government of Hong Kong,https://www.covidvaccine.gov.hk/en/dashboard
7933,Hong Kong,HKG,2021-03-25,421526,421021,505,8220.0,20697,5.62,5.62,0.01,2761.0,"Pfizer/BioNTech, Sinovac",Government of Hong Kong,https://www.covidvaccine.gov.hk/en/dashboard
7934,Hong Kong,HKG,2021-03-26,435243,429540,5703,13717.0,18713,5.81,5.73,0.08,2496.0,"Pfizer/BioNTech, Sinovac",Government of Hong Kong,https://www.covidvaccine.gov.hk/en/dashboard
7935,Hong Kong,HKG,2021-03-27,449283,437272,12011,14040.0,16951,5.99,5.83,0.16,2261.0,"Pfizer/BioNTech, Sinovac",Government of Hong Kong,https://www.covidvaccine.gov.hk/en/dashboard
7936,Hong Kong,HKG,2021-03-28,462457,443907,18550,13174.0,15430,6.17,5.92,0.25,2058.0,"Pfizer/BioNTech, Sinovac",Government of Hong Kong,https://www.covidvaccine.gov.hk/en/dashboard
7937,Hong Kong,HKG,2021-03-29,475128,450525,24603,12671.0,13633,6.34,6.01,0.33,1818.0,"Pfizer/BioNTech, Sinovac",Government of Hong Kong,https://www.covidvaccine.gov.hk/en/dashboard
7938,Hong Kong,HKG,2021-03-30,490326,455933,34393,15198.0,12399,6.54,6.08,0.46,1654.0,"Pfizer/BioNTech, Sinovac",Government of Hong Kong,https://www.covidvaccine.gov.hk/en/dashboard
7939,Hong Kong,HKG,2021-03-31,505106,461066,44040,14780.0,13114,6.74,6.15,0.59,1749.0,"Pfizer/BioNTech, Sinovac",Government of Hong Kong,https://www.covidvaccine.gov.hk/en/dashboard
7940,Hong Kong,HKG,2021-04-01,520382,466288,54094,15276.0,14122,6.94,6.22,0.72,1884.0,"Pfizer/BioNTech, Sinovac",Government of Hong Kong,https://www.covidvaccine.gov.hk/en/dashboard
7941,Hong Kong,HKG,2021-04-02,531242,471431,59811,10860.0,13714,7.09,6.29,0.8,1829.0,"Pfizer/BioNTech, Sinovac",Government of Hong Kong,https://www.covidvaccine.gov.hk/en/dashboard
7942,Hong Kong,HKG,2021-04-03,543991,475056,68935,12749.0,13530,7.26,6.34,0.92,1805.0,"Pfizer/BioNTech, Sinovac",Government of Hong Kong,https://www.covidvaccine.gov.hk/en/dashboard
7943,Hong Kong,HKG,2021-04-04,556075,478885,77190,12084.0,13374,7.42,6.39,1.03,1784.0,"Pfizer/BioNTech, Sinovac",Government of Hong Kong,https://www.covidvaccine.gov.hk/en/dashboard
7944,Hong Kong,HKG,2021-04-05,577241,486985,90256,21166.0,14588,7.7,6.5,1.2,1946.0,"Pfizer/BioNTech, Sinovac",Government of Hong Kong,https://www.covidvaccine.gov.hk/en/dashboard
7945,Hong Kong,HKG,2021-04-06,616009,502704,113305,38768.0,17955,8.22,6.71,1.51,2395.0,"Pfizer/BioNTech, Sinovac",Government of Hong Kong,https://www.covidvaccine.gov.hk/en/dashboard
